symbol,ltp,open,high,low,volume,prev_close
ACLBSL,960.00,950.00,964.00,945.20,"1,125,662.00",29.68
ADBL,317.00,312.40,319.00,311.00,"11,405,383.90",30.68
AHL,496.50,485.40,497.00,485.40,"1,701,817.60",25.47
AHPC,277.00,279.00,280.00,276.00,"25,813,187.60",28.75
AKJCL,413.00,428.00,428.00,407.00,"556,906,427.30",36.54
AKPL,267.00,269.00,272.00,267.00,"16,700,050.80",26.28
ALBSL,"1,106.00","1,090.00","1,108.00","1,088.10","2,228,986.50",24.47
ALICL,459.00,460.00,462.00,456.10,"3,372,840.10",38.98
ANLB,"5,940.00","5,801.00","5,944.90","5,801.00","5,063,084.00",38.82
API,348.00,359.00,359.00,347.30,"92,575,863.40",27.42
AVYAN,"1,114.90","1,110.00","1,128.00","1,100.00","4,974,632.50",27.56
BANDIPUR,820.00,825.10,826.00,815.20,"19,502,117.10",25.40
BARUN,340.00,347.80,347.80,340.00,"14,229,836.50",29.50
BBC,"4,475.00","4,482.10","4,510.00","4,400.00","2,188,995.50",27.04
BEDC,361.00,362.00,365.00,360.00,"6,965,920.60",21.87
BFC,514.00,465.00,523.50,465.00,"135,004,045.30",50.11
BGWT,656.00,650.10,663.90,650.10,"1,387,599.40",26.07
BHCL,594.00,629.40,629.40,585.00,"65,107,506.80",32.37
BHDC,463.00,465.00,466.00,459.50,"6,831,454.50",27.17
BHL,219.00,221.00,222.90,218.00,"24,078,569.70",28.27
BHPL,548.60,565.00,565.00,533.00,"6,146,519.00",37.65
BJHL,867.90,900.00,900.00,860.00,"7,226,244.00",22.55
BNHC,333.80,328.20,333.80,328.20,"859,773.70",25.25
BPCL,679.90,696.00,696.00,679.80,"10,062,603.50",24.04
BUNGAL,700.10,684.00,730.00,684.00,"42,276,210.00",31.12
C30MF,10.01,10.01,10.01,10.01,"4,004.00",25.13
CBBL,921.00,926.60,928.00,901.00,"20,392,803.80",29.52
CBLD88,"1,190.00","1,190.00","1,190.00","1,190.00","11,900.00",41.91
CCBD88,"1,262.40","1,262.90","1,262.90","1,262.40","31,523.30",33.94
CFCL,630.00,584.00,649.90,584.00,"185,026,283.90",48.94
CGH,792.00,795.00,797.00,789.00,"11,169,265.80",28.18
CHCL,495.40,500.00,500.00,495.00,"16,630,481.50",41.87
CHDC,"2,269.00","2,262.00","2,289.00","2,262.00","19,654,189.50",27.24
CHL,291.00,288.00,292.00,288.00,"2,984,267.90",25.41
CIT,"1,755.00","1,770.00","1,770.00","1,746.00","19,441,432.00",31.54
CITY,402.00,376.10,407.00,374.40,"195,999,747.90",50.11
CIZBD86,"1,180.00","1,180.00","1,180.00","1,180.00","29,500.00",25.06
CKHL,665.00,665.50,665.50,650.00,"1,469,429.00",28.34
CLI,465.50,464.70,465.50,457.10,"6,642,877.00",42.79
CMF2,10.00,10.00,10.00,10.00,"1,000.00",19.66
CORBL,"1,966.10","2,026.00","2,026.00","1,930.00","17,567,187.90",25.74
CREST,"1,254.50","1,260.00","1,333.00","1,240.00","9,626,752.00",27.41
CSY,9.70,9.21,9.70,9.21,"58,332.00",43.56
CYCL,"1,455.00","1,455.00","1,466.00","1,455.00","1,359,047.30",35.71
CZBIL,202.50,205.00,205.00,201.20,"8,953,484.60",27.75
DDBL,850.00,845.00,850.00,841.30,"6,005,267.50",31.87
DHEL,621.00,620.00,626.50,618.00,"11,242,689.20",30.00
DHPL,302.00,300.00,308.90,300.00,"2,707,070.20",31.99
DLBS,"1,266.00","1,269.00","1,295.00","1,266.00","512,268.50",26.59
DOLTI,350.00,345.50,355.00,345.50,"9,753,393.40",21.25
DORDI,273.80,278.00,278.90,271.20,"7,731,198.90",27.68
EBL,709.40,709.00,711.00,706.00,"16,380,847.50",29.36
EBLD85,"1,160.00","1,160.10","1,160.10","1,160.00","34,801.00",35.77
EBLD86,"1,145.00","1,142.00","1,145.00","1,130.00","126,159,499.00",49.14
EBLD91,"1,099.00","1,100.00","1,100.00","1,099.00","186,975.00",38.31
EBLEB89,"1,080.00","1,080.00","1,080.00","1,080.00","27,000.00",29.34
EDBL,588.20,583.50,595.80,583.50,"1,511,834.90",36.56
EHPL,387.90,388.00,390.00,382.00,"8,698,160.50",29.01
ENL,880.00,891.00,894.00,861.30,"701,369.00",28.34
FMDBL,788.80,800.00,800.00,782.00,"5,203,084.30",18.33
FOWAD,"1,039.00","1,059.00","1,059.00","1,035.00","4,346,155.80",34.76
GBBD85,"1,115.00","1,110.00","1,115.00","1,110.00","44,475.00",39.57
GBBL,416.00,415.20,417.90,415.00,"8,308,912.80",27.45
GBILD86/87,"1,121.00","1,121.00","1,121.00","1,121.00","16,815.00",27.60
GBIME,238.10,239.00,239.50,237.10,"21,293,463.10",29.34
GBIMESY2,9.40,9.22,9.40,9.22,"11,234.00",41.74
GBLBS,780.00,786.00,793.80,771.50,"2,933,841.40",31.98
GCIL,418.00,418.00,424.90,416.40,"6,639,936.80",35.43
GFCL,669.00,660.00,675.00,649.10,"33,097,078.80",45.61
GHL,235.00,240.00,240.00,235.00,"10,427,280.30",23.26
GIBF1,11.00,10.80,11.00,10.80,"21,741.00",27.71
GILB,"1,130.00","1,111.10","1,130.00","1,111.10","404,995.10",24.69
GLBSL,"1,813.90","1,761.10","1,813.90","1,761.10","493,589.70",28.65
GLH,265.00,270.90,270.90,264.40,"9,327,247.30",29.11
GMFBS,"1,297.90","1,299.00","1,299.00","1,272.20","62,525.00",21.76
GMFIL,495.50,459.00,507.00,459.00,"34,484,099.20",48.88
GMLI,"1,329.00","1,353.00","1,380.00","1,322.10","3,467,663.40",45.02
GRDBL,"1,065.00","1,060.00","1,099.90","1,060.00","8,857,638.20",25.76
GSY,10.02,10.00,10.03,9.76,"25,950.00",30.68
GUFL,581.00,578.00,581.00,568.00,"33,073,141.90",47.17
GVL,490.00,489.00,497.00,489.00,"7,754,514.00",28.92
H8020,12.16,11.80,12.16,11.80,"15,429.00",27.71
HATHY,787.00,791.00,791.00,780.00,"3,534,250.70",27.44
HBL,201.00,201.00,202.00,200.00,"10,874,591.90",28.18
HBLD83,"1,036.10","1,035.00","1,035.00","1,035.00","3,108.30",21.06
HDHPC,218.90,224.00,224.00,218.20,"33,282,438.10",22.34
HDL,"1,168.00","1,175.00","1,177.00","1,166.00","23,662,507.70",27.20
HEI,565.00,570.00,573.90,550.00,"7,877,277.30",41.15
