date,open,high,low,close,symbol
2023-10-12,361.1,397.2,361.1,397.2,BGWT
2023-10-16,405.1,436.9,358.2,362.5,BGWT
2023-10-17,362.0,387.0,356.0,360.1,BGWT
2023-10-18,355.2,385.0,355.2,385.0,BGWT
2023-10-19,377.3,387.0,372.7,384.5,BGWT
2023-10-29,376.9,376.9,358.3,367.0,BGWT
2023-10-30,359.7,374.0,352.8,366.0,BGWT
2023-10-31,360.0,369.0,360.0,369.0,BGWT
2023-11-01,362.0,366.0,356.0,361.1,BGWT
2023-11-02,354.0,364.0,354.0,357.1,BGWT
2023-11-05,352.0,360.0,352.0,356.0,BGWT
2023-11-06,360.0,372.0,355.0,366.5,BGWT
2023-11-07,360.0,384.8,360.0,370.0,BGWT
2023-11-08,370.0,398.0,363.7,395.0,BGWT
2023-11-09,387.1,400.0,378.0,378.4,BGWT
2023-11-20,378.4,390.2,377.4,389.0,BGWT
2023-11-21,382.0,384.0,376.1,382.0,BGWT
2023-11-22,375.0,391.0,375.0,391.0,BGWT
2023-11-23,383.2,403.0,379.0,398.0,BGWT
2023-11-26,390.1,437.8,390.1,437.8,BGWT
2023-11-27,437.0,462.0,437.0,446.5,BGWT
2023-11-28,439.0,454.0,433.3,438.0,BGWT
2023-11-29,429.4,452.5,425.3,430.0,BGWT
2023-11-30,422.0,438.0,417.0,418.3,BGWT
2023-12-03,426.6,432.0,413.0,432.0,BGWT
2023-12-04,440.0,445.0,410.0,435.0,BGWT
2023-12-05,426.3,430.0,418.0,425.0,BGWT
2023-12-06,417.1,435.0,417.1,434.7,BGWT
2023-12-07,430.0,443.3,427.1,427.1,BGWT
2023-12-10,435.6,450.0,435.6,441.0,BGWT
2023-12-11,449.8,464.0,432.0,455.0,BGWT
2023-12-12,455.0,484.9,445.9,477.0,BGWT
2023-12-13,470.0,494.0,458.8,470.0,BGWT
2023-12-14,461.1,472.0,454.1,462.0,BGWT
2023-12-17,453.0,499.0,452.0,487.0,BGWT
2023-12-18,495.0,504.0,475.0,494.0,BGWT
2023-12-19,485.0,505.0,481.0,505.0,BGWT
2023-12-20,515.0,520.0,493.0,515.0,BGWT
2023-12-21,504.7,558.0,490.5,558.0,BGWT
2023-12-24,550.0,574.9,525.0,526.2,BGWT
2023-12-27,516.0,542.9,516.0,532.0,BGWT
2023-12-28,532.0,538.0,525.0,528.0,BGWT
2024-01-01,528.0,538.0,506.0,508.0,BGWT
2024-01-02,497.9,510.0,497.9,510.0,BGWT
2024-01-03,502.0,561.0,502.0,561.0,BGWT
2024-01-04,549.8,590.0,549.8,570.0,BGWT
2024-01-07,570.0,588.9,547.6,584.0,BGWT
2024-01-08,572.4,590.0,555.0,584.4,BGWT
2024-01-09,585.0,593.0,565.0,574.0,BGWT
2024-01-10,564.0,575.0,555.1,555.1,BGWT
2024-01-11,555.0,570.0,552.0,563.0,BGWT
2024-01-14,565.0,582.0,563.2,577.0,BGWT
2024-01-16,577.7,598.0,558.0,598.0,BGWT
2024-01-17,587.0,603.8,567.0,603.8,BGWT
2024-01-18,591.8,597.9,570.0,597.0,BGWT
2024-01-21,586.0,600.0,572.0,580.0,BGWT
2024-01-22,568.9,586.0,562.0,578.0,BGWT
2024-01-23,566.5,578.0,560.2,567.2,BGWT
2024-01-24,578.5,580.0,550.1,563.0,BGWT
2024-01-25,553.0,575.0,552.0,570.0,BGWT
2024-01-28,562.0,581.0,562.0,575.0,BGWT
2024-01-29,566.3,595.9,566.3,591.0,BGWT
2024-01-30,600.0,620.0,583.0,612.0,BGWT
2024-01-31,612.0,620.0,590.0,620.0,BGWT
2024-02-01,608.0,610.0,590.1,605.0,BGWT
2024-02-04,592.9,646.0,590.1,646.0,BGWT
2024-02-05,633.1,710.0,620.0,649.9,BGWT
2024-02-06,662.0,689.5,623.5,649.0,BGWT
2024-02-07,659.0,659.0,610.0,632.0,BGWT
2024-02-08,620.0,640.0,597.0,621.5,BGWT
2024-02-11,632.0,632.0,609.0,620.0,BGWT
2024-02-12,607.6,639.0,607.6,629.0,BGWT
2024-02-13,630.0,634.4,615.0,631.7,BGWT
2024-02-14,620.0,637.0,615.0,617.0,BGWT
2024-02-15,615.0,625.0,607.1,616.0,BGWT
2024-02-18,605.0,606.3,595.1,596.0,BGWT
2024-02-20,586.3,606.9,586.1,605.0,BGWT
2024-02-21,594.1,610.0,594.1,600.0,BGWT
2024-02-22,595.0,600.0,581.2,595.0,BGWT
2024-02-25,595.0,595.0,566.0,592.0,BGWT
2024-02-26,581.2,590.0,569.0,590.0,BGWT
2024-02-27,590.0,590.0,570.0,579.0,BGWT
2024-02-28,568.1,584.0,567.7,584.0,BGWT
2024-02-29,581.0,581.0,561.0,578.0,BGWT
2024-03-03,569.0,569.0,548.0,565.0,BGWT
2024-03-04,576.0,599.0,576.0,599.0,BGWT
2024-03-05,599.0,599.0,567.5,576.9,BGWT
2024-03-06,565.7,585.0,565.7,566.0,BGWT
2024-03-07,566.0,580.0,566.0,575.0,BGWT
2024-03-10,575.0,584.9,568.2,574.1,BGWT
2024-03-12,585.5,601.0,577.1,601.0,BGWT
2024-03-13,590.0,610.0,589.0,604.0,BGWT
2024-03-14,592.0,600.0,589.0,598.0,BGWT
2024-03-17,587.0,595.0,587.0,587.0,BGWT
2024-03-18,581.1,645.7,581.1,602.0,BGWT
2024-03-19,608.0,657.9,591.0,657.9,BGWT
2024-03-20,644.8,644.8,610.0,614.0,BGWT
2024-03-21,610.0,663.0,608.2,632.4,BGWT
2024-03-25,620.0,657.0,600.0,650.0,BGWT
2024-03-26,637.0,637.0,612.5,619.1,BGWT
2024-03-27,630.0,630.0,605.1,618.0,BGWT
2024-03-28,607.0,616.7,603.0,615.0,BGWT
2024-03-31,620.0,656.0,605.3,625.9,BGWT
2024-04-01,615.0,619.9,604.0,619.0,BGWT
2024-04-02,607.0,610.0,601.0,601.0,BGWT
2024-04-03,605.0,613.0,594.1,608.0,BGWT
2024-04-04,600.0,603.3,590.2,603.3,BGWT
2024-04-07,592.1,609.9,592.1,599.2,BGWT
2024-04-09,593.1,610.0,593.1,609.0,BGWT
2024-04-10,599.0,612.1,598.0,605.0,BGWT
2024-04-14,616.0,622.0,600.0,617.9,BGWT
2024-04-15,620.0,632.0,618.0,622.0,BGWT
2024-04-16,610.0,619.0,601.0,605.2,BGWT
2024-04-18,600.0,604.4,588.0,591.0,BGWT
2024-04-21,600.0,600.0,582.0,591.0,BGWT
2024-04-22,600.0,621.9,580.1,585.0,BGWT
2024-04-24,580.0,596.7,580.0,589.0,BGWT
2024-04-25,589.0,589.0,579.1,588.0,BGWT
2024-04-28,590.0,609.9,585.0,609.9,BGWT
2024-04-29,610.0,610.0,595.2,607.9,BGWT
2024-04-30,607.0,616.0,600.5,610.0,BGWT
2024-05-02,609.0,618.2,602.0,605.0,BGWT
2024-05-05,605.0,605.0,587.1,588.0,BGWT
2024-05-06,580.0,599.0,580.0,583.3,BGWT
2024-05-07,580.0,600.0,580.0,594.0,BGWT
2024-05-08,584.0,600.0,584.0,598.0,BGWT
2024-05-09,598.0,599.9,586.1,598.4,BGWT
2024-05-12,595.0,603.0,587.1,587.1,BGWT
2024-05-13,595.0,595.0,583.1,592.0,BGWT
2024-05-14,600.0,632.0,596.1,631.0,BGWT
2024-05-15,630.0,642.6,615.0,626.9,BGWT
2024-05-16,616.2,655.0,616.2,650.0,BGWT
2024-05-19,637.0,663.0,635.0,663.0,BGWT
2024-05-20,673.0,729.3,650.0,729.3,BGWT
2024-05-21,719.0,743.0,695.0,706.0,BGWT
2024-05-22,694.0,776.0,682.1,714.0,BGWT
2024-05-26,700.0,704.0,672.0,672.0,BGWT
2024-05-27,665.0,739.2,665.0,690.2,BGWT
2024-05-29,704.0,759.2,700.0,759.2,BGWT
2024-05-30,774.3,835.1,766.0,835.1,BGWT
2024-06-02,851.8,880.6,787.0,880.6,BGWT
2024-06-03,863.0,916.0,830.0,900.0,BGWT
2024-06-04,882.0,974.0,840.0,904.0,BGWT
2024-06-05,886.0,994.4,868.0,994.4,BGWT
2024-06-06,975.0,1093.8,975.0,1093.8,BGWT
2024-06-09,1094.0,1203.1,1000.0,1203.1,BGWT
2024-06-10,1179.1,1320.0,1082.8,1145.0,BGWT
2024-06-11,1122.1,1259.5,1030.5,1259.5,BGWT
2024-06-12,1234.4,1361.7,1133.6,1233.0,BGWT
2024-06-13,1208.4,1208.4,1109.7,1131.0,BGWT
2024-06-16,1153.0,1153.0,1017.9,1017.9,BGWT
2024-06-18,1017.9,1037.9,942.0,970.0,BGWT
2024-06-19,988.0,1067.0,952.0,1005.0,BGWT
2024-06-20,1005.0,1005.0,949.2,950.0,BGWT
2024-06-23,969.0,985.0,936.0,946.1,BGWT
2024-06-24,946.5,956.0,926.0,927.0,BGWT
2024-06-25,944.9,975.0,927.0,953.9,BGWT
2024-06-26,972.0,1049.0,934.9,950.0,BGWT
2024-06-27,932.0,962.0,924.0,927.0,BGWT
2024-06-30,927.0,927.0,911.1,912.0,BGWT
2024-07-01,897.0,923.1,897.0,918.0,BGWT
2024-07-02,936.3,974.1,899.0,940.4,BGWT
