date,open,high,low,close,symbol
2026-03-22,270.1,297.1,270.1,297.1,BJHL
2026-03-23,294.1,326.8,294.1,326.8,BJHL
2026-03-24,323.5,359.4,323.5,359.4,BJHL
2026-03-25,366.5,395.3,366.5,395.3,BJHL
2026-03-26,391.4,434.8,391.4,434.8,BJHL
2026-03-29,430.8,478.2,430.8,478.2,BJHL
2026-03-30,475.4,526.0,475.4,526.0,BJHL
2026-03-31,536.0,578.6,536.0,578.6,BJHL
2026-04-01,590.1,636.4,590.1,636.4,BJHL
2026-04-02,649.1,700.0,649.1,700.0,BJHL
2026-04-05,714.0,770.0,714.0,770.0,BJHL
2026-04-06,770.0,847.0,770.0,847.0,BJHL
2026-04-07,863.9,931.7,863.9,931.7,BJHL
2026-04-08,950.3,1024.8,852.9,985.0,BJHL
2026-04-09,990.0,1083.5,950.0,1083.5,BJHL
2026-04-10,1105.1,1191.8,1105.0,1191.8,BJHL
2026-04-13,1168.0,1305.0,1097.6,1240.0,BJHL
2026-04-15,1255.0,1305.0,1191.0,1286.0,BJHL
2026-04-16,1286.0,1300.0,1167.0,1191.0,BJHL
2026-04-17,1191.0,1205.0,1105.5,1180.0,BJHL
2026-04-20,1180.0,1280.0,1099.0,1225.0,BJHL
2026-04-21,1226.0,1280.0,1191.0,1211.0,BJHL
2026-04-22,1207.0,1211.0,1135.0,1164.0,BJHL
2026-04-23,1166.0,1200.0,1130.0,1131.1,BJHL
2026-04-24,1100.0,1163.0,1074.6,1142.0,BJHL
2026-04-27,1142.0,1170.0,1091.0,1108.0,BJHL
2026-04-28,1108.0,1108.0,1008.8,1012.1,BJHL
2026-04-29,1012.1,1090.0,953.1,1035.0,BJHL
2026-04-30,1049.0,1049.0,990.0,1035.0,BJHL
2026-05-04,1035.0,1064.9,950.0,960.0,BJHL
2026-05-05,912.0,1020.0,912.0,967.4,BJHL
2026-05-06,919.1,997.0,919.1,962.1,BJHL
2026-05-07,975.0,990.0,955.0,978.0,BJHL
2026-05-08,978.0,1022.0,963.0,1010.0,BJHL
2026-05-11,1000.0,1040.0,1000.0,1015.0,BJHL
2026-05-12,1013.0,1025.0,969.0,975.0,BJHL
2026-05-13,999.0,1000.0,940.0,960.0,BJHL
2026-05-14,980.0,980.0,918.0,918.3,BJHL
2026-05-15,918.0,950.0,906.0,930.0,BJHL
2026-05-18,930.0,939.9,910.2,936.0,BJHL
2026-05-19,917.0,940.0,917.0,926.0,BJHL
2026-05-20,910.0,943.9,910.0,940.0,BJHL
2026-05-21,955.0,956.0,921.2,925.0,BJHL
2026-05-22,925.0,974.9,912.5,953.0,BJHL
2026-05-25,952.0,1000.0,945.0,980.0,BJHL
2026-05-26,961.0,1005.0,961.0,971.0,BJHL
2026-05-27,971.0,984.0,932.1,936.0,BJHL
2026-06-01,936.0,946.9,900.0,911.0,BJHL
2026-06-02,911.0,930.0,900.0,900.1,BJHL
2026-06-03,860.0,928.0,860.0,906.1,BJHL
2026-06-04,907.0,920.0,890.7,891.1,BJHL
2026-06-05,900.0,900.0,860.0,867.9,BJHL
2026-06-08,900.0,900.0,860.0,867.9,BJHL
