date,open,high,low,close,symbol
2021-09-01,393.0,407.0,392.0,402.0,CZBIL
2021-09-02,405.3,410.0,401.0,403.1,CZBIL
2021-09-05,395.1,405.9,389.0,394.0,CZBIL
2021-09-06,390.1,407.5,386.2,407.5,CZBIL
2021-09-07,406.0,406.0,394.6,398.0,CZBIL
2021-09-08,399.5,399.5,387.1,390.1,CZBIL
2021-09-09,390.0,397.0,387.1,389.3,CZBIL
2021-09-12,397.0,400.0,389.1,399.0,CZBIL
2021-09-13,401.0,409.9,399.0,409.0,CZBIL
2021-09-14,410.0,416.0,403.0,410.0,CZBIL
2021-09-15,415.0,415.0,404.0,410.0,CZBIL
2021-09-16,410.0,410.0,395.0,397.0,CZBIL
2021-09-20,400.0,401.0,381.0,382.3,CZBIL
2021-09-21,375.0,392.0,370.0,379.0,CZBIL
2021-09-22,386.0,395.0,383.0,395.0,CZBIL
2021-09-23,402.9,420.0,402.9,408.5,CZBIL
2021-09-26,416.0,416.6,397.0,400.0,CZBIL
2021-09-27,398.9,399.0,386.0,390.0,CZBIL
2021-09-28,390.0,395.0,380.0,384.0,CZBIL
2021-09-29,391.6,399.4,379.0,396.9,CZBIL
2021-09-30,404.8,404.8,393.0,396.0,CZBIL
2021-10-03,401.0,403.0,390.0,390.5,CZBIL
2021-10-04,391.0,394.9,383.0,387.1,CZBIL
2021-10-05,385.0,399.0,385.0,395.0,CZBIL
2021-10-06,402.0,403.0,395.0,398.0,CZBIL
2021-10-10,352.48,352.48,333.0,333.5,CZBIL
2021-10-11,338.1,338.1,315.0,322.0,CZBIL
2021-10-17,322.0,322.0,312.0,318.0,CZBIL
2021-10-18,320.0,321.0,307.0,308.0,CZBIL
2021-10-19,305.0,305.0,294.0,295.0,CZBIL
2021-10-20,296.0,310.0,294.0,299.0,CZBIL
2021-10-21,300.0,300.0,288.3,290.0,CZBIL
2021-10-24,294.0,294.0,285.0,288.0,CZBIL
2021-10-25,289.0,304.0,288.0,301.9,CZBIL
2021-10-26,305.0,314.0,304.0,307.5,CZBIL
2021-10-27,307.9,310.0,295.0,301.1,CZBIL
2021-10-28,301.0,302.0,297.0,300.0,CZBIL
2021-10-31,304.0,304.0,298.0,299.1,CZBIL
2021-11-01,305.0,306.0,298.1,299.1,CZBIL
2021-11-02,300.0,305.7,298.0,305.7,CZBIL
2021-11-03,311.8,311.8,300.0,301.0,CZBIL
2021-11-08,305.0,306.0,300.0,304.5,CZBIL
2021-11-09,306.0,306.0,295.0,297.0,CZBIL
2021-11-11,296.0,296.0,290.0,291.0,CZBIL
2021-11-14,291.0,293.0,288.0,290.5,CZBIL
2021-11-15,290.9,296.0,290.0,292.0,CZBIL
2021-11-16,293.0,299.0,291.0,299.0,CZBIL
2021-11-17,299.5,301.0,296.1,298.0,CZBIL
2021-11-18,298.0,299.0,294.5,295.0,CZBIL
2021-11-21,295.0,297.0,292.0,292.0,CZBIL
2021-11-22,292.0,294.0,290.0,290.1,CZBIL
2021-11-23,294.0,294.0,287.0,288.2,CZBIL
2021-11-24,288.2,289.0,282.0,285.5,CZBIL
2021-11-25,287.0,295.9,282.2,288.5,CZBIL
2021-11-28,285.0,289.0,279.0,279.0,CZBIL
2021-11-29,275.0,287.0,274.0,277.0,CZBIL
2021-11-30,275.0,280.0,272.3,276.9,CZBIL
2021-12-01,273.0,279.0,273.0,276.0,CZBIL
2021-12-02,274.0,280.0,272.0,272.5,CZBIL
2021-12-05,270.5,273.0,267.0,267.8,CZBIL
2021-12-06,266.79,275.4,262.0,275.0,CZBIL
2021-12-07,278.0,281.0,271.0,271.1,CZBIL
2021-12-08,276.5,276.5,266.1,267.5,CZBIL
2021-12-09,265.0,272.0,265.0,269.0,CZBIL
2021-12-12,268.5,270.0,260.0,260.5,CZBIL
2021-12-13,260.0,260.0,252.9,255.0,CZBIL
2021-12-14,260.0,266.2,258.0,265.2,CZBIL
2021-12-15,270.0,275.0,263.9,266.0,CZBIL
