date,open,high,low,close,symbol
2022-03-06,287.1,287.1,287.1,287.1,ENL
2022-03-07,292.8,298.6,292.8,298.6,ENL
2022-03-09,304.5,310.5,304.5,310.5,ENL
2022-03-10,316.7,341.5,316.7,341.5,ENL
2022-03-13,348.3,375.6,348.3,375.6,ENL
2022-03-14,383.1,390.7,383.1,390.7,ENL
2022-03-15,398.5,429.7,398.5,429.7,ENL
2022-03-16,438.2,472.6,438.2,472.6,ENL
2022-03-20,482.0,519.8,482.0,519.8,ENL
2022-03-21,530.1,571.7,530.1,571.7,ENL
2022-03-22,583.1,628.8,583.1,628.8,ENL
2022-03-23,641.3,691.6,641.3,691.6,ENL
2022-03-24,705.4,760.7,705.4,760.7,ENL
2022-03-27,775.9,836.7,775.9,836.7,ENL
2022-03-28,853.4,920.3,853.4,920.3,ENL
2022-03-29,938.7,1012.3,938.7,1012.3,ENL
2022-03-30,1032.5,1113.5,1032.5,1113.5,ENL
2022-03-31,1135.7,1224.8,1056.5,1224.8,ENL
2022-04-03,1249.2,1347.2,1224.8,1347.2,ENL
2022-04-04,1373.0,1481.9,1220.0,1470.0,ENL
2022-04-05,1440.6,1440.6,1323.0,1323.0,ENL
2022-04-06,1296.6,1296.6,1190.7,1190.7,ENL
2022-04-07,1166.9,1166.9,1071.7,1112.0,ENL
2022-04-11,1112.0,1150.0,1001.0,1001.0,ENL
2022-04-12,1001.0,1060.8,926.0,935.0,ENL
2022-04-13,916.3,1006.0,902.0,976.0,ENL
2022-04-17,976.0,990.0,902.0,902.0,ENL
2022-04-18,885.0,901.0,832.0,838.0,ENL
2022-04-19,825.0,914.0,823.0,860.0,ENL
2022-04-20,860.0,877.0,836.0,840.0,ENL
2022-04-21,830.0,866.8,810.0,841.0,ENL
2022-04-24,857.8,886.0,840.7,885.0,ENL
2022-04-25,870.0,885.0,830.0,854.0,ENL
2022-04-26,837.0,850.0,810.1,826.9,ENL
2022-04-27,811.0,842.5,801.5,838.0,ENL
2022-04-28,821.3,835.0,807.0,830.0,ENL
