date,open,high,low,close,symbol
2021-09-01,1094.0,1129.0,1080.0,1090.0,FMDBL
2021-09-02,1090.0,1148.0,1078.0,1080.0,FMDBL
2021-09-05,1080.0,1080.0,980.0,1015.0,FMDBL
2021-09-06,995.0,1116.5,980.0,1113.0,FMDBL
2021-09-07,1115.0,1115.0,1051.0,1052.0,FMDBL
2021-09-08,1052.0,1060.0,1015.0,1026.9,FMDBL
2021-09-09,1026.0,1045.0,1001.0,1016.0,FMDBL
2021-09-12,1036.0,1117.6,1010.0,1117.6,FMDBL
2021-09-13,1138.0,1140.0,1091.0,1128.0,FMDBL
2021-09-14,1128.0,1135.0,1097.0,1128.0,FMDBL
2021-09-15,1135.0,1137.0,1086.0,1110.0,FMDBL
2021-09-16,1088.0,1092.0,1031.0,1040.0,FMDBL
2021-09-20,1030.0,1040.0,990.0,991.0,FMDBL
2021-09-21,972.0,1030.7,935.0,979.0,FMDBL
2021-09-22,998.0,1035.0,990.0,1015.0,FMDBL
2021-09-23,1035.0,1035.0,995.0,995.0,FMDBL
2021-09-26,995.0,1014.0,955.6,955.6,FMDBL
2021-09-27,955.6,988.0,919.3,920.0,FMDBL
2021-09-28,920.0,928.0,870.0,884.0,FMDBL
2021-09-29,901.6,962.8,884.1,950.0,FMDBL
2021-09-30,940.0,954.0,903.0,913.0,FMDBL
2021-10-03,900.1,915.0,869.0,869.0,FMDBL
2021-10-04,854.0,904.0,845.0,870.0,FMDBL
2021-10-05,887.4,923.2,887.0,900.0,FMDBL
2021-10-06,917.0,977.0,901.1,959.9,FMDBL
2021-10-10,974.0,979.0,913.0,914.0,FMDBL
2021-10-11,898.0,912.0,882.0,898.9,FMDBL
2021-10-17,916.0,916.0,900.0,905.0,FMDBL
2021-10-18,900.0,900.1,863.0,880.0,FMDBL
2021-10-19,863.0,880.0,850.0,854.0,FMDBL
2021-10-20,871.0,900.0,860.0,885.9,FMDBL
2021-10-21,900.0,900.0,849.0,849.0,FMDBL
2021-10-24,849.0,869.0,839.0,853.0,FMDBL
2021-10-25,868.0,938.0,851.0,938.0,FMDBL
2021-10-26,919.3,1031.8,919.3,980.2,FMDBL
2021-10-27,999.7,1028.0,942.0,998.0,FMDBL
2021-10-28,981.0,1006.0,970.0,995.0,FMDBL
2021-10-31,1014.7,1019.0,985.0,1015.0,FMDBL
2021-11-01,1005.0,1012.0,980.0,980.1,FMDBL
2021-11-02,980.0,985.0,960.0,979.9,FMDBL
2021-11-03,999.0,999.0,971.0,980.0,FMDBL
2021-11-08,999.6,1059.0,978.1,979.0,FMDBL
2021-11-09,970.0,970.0,910.0,935.0,FMDBL
2021-11-11,935.0,935.0,890.1,891.0,FMDBL
2021-11-14,874.0,945.8,874.0,902.0,FMDBL
2021-11-15,920.0,938.0,900.0,914.0,FMDBL
2021-11-16,901.0,932.1,901.0,927.1,FMDBL
2021-11-17,935.0,999.6,935.0,952.2,FMDBL
2021-11-18,955.0,1014.0,941.1,1014.0,FMDBL
2021-11-21,940.0,940.0,885.0,902.0,FMDBL
2021-11-22,885.5,902.0,884.4,890.0,FMDBL
2021-11-23,898.5,898.5,860.0,867.0,FMDBL
2021-11-24,884.0,884.0,851.0,860.0,FMDBL
2021-11-25,863.9,874.0,845.0,852.0,FMDBL
2021-11-28,835.0,848.0,785.0,800.0,FMDBL
2021-11-29,784.0,824.5,784.0,796.0,FMDBL
2021-11-30,811.8,811.8,780.5,800.5,FMDBL
2021-12-01,816.0,816.0,789.0,799.0,FMDBL
