date,open,high,low,close,symbol
2021-09-01,2420.0,2465.0,2410.0,2433.0,GILB
2021-09-02,2433.0,2433.0,2325.1,2366.1,GILB
2021-09-05,2366.1,2366.1,2252.0,2297.0,GILB
2021-09-06,2330.0,2396.0,2290.0,2396.0,GILB
2021-09-07,2360.0,2397.0,2313.0,2327.0,GILB
2021-09-08,2280.6,2300.0,2254.0,2270.0,GILB
2021-09-09,2314.0,2347.0,2255.0,2255.0,GILB
2021-09-12,2275.0,2295.0,2240.0,2280.0,GILB
2021-09-13,2325.0,2371.0,2256.0,2270.0,GILB
2021-09-14,2285.0,2320.0,2255.0,2278.0,GILB
2021-09-15,2270.0,2270.0,2215.1,2230.0,GILB
2021-09-16,2210.0,2243.0,2130.0,2135.0,GILB
2021-09-20,2150.0,2157.0,1960.0,1984.0,GILB
2021-09-21,1953.0,2070.0,1925.0,1961.0,GILB
2021-09-22,2000.2,2157.0,2000.0,2135.0,GILB
2021-09-23,2157.1,2265.0,2126.0,2175.0,GILB
2021-09-26,2175.0,2180.0,2047.0,2047.0,GILB
2021-09-27,2035.0,2076.1,1965.0,1980.0,GILB
2021-09-28,1960.0,2000.0,1950.0,1961.0,GILB
2021-09-29,1961.1,2038.8,1930.0,2004.0,GILB
2021-09-30,2020.0,2041.0,1979.0,1990.0,GILB
2021-10-03,1960.0,1998.0,1940.0,1941.0,GILB
2021-10-04,1920.0,2000.0,1903.0,2000.0,GILB
2021-10-05,2040.0,2120.0,2040.0,2071.0,GILB
2021-10-06,2112.4,2278.1,2112.4,2278.1,GILB
2021-10-10,2323.6,2487.9,2279.0,2290.0,GILB
2021-10-11,2278.1,2290.0,2207.0,2266.0,GILB
2021-10-17,2250.0,2299.0,2231.0,2265.0,GILB
2021-10-18,2270.0,2270.0,2137.0,2143.0,GILB
2021-10-19,2112.0,2141.0,2031.0,2080.0,GILB
2021-10-20,2121.6,2149.0,2100.0,2149.0,GILB
2021-10-21,2130.0,2170.0,2120.0,2149.0,GILB
2021-10-24,2185.0,2200.0,2163.0,2200.0,GILB
2021-10-25,2240.0,2265.0,2190.0,2254.0,GILB
2021-10-26,2255.0,2305.0,2230.0,2305.0,GILB
2021-10-27,2306.0,2351.0,2265.0,2324.9,GILB
2021-10-28,2324.9,2330.1,2295.0,2300.0,GILB
2021-10-31,2340.0,2380.0,2275.0,2380.0,GILB
2021-11-01,2400.0,2400.0,2298.0,2298.0,GILB
2021-11-02,2300.0,2307.0,2271.1,2307.0,GILB
2021-11-03,2300.0,2300.0,2280.0,2280.0,GILB
2021-11-08,2315.0,2390.0,2290.0,2307.9,GILB
2021-11-09,2308.0,2308.0,2240.1,2250.0,GILB
2021-11-11,2225.0,2232.0,2181.0,2182.0,GILB
2021-11-14,2200.0,2225.0,2147.0,2157.0,GILB
2021-11-15,2160.0,2200.0,2157.0,2199.0,GILB
2021-11-16,2220.0,2240.0,2191.1,2235.0,GILB
2021-11-17,2255.0,2270.0,2230.0,2230.0,GILB
2021-11-18,2263.0,2263.0,2186.0,2199.0,GILB
2021-11-21,2242.9,2299.9,2202.0,2241.0,GILB
2021-11-22,2270.0,2280.0,2250.0,2269.0,GILB
2021-11-23,2250.0,2250.0,2225.0,2240.0,GILB
2021-11-24,2249.0,2249.0,2220.0,2227.0,GILB
2021-11-25,2200.0,2249.0,2198.1,2249.0,GILB
2021-11-28,2210.0,2245.0,2180.1,2185.0,GILB
2021-11-29,2209.0,2228.0,2170.0,2175.1,GILB
2021-11-30,1699.0,1799.0,1675.0,1690.0,GILB
2021-12-01,1700.0,1700.0,1640.0,1640.0,GILB
2021-12-02,1649.0,1649.0,1567.0,1575.0,GILB
2021-12-05,1575.0,1575.0,1481.0,1495.0,GILB
2021-12-06,1495.0,1600.0,1451.0,1568.0,GILB
2021-12-07,1598.0,1598.0,1550.0,1550.0,GILB
2021-12-08,1549.9,1550.0,1485.0,1487.0,GILB
2021-12-09,1514.9,1514.9,1443.0,1500.0,GILB
2021-12-12,1500.0,1500.0,1455.0,1458.0,GILB
2021-12-13,1428.9,1450.0,1390.0,1405.0,GILB
2021-12-14,1430.0,1490.0,1415.0,1485.0,GILB
2021-12-15,1514.0,1562.0,1460.0,1471.0,GILB
2021-12-16,1500.0,1519.0,1461.0,1461.0,GILB
2021-12-20,1461.0,1520.0,1461.0,1470.0,GILB
2021-12-21,1495.0,1499.0,1470.0,1494.0,GILB
2021-12-22,1494.0,1569.0,1494.0,1560.0,GILB
2021-12-23,1585.0,1601.0,1568.0,1571.0,GILB
2021-12-26,1600.0,1657.0,1600.0,1635.0,GILB
2021-12-27,1660.0,1660.0,1569.1,1595.0,GILB
2021-12-28,1595.0,1615.0,1534.0,1589.0,GILB
2021-12-29,1585.0,1588.0,1562.1,1566.0,GILB
2022-01-02,1570.0,1621.0,1570.0,1601.0,GILB
2022-01-03,1633.0,1665.0,1627.0,1651.0,GILB
2022-01-04,1618.0,1690.0,1618.0,1685.0,GILB
2022-01-05,1715.0,1715.0,1648.0,1649.0,GILB
2022-01-06,1617.0,1680.0,1610.0,1678.0,GILB
2022-01-09,1705.0,1746.0,1695.0,1725.0,GILB
2022-01-10,1750.0,1750.0,1708.0,1717.0,GILB
2022-01-11,1740.0,1840.0,1722.0,1820.0,GILB
2022-01-12,1856.0,1856.0,1750.0,1750.0,GILB
2022-01-13,1785.0,1850.0,1760.0,1845.0,GILB
2022-01-16,1881.0,1890.0,1845.0,1875.0,GILB
2022-01-17,1838.0,1894.0,1838.0,1888.0,GILB
2022-01-18,1856.0,1893.0,1831.0,1832.0,GILB
2022-01-19,1850.0,1866.0,1790.0,1800.0,GILB
2022-01-20,1834.0,1850.0,1766.1,1850.0,GILB
2022-01-23,1877.0,1877.0,1775.0,1808.0,GILB
2022-01-24,1785.0,1790.0,1740.0,1740.0,GILB
2022-01-25,1774.8,1810.0,1711.0,1760.0,GILB
2022-01-26,1726.0,1745.5,1690.0,1728.0,GILB
2022-01-27,1730.0,1797.0,1677.0,1740.0,GILB
2022-01-30,1774.0,1799.9,1760.1,1784.0,GILB
2022-01-31,1785.0,1785.0,1750.0,1777.0,GILB
2022-02-01,1776.0,1823.0,1741.5,1741.5,GILB
2022-02-03,1776.0,1776.0,1740.5,1765.0,GILB
2022-02-06,1730.0,1779.0,1710.0,1737.0,GILB
2022-02-07,1737.0,1769.0,1735.0,1743.0,GILB
2022-02-08,1760.4,1774.0,1722.0,1722.0,GILB
2022-02-09,1730.0,1751.0,1648.4,1700.0,GILB
2022-02-10,1714.5,1714.5,1672.1,1705.0,GILB
2022-02-13,1686.0,1686.0,1600.0,1615.0,GILB
2022-02-14,1610.0,1635.0,1600.0,1620.0,GILB
2022-02-15,1650.0,1685.0,1612.6,1655.0,GILB
2022-02-16,1654.0,1654.0,1632.0,1639.0,GILB
2022-02-17,1668.0,1668.0,1634.0,1637.0,GILB
2022-02-20,1605.1,1631.0,1573.0,1610.0,GILB
