date,open,high,low,close,symbol
2021-08-24,1790.0,1820.0,1766.0,1775.0,GMFBS
2021-08-25,1751.0,1770.0,1740.0,1740.1,GMFBS
2021-08-26,1741.0,1741.0,1700.0,1720.0,GMFBS
2021-08-29,1701.0,1710.0,1676.0,1676.2,GMFBS
2021-08-31,1650.0,1656.0,1622.0,1640.0,GMFBS
2021-09-01,1650.0,1665.0,1600.0,1601.0,GMFBS
2021-09-02,1602.0,1660.0,1601.0,1610.0,GMFBS
2021-09-05,1642.0,1650.0,1570.0,1606.6,GMFBS
2021-09-06,1574.5,1662.0,1574.5,1662.0,GMFBS
2021-09-07,1650.0,1710.0,1632.0,1633.0,GMFBS
2021-09-08,1635.0,1665.0,1620.0,1621.0,GMFBS
2021-09-09,1602.5,1652.0,1601.0,1627.9,GMFBS
2021-09-12,1602.5,1652.0,1602.5,1651.9,GMFBS
2021-09-13,1621.0,1653.4,1620.1,1645.0,GMFBS
2021-09-14,1645.0,1645.0,1613.0,1613.0,GMFBS
2021-09-15,1640.0,1645.0,1581.0,1594.0,GMFBS
2021-09-16,1562.2,1563.0,1526.1,1530.0,GMFBS
2021-09-20,1506.0,1540.0,1474.0,1474.0,GMFBS
2021-09-21,1474.0,1513.0,1446.0,1513.0,GMFBS
2021-09-22,1540.0,1600.0,1535.0,1540.0,GMFBS
2021-09-23,1525.0,1555.5,1510.0,1511.1,GMFBS
2021-09-26,1500.0,1510.0,1470.0,1470.0,GMFBS
2021-09-27,1442.0,1442.0,1414.0,1414.1,GMFBS
2021-09-28,1440.0,1440.0,1366.0,1415.0,GMFBS
2021-09-29,1400.0,1440.0,1387.0,1440.0,GMFBS
2021-09-30,1468.0,1470.0,1450.0,1450.0,GMFBS
2021-10-03,1450.0,1450.0,1394.0,1394.0,GMFBS
2021-10-04,1405.0,1438.2,1385.0,1410.0,GMFBS
2021-10-05,1438.0,1500.0,1438.0,1495.0,GMFBS
2021-10-06,1520.0,1639.0,1520.0,1590.1,GMFBS
2021-10-10,1619.0,1621.0,1530.0,1530.1,GMFBS
2021-10-11,1501.0,1531.0,1471.0,1531.0,GMFBS
2021-10-17,1510.0,1520.0,1510.0,1515.0,GMFBS
2021-10-18,1486.0,1487.0,1436.0,1456.4,GMFBS
2021-10-19,1436.1,1436.1,1412.1,1412.1,GMFBS
2021-10-20,1440.3,1460.0,1383.9,1411.5,GMFBS
2021-10-21,1400.0,1440.0,1385.0,1440.0,GMFBS
2021-10-24,1416.0,1468.0,1416.0,1468.0,GMFBS
2021-10-25,1485.0,1510.0,1481.0,1500.0,GMFBS
2021-10-26,1510.0,1590.9,1510.0,1520.0,GMFBS
2021-10-27,1540.0,1550.0,1510.1,1511.0,GMFBS
2021-10-28,1541.2,1661.4,1541.2,1625.0,GMFBS
2021-10-31,1649.9,1683.0,1632.0,1662.0,GMFBS
2021-11-01,1628.8,1632.0,1595.0,1601.0,GMFBS
2021-11-02,1610.0,1620.0,1588.0,1609.0,GMFBS
2021-11-03,1641.1,1641.1,1585.0,1608.0,GMFBS
2021-11-08,1580.0,1610.0,1568.0,1568.0,GMFBS
2021-11-09,1568.0,1568.0,1508.0,1511.0,GMFBS
2021-11-11,1515.0,1530.0,1425.0,1530.0,GMFBS
2021-11-14,1500.0,1548.0,1473.0,1548.0,GMFBS
2021-11-15,1574.0,1574.0,1520.0,1545.0,GMFBS
2021-11-16,1545.0,1568.0,1541.0,1560.0,GMFBS
2021-11-17,1530.0,1542.0,1525.0,1525.0,GMFBS
2021-11-18,1501.0,1505.0,1494.5,1500.0,GMFBS
2021-11-21,1530.0,1530.0,1500.0,1500.0,GMFBS
2021-11-22,1500.0,1505.0,1480.0,1483.0,GMFBS
2021-11-23,1462.0,1581.0,1462.0,1520.0,GMFBS
2021-11-24,1510.0,1540.0,1490.0,1540.0,GMFBS
2021-11-25,1540.0,1540.0,1482.0,1518.0,GMFBS
2021-11-28,1489.5,1489.5,1470.0,1488.0,GMFBS
2021-11-29,1488.0,1488.0,1430.0,1430.3,GMFBS
2021-11-30,1413.2,1470.0,1413.2,1470.0,GMFBS
2021-12-01,1441.1,1470.0,1441.1,1450.0,GMFBS
2021-12-02,1421.0,1449.4,1421.0,1440.0,GMFBS
2021-12-05,1415.0,1439.0,1390.0,1391.0,GMFBS
2021-12-06,1390.0,1456.0,1366.0,1439.0,GMFBS
2021-12-07,1430.0,1440.0,1412.0,1440.0,GMFBS
2021-12-08,1440.0,1440.0,1390.0,1395.0,GMFBS
2021-12-09,1368.0,1422.5,1350.0,1422.5,GMFBS
2021-12-12,1396.0,1396.0,1343.0,1343.0,GMFBS
2021-12-13,1317.0,1317.0,1289.9,1300.0,GMFBS
2021-12-14,1320.0,1370.0,1315.0,1370.0,GMFBS
2021-12-15,1357.0,1428.0,1357.0,1406.0,GMFBS
2021-12-16,1378.0,1430.0,1378.0,1390.7,GMFBS
2021-12-20,1400.0,1400.0,1376.0,1385.0,GMFBS
2021-12-21,1395.0,1422.0,1395.0,1398.0,GMFBS
2021-12-22,1198.2,1198.2,1160.0,1176.1,GMFBS
2021-12-23,1160.0,1222.0,1160.0,1209.0,GMFBS
2021-12-26,1233.0,1233.1,1217.0,1217.0,GMFBS
2021-12-27,1192.7,1241.0,1191.0,1195.0,GMFBS
2021-12-28,1172.0,1189.0,1166.0,1180.0,GMFBS
2021-12-29,1180.0,1200.0,1180.0,1180.0,GMFBS
2022-01-02,1190.0,1245.0,1190.0,1225.0,GMFBS
2022-01-03,1245.0,1288.0,1220.0,1260.0,GMFBS
2022-01-04,1235.0,1289.0,1235.0,1289.0,GMFBS
