date,open,high,low,close,symbol
2025-02-20,10.0,10.0,9.05,9.23,GSY
2025-02-23,9.14,9.2,9.06,9.06,GSY
2025-02-24,8.89,9.15,8.89,9.0,GSY
2025-02-25,8.85,9.05,8.85,8.99,GSY
2025-02-27,8.85,9.16,8.85,8.89,GSY
2025-03-02,8.82,9.44,8.8,9.4,GSY
2025-03-03,9.3,9.98,9.15,9.79,GSY
2025-03-04,9.75,9.98,9.75,9.77,GSY
2025-03-05,9.77,9.95,9.77,9.86,GSY
2025-03-06,9.67,10.0,9.35,9.35,GSY
2025-03-09,9.18,9.3,9.0,9.3,GSY
2025-03-10,9.2,9.2,9.06,9.13,GSY
2025-03-11,8.95,9.3,8.95,9.07,GSY
2025-03-12,8.89,9.18,8.89,9.02,GSY
2025-03-16,9.1,9.2,8.93,9.0,GSY
2025-03-17,8.85,9.5,8.85,8.97,GSY
2025-03-18,8.97,9.14,8.89,9.1,GSY
2025-03-19,8.93,9.83,8.93,9.8,GSY
2025-03-20,9.61,9.61,8.9,8.98,GSY
2025-03-23,8.81,9.18,8.81,8.97,GSY
2025-03-24,8.82,9.14,8.82,9.02,GSY
2025-03-25,9.19,9.19,9.01,9.11,GSY
2025-03-26,8.97,9.1,8.96,9.01,GSY
2025-03-27,9.0,9.19,8.83,9.01,GSY
2025-03-30,8.89,9.1,8.89,9.01,GSY
2025-04-01,8.85,9.07,8.85,8.95,GSY
2025-04-02,8.86,9.18,8.86,9.11,GSY
2025-04-03,8.93,9.11,8.93,9.02,GSY
2025-04-07,9.1,9.28,8.92,9.0,GSY
2025-04-08,8.89,9.28,8.83,9.1,GSY
2025-04-09,8.93,9.19,8.92,9.11,GSY
2025-04-10,8.96,9.16,8.96,9.11,GSY
2025-04-13,8.93,9.1,8.93,8.99,GSY
2025-04-15,8.89,9.09,8.89,9.0,GSY
2025-04-16,8.95,9.38,8.94,9.15,GSY
2025-04-17,8.97,9.1,8.97,9.09,GSY
2025-04-20,8.96,9.18,8.96,9.03,GSY
2025-04-21,9.0,9.21,9.0,9.08,GSY
2025-04-22,9.0,9.35,9.0,9.03,GSY
2025-04-23,8.86,9.29,8.86,9.18,GSY
2025-04-24,9.36,9.53,9.0,9.1,GSY
2025-04-27,8.95,9.64,8.95,9.32,GSY
2025-04-28,9.32,9.32,9.15,9.15,GSY
2025-04-29,9.15,9.32,9.14,9.26,GSY
2025-04-30,9.08,9.3,9.08,9.13,GSY
2025-05-04,9.0,9.18,8.96,9.11,GSY
2025-05-05,8.99,9.34,8.99,9.29,GSY
2025-05-06,9.12,9.21,9.12,9.2,GSY
2025-05-07,9.02,9.32,9.02,9.28,GSY
2025-05-08,9.16,9.39,9.16,9.31,GSY
2025-05-11,9.13,9.31,9.13,9.23,GSY
2025-05-13,9.2,9.3,9.1,9.26,GSY
2025-05-14,9.35,9.54,9.35,9.43,GSY
2025-05-15,9.28,9.3,9.12,9.15,GSY
2025-05-18,9.0,9.23,9.0,9.04,GSY
2025-05-19,9.0,9.25,9.0,9.08,GSY
2025-05-20,9.0,9.28,9.0,9.13,GSY
2025-05-21,9.0,9.31,9.0,9.3,GSY
2025-05-22,9.12,9.19,8.96,9.16,GSY
2025-05-25,9.01,9.21,9.01,9.07,GSY
2025-05-26,9.0,9.23,9.0,9.08,GSY
2025-05-27,9.05,9.09,9.02,9.09,GSY
2025-05-28,9.01,9.27,9.01,9.22,GSY
2025-06-02,9.04,9.4,9.04,9.4,GSY
2025-06-03,9.3,9.3,9.12,9.25,GSY
2025-06-04,9.25,9.42,9.24,9.3,GSY
2025-06-05,9.12,9.35,9.01,9.3,GSY
2025-06-08,9.12,9.35,9.12,9.26,GSY
2025-06-09,9.08,9.81,9.08,9.35,GSY
2025-06-10,9.17,9.29,9.17,9.29,GSY
2025-06-11,9.25,9.37,9.25,9.28,GSY
2025-06-12,9.28,9.64,9.26,9.31,GSY
2025-06-15,9.22,9.27,9.22,9.27,GSY
2025-06-16,9.27,9.35,9.26,9.3,GSY
2025-06-17,9.3,9.3,9.14,9.24,GSY
2025-06-18,9.24,9.5,9.1,9.31,GSY
2025-06-19,9.17,9.28,9.17,9.27,GSY
2025-06-22,9.2,9.26,9.2,9.25,GSY
2025-06-23,9.15,9.26,9.15,9.21,GSY
2025-06-24,9.05,9.25,9.05,9.25,GSY
2025-06-25,9.18,9.45,9.18,9.41,GSY
2025-06-26,9.41,9.41,9.06,9.24,GSY
2025-06-29,9.25,9.31,9.25,9.25,GSY
2025-06-30,9.12,9.28,9.1,9.21,GSY
2025-07-01,9.21,9.38,9.18,9.29,GSY
2025-07-02,9.18,9.25,9.18,9.25,GSY
2025-07-03,9.18,9.66,9.18,9.66,GSY
2025-07-06,9.47,9.47,9.24,9.24,GSY
2025-07-07,9.42,9.42,9.15,9.42,GSY
2025-07-08,9.28,9.43,9.22,9.32,GSY
2025-07-09,9.24,9.4,9.24,9.4,GSY
2025-07-10,9.24,9.54,9.24,9.33,GSY
2025-07-13,9.16,9.94,9.16,9.59,GSY
2025-07-14,9.4,9.58,9.27,9.56,GSY
2025-07-15,9.5,10.13,9.32,9.62,GSY
2025-07-16,9.8,10.0,9.22,9.95,GSY
2025-07-17,9.76,9.76,9.41,9.59,GSY
2025-07-20,9.41,9.63,9.41,9.51,GSY
2025-07-21,9.4,9.61,9.4,9.51,GSY
2025-07-22,9.5,9.89,9.41,9.7,GSY
