date,open,high,low,close,symbol
2021-09-01,1050.0,1058.0,1007.5,1012.5,ICFC
2021-09-02,992.3,1020.0,961.0,961.0,ICFC
2021-09-05,941.8,951.0,864.9,864.9,ICFC
2021-09-06,847.7,951.3,830.8,951.3,ICFC
2021-09-07,970.3,987.8,918.0,960.0,ICFC
2021-09-08,940.8,969.0,908.1,969.0,ICFC
2021-09-09,988.0,988.0,912.4,930.0,ICFC
2021-09-12,930.0,955.0,912.0,954.7,ICFC
2021-09-13,960.0,975.0,940.8,944.0,ICFC
2021-09-14,944.0,950.0,888.4,948.0,ICFC
2021-09-15,953.0,953.0,885.0,908.9,ICFC
2021-09-16,891.0,892.5,845.0,845.0,ICFC
2021-09-20,861.9,861.9,760.5,760.5,ICFC
2021-09-21,760.0,816.0,707.6,746.0,ICFC
2021-09-22,760.9,820.6,760.9,820.6,ICFC
2021-09-23,837.0,870.0,818.0,835.0,ICFC
2021-09-26,838.0,851.7,755.6,760.0,ICFC
2021-09-27,761.0,768.0,713.0,725.0,ICFC
2021-09-28,712.0,734.0,652.5,666.0,ICFC
2021-09-29,665.0,726.9,620.0,691.0,ICFC
2021-09-30,704.0,717.0,658.0,667.0,ICFC
2021-10-03,667.0,679.0,635.0,640.0,ICFC
2021-10-04,652.0,652.0,607.6,617.5,ICFC
2021-10-05,620.0,655.0,620.0,651.0,ICFC
2021-10-06,664.0,704.8,650.8,700.0,ICFC
2021-10-10,714.0,731.0,681.9,698.0,ICFC
2021-10-11,686.0,694.0,660.0,688.0,ICFC
2021-10-17,679.0,715.0,647.0,670.2,ICFC
2021-10-18,670.0,670.0,643.0,645.0,ICFC
2021-10-19,633.0,633.0,588.0,600.0,ICFC
2021-10-20,612.0,652.0,612.0,648.0,ICFC
2021-10-21,660.9,675.3,621.0,675.3,ICFC
2021-10-24,676.0,709.0,645.0,709.0,ICFC
2021-10-25,723.0,763.0,700.0,763.0,ICFC
2021-10-26,775.0,814.0,764.0,814.0,ICFC
2021-10-27,815.0,823.2,771.0,800.0,ICFC
2021-10-28,784.0,805.0,765.0,790.0,ICFC
2021-10-31,798.0,850.0,775.0,844.0,ICFC
2021-11-01,859.0,911.4,824.0,872.1,ICFC
2021-11-02,854.7,953.7,838.0,878.6,ICFC
2021-11-03,872.0,966.4,865.1,966.4,ICFC
2021-11-08,947.1,1063.0,890.0,1063.0,ICFC
2021-11-09,1041.8,1041.8,956.7,956.7,ICFC
2021-11-11,937.6,937.6,861.1,861.1,ICFC
2021-11-14,861.1,947.2,812.1,862.0,ICFC
2021-11-15,879.0,897.0,862.0,881.0,ICFC
2021-11-16,870.0,922.7,870.0,893.0,ICFC
2021-11-17,910.8,910.8,875.0,899.9,ICFC
2021-11-18,899.9,973.3,864.4,900.0,ICFC
2021-11-21,891.0,891.0,865.0,865.0,ICFC
2021-11-22,882.0,936.1,853.0,870.0,ICFC
2021-11-23,853.0,870.0,815.0,819.2,ICFC
2021-11-24,819.3,864.9,794.0,849.0,ICFC
2021-11-25,845.0,865.0,820.0,849.0,ICFC
2021-11-28,833.0,933.9,800.7,932.0,ICFC
2021-11-29,913.4,913.4,838.8,838.8,ICFC
2021-11-30,828.9,922.6,809.0,890.0,ICFC
2021-12-01,872.2,872.2,825.0,840.0,ICFC
2021-12-02,840.0,843.0,800.0,816.0,ICFC
2021-12-05,799.7,814.0,745.0,748.1,ICFC
2021-12-06,735.0,780.0,686.0,771.0,ICFC
2021-12-07,785.0,800.0,700.0,712.0,ICFC
2021-12-08,712.0,716.0,680.0,703.8,ICFC
2021-12-09,628.0,652.0,610.0,627.0,ICFC
2021-12-12,622.0,622.0,579.0,580.0,ICFC
2021-12-13,568.4,576.3,525.5,527.0,ICFC
2021-12-14,537.5,579.7,537.5,579.7,ICFC
2021-12-15,591.2,637.0,588.0,618.0,ICFC
2021-12-16,620.0,620.0,588.0,588.0,ICFC
2021-12-20,598.0,599.0,566.0,572.0,ICFC
2021-12-21,583.0,599.0,560.6,590.0,ICFC
2021-12-22,600.0,620.0,590.0,612.0,ICFC
2021-12-23,624.2,624.2,589.0,599.8,ICFC
2021-12-26,610.0,610.0,589.0,590.0,ICFC
2021-12-27,601.0,608.0,569.0,570.0,ICFC
2021-12-28,567.0,595.0,560.0,585.0,ICFC
2021-12-29,587.0,594.0,576.1,585.3,ICFC
2022-01-02,585.0,593.0,580.0,589.0,ICFC
2022-01-03,599.0,607.9,587.1,595.0,ICFC
2022-01-04,595.1,609.0,585.0,607.0,ICFC
2022-01-05,619.0,629.0,601.0,605.2,ICFC
2022-01-06,597.1,617.0,595.0,614.0,ICFC
2022-01-09,623.0,674.0,620.0,671.0,ICFC
2022-01-10,684.4,700.0,670.0,690.0,ICFC
2022-01-11,690.0,745.0,676.2,723.0,ICFC
2022-01-12,725.0,759.9,711.0,714.0,ICFC
