date,open,high,low,close,symbol
2021-09-01,807.0,815.0,771.0,780.0,JFL
2021-09-02,780.0,806.8,757.0,762.0,JFL
2021-09-05,747.0,755.0,685.8,685.8,JFL
2021-09-06,686.0,754.3,646.0,754.3,JFL
2021-09-07,769.3,769.3,715.0,735.0,JFL
2021-09-08,720.3,734.7,693.5,712.0,JFL
2021-09-09,710.0,724.0,705.0,708.5,JFL
2021-09-12,722.0,750.0,710.0,740.0,JFL
2021-09-13,750.0,773.0,735.0,749.0,JFL
2021-09-14,760.0,760.0,728.0,730.0,JFL
2021-09-15,744.5,744.5,708.0,713.0,JFL
2021-09-16,699.0,699.0,660.0,673.5,JFL
2021-09-20,685.0,685.0,606.2,614.0,JFL
2021-09-21,602.0,648.0,567.0,594.0,JFL
2021-09-22,605.8,650.0,605.8,645.0,JFL
2021-09-23,657.4,685.0,650.0,664.0,JFL
2021-09-26,655.0,666.0,621.0,622.0,JFL
2021-09-27,610.0,620.0,580.0,581.0,JFL
2021-09-28,570.0,582.0,527.0,530.0,JFL
2021-09-29,535.0,583.0,509.2,573.0,JFL
2021-09-30,584.0,585.0,541.0,546.1,JFL
2021-10-03,546.1,550.0,506.0,523.0,JFL
2021-10-04,533.0,533.0,493.2,504.1,JFL
2021-10-05,514.1,550.0,508.0,536.0,JFL
2021-10-06,546.0,587.9,543.1,580.0,JFL
2021-10-10,591.0,626.0,568.0,579.5,JFL
2021-10-11,568.0,585.0,558.0,585.0,JFL
2021-10-17,596.6,596.7,576.0,594.0,JFL
2021-10-18,582.2,582.2,562.0,569.9,JFL
2021-10-19,570.0,570.0,528.0,540.0,JFL
2021-10-20,550.8,573.0,550.8,570.0,JFL
2021-10-21,572.0,581.0,551.0,551.0,JFL
2021-10-24,549.9,580.0,549.9,565.0,JFL
2021-10-25,555.0,610.0,555.0,607.0,JFL
2021-10-26,617.0,638.0,617.0,637.0,JFL
2021-10-27,639.0,670.0,604.0,645.0,JFL
2021-10-28,655.0,655.0,628.0,640.1,JFL
2021-10-31,640.0,670.0,630.1,660.0,JFL
2021-11-01,660.0,678.0,637.0,640.0,JFL
2021-11-02,639.0,671.0,629.0,660.0,JFL
2021-11-03,673.2,687.0,673.0,674.0,JFL
2021-11-08,687.4,730.0,687.0,722.0,JFL
2021-11-09,732.0,736.0,686.0,712.2,JFL
2021-11-11,698.0,730.0,682.0,690.0,JFL
2021-11-14,682.0,715.0,677.0,710.0,JFL
2021-11-15,723.0,749.7,716.2,742.9,JFL
2021-11-16,745.0,803.9,731.0,760.2,JFL
2021-11-17,775.0,775.0,745.0,745.0,JFL
2021-11-18,730.1,757.0,716.0,720.0,JFL
2021-11-21,730.0,743.9,716.0,722.0,JFL
2021-11-22,730.0,730.0,707.7,708.0,JFL
