date,open,high,low,close,symbol
2021-09-01,412.1,434.0,378.4,380.0,KKHC
2021-09-02,387.6,411.2,385.0,399.0,KKHC
2021-09-05,400.0,405.0,359.1,371.9,KKHC
2021-09-06,365.0,409.0,365.0,409.0,KKHC
2021-09-07,417.1,438.0,401.0,409.7,KKHC
2021-09-08,415.0,415.0,390.0,395.0,KKHC
2021-09-09,402.0,410.0,392.0,398.0,KKHC
2021-09-12,390.1,422.1,390.1,413.9,KKHC
2021-09-13,413.0,428.4,401.0,404.0,KKHC
2021-09-14,400.0,410.0,399.0,400.0,KKHC
2021-09-15,400.5,415.0,393.1,395.0,KKHC
2021-09-16,396.0,396.0,378.0,383.3,KKHC
2021-09-20,390.9,390.9,345.0,346.0,KKHC
2021-09-21,340.0,369.2,312.2,351.0,KKHC
2021-09-22,358.0,383.0,358.0,383.0,KKHC
2021-09-23,390.6,405.0,363.0,373.2,KKHC
2021-09-26,371.0,371.0,345.2,348.0,KKHC
2021-09-27,352.0,362.0,323.5,334.0,KKHC
2021-09-28,334.0,339.0,311.0,312.0,KKHC
2021-09-29,317.9,334.5,298.9,330.0,KKHC
2021-09-30,330.0,338.5,312.0,314.0,KKHC
2021-10-03,314.0,314.0,298.0,300.0,KKHC
2021-10-04,294.0,304.8,282.0,292.0,KKHC
2021-10-05,292.0,318.5,292.0,313.9,KKHC
2021-10-06,319.9,329.0,308.0,318.0,KKHC
2021-10-10,324.0,330.4,310.6,310.6,KKHC
2021-10-11,315.0,316.8,307.0,311.0,KKHC
2021-10-17,315.0,320.0,304.0,315.0,KKHC
2021-10-18,309.0,315.0,304.0,305.0,KKHC
2021-10-19,305.0,305.0,276.7,288.0,KKHC
2021-10-20,293.0,310.7,293.0,305.0,KKHC
2021-10-21,305.0,307.0,294.0,298.9,KKHC
2021-10-24,296.0,307.0,295.5,304.0,KKHC
2021-10-25,305.0,325.0,304.0,321.0,KKHC
2021-10-26,327.0,353.1,327.0,353.1,KKHC
2021-10-27,360.1,387.0,342.0,368.0,KKHC
2021-10-28,370.0,378.0,355.0,365.1,KKHC
2021-10-31,372.4,385.0,371.0,384.0,KKHC
2021-11-01,384.0,393.0,372.0,374.0,KKHC
2021-11-02,380.0,380.0,367.5,375.0,KKHC
2021-11-03,375.0,379.9,373.0,379.0,KKHC
2021-11-08,381.0,381.0,364.1,372.0,KKHC
2021-11-09,365.0,367.0,347.0,351.0,KKHC
2021-11-11,344.0,351.0,330.0,338.0,KKHC
2021-11-14,331.4,350.0,331.3,338.0,KKHC
2021-11-15,342.0,359.9,342.0,352.0,KKHC
2021-11-16,352.0,366.0,346.0,365.0,KKHC
2021-11-17,372.0,380.0,357.7,360.0,KKHC
2021-11-18,353.1,357.0,348.0,352.0,KKHC
2021-11-21,352.0,358.0,347.0,348.0,KKHC
2021-11-22,350.0,375.0,350.0,365.5,KKHC
2021-11-23,358.3,369.2,347.0,350.0,KKHC
2021-11-24,356.9,372.0,338.1,362.0,KKHC
2021-11-25,369.1,369.1,357.7,360.0,KKHC
2021-11-28,352.8,353.0,338.0,339.0,KKHC
