date,open,high,low,close,symbol
2021-09-14,1000.0,1000.0,1000.0,1000.0,LBLD88
2021-09-27,980.0,980.0,961.0,961.0,LBLD88
2021-09-28,960.0,960.0,958.0,960.0,LBLD88
2021-09-29,950.0,957.0,950.0,957.0,LBLD88
2021-09-30,957.0,957.0,957.0,957.0,LBLD88
2021-10-03,960.0,960.0,955.0,955.0,LBLD88
2021-10-05,952.0,952.0,952.0,952.0,LBLD88
2021-10-10,945.0,955.0,945.0,955.0,LBLD88
2021-10-17,954.0,954.0,954.0,954.0,LBLD88
2021-10-21,950.0,950.0,950.0,950.0,LBLD88
2021-10-25,940.0,940.0,940.0,940.0,LBLD88
2021-10-26,943.0,943.0,943.0,943.0,LBLD88
2021-10-31,941.1,950.0,941.1,950.0,LBLD88
2021-11-01,943.0,943.0,943.0,943.0,LBLD88
2021-11-02,945.0,946.1,945.0,946.0,LBLD88
2021-11-15,946.5,946.5,946.5,946.5,LBLD88
2021-11-16,943.7,943.7,943.7,943.7,LBLD88
2021-11-17,945.2,945.2,945.2,945.2,LBLD88
2021-11-18,942.1,942.1,942.1,942.1,LBLD88
2021-11-21,945.0,945.0,945.0,945.0,LBLD88
2021-11-25,944.0,944.0,944.0,944.0,LBLD88
2021-12-23,937.1,937.1,937.1,937.1,LBLD88
2022-01-02,925.0,925.0,923.5,923.5,LBLD88
2022-01-10,930.0,960.7,930.0,960.7,LBLD88
2022-01-11,974.0,985.0,974.0,985.0,LBLD88
2022-01-12,990.0,990.0,990.0,990.0,LBLD88
2022-01-23,980.0,980.0,980.0,980.0,LBLD88
2022-09-27,960.4,960.4,960.4,960.4,LBLD88
2022-11-27,941.2,941.2,941.2,941.2,LBLD88
2022-12-13,941.2,941.2,941.2,941.2,LBLD88
2023-02-06,922.4,922.4,851.0,851.0,LBLD88
2023-02-07,840.0,840.0,840.0,840.0,LBLD88
2023-02-08,823.2,826.0,790.7,826.0,LBLD88
2023-02-09,809.5,809.5,809.5,809.5,LBLD88
2023-02-15,793.4,793.4,793.4,793.4,LBLD88
2023-02-20,777.7,777.7,777.7,777.7,LBLD88
2023-02-23,777.0,777.0,777.0,777.0,LBLD88
2023-02-28,761.5,761.5,761.5,761.5,LBLD88
2023-03-09,746.3,765.0,746.3,765.0,LBLD88
2023-03-12,751.0,751.0,751.0,751.0,LBLD88
2023-03-26,736.1,750.8,736.1,750.8,LBLD88
2023-03-27,765.8,765.8,765.8,765.8,LBLD88
2023-03-28,751.0,751.0,736.0,750.0,LBLD88
2023-04-04,750.0,750.0,750.0,750.0,LBLD88
2023-04-11,735.5,735.5,735.4,735.4,LBLD88
2023-04-16,750.1,750.1,750.1,750.1,LBLD88
2023-04-17,765.1,780.4,765.1,780.4,LBLD88
2023-04-19,765.5,765.5,765.5,765.5,LBLD88
2023-04-20,752.0,757.6,752.0,757.6,LBLD88
2023-04-23,772.7,772.7,772.7,772.7,LBLD88
2023-04-25,758.7,758.7,758.7,758.7,LBLD88
2023-04-26,755.0,755.0,755.0,755.0,LBLD88
2023-04-27,770.0,770.0,770.0,770.0,LBLD88
2023-05-03,757.1,757.1,757.1,757.1,LBLD88
2023-05-09,772.2,772.2,772.2,772.2,LBLD88
2023-05-10,762.1,762.1,761.5,761.5,LBLD88
2023-05-15,776.7,776.7,776.7,776.7,LBLD88
2023-05-23,763.9,763.9,763.9,763.9,LBLD88
2023-05-28,761.4,761.6,761.4,761.6,LBLD88
2023-06-05,756.0,756.0,756.0,756.0,LBLD88
2023-06-11,764.2,764.2,764.1,764.1,LBLD88
2023-06-14,779.3,779.3,779.3,779.3,LBLD88
2023-06-28,780.0,780.0,780.0,780.0,LBLD88
2023-07-02,795.5,795.5,795.0,795.0,LBLD88
2023-07-03,797.0,797.0,795.0,795.0,LBLD88
2023-07-04,808.5,810.9,808.5,810.9,LBLD88
2023-07-05,801.0,801.0,801.0,801.0,LBLD88
2023-07-09,799.0,816.0,799.0,816.0,LBLD88
2023-07-12,820.0,820.0,802.0,802.0,LBLD88
2023-07-16,818.0,818.0,818.0,818.0,LBLD88
2023-07-24,802.0,802.0,802.0,802.0,LBLD88
2023-07-31,790.0,790.0,786.0,786.0,LBLD88
2023-08-06,786.0,786.0,786.0,786.0,LBLD88
2023-08-27,770.3,770.3,770.3,770.3,LBLD88
2023-09-10,770.4,770.4,770.4,770.4,LBLD88
2023-09-18,770.1,770.1,770.1,770.1,LBLD88
2023-09-26,785.5,785.5,785.5,785.5,LBLD88
2023-09-27,772.1,772.1,772.1,772.1,LBLD88
2023-10-01,772.2,772.2,772.2,772.2,LBLD88
2023-10-31,770.0,770.0,770.0,770.0,LBLD88
2023-11-22,767.0,767.0,767.0,767.0,LBLD88
2024-01-07,782.3,797.9,782.3,797.9,LBLD88
2024-01-29,813.8,813.8,813.8,813.8,LBLD88
2024-01-30,830.0,830.0,830.0,830.0,LBLD88
2024-02-20,846.6,846.6,846.6,846.6,LBLD88
2024-02-21,880.7,880.7,880.7,880.7,LBLD88
2024-02-25,898.3,900.0,898.3,900.0,LBLD88
2024-02-27,900.0,900.0,900.0,900.0,LBLD88
2024-02-29,906.0,906.0,906.0,906.0,LBLD88
2024-03-05,887.9,887.9,887.9,887.9,LBLD88
2024-03-07,900.0,900.0,900.0,900.0,LBLD88
2024-03-14,903.0,921.0,903.0,921.0,LBLD88
