date,open,high,low,close,symbol
2023-08-28,176.4,185.9,176.0,181.2,LSL
2023-08-29,183.2,183.2,179.1,179.8,LSL
2023-08-30,179.6,186.6,179.6,185.0,LSL
2023-09-03,188.5,188.5,182.2,185.0,LSL
2023-09-04,184.9,185.1,182.1,184.3,LSL
2023-09-05,183.0,187.3,181.0,187.3,LSL
2023-09-07,184.0,187.0,182.3,184.0,LSL
2023-09-10,182.2,186.9,182.2,185.6,LSL
2023-09-11,186.5,190.0,173.0,188.3,LSL
2023-09-12,188.0,194.8,185.7,194.8,LSL
2023-09-13,191.0,194.4,190.2,193.0,LSL
2023-09-17,196.8,196.8,185.0,188.0,LSL
2023-09-18,184.4,187.0,183.0,185.8,LSL
2023-09-19,186.0,190.0,184.1,187.8,LSL
2023-09-21,189.0,193.0,188.0,190.0,LSL
2023-09-24,193.7,194.8,188.2,193.0,LSL
2023-09-25,195.2,195.2,188.0,189.2,LSL
2023-09-26,190.0,191.7,186.5,188.5,LSL
2023-09-27,191.0,192.0,186.0,189.9,LSL
2023-10-01,190.0,190.0,183.5,185.8,LSL
2023-10-02,185.0,189.0,183.6,187.1,LSL
2023-10-03,184.0,187.0,184.0,186.1,LSL
2023-10-04,185.0,187.9,185.0,186.9,LSL
2023-10-05,186.1,187.4,184.8,185.0,LSL
2023-10-08,184.0,186.0,181.1,181.1,LSL
2023-10-09,180.2,188.3,180.2,182.0,LSL
2023-10-10,180.1,182.0,180.0,180.0,LSL
2023-10-11,181.0,182.8,180.4,182.0,LSL
2023-10-12,181.0,183.5,180.5,181.7,LSL
2023-10-16,180.1,181.0,179.0,179.8,LSL
2023-10-17,180.0,182.0,179.0,181.0,LSL
2023-10-18,182.0,188.0,180.6,184.5,LSL
2023-10-19,186.0,187.0,180.9,183.0,LSL
2023-10-29,182.0,182.0,179.2,182.0,LSL
2023-10-30,179.0,182.9,179.0,181.4,LSL
2023-10-31,179.2,184.0,179.2,180.4,LSL
2023-11-01,181.0,181.9,180.0,181.0,LSL
2023-11-02,181.0,181.0,179.7,179.8,LSL
2023-11-05,178.0,179.0,176.2,176.5,LSL
2023-11-06,176.5,178.0,175.0,176.0,LSL
2023-11-07,175.1,176.5,174.0,174.0,LSL
2023-11-08,173.1,174.0,173.0,173.0,LSL
2023-11-09,172.1,178.5,172.1,175.9,LSL
2023-11-20,177.9,180.1,175.1,175.5,LSL
2023-11-21,178.0,178.0,172.7,175.0,LSL
2023-11-22,172.1,176.4,172.1,175.5,LSL
2023-11-23,173.2,177.5,173.2,175.5,LSL
2023-11-26,172.5,186.0,172.5,185.0,LSL
2023-11-27,183.0,185.0,178.5,182.2,LSL
2023-11-28,178.6,185.0,175.1,183.9,LSL
2023-11-29,184.0,184.0,180.0,181.9,LSL
2023-11-30,181.0,182.5,177.6,177.6,LSL
2023-12-03,175.4,179.0,175.3,179.0,LSL
2023-12-04,178.0,179.0,176.3,177.0,LSL
2023-12-05,175.0,178.0,175.0,178.0,LSL
2023-12-06,176.0,178.5,176.0,176.5,LSL
2023-12-07,176.6,181.0,175.4,177.1,LSL
2023-12-10,177.0,185.0,177.0,185.0,LSL
2023-12-11,185.5,186.0,178.0,184.0,LSL
2023-12-12,183.2,191.6,183.1,191.5,LSL
2023-12-13,193.9,198.0,191.0,194.7,LSL
2023-12-14,195.0,197.0,191.0,193.0,LSL
2023-12-17,189.2,193.0,186.0,191.8,LSL
2023-12-18,195.6,200.0,193.1,199.8,LSL
2023-12-19,203.0,206.0,197.2,204.0,LSL
2023-12-20,205.2,207.2,204.0,205.0,LSL
2023-12-21,208.0,208.0,199.1,200.0,LSL
2023-12-24,199.0,200.1,196.5,196.6,LSL
2023-12-27,195.0,198.8,194.0,194.7,LSL
2023-12-28,195.0,195.9,191.8,193.2,LSL
2024-01-01,192.0,195.1,192.0,192.8,LSL
2024-01-02,190.5,193.0,189.6,190.5,LSL
2024-01-03,190.5,194.5,190.5,194.3,LSL
2024-01-04,178.0,181.0,176.2,177.0,LSL
2024-01-07,176.0,177.0,170.0,170.0,LSL
