date,open,high,low,close,symbol
2023-09-21,10.0,10.0,9.99,10.0,LVF2
2023-09-26,9.81,9.81,9.62,9.62,LVF2
2023-09-27,9.43,9.43,8.65,8.65,LVF2
2023-10-01,8.48,8.48,7.86,7.94,LVF2
2023-10-02,7.9,8.05,7.66,7.86,LVF2
2023-10-03,7.71,7.73,7.56,7.62,LVF2
2023-10-04,7.47,7.74,7.36,7.64,LVF2
2023-10-05,7.49,7.65,7.36,7.55,LVF2
2023-10-08,7.45,7.62,7.42,7.53,LVF2
2023-10-09,7.53,7.79,7.53,7.79,LVF2
2023-10-10,7.64,7.85,7.64,7.85,LVF2
2023-10-11,7.85,7.86,7.7,7.7,LVF2
2023-10-12,7.61,7.75,7.61,7.71,LVF2
2023-10-16,7.56,7.85,7.56,7.7,LVF2
2023-10-17,7.69,7.69,7.61,7.61,LVF2
2023-10-18,7.55,7.76,7.55,7.61,LVF2
2023-10-19,7.46,7.66,7.46,7.65,LVF2
2023-10-29,7.52,7.65,7.41,7.5,LVF2
2023-10-30,7.35,7.54,7.3,7.51,LVF2
2023-10-31,7.4,7.67,7.4,7.67,LVF2
2023-11-01,7.52,7.67,7.52,7.67,LVF2
2023-11-02,7.52,7.52,7.45,7.46,LVF2
2023-11-05,7.33,7.33,7.23,7.33,LVF2
2023-11-06,7.21,7.33,7.12,7.22,LVF2
2023-11-07,7.13,7.33,7.13,7.23,LVF2
2023-11-08,7.15,7.28,7.15,7.27,LVF2
2023-11-09,7.2,7.23,7.09,7.23,LVF2
2023-11-20,7.11,7.3,7.11,7.3,LVF2
2023-11-21,7.17,7.3,7.17,7.3,LVF2
2023-11-22,7.3,7.37,7.19,7.37,LVF2
2023-11-23,7.25,7.51,7.25,7.51,LVF2
2023-11-26,7.36,7.54,7.36,7.4,LVF2
2023-11-27,7.3,7.38,7.3,7.38,LVF2
2023-11-28,7.38,7.38,7.3,7.34,LVF2
2023-11-29,7.34,7.5,7.33,7.39,LVF2
2023-11-30,7.39,7.65,7.32,7.65,LVF2
2023-12-03,7.51,7.6,7.5,7.5,LVF2
2023-12-04,7.6,7.7,7.4,7.7,LVF2
2023-12-05,7.56,7.69,7.56,7.63,LVF2
2023-12-06,7.6,7.62,7.45,7.48,LVF2
2023-12-07,7.35,7.51,7.35,7.48,LVF2
2023-12-11,7.45,7.67,7.45,7.54,LVF2
2023-12-12,7.55,7.72,7.55,7.72,LVF2
2023-12-13,7.63,7.83,7.63,7.83,LVF2
2023-12-14,7.72,7.78,7.72,7.78,LVF2
2023-12-17,7.78,7.99,7.78,7.86,LVF2
