date,open,high,low,close,symbol
2025-11-04,317.7,349.4,317.7,349.4,MABEL
2025-11-05,356.3,384.3,356.3,384.3,MABEL
2025-11-06,391.9,422.7,391.9,422.7,MABEL
2025-11-09,431.1,464.9,431.1,464.9,MABEL
2025-11-10,474.1,511.3,474.1,511.3,MABEL
2025-11-11,515.0,562.4,515.0,562.4,MABEL
2025-11-12,573.6,596.7,511.0,516.2,MABEL
2025-11-13,506.0,567.8,500.0,567.8,MABEL
2025-11-16,560.0,590.5,523.9,543.0,MABEL
2025-11-17,546.0,597.3,536.5,583.0,MABEL
2025-11-18,583.0,641.3,560.1,641.3,MABEL
2025-11-19,654.1,705.4,628.2,705.4,MABEL
2025-11-20,691.3,730.0,665.0,708.7,MABEL
2025-11-23,694.6,703.2,664.0,703.2,MABEL
2025-11-24,689.2,702.9,662.5,672.0,MABEL
2025-11-25,672.0,673.2,644.0,673.2,MABEL
2025-11-26,686.6,686.6,653.0,675.0,MABEL
2025-11-27,661.5,677.0,653.1,670.0,MABEL
2025-11-30,657.0,672.0,655.0,672.0,MABEL
2025-12-01,658.6,688.0,658.6,670.0,MABEL
2025-12-02,656.6,737.0,656.6,737.0,MABEL
2025-12-03,722.3,805.0,722.3,774.0,MABEL
2025-12-07,760.0,766.0,716.4,720.0,MABEL
2025-12-08,705.6,760.0,705.6,725.0,MABEL
2025-12-09,710.5,744.0,710.5,728.0,MABEL
2025-12-10,715.0,746.0,695.0,695.3,MABEL
2025-12-11,687.0,707.0,680.0,689.9,MABEL
2025-12-14,680.0,700.0,671.2,683.0,MABEL
2025-12-15,683.0,714.9,670.8,709.0,MABEL
2025-12-16,710.0,726.0,706.0,707.0,MABEL
2025-12-17,700.0,718.0,690.1,699.0,MABEL
2025-12-18,686.0,712.0,686.0,697.9,MABEL
2025-12-21,711.7,711.7,676.4,688.0,MABEL
2025-12-22,676.0,715.0,671.1,698.7,MABEL
2025-12-23,685.0,701.0,680.0,693.7,MABEL
2025-12-24,682.1,702.0,682.1,690.0,MABEL
2025-12-28,677.0,702.0,677.0,698.9,MABEL
2025-12-29,687.0,700.0,684.1,695.0,MABEL
2025-12-31,686.1,702.0,685.0,687.4,MABEL
2026-01-01,685.0,722.0,685.0,717.0,MABEL
2026-01-04,712.0,750.0,712.0,750.0,MABEL
2026-01-05,755.0,780.0,745.0,764.5,MABEL
2026-01-06,764.1,805.0,725.2,736.0,MABEL
2026-01-07,722.0,745.0,711.0,719.0,MABEL
2026-01-08,708.1,741.0,708.1,735.0,MABEL
2026-01-12,732.0,768.2,731.3,759.8,MABEL
2026-01-13,750.0,774.0,730.0,732.6,MABEL
2026-01-14,727.2,745.0,716.3,725.0,MABEL
2026-01-18,710.5,755.1,710.5,736.0,MABEL
2026-01-20,736.0,761.0,735.0,741.0,MABEL
2026-01-21,741.0,753.8,727.0,736.0,MABEL
2026-01-22,728.1,767.0,728.0,756.0,MABEL
2026-01-25,770.0,831.6,758.0,831.6,MABEL
2026-01-26,848.2,897.0,821.3,880.0,MABEL
2026-01-27,880.0,927.0,850.1,851.1,MABEL
2026-01-28,850.5,890.0,833.0,884.8,MABEL
2026-01-29,900.0,900.0,835.0,838.0,MABEL
2026-02-01,838.0,838.0,807.0,814.0,MABEL
2026-02-02,810.0,865.0,810.0,845.0,MABEL
2026-02-03,859.1,860.0,815.0,819.0,MABEL
2026-02-04,820.1,845.0,785.6,799.0,MABEL
2026-02-05,799.0,814.0,790.0,811.0,MABEL
2026-02-08,800.0,825.9,796.0,806.0,MABEL
2026-02-09,791.0,806.0,765.1,766.3,MABEL
2026-02-10,751.0,819.0,751.0,780.0,MABEL
2026-02-11,795.0,809.9,759.0,759.0,MABEL
2026-02-12,762.0,783.7,750.0,755.0,MABEL
2026-02-16,760.0,777.2,750.3,777.0,MABEL
2026-02-17,777.0,785.0,756.1,767.0,MABEL
2026-02-22,760.0,760.0,722.0,730.0,MABEL
2026-02-23,716.0,740.0,716.0,740.0,MABEL
2026-02-24,731.1,765.0,729.0,755.0,MABEL
2026-02-25,755.0,767.0,742.1,756.1,MABEL
2026-02-26,770.0,770.0,737.1,750.0,MABEL
2026-03-01,735.0,750.0,726.3,740.2,MABEL
2026-03-03,725.4,770.0,725.4,770.0,MABEL
2026-03-09,785.4,832.3,785.4,816.0,MABEL
2026-03-10,820.0,821.0,764.0,798.6,MABEL
2026-03-11,782.7,800.0,770.1,780.0,MABEL
2026-03-12,764.4,787.0,764.4,780.0,MABEL
2026-03-15,780.0,780.0,760.0,768.0,MABEL
2026-03-16,755.1,770.0,752.7,753.4,MABEL
2026-03-17,753.0,755.0,736.0,745.0,MABEL
2026-03-19,745.0,764.0,740.0,753.0,MABEL
2026-03-22,756.0,763.0,747.0,747.1,MABEL
2026-03-23,740.0,755.8,737.0,753.0,MABEL
2026-03-24,750.0,759.9,744.1,749.0,MABEL
2026-03-25,749.0,784.0,735.0,769.0,MABEL
2026-03-26,760.1,783.7,756.2,773.0,MABEL
2026-03-29,757.6,786.0,751.0,753.0,MABEL
2026-03-30,746.0,759.8,735.0,740.0,MABEL
2026-03-31,740.0,749.0,722.0,744.0,MABEL
2026-04-01,745.0,745.0,705.1,712.0,MABEL
2026-04-02,698.1,712.9,693.0,700.0,MABEL
2026-04-05,690.0,708.8,654.0,654.0,MABEL
2026-04-06,642.0,680.0,642.0,680.0,MABEL
2026-04-07,680.2,692.0,666.5,668.8,MABEL
2026-04-08,682.1,722.0,669.0,720.0,MABEL
2026-04-09,734.4,744.0,708.0,739.0,MABEL
2026-04-10,752.0,752.0,708.1,717.0,MABEL
