date,open,high,low,close,symbol
2021-09-01,545.7,560.0,515.0,528.0,MHNL
2021-09-02,538.5,549.0,490.0,514.9,MHNL
2021-09-05,505.0,510.0,463.5,463.5,MHNL
2021-09-06,472.0,509.8,436.1,509.8,MHNL
2021-09-07,501.0,535.0,489.1,507.0,MHNL
2021-09-08,500.0,520.0,490.0,515.8,MHNL
2021-09-09,520.0,560.0,518.0,554.0,MHNL
2021-09-12,565.0,604.0,565.0,595.0,MHNL
2021-09-13,606.0,606.0,553.8,565.0,MHNL
2021-09-14,575.0,587.5,554.0,558.0,MHNL
2021-09-15,552.0,569.0,539.0,539.0,MHNL
2021-09-16,529.0,529.0,494.1,509.0,MHNL
2021-09-20,519.1,519.1,459.0,465.0,MHNL
2021-09-21,458.1,495.0,449.0,467.0,MHNL
2021-09-22,476.3,513.7,476.3,513.5,MHNL
2021-09-23,520.0,530.0,475.1,502.0,MHNL
2021-09-26,493.0,500.0,461.0,465.0,MHNL
2021-09-27,474.3,483.7,432.0,444.0,MHNL
2021-09-28,435.2,438.0,402.2,417.1,MHNL
2021-09-29,425.0,450.0,408.0,433.0,MHNL
2021-09-30,440.0,447.9,412.0,421.0,MHNL
2021-10-03,421.0,421.0,378.9,385.0,MHNL
2021-10-04,392.0,399.8,361.0,361.0,MHNL
2021-10-05,368.0,394.0,368.0,389.0,MHNL
2021-10-06,396.7,410.9,381.5,410.0,MHNL
2021-10-10,402.0,418.2,376.1,383.6,MHNL
2021-10-11,376.0,390.0,355.0,365.6,MHNL
2021-10-17,372.9,376.0,362.0,372.0,MHNL
2021-10-18,365.0,373.0,346.2,350.0,MHNL
2021-10-19,343.0,355.0,320.0,330.0,MHNL
2021-10-20,336.6,350.1,330.4,344.9,MHNL
2021-10-21,341.1,355.0,333.3,345.0,MHNL
2021-10-24,339.0,372.0,332.3,365.0,MHNL
2021-10-25,372.2,401.5,359.0,400.0,MHNL
2021-10-26,408.0,440.0,408.0,440.0,MHNL
2021-10-27,445.0,484.0,414.6,454.0,MHNL
2021-10-28,445.0,468.0,436.1,462.0,MHNL
2021-10-31,470.0,490.0,451.0,486.0,MHNL
2021-11-01,486.0,495.0,462.0,465.0,MHNL
2021-11-02,474.0,511.4,446.6,500.0,MHNL
2021-11-03,510.0,510.0,490.0,497.0,MHNL
2021-11-08,487.1,534.6,484.2,496.0,MHNL
2021-11-09,486.1,488.0,461.0,468.0,MHNL
2021-11-11,458.7,467.0,442.1,445.1,MHNL
2021-11-14,445.1,477.0,437.0,454.9,MHNL
2021-11-15,463.9,475.0,454.0,458.9,MHNL
2021-11-16,468.0,492.0,463.3,487.0,MHNL
2021-11-17,496.7,526.0,496.7,500.0,MHNL
2021-11-18,510.0,510.0,477.0,479.9,MHNL
2021-11-21,485.0,499.8,480.0,490.0,MHNL
2021-11-22,499.0,504.5,485.1,485.2,MHNL
2021-11-23,479.0,485.0,462.0,471.5,MHNL
2021-11-24,463.0,499.8,451.0,480.0,MHNL
2021-11-25,480.0,500.0,480.0,486.0,MHNL
2021-11-28,476.3,480.0,442.0,459.0,MHNL
2021-11-29,460.0,480.0,451.1,458.0,MHNL
2021-11-30,467.0,470.0,450.0,465.1,MHNL
2021-12-01,467.0,489.0,467.0,483.0,MHNL
2021-12-02,475.0,487.0,461.0,466.0,MHNL
2021-12-05,457.1,465.0,440.0,441.0,MHNL
2021-12-06,433.0,466.0,420.0,455.0,MHNL
2021-12-07,464.1,467.9,436.0,436.0,MHNL
2021-12-08,431.0,444.5,411.6,415.0,MHNL
2021-12-09,410.0,438.0,404.0,416.5,MHNL
2021-12-12,415.0,415.0,381.3,394.0,MHNL
2021-12-13,386.2,395.0,364.0,367.0,MHNL
2021-12-14,374.0,403.7,368.0,403.7,MHNL
2021-12-15,411.7,438.6,391.0,410.0,MHNL
2021-12-16,402.1,410.0,385.0,385.0,MHNL
2021-12-20,378.0,387.0,373.5,376.0,MHNL
2021-12-21,383.5,403.0,378.1,399.0,MHNL
2021-12-22,406.0,423.4,406.0,420.0,MHNL
2021-12-23,427.8,432.3,414.0,426.0,MHNL
2021-12-26,427.0,433.0,414.0,422.0,MHNL
2021-12-27,420.0,423.0,397.7,398.0,MHNL
2021-12-28,400.0,410.0,390.1,406.0,MHNL
2021-12-29,397.9,412.0,397.9,401.0,MHNL
2022-01-02,407.0,420.0,401.1,407.0,MHNL
