date,open,high,low,close,symbol
2023-03-22,265.5,292.0,265.5,292.0,MKHC
2023-03-23,297.8,321.2,297.8,321.2,MKHC
2023-03-26,327.6,353.3,327.6,353.3,MKHC
2023-03-27,360.3,367.5,327.3,340.0,MKHC
2023-03-28,340.0,347.0,331.1,342.0,MKHC
2023-03-29,347.0,347.0,330.3,337.0,MKHC
2023-03-30,343.7,343.7,324.0,332.0,MKHC
2023-04-02,336.0,336.0,307.8,312.0,MKHC
2023-04-03,307.0,307.1,293.1,297.0,MKHC
2023-04-04,293.0,300.0,289.2,298.9,MKHC
2023-04-05,293.0,305.1,290.0,298.0,MKHC
2023-04-06,298.0,300.0,292.2,293.9,MKHC
2023-04-09,289.0,290.0,275.6,275.6,MKHC
2023-04-10,271.6,282.6,271.2,279.0,MKHC
2023-04-11,275.0,304.0,274.6,280.5,MKHC
2023-04-12,281.1,308.5,281.1,305.0,MKHC
2023-04-13,311.1,316.0,292.0,292.2,MKHC
2023-04-16,290.0,302.9,287.2,297.9,MKHC
2023-04-17,292.0,296.0,285.6,288.9,MKHC
2023-04-18,294.6,294.6,278.2,291.0,MKHC
2023-04-19,285.3,295.0,285.0,295.0,MKHC
2023-04-20,290.1,295.0,284.4,284.5,MKHC
2023-04-23,284.0,284.0,274.4,275.0,MKHC
2023-04-24,270.0,281.5,270.0,275.3,MKHC
2023-04-25,270.1,280.5,270.0,279.0,MKHC
2023-04-26,275.0,281.0,272.0,272.5,MKHC
2023-04-27,268.1,274.0,268.1,273.5,MKHC
2023-04-30,268.4,273.0,261.2,261.3,MKHC
2023-05-02,261.0,263.0,251.9,255.0,MKHC
2023-05-03,250.3,260.0,250.3,260.0,MKHC
2023-05-04,260.0,268.0,251.2,268.0,MKHC
2023-05-07,263.0,263.0,251.3,256.0,MKHC
2023-05-08,253.0,253.0,237.2,245.0,MKHC
2023-05-09,245.0,255.0,237.2,249.0,MKHC
2023-05-10,244.3,245.0,240.1,243.0,MKHC
2023-05-11,238.3,246.0,234.2,243.7,MKHC
2023-05-14,239.0,243.5,225.0,233.0,MKHC
2023-05-15,228.4,237.5,220.1,230.0,MKHC
2023-05-16,231.0,248.1,226.0,243.1,MKHC
2023-05-17,238.3,245.0,229.1,244.9,MKHC
2023-05-18,240.1,259.4,236.0,257.0,MKHC
2023-05-21,254.1,257.0,246.0,248.0,MKHC
2023-05-22,244.0,266.9,244.0,259.0,MKHC
2023-05-23,254.1,270.0,254.1,266.1,MKHC
2023-05-24,261.0,265.9,256.0,261.2,MKHC
2023-05-28,256.0,266.2,247.1,253.9,MKHC
2023-05-30,248.9,250.5,237.0,244.0,MKHC
2023-05-31,239.2,247.8,231.5,235.0,MKHC
2023-06-01,237.0,239.5,226.4,236.0,MKHC
2023-06-04,240.7,248.7,240.7,248.4,MKHC
2023-06-05,243.5,249.7,240.0,240.0,MKHC
2023-06-06,237.0,252.9,237.0,251.9,MKHC
2023-06-07,247.0,260.0,246.9,252.0,MKHC
2023-06-08,248.0,268.0,248.0,258.0,MKHC
2023-06-11,255.0,267.7,254.0,264.8,MKHC
2023-06-12,270.0,270.0,258.9,264.9,MKHC
2023-06-13,264.9,274.0,258.1,271.0,MKHC
2023-06-14,265.6,274.0,261.0,269.0,MKHC
2023-06-15,272.0,272.0,262.0,264.0,MKHC
2023-06-18,260.2,273.0,260.2,273.0,MKHC
2023-06-19,278.4,278.4,267.1,273.8,MKHC
2023-06-20,274.0,275.4,264.6,264.6,MKHC
2023-06-21,269.0,269.0,253.5,255.0,MKHC
2023-06-22,259.0,259.0,241.0,245.0,MKHC
2023-06-25,240.1,267.9,237.7,258.8,MKHC
2023-06-26,263.9,263.9,248.2,251.0,MKHC
2023-06-27,246.4,261.0,246.4,253.5,MKHC
2023-06-28,250.1,263.4,248.0,251.0,MKHC
2023-07-02,247.0,250.9,236.0,249.9,MKHC
2023-07-03,245.0,245.0,235.0,238.1,MKHC
2023-07-04,237.0,242.8,228.0,231.0,MKHC
2023-07-05,231.0,235.0,222.0,222.1,MKHC
2023-07-06,217.8,238.0,217.0,221.0,MKHC
2023-07-09,225.4,227.4,217.2,227.4,MKHC
2023-07-10,231.9,235.0,219.1,229.0,MKHC
2023-07-11,233.5,233.5,223.0,225.0,MKHC
2023-07-12,221.1,242.0,221.1,240.0,MKHC
2023-07-13,236.0,244.8,233.0,234.6,MKHC
2023-07-16,230.1,239.2,226.0,233.5,MKHC
2023-07-17,237.9,241.0,226.5,240.0,MKHC
2023-07-18,241.0,244.0,229.9,235.3,MKHC
2023-07-19,230.6,238.0,227.0,238.0,MKHC
2023-07-20,242.6,243.0,228.7,235.8,MKHC
