date,open,high,low,close,symbol
2021-11-18,10.0,10.0,9.5,9.66,MMF1
2021-11-21,9.5,9.85,9.34,9.7,MMF1
2021-11-22,9.89,10.28,9.6,9.61,MMF1
2021-11-23,9.61,9.67,9.46,9.67,MMF1
2021-11-24,9.48,9.64,9.45,9.64,MMF1
2021-11-25,9.45,9.71,9.3,9.7,MMF1
2021-11-28,9.51,9.55,9.32,9.55,MMF1
2021-11-29,9.36,9.5,9.11,9.36,MMF1
2021-11-30,9.21,9.48,9.21,9.4,MMF1
2021-12-01,9.4,9.58,9.2,9.3,MMF1
2021-12-02,9.2,9.38,9.2,9.23,MMF1
2021-12-05,9.15,9.25,9.1,9.15,MMF1
2021-12-06,9.1,9.2,8.95,9.1,MMF1
2021-12-07,9.0,9.18,9.0,9.15,MMF1
2021-12-08,9.15,9.3,9.0,9.0,MMF1
2021-12-09,8.91,9.3,8.91,9.03,MMF1
2021-12-12,9.01,9.19,8.9,8.97,MMF1
2021-12-13,8.8,8.9,8.7,8.8,MMF1
2021-12-14,8.65,8.97,8.65,8.95,MMF1
2021-12-15,8.8,9.0,8.8,8.96,MMF1
2021-12-16,9.0,9.07,8.86,8.9,MMF1
2021-12-20,8.73,8.97,8.63,8.72,MMF1
2021-12-21,8.7,9.0,8.58,8.9,MMF1
2021-12-22,8.8,9.25,8.74,9.0,MMF1
2021-12-23,8.88,9.18,8.88,9.0,MMF1
2021-12-26,8.95,9.1,8.91,9.05,MMF1
2021-12-27,8.87,9.3,8.87,9.25,MMF1
2021-12-28,9.07,9.19,8.96,8.96,MMF1
2021-12-29,9.13,9.13,8.95,8.96,MMF1
2022-01-02,8.9,9.18,8.82,8.9,MMF1
2022-01-03,8.78,9.0,8.78,8.95,MMF1
2022-01-04,8.78,9.02,8.65,9.0,MMF1
2022-01-05,8.82,9.1,8.82,9.1,MMF1
2022-01-06,9.0,9.28,9.0,9.1,MMF1
2022-01-09,9.0,9.25,9.0,9.13,MMF1
2022-01-10,9.1,9.86,9.1,9.3,MMF1
2022-01-11,9.4,9.4,9.06,9.25,MMF1
2022-01-12,9.1,9.61,9.1,9.16,MMF1
2022-01-13,8.98,9.43,8.82,9.11,MMF1
2022-01-16,8.95,9.48,8.95,9.4,MMF1
2022-01-17,9.4,9.58,9.31,9.31,MMF1
2022-01-18,9.14,9.49,9.12,9.25,MMF1
2022-01-19,9.07,9.35,9.07,9.17,MMF1
2022-01-20,9.0,9.35,9.0,9.3,MMF1
2022-01-23,9.3,9.42,9.3,9.3,MMF1
2022-01-24,9.4,9.4,9.05,9.14,MMF1
2022-01-25,9.0,9.28,9.0,9.28,MMF1
2022-01-26,9.1,9.2,9.05,9.09,MMF1
2022-01-27,9.06,9.35,9.01,9.35,MMF1
2022-01-30,9.2,9.38,9.02,9.17,MMF1
2022-01-31,9.3,9.35,9.12,9.16,MMF1
2022-02-01,9.0,9.3,9.0,9.2,MMF1
2022-02-03,9.03,9.36,9.03,9.3,MMF1
2022-02-06,9.4,9.4,9.04,9.13,MMF1
2022-02-07,9.3,9.3,9.1,9.12,MMF1
2022-02-08,9.2,9.29,9.12,9.22,MMF1
2022-02-09,9.04,9.2,9.04,9.2,MMF1
2022-02-10,9.04,9.2,9.04,9.1,MMF1
2022-02-13,9.1,9.15,8.85,9.15,MMF1
2022-02-14,8.98,9.2,8.98,9.11,MMF1
2022-02-15,9.11,9.2,8.95,9.01,MMF1
2022-02-16,9.0,9.28,9.0,9.0,MMF1
2022-02-17,9.0,9.34,8.91,9.18,MMF1
2022-02-20,9.0,9.01,8.82,9.0,MMF1
2022-02-21,8.85,9.33,8.85,9.33,MMF1
2022-02-22,9.15,9.19,9.12,9.15,MMF1
2022-02-23,9.06,9.3,9.06,9.18,MMF1
2022-02-24,9.08,9.1,8.8,9.0,MMF1
2022-02-27,9.0,9.1,8.95,8.98,MMF1
2022-02-28,8.88,9.1,8.88,8.91,MMF1
2022-03-02,8.85,8.93,8.74,8.91,MMF1
2022-03-06,8.74,8.91,8.67,8.7,MMF1
