date,open,high,low,close,symbol
2019-07-02,410.0,414.0,406.0,414.0,NADEP
2019-07-03,406.0,420.0,406.0,420.0,NADEP
2019-07-04,420.0,422.0,412.0,416.0,NADEP
2019-07-07,417.0,420.0,412.0,412.0,NADEP
2019-07-08,406.0,410.0,406.0,410.0,NADEP
2019-07-09,405.0,409.0,405.0,408.0,NADEP
2019-07-10,405.0,410.0,402.0,402.0,NADEP
2019-07-11,400.0,425.0,400.0,421.0,NADEP
2019-07-14,413.0,426.0,407.0,409.0,NADEP
2019-07-15,402.0,415.0,400.0,404.0,NADEP
2019-07-16,402.0,412.0,402.0,412.0,NADEP
2019-07-17,413.0,419.0,407.0,416.0,NADEP
2019-07-18,415.0,423.0,415.0,416.0,NADEP
2019-07-21,414.0,421.0,413.0,421.0,NADEP
2019-07-22,419.0,435.0,419.0,428.0,NADEP
2019-07-23,435.0,439.0,420.0,431.0,NADEP
2019-07-24,435.0,454.0,423.0,454.0,NADEP
2019-07-25,445.0,458.0,435.0,435.0,NADEP
2019-07-28,428.0,443.0,427.0,427.0,NADEP
2019-07-29,435.0,442.0,426.0,432.0,NADEP
2019-07-30,440.0,464.0,435.0,448.0,NADEP
2019-07-31,450.0,492.0,450.0,492.0,NADEP
2019-08-01,499.0,534.0,480.0,504.0,NADEP
2019-08-04,513.0,520.0,480.0,485.0,NADEP
2019-08-05,478.0,491.0,474.0,474.0,NADEP
2019-08-06,470.0,470.0,442.0,458.0,NADEP
2019-08-07,449.0,473.0,441.0,469.0,NADEP
2019-08-08,467.0,468.0,462.0,464.0,NADEP
2019-08-11,455.0,466.0,443.0,465.0,NADEP
2019-08-12,474.0,511.0,456.0,511.0,NADEP
2019-08-13,501.0,520.0,491.0,517.0,NADEP
2019-08-14,527.0,527.0,490.0,504.0,NADEP
2019-08-15,495.0,500.0,489.0,489.0,NADEP
2019-08-18,486.0,488.0,477.0,480.0,NADEP
2019-08-19,471.0,526.0,466.0,516.0,NADEP
2019-08-20,506.0,506.0,481.0,495.0,NADEP
2019-08-21,495.0,495.0,464.0,469.0,NADEP
2019-08-22,474.0,482.0,465.0,466.0,NADEP
2019-08-25,469.0,475.0,458.0,475.0,NADEP
2019-08-26,484.0,490.0,465.0,474.0,NADEP
2019-08-27,465.0,484.0,465.0,475.0,NADEP
2019-08-28,467.0,477.0,467.0,472.0,NADEP
2019-08-29,472.0,478.0,465.0,478.0,NADEP
2019-09-01,469.0,470.0,461.0,461.0,NADEP
2019-09-02,456.0,457.0,450.0,455.0,NADEP
2019-09-03,446.0,465.0,445.0,456.0,NADEP
2019-09-04,465.0,474.0,457.0,460.0,NADEP
2019-09-05,469.0,473.0,456.0,458.0,NADEP
2019-09-08,452.0,464.0,452.0,464.0,NADEP
2019-09-09,455.0,464.0,450.0,451.0,NADEP
2019-09-10,451.0,451.0,435.0,435.0,NADEP
2019-09-11,440.0,440.0,427.0,428.0,NADEP
2019-09-12,426.0,437.0,419.0,419.0,NADEP
2019-09-15,412.0,424.0,405.0,423.0,NADEP
2019-09-16,415.0,418.0,408.0,410.0,NADEP
2019-09-17,408.0,421.0,402.0,414.0,NADEP
2019-09-18,421.0,423.0,412.0,422.0,NADEP
2019-09-19,430.0,438.0,417.0,417.0,NADEP
2019-09-22,407.0,412.0,402.0,410.0,NADEP
2019-09-23,402.0,410.0,402.0,406.0,NADEP
2019-09-24,401.0,414.0,401.0,410.0,NADEP
2019-09-25,408.0,409.0,405.0,405.0,NADEP
2019-09-26,410.0,413.0,402.0,410.0,NADEP
2019-09-29,410.0,410.0,399.0,399.0,NADEP
2019-09-30,401.0,406.0,398.0,405.0,NADEP
2019-10-01,399.0,409.0,399.0,409.0,NADEP
2019-10-02,410.0,410.0,402.0,403.0,NADEP
2019-10-03,405.0,407.0,402.0,402.0,NADEP
2019-10-10,402.0,402.0,401.0,401.0,NADEP
2019-10-14,396.0,401.0,396.0,396.0,NADEP
2019-10-15,396.0,402.0,396.0,400.0,NADEP
2019-10-16,394.0,397.0,391.0,391.0,NADEP
2019-10-17,390.0,398.0,390.0,398.0,NADEP
2019-10-21,393.0,398.0,386.0,393.0,NADEP
2019-10-22,386.0,390.0,385.0,387.0,NADEP
2019-10-23,390.0,401.0,390.0,401.0,NADEP
2019-10-24,393.0,400.0,393.0,400.0,NADEP
2019-10-31,400.0,404.0,395.0,395.0,NADEP
2019-11-03,391.0,395.0,389.0,391.0,NADEP
2019-11-04,384.0,392.0,384.0,386.0,NADEP
2019-11-05,389.0,393.0,386.0,391.0,NADEP
2019-11-06,386.0,391.0,386.0,391.0,NADEP
2019-11-07,387.0,390.0,387.0,388.0,NADEP
2019-11-10,385.0,397.0,383.0,390.0,NADEP
2019-11-11,384.0,405.0,384.0,403.0,NADEP
2019-11-12,396.0,396.0,391.0,391.0,NADEP
2019-11-13,386.0,398.0,386.0,390.0,NADEP
2019-11-14,386.0,406.0,385.0,406.0,NADEP
2019-11-17,399.0,399.0,387.0,387.0,NADEP
2019-11-18,387.0,397.0,384.0,395.0,NADEP
2019-11-19,389.0,394.0,389.0,391.0,NADEP
2019-11-20,392.0,404.0,390.0,395.0,NADEP
2019-11-21,397.0,397.0,390.0,390.0,NADEP
2019-11-24,384.0,392.0,384.0,386.0,NADEP
2019-11-25,386.0,386.0,379.0,382.0,NADEP
2019-11-26,382.0,392.0,381.0,383.0,NADEP
2019-11-27,377.0,397.0,377.0,397.0,NADEP
2019-11-28,390.0,395.0,386.0,390.0,NADEP
2019-12-01,384.0,385.0,384.0,384.0,NADEP
2019-12-02,391.0,391.0,382.0,382.0,NADEP
2019-12-03,388.0,389.0,385.0,385.0,NADEP
2019-12-04,390.0,397.0,383.0,396.0,NADEP
2019-12-05,392.0,404.0,390.0,402.0,NADEP
2019-12-08,400.0,408.0,394.0,400.0,NADEP
2019-12-09,402.0,440.0,402.0,440.0,NADEP
2019-12-10,448.0,473.0,440.0,455.0,NADEP
2019-12-11,455.0,500.0,455.0,487.0,NADEP
2019-12-12,488.0,490.0,471.0,478.0,NADEP
2019-12-15,470.0,471.0,455.0,455.0,NADEP
2019-12-16,464.0,472.0,446.0,462.0,NADEP
2019-12-17,456.0,463.0,456.0,460.0,NADEP
2019-12-18,464.0,473.0,454.0,460.0,NADEP
2019-12-19,454.0,463.0,454.0,459.0,NADEP
2019-12-22,451.0,455.0,448.0,448.0,NADEP
2019-12-23,455.0,467.0,447.0,467.0,NADEP
2019-12-24,468.0,468.0,461.0,462.0,NADEP
2019-12-25,465.0,469.0,462.0,462.0,NADEP
2019-12-26,460.0,461.0,457.0,459.0,NADEP
2019-12-29,461.0,470.0,456.0,470.0,NADEP
2019-12-30,470.0,486.0,467.0,479.0,NADEP
2019-12-31,475.0,486.0,475.0,476.0,NADEP
2020-01-01,480.0,518.0,480.0,517.0,NADEP
2020-01-02,510.0,535.0,507.0,519.0,NADEP
2020-01-05,520.0,548.0,512.0,516.0,NADEP
2020-01-06,521.0,532.0,515.0,519.0,NADEP
2020-01-07,529.0,550.0,519.0,536.0,NADEP
2020-01-08,530.0,565.0,526.0,552.0,NADEP
2020-01-09,560.0,599.0,555.0,590.0,NADEP
2020-01-12,601.0,623.0,589.0,616.0,NADEP
2020-01-13,628.0,651.0,604.0,619.0,NADEP
2020-01-14,619.0,624.0,604.0,609.0,NADEP
2020-01-15,615.0,637.0,611.0,637.0,NADEP
2020-01-16,645.0,663.0,618.0,645.0,NADEP
2020-01-19,655.0,666.0,635.0,645.0,NADEP
2020-01-20,649.0,649.0,612.0,621.0,NADEP
2020-01-21,624.0,633.0,599.0,620.0,NADEP
2020-01-22,620.0,627.0,613.0,617.0,NADEP
2020-01-23,628.0,652.0,623.0,635.0,NADEP
2020-01-26,623.0,647.0,610.0,615.0,NADEP
2020-01-27,607.0,656.0,607.0,650.0,NADEP
2020-01-28,663.0,704.0,655.0,693.0,NADEP
2020-01-29,706.0,762.0,685.0,762.0,NADEP
2020-01-30,775.0,775.0,717.0,724.0,NADEP
2020-02-02,738.0,763.0,687.0,718.0,NADEP
2020-02-03,717.0,730.0,705.0,705.0,NADEP
2020-02-04,705.0,725.0,693.0,707.0,NADEP
2020-02-05,710.0,720.0,704.0,711.0,NADEP
2020-02-06,719.0,723.0,699.0,700.0,NADEP
2020-02-09,686.0,703.0,686.0,693.0,NADEP
2020-02-10,700.0,724.0,682.0,703.0,NADEP
2020-02-11,717.0,730.0,705.0,718.0,NADEP
2020-02-12,730.0,736.0,716.0,736.0,NADEP
2020-02-13,749.0,773.0,730.0,758.0,NADEP
2020-02-16,772.0,800.0,763.0,800.0,NADEP
2020-02-17,810.0,821.0,775.0,775.0,NADEP
2020-02-18,790.0,800.0,756.0,769.0,NADEP
2020-02-19,784.0,790.0,760.0,789.0,NADEP
2020-02-20,804.0,835.0,784.0,827.0,NADEP
2020-02-23,842.0,857.0,818.0,824.0,NADEP
2020-02-24,809.0,835.0,807.0,808.0,NADEP
2020-02-25,800.0,839.0,793.0,816.0,NADEP
2020-02-26,800.0,844.0,800.0,815.0,NADEP
2020-02-27,800.0,825.0,784.0,799.0,NADEP
2020-03-01,800.0,805.0,747.0,770.0,NADEP
2020-03-02,756.0,785.0,722.0,730.0,NADEP
2020-03-03,716.0,756.0,665.0,700.0,NADEP
2020-03-04,687.0,700.0,642.0,700.0,NADEP
2020-03-05,686.0,759.0,654.0,698.0,NADEP
2020-03-10,698.0,698.0,633.0,633.0,NADEP
2020-03-11,621.0,672.0,609.0,672.0,NADEP
2020-03-12,659.0,672.0,628.0,640.0,NADEP
2020-03-15,635.0,639.0,595.0,595.0,NADEP
2020-03-16,584.0,612.0,575.0,596.0,NADEP
2020-03-17,590.0,590.0,544.0,555.0,NADEP
2020-03-18,545.0,577.0,534.0,540.0,NADEP
2020-03-19,540.0,577.0,540.0,555.0,NADEP
2020-03-22,560.0,560.0,534.0,534.0,NADEP
2020-05-13,524.0,524.0,518.0,518.0,NADEP
2020-06-29,508.0,508.0,480.0,518.0,NADEP
2020-06-30,515.0,530.0,506.0,530.0,NADEP
2020-07-01,539.0,561.0,539.0,561.0,NADEP
2020-07-02,560.0,560.0,550.0,560.0,NADEP
2020-07-05,558.0,570.0,539.0,540.0,NADEP
2020-07-06,531.0,572.0,522.0,572.0,NADEP
2020-07-07,583.0,620.0,566.0,600.0,NADEP
2020-07-08,590.0,624.0,574.0,590.0,NADEP
2020-07-09,579.0,601.0,579.0,593.0,NADEP
2020-07-12,604.0,616.0,588.0,607.0,NADEP
2020-07-13,610.0,667.0,595.0,661.0,NADEP
2020-07-14,650.0,702.0,636.0,686.0,NADEP
2020-07-15,695.0,704.0,678.0,686.0,NADEP
2020-07-16,675.0,690.0,665.0,675.0,NADEP
2020-07-19,685.0,711.0,685.0,711.0,NADEP
2020-07-20,725.0,725.0,657.0,660.0,NADEP
2020-07-21,647.0,685.0,647.0,660.0,NADEP
2020-07-22,673.0,675.0,644.0,656.0,NADEP
2020-07-23,652.0,675.0,645.0,651.0,NADEP
2020-07-26,650.0,707.0,643.0,666.0,NADEP
2020-07-27,670.0,683.0,657.0,658.0,NADEP
2020-07-28,670.0,683.0,647.0,663.0,NADEP
2020-07-29,670.0,670.0,637.0,639.0,NADEP
2020-07-30,638.0,650.0,618.0,648.0,NADEP
2020-08-02,636.0,648.0,616.0,631.0,NADEP
2020-08-03,619.0,642.0,610.0,632.0,NADEP
2020-08-05,632.0,632.0,608.0,613.0,NADEP
2020-08-06,615.0,615.0,599.0,613.0,NADEP
2020-08-09,601.0,615.0,590.0,610.0,NADEP
2020-08-10,620.0,640.0,610.0,640.0,NADEP
2020-08-11,645.0,645.0,624.0,630.0,NADEP
2020-08-12,630.0,630.0,618.0,619.0,NADEP
2020-08-13,608.0,625.0,604.0,614.0,NADEP
2020-08-16,602.0,602.0,590.0,597.0,NADEP
2020-08-17,586.0,601.0,583.0,590.0,NADEP
2020-08-18,590.0,599.0,582.0,590.0,NADEP
2020-08-19,583.0,589.0,573.0,573.0,NADEP
2020-08-20,573.0,584.0,573.0,575.0,NADEP
2020-08-23,581.0,600.0,574.0,600.0,NADEP
2020-08-24,611.0,619.0,602.0,615.0,NADEP
2020-08-25,622.0,625.0,612.0,617.0,NADEP
2020-08-26,625.0,634.0,616.0,629.0,NADEP
2020-08-27,629.0,630.0,612.0,622.0,NADEP
2020-08-30,610.0,625.0,605.0,625.0,NADEP
2020-08-31,625.0,651.0,620.0,641.0,NADEP
2020-09-02,650.0,661.0,636.0,647.0,NADEP
2020-09-03,647.0,658.0,635.0,650.0,NADEP
2020-09-06,682.0,707.0,645.0,679.0,NADEP
