date,open,high,low,close,symbol
2021-11-22,10.0,10.08,9.69,9.88,NBF3
2021-11-23,9.69,10.07,9.69,10.05,NBF3
2021-11-24,9.85,10.03,9.68,10.0,NBF3
2021-11-25,9.81,10.06,9.76,10.0,NBF3
2021-11-28,9.9,9.99,9.77,9.88,NBF3
2021-11-29,9.69,10.08,9.69,9.8,NBF3
2021-11-30,9.7,9.92,9.62,9.92,NBF3
2021-12-01,9.93,9.93,9.7,9.89,NBF3
2021-12-02,9.7,9.92,9.57,9.66,NBF3
2021-12-05,9.55,9.68,9.4,9.66,NBF3
2021-12-06,9.5,9.78,9.4,9.7,NBF3
2021-12-07,9.75,9.8,9.6,9.63,NBF3
2021-12-08,9.5,9.79,9.45,9.6,NBF3
2021-12-09,9.43,9.79,9.42,9.52,NBF3
2021-12-12,9.34,9.6,9.34,9.51,NBF3
2021-12-13,9.51,9.6,9.4,9.43,NBF3
2021-12-14,9.32,9.49,9.32,9.41,NBF3
2021-12-15,9.44,9.6,9.28,9.35,NBF3
2021-12-16,9.32,9.5,9.28,9.31,NBF3
2021-12-20,9.14,9.49,9.13,9.49,NBF3
2021-12-21,9.31,9.51,9.31,9.51,NBF3
2021-12-22,9.32,9.53,9.32,9.53,NBF3
2021-12-23,9.5,9.72,9.17,9.41,NBF3
2021-12-26,9.25,9.5,9.25,9.45,NBF3
2021-12-27,9.48,9.58,9.42,9.5,NBF3
2021-12-28,9.4,9.6,9.33,9.57,NBF3
2021-12-29,9.5,9.63,9.15,9.47,NBF3
2022-01-02,9.29,9.5,9.14,9.5,NBF3
2022-01-03,9.4,9.54,9.17,9.37,NBF3
2022-01-04,9.19,9.55,9.19,9.44,NBF3
2022-01-05,9.35,9.65,9.26,9.46,NBF3
2022-01-06,9.32,9.75,9.32,9.6,NBF3
2022-01-09,9.42,9.9,9.42,9.67,NBF3
2022-01-10,9.6,9.94,9.5,9.84,NBF3
2022-01-11,9.8,10.03,9.55,9.83,NBF3
2022-01-12,9.65,10.02,9.51,9.57,NBF3
2022-01-13,9.38,9.89,9.3,9.8,NBF3
2022-01-16,9.63,9.83,9.63,9.8,NBF3
2022-01-17,9.98,9.99,9.65,9.7,NBF3
2022-01-18,9.6,9.76,9.55,9.62,NBF3
2022-01-19,9.55,9.8,9.51,9.66,NBF3
2022-01-20,9.51,9.67,9.47,9.65,NBF3
2022-01-23,9.5,9.68,9.49,9.6,NBF3
2022-01-24,9.45,9.75,9.45,9.5,NBF3
2022-01-25,9.5,9.6,9.33,9.5,NBF3
2022-01-26,9.31,9.65,9.31,9.51,NBF3
2022-01-27,9.35,9.88,9.35,9.88,NBF3
2022-01-30,9.88,9.88,9.65,9.82,NBF3
2022-01-31,9.63,9.81,9.44,9.64,NBF3
2022-02-01,9.6,9.89,9.6,9.7,NBF3
2022-02-03,9.7,9.87,9.65,9.7,NBF3
2022-02-06,9.55,9.95,9.54,9.6,NBF3
2022-02-07,9.41,9.64,9.41,9.55,NBF3
2022-02-08,9.54,9.74,9.54,9.61,NBF3
2022-02-09,9.48,9.7,9.48,9.6,NBF3
2022-02-10,9.6,9.69,9.55,9.58,NBF3
2022-02-13,9.42,9.65,9.39,9.65,NBF3
2022-02-14,9.51,9.69,9.35,9.54,NBF3
2022-02-15,9.46,9.79,9.46,9.65,NBF3
2022-02-16,9.48,9.79,9.48,9.79,NBF3
2022-02-17,9.6,9.7,9.52,9.65,NBF3
2022-02-20,9.5,9.5,9.32,9.39,NBF3
2022-02-21,9.39,9.69,9.33,9.51,NBF3
2022-02-22,9.4,9.6,9.35,9.5,NBF3
2022-02-23,9.4,9.45,9.37,9.4,NBF3
2022-02-24,9.37,9.4,9.2,9.4,NBF3
2022-02-27,9.22,9.38,9.2,9.25,NBF3
2022-02-28,9.2,9.48,9.2,9.3,NBF3
2022-03-02,9.13,9.37,8.95,8.99,NBF3
2022-03-06,9.0,9.15,8.9,8.97,NBF3
