date,open,high,low,close,symbol
2021-09-01,700.0,724.0,690.0,690.0,NFS
2021-09-02,700.0,703.8,635.4,664.0,NFS
2021-09-05,650.8,650.8,597.6,597.6,NFS
2021-09-06,592.0,653.0,565.0,650.0,NFS
2021-09-07,663.0,674.2,621.0,629.0,NFS
2021-09-08,620.0,624.0,594.9,600.0,NFS
2021-09-09,601.0,630.3,596.0,621.0,NFS
2021-09-12,633.4,664.0,625.0,658.0,NFS
2021-09-13,670.0,688.0,646.8,659.0,NFS
2021-09-14,660.0,670.0,622.3,649.8,NFS
2021-09-15,662.7,662.7,627.0,627.0,NFS
2021-09-16,615.1,620.0,592.0,599.0,NFS
2021-09-20,610.9,610.9,539.1,540.0,NFS
2021-09-21,530.0,572.0,500.0,540.0,NFS
2021-09-22,550.0,591.0,540.1,583.0,NFS
2021-09-23,593.0,596.1,549.0,560.0,NFS
2021-09-26,550.0,571.2,517.0,529.9,NFS
2021-09-27,535.0,535.0,482.2,489.0,NFS
2021-09-28,491.0,493.9,440.1,445.9,NFS
2021-09-29,450.0,482.0,417.0,480.0,NFS
2021-09-30,489.6,528.0,489.6,528.0,NFS
2021-10-03,538.4,549.0,491.1,500.0,NFS
2021-10-04,492.0,514.5,481.0,490.0,NFS
2021-10-05,499.8,508.0,495.0,502.0,NFS
2021-10-06,512.0,538.0,502.0,526.0,NFS
2021-10-10,526.0,545.0,500.0,519.0,NFS
2021-10-11,529.0,529.0,500.0,508.0,NFS
2021-10-17,518.1,518.1,500.0,515.0,NFS
2021-10-18,510.0,510.0,486.0,486.0,NFS
2021-10-19,477.0,485.9,451.0,465.0,NFS
2021-10-20,474.0,502.0,469.0,501.0,NFS
2021-10-21,511.0,520.0,480.1,499.0,NFS
2021-10-24,508.9,542.0,500.0,530.0,NFS
2021-10-25,539.0,582.0,539.0,569.0,NFS
2021-10-26,580.0,600.0,579.0,590.0,NFS
2021-10-27,595.0,605.0,560.0,594.0,NFS
2021-10-28,605.0,605.0,569.6,588.0,NFS
2021-10-31,588.0,625.0,581.0,615.0,NFS
2021-11-01,624.9,624.9,588.1,590.0,NFS
2021-11-02,580.0,601.0,567.1,599.0,NFS
2021-11-03,610.0,612.0,587.2,591.0,NFS
2021-11-08,592.0,615.0,592.0,600.0,NFS
2021-11-09,612.0,612.0,575.0,584.0,NFS
2021-11-11,575.0,584.0,565.0,565.0,NFS
2021-11-14,564.0,587.0,561.0,570.0,NFS
2021-11-15,581.0,594.9,581.0,587.0,NFS
2021-11-16,590.0,632.4,578.0,620.0,NFS
2021-11-17,632.0,636.0,611.1,611.1,NFS
2021-11-18,599.0,620.0,590.0,593.0,NFS
2021-11-21,581.2,616.0,581.2,599.0,NFS
2021-11-22,600.0,602.0,585.0,594.5,NFS
