date,open,high,low,close,symbol
2021-09-01,1455.1,1500.0,1455.1,1473.0,NICLBSL
2021-09-02,1475.0,1498.0,1450.0,1460.0,NICLBSL
2021-09-05,1445.0,1450.0,1375.0,1405.0,NICLBSL
2021-09-06,1387.3,1458.0,1387.3,1455.0,NICLBSL
2021-09-07,1455.0,1456.1,1417.1,1422.0,NICLBSL
2021-09-08,1440.0,1444.0,1399.0,1407.0,NICLBSL
2021-09-09,1402.0,1434.0,1402.0,1404.0,NICLBSL
2021-09-12,1432.0,1432.0,1405.0,1417.0,NICLBSL
2021-09-13,1421.0,1446.0,1410.0,1415.0,NICLBSL
2021-09-14,1405.0,1420.0,1400.0,1406.0,NICLBSL
2021-09-15,1406.0,1409.0,1390.0,1392.0,NICLBSL
2021-09-16,1390.0,1391.0,1340.0,1341.0,NICLBSL
2021-09-20,1340.0,1364.0,1290.1,1294.0,NICLBSL
2021-09-21,1271.0,1356.0,1250.0,1285.0,NICLBSL
2021-09-22,1310.0,1341.0,1293.0,1335.0,NICLBSL
2021-09-23,1360.0,1380.0,1324.0,1325.0,NICLBSL
2021-09-26,1325.0,1325.0,1290.0,1303.0,NICLBSL
2021-09-27,1305.0,1305.0,1260.0,1262.0,NICLBSL
2021-09-28,1250.0,1287.0,1237.1,1265.0,NICLBSL
2021-09-29,1265.0,1278.0,1250.2,1268.0,NICLBSL
2021-09-30,1292.0,1292.0,1265.0,1275.0,NICLBSL
2021-10-03,1265.0,1295.0,1256.0,1262.0,NICLBSL
2021-10-04,1279.0,1280.0,1240.0,1269.0,NICLBSL
2021-10-05,1243.7,1243.7,1142.1,1142.1,NICLBSL
2021-10-06,1119.3,1190.0,1027.9,1140.0,NICLBSL
2021-10-10,1160.0,1200.0,1140.0,1160.0,NICLBSL
2021-10-11,1138.0,1140.0,1114.5,1133.0,NICLBSL
2021-10-17,1134.0,1148.0,1110.5,1130.0,NICLBSL
2021-10-18,1108.0,1128.0,1090.0,1097.0,NICLBSL
2021-10-19,1076.0,1097.0,1038.0,1097.0,NICLBSL
2021-10-20,1118.0,1130.0,1078.0,1084.0,NICLBSL
2021-10-21,1090.0,1091.2,1062.0,1063.0,NICLBSL
2021-10-24,1051.0,1088.0,1051.0,1081.2,NICLBSL
2021-10-25,1065.1,1116.0,1065.1,1110.0,NICLBSL
2021-10-26,1125.0,1130.9,1100.0,1124.0,NICLBSL
2021-10-27,1146.4,1235.0,1146.4,1205.0,NICLBSL
2021-10-28,1223.0,1241.0,1181.1,1232.1,NICLBSL
2021-10-31,1235.0,1320.0,1213.0,1310.0,NICLBSL
2021-11-01,1330.0,1389.0,1305.0,1313.0,NICLBSL
2021-11-02,1310.0,1340.2,1273.0,1301.0,NICLBSL
2021-11-03,1300.0,1369.9,1300.0,1311.0,NICLBSL
2021-11-08,1311.0,1337.0,1285.0,1286.0,NICLBSL
2021-11-09,1301.0,1301.0,1220.0,1231.0,NICLBSL
2021-11-11,1207.0,1233.0,1185.0,1185.0,NICLBSL
2021-11-14,1185.0,1199.0,1162.0,1181.0,NICLBSL
2021-11-15,1204.0,1210.0,1186.0,1199.0,NICLBSL
2021-11-16,1177.0,1306.4,1177.0,1276.0,NICLBSL
2021-11-17,1280.0,1327.5,1280.0,1291.0,NICLBSL
2021-11-18,1290.0,1316.0,1268.0,1272.0,NICLBSL
2021-11-21,1252.1,1276.0,1252.0,1270.2,NICLBSL
2021-11-22,1293.3,1300.0,1270.0,1276.0,NICLBSL
2021-11-23,1276.0,1299.9,1250.0,1260.0,NICLBSL
2021-11-24,1235.0,1245.0,1220.0,1233.1,NICLBSL
2021-11-25,1250.0,1250.0,1220.1,1220.2,NICLBSL
2021-11-28,1196.0,1244.0,1175.0,1189.0,NICLBSL
2021-11-29,1175.0,1231.1,1175.0,1191.0,NICLBSL
2021-11-30,1212.1,1212.5,1172.0,1180.0,NICLBSL
2021-12-01,1182.0,1191.0,1172.4,1173.1,NICLBSL
2021-12-02,1173.0,1188.8,1137.0,1137.0,NICLBSL
2021-12-05,1114.6,1114.6,1081.1,1091.0,NICLBSL
2021-12-06,1071.0,1150.0,1060.0,1100.0,NICLBSL
2021-12-07,1103.1,1140.0,1100.0,1100.0,NICLBSL
2021-12-08,1110.0,1110.0,1068.0,1070.0,NICLBSL
2021-12-09,1050.0,1061.0,1026.0,1026.0,NICLBSL
2021-12-12,1025.0,1030.0,994.1,994.1,NICLBSL
2021-12-13,981.0,1012.0,946.0,952.0,NICLBSL
2021-12-14,971.0,1040.0,952.0,1014.0,NICLBSL
2021-12-15,1034.0,1052.0,985.0,997.1,NICLBSL
2021-12-16,990.0,999.0,981.0,992.0,NICLBSL
2021-12-20,977.0,1030.0,974.0,993.0,NICLBSL
2021-12-21,979.1,1029.0,979.1,1015.0,NICLBSL
2021-12-22,1033.3,1057.0,1025.0,1052.0,NICLBSL
2021-12-23,1065.0,1065.0,1033.0,1045.0,NICLBSL
2021-12-26,1065.9,1108.9,1050.0,1088.0,NICLBSL
2021-12-27,1109.0,1130.0,1057.0,1064.0,NICLBSL
2021-12-28,1043.0,1055.0,1022.1,1040.0,NICLBSL
2021-12-29,1060.0,1060.0,1040.0,1049.0,NICLBSL
2022-01-02,1045.0,1142.0,1045.0,1110.0,NICLBSL
2022-01-03,1132.0,1207.0,1110.0,1203.0,NICLBSL
2022-01-04,1227.0,1259.0,1195.0,1227.0,NICLBSL
2022-01-05,1249.0,1260.0,1188.2,1190.0,NICLBSL
2022-01-06,1200.0,1211.0,1170.2,1209.0,NICLBSL
2022-01-09,1230.0,1230.0,1200.0,1210.0,NICLBSL
2022-01-10,1190.1,1234.0,1190.0,1200.0,NICLBSL
2022-01-11,1205.0,1275.0,1191.0,1240.0,NICLBSL
2022-01-12,1260.0,1290.0,1223.0,1235.0,NICLBSL
2022-01-13,1243.0,1331.0,1235.0,1290.0,NICLBSL
2022-01-16,1315.0,1330.0,1280.0,1300.0,NICLBSL
2022-01-17,1305.0,1305.0,1279.0,1290.0,NICLBSL
2022-01-18,1300.0,1315.0,1265.0,1265.2,NICLBSL
2022-01-19,1290.0,1290.0,1235.0,1244.0,NICLBSL
2022-01-20,1268.0,1268.0,1221.0,1240.0,NICLBSL
2022-01-23,1264.8,1300.0,1250.0,1290.0,NICLBSL
2022-01-24,1290.0,1290.0,1230.0,1245.0,NICLBSL
2022-01-25,1245.0,1265.0,1230.0,1238.0,NICLBSL
2022-01-26,1235.0,1235.0,1191.0,1210.0,NICLBSL
2022-01-27,1200.0,1220.0,1195.0,1197.0,NICLBSL
2022-01-30,1220.9,1254.5,1220.9,1249.2,NICLBSL
2022-01-31,1250.0,1250.0,1222.0,1231.0,NICLBSL
2022-02-01,1232.0,1250.0,1216.0,1240.0,NICLBSL
2022-02-03,1245.0,1250.0,1221.0,1228.0,NICLBSL
2022-02-06,1211.0,1225.0,1200.0,1210.0,NICLBSL
2022-02-07,1191.0,1222.0,1191.0,1206.9,NICLBSL
2022-02-08,1231.0,1255.0,1190.0,1193.1,NICLBSL
2022-02-09,1196.0,1200.0,1169.4,1175.0,NICLBSL
2022-02-10,1170.0,1194.0,1170.0,1179.9,NICLBSL
2022-02-13,1180.0,1180.0,1136.0,1140.0,NICLBSL
2022-02-14,1155.0,1163.0,1140.0,1142.0,NICLBSL
2022-02-15,1126.0,1161.0,1126.0,1155.0,NICLBSL
2022-02-16,1178.0,1178.0,1139.0,1149.0,NICLBSL
2022-02-17,1145.0,1163.0,1140.1,1144.0,NICLBSL
2022-02-20,1135.0,1135.0,1105.0,1124.5,NICLBSL
2022-02-21,1103.0,1130.0,1103.0,1126.0,NICLBSL
2022-02-22,1148.5,1148.5,1122.0,1123.0,NICLBSL
2022-02-23,1115.0,1125.0,1110.0,1120.0,NICLBSL
2022-02-24,1101.0,1110.0,1098.0,1099.5,NICLBSL
2022-02-27,1100.0,1105.0,1085.1,1089.0,NICLBSL
2022-02-28,1090.0,1111.0,1068.0,1075.0,NICLBSL
2022-03-02,1054.1,1070.0,1051.0,1056.0,NICLBSL
2022-03-06,1040.0,1070.0,1040.0,1045.0,NICLBSL
2022-03-07,1031.0,1052.0,1030.0,1030.0,NICLBSL
2022-03-09,1021.0,1040.0,1021.0,1025.0,NICLBSL
2022-03-10,1020.0,1049.0,1020.0,1049.0,NICLBSL
2022-03-13,1069.9,1090.0,1053.0,1089.9,NICLBSL
2022-03-14,1095.0,1100.0,1085.0,1096.0,NICLBSL
2022-03-15,1081.0,1105.0,1080.0,1080.0,NICLBSL
2022-03-16,1060.0,1090.0,1060.0,1071.0,NICLBSL
2022-03-20,1071.0,1071.1,1061.1,1067.0,NICLBSL
2022-03-21,1055.0,1083.0,1055.0,1080.0,NICLBSL
