date,open,high,low,close,symbol
2021-09-01,1040.0,1079.0,1040.0,1047.0,NLG
2021-09-02,1050.0,1052.0,1022.0,1024.0,NLG
2021-09-05,1005.0,1006.0,952.6,994.9,NLG
2021-09-06,1000.0,1035.0,990.0,1025.0,NLG
2021-09-07,1009.0,1012.0,985.1,1001.0,NLG
2021-09-08,990.0,992.0,969.0,970.0,NLG
2021-09-09,980.0,995.0,950.0,963.0,NLG
2021-09-12,944.0,990.0,944.0,970.0,NLG
2021-09-13,975.0,1004.0,951.0,991.0,NLG
2021-09-14,985.0,990.1,974.0,977.0,NLG
2021-09-15,977.0,985.0,955.0,956.0,NLG
2021-09-16,940.0,940.0,910.0,916.0,NLG
2021-09-20,900.0,918.0,833.0,839.0,NLG
2021-09-21,839.0,910.0,823.2,861.0,NLG
2021-09-22,878.0,894.9,875.0,889.9,NLG
2021-09-23,907.0,925.0,882.0,887.0,NLG
2021-09-26,875.1,886.0,845.0,849.0,NLG
2021-09-27,835.2,856.5,821.0,821.0,NLG
2021-09-28,820.0,820.0,783.0,788.0,NLG
2021-09-29,788.0,844.0,775.5,825.0,NLG
2021-09-30,840.0,859.0,825.0,834.0,NLG
2021-10-03,834.0,835.0,818.0,819.0,NLG
2021-10-04,820.0,836.0,810.0,828.0,NLG
2021-10-05,844.5,861.0,832.0,840.0,NLG
2021-10-06,854.0,883.0,850.0,881.0,NLG
2021-10-10,898.0,912.0,883.0,885.1,NLG
2021-10-11,880.0,894.4,875.0,881.0,NLG
2021-10-17,898.4,907.0,875.0,895.0,NLG
2021-10-18,881.0,887.0,857.0,858.0,NLG
2021-10-19,841.0,860.0,824.2,835.0,NLG
2021-10-20,845.0,867.0,845.0,855.0,NLG
2021-10-21,841.0,860.0,840.0,847.0,NLG
2021-10-24,835.1,860.0,835.0,840.0,NLG
2021-10-25,845.0,872.2,845.0,870.0,NLG
2021-10-26,860.0,918.0,860.0,903.0,NLG
2021-10-27,899.9,949.0,897.0,920.0,NLG
2021-10-28,920.0,956.0,915.7,920.0,NLG
2021-10-31,938.0,975.0,900.0,954.0,NLG
2021-11-01,935.0,977.0,935.0,951.1,NLG
2021-11-02,933.0,970.1,921.0,969.0,NLG
2021-11-03,970.0,974.0,960.0,974.0,NLG
2021-11-08,955.0,973.9,955.0,972.0,NLG
2021-11-09,960.0,968.0,914.2,952.0,NLG
2021-11-11,935.0,945.0,912.1,944.0,NLG
2021-11-14,925.2,934.0,910.0,917.0,NLG
2021-11-15,935.0,945.0,921.0,945.0,NLG
2021-11-16,928.0,945.0,907.9,936.0,NLG
2021-11-17,925.0,954.0,925.0,936.0,NLG
2021-11-18,920.0,930.0,916.0,917.0,NLG
2021-11-21,911.0,915.0,899.0,915.0,NLG
2021-11-22,897.0,965.4,897.0,919.0,NLG
2021-11-23,910.0,920.0,889.0,901.0,NLG
2021-11-24,884.1,900.0,867.0,897.9,NLG
2021-11-25,890.0,894.0,870.0,890.0,NLG
2021-11-28,873.0,890.0,843.8,858.0,NLG
2021-11-29,858.0,859.6,841.0,850.0,NLG
2021-11-30,860.0,860.0,820.0,848.0,NLG
2021-12-01,835.0,849.0,832.0,840.0,NLG
2021-12-02,840.0,840.0,812.0,829.8,NLG
2021-12-05,815.0,819.0,795.0,809.9,NLG
2021-12-06,802.0,825.0,780.0,825.0,NLG
2021-12-07,825.0,840.0,802.6,835.3,NLG
2021-12-08,819.0,819.0,792.0,798.0,NLG
2021-12-09,785.5,797.0,757.0,780.1,NLG
2021-12-12,765.0,777.0,742.0,750.0,NLG
2021-12-13,740.0,749.0,710.0,720.0,NLG
2021-12-14,734.0,788.5,734.0,778.0,NLG
2021-12-15,793.0,808.0,760.0,775.0,NLG
2021-12-16,761.0,761.0,739.0,749.9,NLG
2021-12-20,735.0,735.0,712.0,720.0,NLG
2021-12-21,734.4,748.0,720.5,748.0,NLG
2021-12-22,762.0,790.0,760.1,765.0,NLG
2021-12-23,765.0,813.5,754.0,809.5,NLG
2021-12-26,825.0,890.4,816.5,890.4,NLG
2021-12-27,908.0,908.0,831.0,845.0,NLG
2021-12-28,845.0,850.0,812.0,840.0,NLG
2021-12-29,833.0,860.0,830.0,853.0,NLG
2022-01-02,845.0,883.0,845.0,883.0,NLG
2022-01-03,870.0,899.0,865.1,871.7,NLG
2022-01-04,861.0,889.0,860.0,881.0,NLG
2022-01-05,865.0,880.0,856.0,862.0,NLG
2022-01-06,848.1,865.0,848.0,865.0,NLG
2022-01-09,880.0,925.0,880.0,899.0,NLG
2022-01-10,910.0,951.0,895.0,932.0,NLG
2022-01-11,920.0,1007.6,920.0,968.0,NLG
2022-01-12,984.0,1000.0,932.0,945.0,NLG
2022-01-13,960.0,993.0,945.1,993.0,NLG
2022-01-16,1010.0,1012.0,990.0,998.0,NLG
2022-01-17,1006.0,1007.0,982.0,993.0,NLG
2022-01-18,1005.0,1005.0,963.1,983.9,NLG
2022-01-19,971.0,999.0,956.0,969.0,NLG
2022-01-20,980.0,988.0,964.0,983.0,NLG
2022-01-23,1002.5,1008.0,984.0,995.0,NLG
2022-01-24,977.0,990.0,948.0,955.0,NLG
2022-01-25,974.0,974.0,936.0,961.0,NLG
2022-01-26,980.0,980.0,923.0,955.0,NLG
2022-01-27,969.0,969.0,945.1,949.0,NLG
2022-01-30,967.0,990.0,960.0,964.0,NLG
2022-01-31,983.0,983.0,945.0,951.0,NLG
2022-02-01,960.0,960.0,944.0,955.0,NLG
2022-02-03,974.0,974.0,942.3,947.0,NLG
2022-02-06,930.0,959.0,929.0,933.0,NLG
2022-02-07,951.6,959.0,933.0,945.0,NLG
2022-02-08,963.0,963.0,930.0,945.0,NLG
2022-02-09,927.0,945.0,920.1,926.0,NLG
2022-02-10,940.0,940.0,908.3,920.0,NLG
2022-02-13,901.6,907.0,863.0,880.0,NLG
2022-02-14,880.0,880.0,860.1,862.5,NLG
2022-02-15,870.0,884.5,863.0,875.0,NLG
2022-02-16,884.0,899.9,875.0,876.0,NLG
2022-02-17,890.0,890.0,872.2,878.0,NLG
2022-02-20,860.5,860.5,840.0,850.0,NLG
2022-02-21,851.0,864.0,841.0,849.0,NLG
2022-02-22,850.0,865.9,850.0,855.0,NLG
2022-02-23,871.0,871.0,858.0,869.0,NLG
2022-02-24,869.0,869.0,843.0,860.0,NLG
2022-02-27,865.0,865.0,831.1,857.9,NLG
2022-02-28,869.0,869.0,836.0,844.0,NLG
2022-03-02,833.0,835.0,816.0,820.0,NLG
2022-03-06,836.0,836.0,816.0,836.0,NLG
2022-03-07,850.0,850.0,820.0,829.0,NLG
2022-03-09,838.0,838.0,811.0,820.0,NLG
2022-03-10,810.0,828.0,810.0,827.0,NLG
2022-03-13,843.5,865.0,836.0,865.0,NLG
2022-03-14,879.9,880.0,862.4,870.0,NLG
2022-03-15,884.0,884.0,853.0,870.0,NLG
2022-03-16,870.0,886.7,870.0,879.0,NLG
2022-03-20,805.0,815.0,773.3,814.0,NLG
2022-03-21,814.0,825.0,800.0,825.0,NLG
2022-03-22,837.0,838.0,823.0,833.0,NLG
2022-03-23,847.0,847.0,816.5,825.0,NLG
2022-03-24,811.0,861.9,811.0,861.9,NLG
2022-03-27,879.0,928.0,852.0,852.0,NLG
2022-03-28,843.0,868.0,835.0,836.2,NLG
2022-03-29,836.0,840.0,816.0,840.0,NLG
2022-03-30,825.3,856.8,824.0,850.0,NLG
2022-03-31,860.0,860.0,828.3,842.0,NLG
2022-04-03,830.0,830.0,812.0,825.0,NLG
2022-04-04,841.0,841.0,785.0,800.0,NLG
2022-04-05,795.0,815.0,768.4,807.9,NLG
2022-04-06,792.0,799.9,776.0,787.9,NLG
2022-04-07,790.0,798.0,775.0,796.8,NLG
2022-04-11,781.0,809.0,780.9,781.0,NLG
2022-04-12,796.6,796.6,755.1,755.2,NLG
2022-04-13,752.0,770.0,730.0,768.0,NLG
2022-04-17,768.0,768.0,735.1,750.0,NLG
2022-04-18,736.0,749.0,734.0,740.0,NLG
2022-04-19,730.0,750.0,727.0,740.0,NLG
2022-04-20,745.0,745.0,720.3,723.0,NLG
2022-04-21,722.0,735.0,698.0,733.8,NLG
2022-04-24,730.0,793.5,723.0,768.0,NLG
2022-04-25,770.0,778.0,750.0,757.8,NLG
2022-04-26,745.0,755.0,740.0,754.8,NLG
2022-04-27,765.0,765.0,735.0,764.0,NLG
2022-04-28,767.9,767.9,732.1,750.0,NLG
2022-05-02,735.2,765.0,712.0,758.0,NLG
2022-05-04,743.0,743.0,725.1,727.0,NLG
2022-05-05,713.0,726.0,700.2,726.0,NLG
2022-05-08,711.5,725.0,697.3,719.8,NLG
2022-05-09,732.0,732.0,706.0,731.0,NLG
2022-05-10,734.9,736.0,721.0,735.0,NLG
2022-05-11,744.9,748.0,706.2,747.9,NLG
2022-05-12,760.3,760.3,721.0,721.0,NLG
2022-05-17,706.6,706.8,676.0,676.0,NLG
2022-05-18,665.0,667.0,650.0,661.0,NLG
2022-05-19,648.0,660.0,642.0,643.0,NLG
2022-05-20,654.0,654.0,618.0,647.0,NLG
2022-05-23,635.0,635.0,601.0,617.0,NLG
2022-05-24,617.0,620.0,604.7,612.0,NLG
2022-05-25,619.9,640.0,608.0,624.0,NLG
2022-05-26,624.0,635.0,612.0,630.0,NLG
2022-05-27,641.9,641.9,608.0,631.9,NLG
2022-05-30,620.0,620.0,600.0,600.0,NLG
2022-05-31,591.0,599.0,561.0,561.0,NLG
2022-06-01,561.0,571.0,550.0,559.0,NLG
2022-06-02,567.9,567.9,534.1,548.9,NLG
2022-06-03,539.0,539.0,523.1,538.0,NLG
2022-06-06,538.0,546.9,518.0,524.9,NLG
2022-06-07,529.0,529.0,508.0,516.7,NLG
2022-06-08,525.0,542.0,510.0,532.0,NLG
2022-06-09,541.0,548.0,530.2,531.0,NLG
2022-06-10,522.1,530.0,520.0,525.0,NLG
2022-06-13,516.0,524.8,515.0,518.0,NLG
2022-06-14,525.0,525.0,498.0,506.0,NLG
2022-06-15,497.0,509.0,490.1,506.0,NLG
2022-06-16,512.0,516.1,506.0,514.0,NLG
2022-06-17,510.0,519.0,508.0,513.9,NLG
2022-06-19,508.0,508.0,491.0,496.0,NLG
2022-06-20,486.5,486.5,446.4,469.0,NLG
2022-06-21,478.0,487.5,465.0,480.0,NLG
2022-06-22,480.0,480.0,460.0,464.0,NLG
2022-06-23,464.0,464.0,440.0,444.0,NLG
2022-06-24,448.0,452.0,423.0,450.0,NLG
2022-06-26,456.0,473.1,447.0,470.0,NLG
2022-06-27,470.0,474.9,460.6,461.1,NLG
2022-06-28,451.9,467.8,450.0,457.0,NLG
2022-06-29,466.0,474.3,450.0,474.0,NLG
2022-06-30,475.0,515.0,471.1,514.0,NLG
2022-07-01,514.0,517.0,494.0,500.0,NLG
2022-07-03,510.0,530.0,500.0,503.1,NLG
2022-07-04,513.1,527.0,503.1,510.0,NLG
2022-07-05,501.1,510.0,492.0,492.0,NLG
2022-07-06,501.0,501.0,478.0,500.0,NLG
2022-07-07,509.0,510.0,490.0,499.9,NLG
2022-07-08,490.0,490.0,481.0,484.1,NLG
2022-07-11,482.0,482.0,443.6,468.9,NLG
2022-07-12,461.0,478.0,455.0,468.0,NLG
2022-07-13,469.0,477.0,466.5,477.0,NLG
2022-07-14,485.9,486.5,462.0,485.0,NLG
2022-07-15,490.0,492.6,469.0,478.0,NLG
2022-07-17,469.0,485.0,460.1,483.9,NLG
2022-07-18,476.0,490.0,476.0,481.6,NLG
2022-07-19,491.0,499.8,482.2,497.0,NLG
2022-07-20,495.0,500.0,490.0,496.0,NLG
2022-07-21,490.0,500.0,490.0,500.0,NLG
2022-07-22,500.0,504.9,481.0,498.0,NLG
2022-07-24,504.0,509.0,490.0,509.0,NLG
2022-07-25,516.0,525.0,510.0,519.0,NLG
2022-07-26,510.0,529.0,503.0,503.0,NLG
2022-07-27,504.0,513.0,503.0,509.0,NLG
2022-07-28,512.0,531.0,512.0,525.9,NLG
2022-07-29,530.0,530.0,517.0,522.0,NLG
2022-07-31,531.9,574.2,529.0,574.2,NLG
2022-08-01,585.5,600.0,560.0,565.1,NLG
2022-08-02,565.0,573.0,553.8,564.0,NLG
2022-08-03,572.0,572.0,549.8,549.8,NLG
2022-08-04,545.0,560.0,541.0,541.0,NLG
2022-08-05,532.0,539.9,525.2,525.2,NLG
2022-08-07,535.0,540.0,525.0,527.3,NLG
2022-08-08,537.0,537.0,518.3,518.3,NLG
2022-08-09,508.4,518.5,505.0,505.0,NLG
2022-08-10,496.1,514.0,496.1,507.2,NLG
2022-08-11,514.0,516.0,503.1,503.1,NLG
2022-08-14,504.0,508.0,499.0,501.0,NLG
2022-08-15,510.0,525.0,500.0,525.0,NLG
2022-08-16,530.0,530.0,509.6,517.0,NLG
2022-08-17,507.1,516.0,507.0,510.0,NLG
2022-08-18,510.0,522.0,502.0,520.0,NLG
2022-08-21,515.0,528.0,512.2,525.0,NLG
2022-08-22,515.1,522.9,510.0,522.9,NLG
2022-08-23,524.0,525.0,512.6,520.0,NLG
2022-08-24,511.0,518.0,507.0,508.0,NLG
2022-08-25,502.1,513.0,498.0,499.1,NLG
2022-08-26,491.0,507.0,490.3,497.0,NLG
2022-08-28,490.0,493.0,472.0,475.0,NLG
2022-08-29,474.0,483.9,471.2,471.2,NLG
2022-08-30,480.0,480.0,473.0,473.0,NLG
2022-08-31,466.0,470.0,451.0,455.7,NLG
2022-09-01,460.0,495.0,445.0,462.0,NLG
2022-09-02,452.8,477.3,451.1,466.4,NLG
2022-09-04,465.0,487.0,456.0,482.0,NLG
2022-09-05,486.0,490.0,471.1,482.0,NLG
2022-09-06,474.0,477.0,452.0,467.0,NLG
2022-09-07,458.1,462.0,450.0,458.0,NLG
2022-09-08,457.5,466.0,454.1,464.0,NLG
2022-09-11,457.2,463.0,448.0,456.0,NLG
2022-09-12,462.0,462.0,449.2,451.0,NLG
2022-09-13,460.0,460.0,451.1,455.0,NLG
2022-09-14,464.0,473.0,464.0,468.0,NLG
2022-09-15,473.0,475.0,453.1,469.9,NLG
2022-09-16,460.6,460.6,451.0,460.0,NLG
2022-09-18,455.0,460.0,448.1,451.0,NLG
2022-09-20,450.0,455.0,442.0,446.0,NLG
2022-09-21,438.0,455.0,438.0,454.0,NLG
2022-09-22,445.2,454.0,445.2,452.0,NLG
2022-09-25,450.0,451.9,443.0,451.0,NLG
2022-09-27,443.0,460.0,443.0,458.0,NLG
2022-09-28,466.0,466.0,448.9,451.0,NLG
2022-09-29,454.0,454.0,450.0,450.0,NLG
2022-10-09,459.0,465.0,450.0,465.0,NLG
2022-10-10,460.0,460.0,456.0,456.0,NLG
2022-10-11,451.0,452.0,450.0,450.1,NLG
2022-10-12,458.0,460.0,449.0,459.0,NLG
2022-10-13,459.0,459.0,450.0,451.0,NLG
2022-10-16,444.2,450.0,442.0,450.0,NLG
2022-10-17,459.0,460.0,441.2,450.0,NLG
2022-10-19,441.0,445.0,441.0,442.0,NLG
2022-10-20,442.0,450.0,440.0,442.0,NLG
2022-10-23,447.0,450.0,441.1,444.0,NLG
2022-10-31,445.0,450.0,440.0,449.9,NLG
2022-11-01,458.0,467.8,449.0,467.8,NLG
2022-11-02,477.0,477.0,461.0,467.0,NLG
2022-11-03,475.0,475.0,454.1,466.0,NLG
2022-11-06,467.0,476.0,466.0,476.0,NLG
2022-11-07,477.1,485.0,467.5,475.0,NLG
2022-11-08,470.1,479.0,470.0,479.0,NLG
2022-11-09,469.5,469.5,455.7,455.7,NLG
2022-11-10,459.0,467.9,448.0,450.0,NLG
2022-11-13,443.2,452.0,443.0,450.0,NLG
2022-11-14,442.0,453.0,441.0,453.0,NLG
2022-11-15,462.0,465.0,447.0,453.0,NLG
2022-11-16,450.0,469.0,450.0,469.0,NLG
2022-11-17,470.0,474.0,470.0,472.0,NLG
2022-11-22,466.0,467.5,454.0,463.0,NLG
2022-11-23,455.0,467.0,447.0,467.0,NLG
2022-11-24,476.0,476.0,452.3,459.0,NLG
2022-11-27,460.0,474.0,456.0,473.0,NLG
2022-11-28,466.0,478.9,459.0,473.0,NLG
2022-11-29,463.6,469.9,463.6,469.9,NLG
2022-11-30,461.1,473.0,461.1,465.0,NLG
2022-12-01,456.0,470.0,456.0,464.0,NLG
2022-12-04,473.2,489.0,470.0,487.9,NLG
2022-12-05,489.0,489.0,478.0,483.6,NLG
2022-12-06,481.0,485.9,480.0,485.9,NLG
2022-12-07,486.0,486.6,477.0,479.0,NLG
2022-12-11,475.0,475.0,463.0,469.0,NLG
2022-12-12,460.0,474.9,455.0,474.0,NLG
2022-12-13,466.4,475.7,466.4,475.7,NLG
2022-12-14,483.5,483.5,470.1,475.9,NLG
2022-12-15,475.0,475.0,470.0,470.0,NLG
2022-12-18,469.0,470.0,464.1,468.0,NLG
2022-12-19,469.0,472.0,463.0,472.0,NLG
2022-12-20,475.0,475.0,468.2,473.9,NLG
2022-12-21,468.0,470.0,463.3,463.3,NLG
2022-12-22,465.0,469.5,464.0,468.0,NLG
2022-12-26,476.3,494.0,466.8,491.0,NLG
2022-12-27,500.0,519.0,495.1,509.4,NLG
2022-12-28,500.0,519.0,495.0,507.0,NLG
2022-12-29,515.7,546.0,503.1,545.0,NLG
2023-01-01,550.9,575.0,545.0,562.0,NLG
2023-01-02,560.0,607.0,555.0,600.0,NLG
2023-01-03,599.0,620.0,590.0,601.0,NLG
2023-01-04,591.0,632.0,589.0,625.0,NLG
2023-01-05,637.0,637.0,601.0,623.8,NLG
2023-01-08,625.0,686.1,613.0,675.2,NLG
2023-01-09,688.7,729.0,680.0,728.0,NLG
2023-01-10,740.0,744.0,687.0,694.0,NLG
2023-01-12,702.0,715.0,680.0,682.0,NLG
2023-01-17,695.0,714.0,672.0,710.0,NLG
2023-01-18,710.0,722.0,682.0,695.0,NLG
2023-01-19,694.0,703.8,684.2,684.2,NLG
2023-01-23,697.8,697.8,674.0,674.2,NLG
2023-01-24,670.1,695.0,662.1,686.0,NLG
2023-01-25,686.0,706.0,686.0,696.0,NLG
2023-01-26,707.0,721.0,698.0,710.0,NLG
2023-01-29,700.0,718.0,696.0,710.0,NLG
2023-01-30,697.0,710.0,677.0,690.0,NLG
2023-01-31,698.0,698.0,680.0,690.0,NLG
2023-02-01,678.0,690.0,675.0,685.0,NLG
2023-02-02,675.0,686.0,662.0,670.0,NLG
2023-02-05,671.0,678.0,665.0,670.0,NLG
2023-02-06,664.0,665.0,660.0,664.9,NLG
