date,open,high,low,close,symbol
2021-08-31,1162.2,1180.0,1145.1,1150.0,NLICL
2021-09-01,1165.0,1182.0,1137.0,1138.0,NLICL
2021-09-02,1160.0,1160.0,1103.0,1106.0,NLICL
2021-09-05,1105.0,1109.0,1025.0,1070.0,NLICL
2021-09-06,1070.0,1132.0,1070.0,1132.0,NLICL
2021-09-07,1140.0,1140.0,1080.0,1094.1,NLICL
2021-09-08,1075.0,1085.0,1048.7,1049.9,NLICL
2021-09-09,1065.0,1086.0,1050.0,1057.0,NLICL
2021-09-12,1060.0,1107.0,1051.0,1107.0,NLICL
2021-09-13,1119.0,1122.0,1090.0,1095.0,NLICL
2021-09-14,1116.0,1116.0,1075.0,1077.0,NLICL
2021-09-15,1071.0,1073.0,1058.0,1062.8,NLICL
2021-09-16,1062.8,1062.8,1025.1,1032.0,NLICL
2021-09-20,1035.0,1049.0,992.0,999.0,NLICL
2021-09-21,995.0,1034.0,985.0,1008.0,NLICL
2021-09-22,1021.0,1058.0,1019.0,1050.0,NLICL
2021-09-23,1050.0,1079.0,1020.0,1030.0,NLICL
2021-09-26,1037.0,1037.0,1000.0,1003.0,NLICL
2021-09-27,988.0,999.0,952.0,960.0,NLICL
2021-09-28,951.0,989.0,937.0,942.0,NLICL
2021-09-29,960.0,977.9,925.1,974.0,NLICL
2021-09-30,980.0,980.0,953.6,953.6,NLICL
2021-10-03,969.0,969.0,937.0,940.0,NLICL
2021-10-04,950.0,950.0,927.0,934.1,NLICL
2021-10-05,940.0,956.0,931.0,954.9,NLICL
2021-10-06,970.0,984.0,960.0,978.0,NLICL
2021-10-10,997.0,997.5,961.4,969.3,NLICL
2021-10-11,974.0,974.0,930.0,951.0,NLICL
2021-10-17,956.0,971.0,955.1,962.1,NLICL
2021-10-18,951.0,961.0,930.0,932.0,NLICL
2021-10-19,928.0,928.0,886.1,898.0,NLICL
2021-10-20,915.0,940.0,915.0,928.0,NLICL
2021-10-21,930.0,948.6,910.0,917.0,NLICL
2021-10-24,915.0,930.0,909.0,923.1,NLICL
2021-10-25,941.0,964.8,930.0,960.0,NLICL
2021-10-26,970.0,1008.7,965.0,991.2,NLICL
2021-10-27,991.2,1037.0,972.0,1025.0,NLICL
2021-10-28,1032.5,1034.0,996.0,1015.0,NLICL
2021-10-31,1015.0,1047.0,1002.0,1038.0,NLICL
2021-11-01,1040.0,1041.0,1007.0,1023.0,NLICL
2021-11-02,1003.0,1066.4,1001.0,1045.0,NLICL
2021-11-03,1059.0,1070.0,1045.0,1054.0,NLICL
2021-11-08,1063.0,1066.0,1040.0,1047.0,NLICL
