date,open,high,low,close,symbol
2021-06-09,3698.0,3700.0,3600.0,3619.0,NMFBS
2021-06-10,3572.0,3672.0,3571.0,3667.0,NMFBS
2021-06-13,3740.0,3740.0,3600.0,3650.0,NMFBS
2021-06-14,3582.0,3697.0,3582.0,3600.0,NMFBS
2021-06-15,3590.0,3600.0,3567.0,3585.0,NMFBS
2021-06-16,3650.0,3774.0,3588.0,3620.0,NMFBS
2021-06-17,3801.0,3801.0,3590.0,3592.0,NMFBS
2021-06-20,3576.0,3580.0,3535.0,3551.0,NMFBS
2021-06-21,3551.0,3600.0,3480.0,3481.0,NMFBS
2021-06-22,3550.0,3570.0,3486.0,3540.0,NMFBS
2021-06-23,3580.0,3580.0,3455.0,3475.0,NMFBS
2021-06-24,3480.0,3482.0,3450.0,3450.0,NMFBS
2021-06-27,3420.0,3499.0,3420.0,3499.0,NMFBS
2021-06-28,3565.0,3619.0,3498.0,3570.0,NMFBS
2021-06-29,3748.0,3748.0,3550.0,3560.0,NMFBS
2021-06-30,3560.0,3631.0,3490.0,3525.0,NMFBS
2021-07-01,3575.0,3580.0,3500.0,3549.0,NMFBS
2021-07-04,3551.0,3575.0,3470.0,3535.0,NMFBS
2021-07-05,3535.0,3575.0,3491.0,3549.0,NMFBS
2021-07-06,3549.0,3550.0,3480.0,3525.0,NMFBS
2021-07-07,3555.0,3560.0,3495.0,3525.0,NMFBS
2021-07-08,3525.0,3619.0,3500.0,3619.0,NMFBS
2021-07-11,3688.0,3688.0,3570.0,3644.0,NMFBS
2021-07-12,3699.0,3716.0,3581.0,3595.0,NMFBS
2021-07-13,3635.0,3666.0,3595.0,3620.0,NMFBS
2021-07-14,3620.0,3620.0,3600.0,3603.0,NMFBS
2021-07-15,3600.0,3634.0,3590.0,3603.0,NMFBS
2021-07-18,3650.0,3790.0,3650.0,3750.0,NMFBS
2021-07-19,3760.0,3798.0,3715.0,3749.9,NMFBS
2021-07-20,3749.0,3749.0,3665.0,3705.0,NMFBS
2021-07-22,3705.0,3720.0,3660.0,3699.0,NMFBS
2021-07-25,3711.0,3775.0,3710.2,3769.0,NMFBS
2021-07-26,3770.0,3840.0,3755.0,3795.0,NMFBS
2021-07-27,3720.0,3724.0,3644.8,3681.0,NMFBS
2021-07-28,3650.0,3745.0,3615.0,3681.0,NMFBS
2021-07-29,3740.0,3754.0,3641.0,3690.0,NMFBS
2021-08-01,3663.0,3736.0,3663.0,3730.0,NMFBS
2021-08-02,3735.0,3775.0,3702.1,3775.0,NMFBS
2021-08-03,3800.0,3850.5,3781.0,3849.0,NMFBS
2021-08-04,3900.0,3925.9,3770.0,3770.0,NMFBS
2021-08-05,3770.0,3840.0,3742.0,3775.0,NMFBS
2021-08-08,3755.0,3755.0,3667.0,3677.0,NMFBS
2021-08-09,3680.0,3750.0,3610.0,3650.0,NMFBS
2021-08-10,3640.0,3699.9,3640.0,3694.0,NMFBS
2021-08-11,3635.0,3750.0,3635.0,3750.0,NMFBS
2021-08-12,3800.0,3800.0,3660.0,3698.0,NMFBS
2021-08-15,3770.0,3770.0,3580.0,3610.0,NMFBS
2021-08-16,3614.0,3630.0,3540.0,3540.0,NMFBS
2021-08-17,3610.8,3610.8,3450.0,3457.0,NMFBS
2021-08-18,3450.0,3520.0,3390.0,3450.0,NMFBS
2021-08-19,3500.0,3500.0,3455.1,3455.1,NMFBS
2021-08-24,3501.0,3501.0,3390.0,3401.6,NMFBS
2021-08-25,3380.0,3420.0,3352.1,3352.1,NMFBS
2021-08-26,3385.0,3390.0,3300.0,3320.0,NMFBS
2021-08-29,3330.0,3370.0,3197.3,3249.0,NMFBS
2021-08-31,3200.0,3250.0,3149.0,3160.0,NMFBS
2021-09-01,3222.0,3285.0,3060.0,3200.0,NMFBS
2021-09-02,3263.0,3263.0,3100.0,3160.0,NMFBS
2021-09-05,3100.0,3150.0,3012.1,3080.0,NMFBS
2021-09-06,3130.0,3190.0,3070.0,3190.0,NMFBS
2021-09-07,3200.0,3200.0,3065.0,3130.0,NMFBS
2021-09-08,3070.0,3070.0,2990.0,3010.0,NMFBS
2021-09-09,3070.2,3070.2,2987.0,3000.0,NMFBS
2021-09-12,3050.0,3050.0,2960.0,3001.0,NMFBS
2021-09-13,3055.0,3121.0,2990.1,2990.1,NMFBS
2021-09-14,3049.9,3110.0,2962.0,3045.0,NMFBS
2021-09-15,3100.0,3100.0,3000.0,3010.0,NMFBS
2021-09-16,3001.0,3025.0,2881.0,2910.0,NMFBS
2021-09-20,2950.0,2950.0,2735.0,2783.0,NMFBS
2021-09-21,2729.0,2880.0,2680.0,2765.0,NMFBS
2021-09-22,2820.3,2929.9,2770.0,2825.0,NMFBS
2021-09-23,2830.0,2860.0,2750.0,2800.0,NMFBS
2021-09-26,2750.6,2774.0,2720.0,2725.0,NMFBS
2021-09-27,2700.0,2723.0,2620.0,2650.0,NMFBS
2021-09-28,2700.0,2700.0,2570.0,2625.0,NMFBS
2021-09-29,2592.0,2735.0,2579.0,2700.0,NMFBS
2021-09-30,2735.0,2735.0,2601.0,2602.0,NMFBS
2021-10-03,2653.0,2705.0,2500.0,2585.0,NMFBS
2021-10-04,2550.0,2699.9,2550.0,2670.0,NMFBS
2021-10-05,2720.0,2800.0,2720.0,2795.0,NMFBS
2021-10-06,2845.0,3040.0,2845.0,3000.0,NMFBS
2021-10-10,3060.0,3140.0,2965.0,2990.0,NMFBS
2021-10-11,2950.0,2985.0,2900.0,2964.0,NMFBS
2021-10-17,2999.0,2999.0,2909.0,2963.0,NMFBS
2021-10-18,2910.0,2910.0,2791.0,2840.0,NMFBS
2021-10-19,2896.0,2896.0,2695.0,2750.0,NMFBS
2021-10-20,2805.0,2914.0,2768.0,2815.0,NMFBS
2021-10-21,2840.0,2854.0,2755.0,2853.0,NMFBS
2021-10-24,2910.0,2974.9,2799.0,2933.0,NMFBS
2021-10-25,2910.0,3000.0,2890.1,2999.0,NMFBS
2021-10-26,3034.0,3170.0,2984.0,3050.0,NMFBS
2021-10-27,2990.1,3120.0,2990.0,3098.0,NMFBS
2021-10-28,3098.0,3149.0,3051.1,3140.0,NMFBS
2021-10-31,3202.8,3266.8,3152.1,3250.0,NMFBS
2021-11-01,3299.0,3300.0,3165.1,3211.0,NMFBS
2021-11-02,3200.0,3244.0,3162.0,3216.0,NMFBS
2021-11-03,3265.0,3300.0,3229.0,3249.0,NMFBS
2021-11-08,3200.0,3306.8,3200.0,3300.0,NMFBS
2021-11-09,3249.0,3295.0,3166.0,3262.0,NMFBS
2021-11-11,3197.0,3209.0,3135.0,3180.0,NMFBS
2021-11-14,3121.0,3279.9,3121.0,3270.0,NMFBS
2021-11-15,3335.4,3488.0,3335.0,3401.0,NMFBS
2021-11-16,3401.0,3610.0,3371.3,3596.0,NMFBS
2021-11-17,3650.0,3650.0,3545.0,3588.8,NMFBS
2021-11-18,3660.5,3876.0,3640.0,3660.0,NMFBS
2021-11-21,3730.0,3730.0,3500.0,3540.0,NMFBS
2021-11-22,3540.0,3570.0,3470.0,3525.0,NMFBS
2021-11-23,3467.0,3524.0,3420.0,3459.0,NMFBS
2021-11-24,3396.0,3465.0,3390.1,3445.0,NMFBS
2021-11-25,3499.0,3499.0,3402.0,3410.1,NMFBS
2021-11-28,3400.0,3400.0,3250.0,3250.0,NMFBS
2021-11-29,3250.0,3300.0,3176.0,3199.0,NMFBS
2021-11-30,3250.0,3250.0,3161.0,3190.0,NMFBS
2021-12-01,3200.0,3218.0,3170.0,3175.0,NMFBS
2021-12-02,3180.0,3210.0,3141.0,3170.0,NMFBS
2021-12-05,3171.0,3200.0,3117.0,3117.0,NMFBS
2021-12-06,3100.0,3149.0,3040.0,3120.0,NMFBS
2021-12-07,3130.0,3181.0,3088.0,3088.2,NMFBS
2021-12-08,3040.0,3070.0,2990.0,2996.0,NMFBS
2021-12-09,2941.0,3024.3,2903.0,2990.0,NMFBS
2021-12-12,2990.0,2990.0,2845.0,2850.0,NMFBS
2021-12-13,2801.0,2835.0,2696.0,2745.0,NMFBS
2021-12-14,2799.0,3019.0,2751.0,2989.0,NMFBS
2021-12-15,3048.0,3150.0,2887.0,2938.0,NMFBS
2021-12-16,2880.0,2890.0,2837.1,2855.0,NMFBS
2021-12-20,2810.0,2905.0,2800.0,2855.0,NMFBS
2021-12-21,2912.1,2915.0,2857.0,2911.0,NMFBS
2021-12-22,2960.0,3111.0,2950.0,3111.0,NMFBS
2021-12-23,3111.0,3165.0,3055.0,3066.0,NMFBS
2021-12-26,3110.0,3223.0,3098.0,3179.0,NMFBS
2021-12-27,3234.0,3234.0,3093.0,3100.0,NMFBS
2021-12-28,3162.0,3165.0,3093.0,3128.0,NMFBS
2021-12-29,3135.0,3229.9,3130.0,3218.0,NMFBS
2022-01-02,3270.0,3445.0,3250.0,3415.0,NMFBS
2022-01-03,3483.0,3483.0,3430.0,3444.0,NMFBS
2022-01-04,3375.2,3503.0,3350.0,3490.0,NMFBS
2022-01-05,3522.0,3530.0,3460.0,3470.0,NMFBS
2022-01-06,3466.0,3625.0,3466.0,3599.5,NMFBS
2022-01-09,3650.0,3675.0,3588.0,3620.0,NMFBS
2022-01-10,3692.0,3700.0,3625.0,3660.0,NMFBS
2022-01-11,2666.5,2849.0,2666.5,2753.0,NMFBS
2022-01-12,2800.0,2800.0,2700.0,2700.1,NMFBS
2022-01-13,2680.0,2730.0,2650.0,2705.0,NMFBS
2022-01-16,2758.0,2813.0,2690.0,2720.5,NMFBS
2022-01-17,2732.1,2768.0,2713.1,2731.0,NMFBS
2022-01-18,2746.0,2746.0,2670.0,2685.0,NMFBS
2022-01-19,2700.0,2702.0,2650.0,2661.0,NMFBS
2022-01-20,2625.0,2699.0,2625.0,2686.0,NMFBS
2022-01-23,2700.0,2729.0,2680.0,2681.0,NMFBS
2022-01-24,2734.0,2734.0,2580.1,2590.0,NMFBS
2022-01-25,2590.0,2670.0,2550.0,2600.0,NMFBS
2022-01-26,2600.0,2610.0,2560.0,2571.0,NMFBS
2022-01-27,2600.0,2713.2,2571.0,2700.0,NMFBS
2022-01-30,2754.0,2800.0,2700.0,2727.9,NMFBS
2022-01-31,2770.0,2782.4,2677.0,2714.0,NMFBS
2022-02-01,2701.0,2730.0,2686.0,2705.0,NMFBS
2022-02-03,2710.0,2749.0,2675.0,2680.0,NMFBS
2022-02-06,2700.0,2700.0,2628.0,2630.5,NMFBS
2022-02-07,2640.0,2647.0,2627.0,2640.0,NMFBS
2022-02-08,2692.8,2730.0,2622.0,2625.0,NMFBS
2022-02-09,2620.0,2620.0,2595.0,2601.0,NMFBS
2022-02-10,2610.0,2630.0,2548.0,2584.0,NMFBS
2022-02-13,2580.0,2580.0,2482.0,2500.0,NMFBS
2022-02-14,2550.0,2550.0,2456.0,2470.0,NMFBS
2022-02-15,2470.0,2550.0,2470.0,2550.0,NMFBS
