date,open,high,low,close,symbol
2023-08-06,250.4,275.4,250.4,275.4,NRM
2023-08-07,280.8,302.9,275.0,302.9,NRM
2023-08-08,308.9,333.1,308.9,333.1,NRM
2023-08-09,339.7,354.7,299.8,306.7,NRM
2023-08-10,307.0,310.0,295.0,297.0,NRM
2023-08-13,297.0,299.0,278.6,282.0,NRM
2023-08-14,276.5,305.0,276.5,296.0,NRM
2023-08-15,291.0,293.0,284.0,285.0,NRM
2023-08-16,280.0,285.0,277.0,278.0,NRM
2023-08-17,278.0,285.6,275.0,278.0,NRM
2023-08-20,273.0,278.0,267.5,267.5,NRM
2023-08-21,265.0,279.7,261.0,264.8,NRM
2023-08-22,261.0,270.0,261.0,267.5,NRM
2023-08-23,269.7,275.0,264.5,272.8,NRM
2023-08-24,270.0,274.0,259.7,263.0,NRM
2023-08-27,263.0,263.0,250.5,255.0,NRM
2023-08-28,260.0,265.0,249.6,251.1,NRM
2023-08-29,251.0,255.0,248.8,251.5,NRM
2023-08-30,251.5,252.0,245.0,245.0,NRM
2023-09-03,241.0,243.0,233.7,234.0,NRM
2023-09-04,230.2,244.0,227.4,237.0,NRM
2023-09-05,237.0,241.5,230.7,233.0,NRM
2023-09-07,237.0,237.6,225.2,230.0,NRM
2023-09-10,226.1,234.0,225.3,229.5,NRM
2023-09-11,227.0,243.0,227.0,241.0,NRM
2023-09-12,238.0,245.0,230.7,234.9,NRM
2023-09-13,238.0,244.0,231.6,240.2,NRM
2023-09-17,236.2,237.0,230.6,233.0,NRM
2023-09-18,228.4,244.0,228.4,234.2,NRM
2023-09-19,231.0,239.8,231.0,237.4,NRM
2023-09-21,242.0,255.0,240.0,249.0,NRM
2023-09-24,244.5,261.5,244.2,255.0,NRM
2023-09-25,252.2,257.0,248.3,248.3,NRM
2023-09-26,248.0,263.4,245.0,260.0,NRM
2023-09-27,255.0,265.0,250.0,255.0,NRM
2023-10-01,255.0,259.6,240.2,241.3,NRM
2023-10-02,237.0,249.9,237.0,244.0,NRM
2023-10-03,243.0,253.0,239.1,241.2,NRM
2023-10-04,238.2,250.0,238.2,247.6,NRM
2023-10-05,243.0,255.0,242.1,244.0,NRM
2023-10-08,246.0,246.0,237.5,237.6,NRM
2023-10-09,237.6,239.0,231.2,238.9,NRM
2023-10-10,239.0,243.6,231.1,233.0,NRM
2023-10-11,233.0,240.0,230.0,239.7,NRM
2023-10-12,239.0,244.0,231.2,234.4,NRM
2023-10-16,230.0,233.0,227.9,231.7,NRM
2023-10-17,228.1,241.0,226.1,229.0,NRM
2023-10-18,233.5,236.0,225.2,232.0,NRM
2023-10-19,228.4,236.3,228.4,229.3,NRM
2023-10-29,225.0,235.0,225.0,226.2,NRM
2023-10-30,221.7,230.0,218.0,226.0,NRM
2023-10-31,224.0,224.1,219.7,222.0,NRM
2023-11-01,222.0,226.0,218.0,221.0,NRM
2023-11-02,219.0,220.0,214.0,215.0,NRM
2023-11-05,211.0,213.0,206.1,207.0,NRM
2023-11-06,210.0,223.3,205.9,219.0,NRM
2023-11-07,223.3,229.3,216.6,220.0,NRM
2023-11-08,220.0,225.9,213.3,218.2,NRM
2023-11-09,215.1,226.0,210.5,213.0,NRM
2023-11-20,213.0,222.5,213.0,222.5,NRM
2023-11-21,218.2,223.3,214.0,215.0,NRM
2023-11-22,211.0,222.0,211.0,222.0,NRM
2023-11-23,217.6,236.0,215.2,228.5,NRM
2023-11-26,233.0,241.0,224.1,241.0,NRM
2023-11-27,236.2,240.0,230.1,232.6,NRM
2023-11-28,228.7,250.0,228.7,241.5,NRM
2023-11-29,241.5,253.0,233.0,238.0,NRM
2023-11-30,235.0,236.0,226.0,230.0,NRM
2023-12-03,226.1,238.0,223.5,231.0,NRM
2023-12-04,226.5,237.0,226.5,233.9,NRM
2023-12-05,230.1,240.7,229.1,230.5,NRM
2023-12-06,226.0,239.0,226.0,233.9,NRM
2023-12-07,230.1,245.0,230.1,241.0,NRM
2023-12-10,245.8,258.0,245.8,258.0,NRM
2023-12-11,260.0,266.0,241.3,261.0,NRM
2023-12-12,255.8,287.1,253.0,287.1,NRM
2023-12-13,287.0,303.0,284.1,287.0,NRM
2023-12-14,290.0,315.7,282.1,315.7,NRM
2023-12-17,315.0,347.2,304.0,340.0,NRM
2023-12-18,346.0,363.0,328.0,351.0,NRM
2023-12-19,355.0,386.1,350.0,386.1,NRM
2023-12-20,393.8,424.7,390.0,424.7,NRM
2023-12-21,433.1,467.1,418.0,467.1,NRM
2023-12-24,467.1,492.5,420.4,420.4,NRM
2023-12-27,420.4,430.0,378.4,389.1,NRM
2023-12-28,396.8,428.0,385.1,423.2,NRM
2024-01-01,431.6,435.0,400.0,409.0,NRM
2024-01-02,408.0,413.0,395.1,404.0,NRM
2024-01-03,410.0,438.9,401.1,437.5,NRM
2024-01-04,437.5,458.0,427.3,443.8,NRM
2024-01-07,443.8,443.8,413.0,415.8,NRM
2024-01-08,424.1,430.0,407.5,417.0,NRM
2024-01-09,425.3,430.0,402.1,404.3,NRM
2024-01-10,412.0,417.0,405.2,408.0,NRM
2024-01-11,401.0,416.1,401.0,402.9,NRM
2024-01-14,410.0,424.0,405.2,406.1,NRM
2024-01-16,412.5,438.0,410.5,429.9,NRM
2024-01-17,429.9,459.0,416.0,419.9,NRM
2024-01-18,420.0,436.8,412.0,419.0,NRM
2024-01-21,419.1,433.5,409.0,410.5,NRM
2024-01-22,407.0,419.9,398.0,399.5,NRM
2024-01-23,396.5,409.0,396.5,404.0,NRM
2024-01-24,412.0,413.0,396.9,397.5,NRM
2024-01-25,400.0,405.0,388.5,393.0,NRM
2024-01-28,388.0,410.9,388.0,396.0,NRM
2024-01-29,396.0,408.0,391.0,401.0,NRM
2024-01-30,409.0,409.9,400.8,400.8,NRM
