date,open,high,low,close,symbol
2021-09-01,867.0,887.0,833.0,850.0,NRN
2021-09-02,867.0,883.0,789.0,800.0,NRN
2021-09-05,800.0,840.0,750.1,770.0,NRN
2021-09-06,775.0,847.0,750.0,846.0,NRN
2021-09-07,846.0,846.0,800.0,814.0,NRN
2021-09-08,798.0,802.0,781.0,785.0,NRN
2021-09-09,799.0,809.0,778.0,780.0,NRN
2021-09-12,795.6,818.0,781.0,810.0,NRN
2021-09-13,820.0,891.0,820.0,843.0,NRN
2021-09-14,850.0,852.0,808.0,816.0,NRN
2021-09-15,800.2,821.0,788.0,790.0,NRN
2021-09-16,774.2,787.0,750.0,770.0,NRN
2021-09-20,771.0,771.0,716.0,720.0,NRN
2021-09-21,720.0,742.0,680.2,713.3,NRN
2021-09-22,727.0,770.0,727.0,770.0,NRN
2021-09-23,780.0,785.0,735.0,745.0,NRN
2021-09-26,730.1,760.0,708.0,708.0,NRN
2021-09-27,700.0,719.0,664.0,664.0,NRN
2021-09-28,664.0,687.0,600.0,614.0,NRN
2021-09-29,614.0,658.0,593.9,646.0,NRN
2021-09-30,658.0,658.0,620.0,620.0,NRN
2021-10-03,614.0,625.0,584.0,584.0,NRN
2021-10-04,580.0,612.0,569.0,595.0,NRN
2021-10-05,606.0,630.0,606.0,622.0,NRN
2021-10-06,630.0,647.7,623.0,637.0,NRN
2021-10-10,637.0,649.0,615.5,616.0,NRN
2021-10-11,608.0,613.0,596.1,604.0,NRN
2021-10-17,616.0,635.0,601.0,618.0,NRN
2021-10-18,605.7,614.0,569.0,598.0,NRN
2021-10-19,600.0,600.0,570.0,571.0,NRN
2021-10-20,582.4,605.8,582.4,590.0,NRN
2021-10-21,591.0,596.0,574.1,583.0,NRN
2021-10-24,583.0,603.0,573.0,594.0,NRN
2021-10-25,605.8,640.0,597.0,640.0,NRN
2021-10-26,640.0,678.3,627.2,670.0,NRN
2021-10-27,661.0,696.0,650.0,685.0,NRN
2021-10-28,672.0,680.0,658.6,679.0,NRN
2021-10-31,685.0,716.0,672.1,712.0,NRN
2021-11-01,724.0,724.0,679.0,685.0,NRN
2021-11-02,680.0,703.0,665.0,703.0,NRN
2021-11-03,717.0,769.0,703.0,753.0,NRN
2021-11-08,767.0,779.2,746.1,757.0,NRN
2021-11-09,759.0,759.0,700.0,715.0,NRN
2021-11-11,705.0,714.0,687.0,700.0,NRN
2021-11-14,690.0,717.0,676.0,700.0,NRN
2021-11-15,714.0,724.0,691.0,715.0,NRN
2021-11-16,715.1,733.0,706.0,728.5,NRN
2021-11-17,738.0,740.0,705.0,706.0,NRN
2021-11-18,720.0,720.0,683.5,693.9,NRN
2021-11-21,685.0,706.0,671.3,671.3,NRN
2021-11-22,684.0,698.0,676.2,688.0,NRN
2021-11-23,700.0,715.0,660.0,666.0,NRN
2021-11-24,655.0,682.0,652.7,660.1,NRN
2021-11-25,673.3,673.3,653.0,654.0,NRN
2021-11-28,648.0,654.0,620.0,620.0,NRN
2021-11-29,630.0,645.0,605.0,614.9,NRN
2021-11-30,620.0,625.0,608.0,614.0,NRN
2021-12-01,626.2,633.9,617.1,630.7,NRN
2021-12-02,635.0,635.0,610.0,612.0,NRN
2021-12-05,600.0,613.0,592.0,592.0,NRN
2021-12-06,583.0,610.0,571.0,610.0,NRN
2021-12-07,622.2,622.2,578.0,586.0,NRN
2021-12-08,580.0,600.0,560.0,560.0,NRN
2021-12-09,571.0,571.0,549.0,563.0,NRN
2021-12-12,556.0,563.0,522.5,522.5,NRN
2021-12-13,513.0,522.5,502.0,513.0,NRN
2021-12-14,523.0,564.3,513.0,564.3,NRN
2021-12-15,575.5,596.0,544.0,560.0,NRN
2021-12-16,571.2,571.2,525.0,532.0,NRN
2021-12-20,522.0,525.3,505.0,513.5,NRN
2021-12-21,518.0,535.0,504.0,527.6,NRN
2021-12-22,538.0,569.0,528.0,546.0,NRN
2021-12-23,540.0,561.0,537.0,543.0,NRN
2021-12-26,532.3,570.0,532.3,555.0,NRN
2021-12-27,555.0,576.0,545.0,550.0,NRN
2021-12-28,539.0,550.0,530.0,540.0,NRN
2021-12-29,549.0,549.0,531.2,537.0,NRN
2022-01-02,510.0,534.0,510.0,533.0,NRN
2022-01-03,543.6,565.9,529.0,558.0,NRN
2022-01-04,559.0,581.0,536.1,579.0,NRN
2022-01-05,581.0,595.0,555.0,566.0,NRN
2022-01-06,577.0,580.0,555.1,574.0,NRN
2022-01-09,584.0,623.0,577.0,620.0,NRN
2022-01-10,632.3,640.0,615.0,630.0,NRN
2022-01-11,630.0,655.0,630.0,643.1,NRN
2022-01-12,649.0,666.0,623.3,629.0,NRN
2022-01-13,629.0,649.7,625.0,648.0,NRN
2022-01-16,660.9,682.0,651.0,668.0,NRN
2022-01-17,680.0,728.0,670.0,720.0,NRN
2022-01-18,730.0,736.0,692.0,700.0,NRN
2022-01-19,700.0,705.0,686.0,692.0,NRN
2022-01-20,680.0,714.0,680.0,710.0,NRN
2022-01-23,724.0,728.0,699.1,720.0,NRN
2022-01-24,706.0,707.0,671.1,680.0,NRN
2022-01-25,667.2,693.0,667.2,683.0,NRN
2022-01-26,690.0,690.0,661.0,670.0,NRN
2022-01-27,682.9,719.0,669.3,718.0,NRN
2022-01-30,732.3,757.7,720.0,747.0,NRN
2022-01-31,760.0,805.8,730.1,780.0,NRN
2022-02-01,780.0,807.5,768.0,782.0,NRN
2022-02-03,785.0,812.0,770.0,790.0,NRN
2022-02-06,798.0,836.0,780.0,820.0,NRN
2022-02-07,820.0,834.5,800.1,815.0,NRN
2022-02-08,820.0,836.0,793.0,796.0,NRN
2022-02-09,782.0,800.0,780.1,786.0,NRN
2022-02-10,775.0,792.0,763.5,779.0,NRN
2022-02-13,764.0,764.0,719.0,726.0,NRN
2022-02-14,730.0,740.5,717.0,735.0,NRN
2022-02-15,748.9,762.9,720.0,760.0,NRN
2022-02-16,772.0,772.0,734.0,748.0,NRN
2022-02-17,735.0,756.0,733.3,735.0,NRN
2022-02-20,720.3,739.0,708.0,726.0,NRN
2022-02-21,740.5,784.0,721.3,765.0,NRN
2022-02-22,780.0,780.3,760.0,768.0,NRN
2022-02-23,770.0,813.0,756.0,806.0,NRN
2022-02-24,805.0,830.0,784.0,793.0,NRN
2022-02-27,808.0,809.2,767.4,782.0,NRN
2022-02-28,796.0,797.0,730.0,735.0,NRN
2022-03-02,729.0,755.0,692.0,695.0,NRN
2022-03-06,705.0,718.0,679.0,689.0,NRN
2022-03-07,680.0,694.0,666.0,675.0,NRN
2022-03-09,675.0,700.0,650.2,658.0,NRN
2022-03-10,660.0,699.7,660.0,699.7,NRN
2022-03-13,705.0,724.0,690.0,710.9,NRN
2022-03-14,711.0,717.0,696.7,700.0,NRN
2022-03-15,706.0,710.0,685.0,703.0,NRN
2022-03-16,702.0,710.0,688.0,694.0,NRN
2022-03-20,700.0,705.0,681.5,690.0,NRN
2022-03-21,684.1,710.0,682.2,710.0,NRN
2022-03-22,710.0,718.8,693.0,699.0,NRN
2022-03-23,699.0,711.0,685.0,706.0,NRN
2022-03-24,694.0,714.0,687.0,695.0,NRN
2022-03-27,690.0,700.0,675.0,693.8,NRN
2022-03-28,681.0,689.0,668.0,674.0,NRN
2022-03-29,662.0,690.1,658.0,661.0,NRN
2022-03-30,669.0,680.0,656.2,673.1,NRN
2022-03-31,681.4,684.0,653.0,653.0,NRN
2022-04-03,650.0,675.0,650.0,657.2,NRN
2022-04-04,653.0,665.0,650.0,655.0,NRN
2022-04-05,651.1,651.1,632.1,644.0,NRN
2022-04-06,635.0,651.0,630.0,630.0,NRN
2022-04-07,630.0,651.0,630.0,641.0,NRN
2022-04-11,653.8,653.8,627.0,637.0,NRN
2022-04-12,625.0,637.0,603.0,618.0,NRN
2022-04-13,615.0,630.3,607.0,620.0,NRN
2022-04-17,610.1,619.0,589.0,600.0,NRN
2022-04-18,589.0,590.0,540.0,550.0,NRN
2022-04-19,550.0,575.0,535.0,555.0,NRN
2022-04-20,555.0,566.0,540.0,540.0,NRN
2022-04-21,534.0,560.0,534.0,549.0,NRN
2022-04-24,550.0,589.0,538.1,586.0,NRN
2022-04-25,585.0,595.5,574.0,575.1,NRN
2022-04-26,563.6,581.0,560.0,570.0,NRN
2022-04-27,570.0,579.0,558.8,570.0,NRN
2022-04-28,570.0,580.5,556.0,556.0,NRN
2022-05-02,548.0,558.0,537.2,545.0,NRN
2022-05-04,543.1,552.0,527.0,537.0,NRN
2022-05-05,526.5,531.0,508.0,525.0,NRN
2022-05-08,515.0,539.5,500.0,539.0,NRN
2022-05-09,549.7,550.0,523.0,539.0,NRN
2022-05-10,547.0,564.0,537.0,563.1,NRN
2022-05-11,564.0,592.0,560.0,590.0,NRN
2022-05-12,591.0,593.0,566.1,573.9,NRN
2022-05-17,563.0,565.0,539.0,539.0,NRN
2022-05-18,532.0,556.0,531.0,556.0,NRN
2022-05-19,545.0,578.3,545.0,549.0,NRN
2022-05-20,540.0,556.0,540.0,551.0,NRN
2022-05-23,545.0,545.0,524.3,530.9,NRN
2022-05-24,521.1,550.0,521.1,547.0,NRN
2022-05-25,557.9,560.0,540.0,540.1,NRN
2022-05-26,550.0,550.0,536.0,540.0,NRN
2022-05-27,532.2,540.0,527.3,530.0,NRN
2022-05-30,520.0,522.0,509.6,512.0,NRN
2022-05-31,507.0,522.0,502.0,511.0,NRN
2022-06-01,512.0,515.0,507.2,510.0,NRN
2022-06-02,520.0,520.0,505.0,509.0,NRN
2022-06-03,499.1,512.0,499.1,508.0,NRN
2022-06-06,517.0,518.0,499.0,505.0,NRN
2022-06-07,495.0,512.0,480.0,489.6,NRN
2022-06-08,480.0,521.0,480.0,507.0,NRN
2022-06-09,509.0,517.0,497.0,499.9,NRN
2022-06-10,500.0,510.0,488.2,502.0,NRN
2022-06-13,512.0,512.0,495.0,497.0,NRN
2022-06-14,493.0,494.0,480.0,484.0,NRN
2022-06-15,475.5,493.0,460.0,481.0,NRN
2022-06-16,490.6,490.6,464.0,475.0,NRN
2022-06-17,481.9,481.9,460.6,469.0,NRN
2022-06-19,478.0,478.0,441.0,441.0,NRN
2022-06-20,433.0,438.0,418.0,425.2,NRN
2022-06-21,425.2,455.0,425.2,452.8,NRN
2022-06-22,443.8,443.8,435.0,437.0,NRN
2022-06-23,429.0,429.0,417.0,420.0,NRN
2022-06-24,413.0,438.0,413.0,422.0,NRN
2022-06-26,422.0,464.2,422.0,464.2,NRN
2022-06-27,473.0,474.0,448.0,453.9,NRN
2022-06-28,445.0,456.0,435.0,450.0,NRN
2022-06-29,450.0,473.0,442.0,466.0,NRN
2022-06-30,470.0,508.9,470.0,502.0,NRN
2022-07-01,512.0,517.0,488.0,490.0,NRN
2022-07-03,480.2,525.0,470.6,524.0,NRN
2022-07-04,524.0,539.0,496.0,500.0,NRN
2022-07-05,491.0,519.0,490.0,503.0,NRN
2022-07-06,513.0,513.0,490.0,513.0,NRN
2022-07-07,513.1,519.0,499.0,508.0,NRN
2022-07-08,498.0,498.0,485.1,497.0,NRN
2022-07-11,487.1,487.1,457.2,466.2,NRN
2022-07-12,468.0,512.0,445.0,504.5,NRN
2022-07-13,500.0,535.0,490.0,526.0,NRN
2022-07-14,530.0,533.0,510.5,532.0,NRN
2022-07-15,521.4,529.0,513.0,516.5,NRN
2022-07-17,507.5,518.9,500.0,515.0,NRN
2022-07-18,513.0,525.0,497.1,515.0,NRN
2022-07-19,518.9,545.7,518.0,534.5,NRN
2022-07-20,524.0,547.0,521.1,542.9,NRN
2022-07-21,545.0,545.0,526.5,533.0,NRN
2022-07-22,525.0,532.0,513.1,515.0,NRN
2022-07-24,525.0,542.0,515.0,542.0,NRN
2022-07-25,552.7,568.0,545.1,559.0,NRN
2022-07-26,550.0,570.2,539.0,541.1,NRN
2022-07-27,543.0,561.9,531.1,560.0,NRN
2022-07-28,571.2,580.0,542.0,559.0,NRN
2022-07-29,548.0,569.0,548.0,555.0,NRN
2022-07-31,565.0,574.0,555.0,563.0,NRN
2022-08-01,563.0,566.0,550.0,550.0,NRN
2022-08-02,553.0,566.0,546.0,550.0,NRN
2022-08-03,540.0,565.0,540.0,558.5,NRN
2022-08-04,550.0,567.0,539.0,541.9,NRN
2022-08-05,533.0,550.0,520.0,550.0,NRN
2022-08-07,540.0,557.0,539.0,545.0,NRN
2022-08-08,536.0,549.0,528.3,534.0,NRN
2022-08-09,523.4,532.0,506.0,515.0,NRN
2022-08-10,505.0,514.0,505.0,510.0,NRN
2022-08-11,520.2,520.2,493.0,493.0,NRN
2022-08-14,483.2,500.0,483.2,488.0,NRN
2022-08-15,484.0,514.8,483.1,514.8,NRN
2022-08-16,505.1,526.0,495.0,495.1,NRN
2022-08-17,495.1,508.9,493.0,496.0,NRN
2022-08-18,505.9,525.0,496.0,520.0,NRN
2022-08-21,530.0,530.0,512.0,513.1,NRN
2022-08-22,503.0,520.0,503.0,517.0,NRN
2022-08-23,507.2,517.0,507.2,515.2,NRN
2022-08-24,525.5,525.5,508.1,514.0,NRN
2022-08-25,503.8,515.0,497.0,497.0,NRN
2022-08-26,491.0,496.8,485.2,490.0,NRN
2022-08-28,480.3,494.7,474.0,479.0,NRN
2022-08-29,472.0,487.0,466.0,485.0,NRN
2022-08-30,494.7,494.7,472.0,473.0,NRN
2022-08-31,463.6,480.0,463.4,464.4,NRN
2022-09-01,460.0,472.9,454.0,468.0,NRN
2022-09-02,477.0,478.0,461.0,472.0,NRN
2022-09-04,478.0,482.0,463.0,482.0,NRN
2022-09-05,473.4,483.0,473.4,480.0,NRN
2022-09-06,484.0,485.0,461.6,470.9,NRN
2022-09-07,463.0,469.7,451.0,457.9,NRN
2022-09-08,455.0,470.0,449.0,469.6,NRN
2022-09-11,470.0,475.0,457.0,464.0,NRN
2022-09-12,455.5,456.0,449.0,455.0,NRN
2022-09-13,461.9,465.0,446.1,463.0,NRN
2022-09-14,462.0,479.0,461.2,476.9,NRN
2022-09-15,486.4,486.4,446.0,454.0,NRN
2022-09-16,445.0,464.0,438.0,464.0,NRN
2022-09-18,473.2,473.2,435.0,436.0,NRN
2022-09-20,429.0,436.0,415.5,429.0,NRN
2022-09-21,430.0,437.0,421.0,425.0,NRN
2022-09-22,432.0,432.0,415.0,428.8,NRN
2022-09-25,421.5,428.0,413.0,420.0,NRN
2022-09-27,428.0,428.0,410.0,428.0,NRN
2022-09-28,426.0,431.0,420.0,425.0,NRN
2022-09-29,432.9,432.9,419.0,420.0,NRN
2022-10-09,428.4,454.0,412.3,441.9,NRN
2022-10-10,433.2,438.5,421.5,423.1,NRN
2022-10-11,416.1,429.7,415.3,415.3,NRN
2022-10-12,413.0,429.0,407.0,426.0,NRN
2022-10-13,417.5,425.8,415.0,423.0,NRN
2022-10-16,415.0,423.9,415.0,423.9,NRN
