date,open,high,low,close,symbol
2023-04-03,10.0,10.0,9.9,10.0,NSIF2
2023-04-04,9.85,9.85,9.85,9.85,NSIF2
2023-04-19,9.66,9.66,9.66,9.66,NSIF2
2023-04-20,9.47,9.47,8.69,8.69,NSIF2
2023-04-23,8.52,8.52,7.87,8.06,NSIF2
2023-04-24,7.9,7.9,7.31,7.66,NSIF2
2023-04-25,7.7,7.95,7.7,7.84,NSIF2
2023-04-26,7.69,7.85,7.69,7.79,NSIF2
2023-04-27,7.64,7.86,7.64,7.8,NSIF2
2023-04-30,7.95,8.1,7.8,8.06,NSIF2
2023-05-02,8.06,8.23,8.06,8.08,NSIF2
2023-05-03,7.99,8.01,7.94,8.01,NSIF2
2023-05-04,7.86,8.48,7.85,8.32,NSIF2
2023-05-07,8.32,8.32,8.16,8.16,NSIF2
2023-05-08,8.0,8.29,7.87,8.29,NSIF2
2023-05-09,8.13,8.13,8.13,8.13,NSIF2
2023-05-10,8.12,8.13,7.99,7.99,NSIF2
2023-05-11,7.84,8.0,7.84,7.88,NSIF2
2023-05-14,7.88,8.03,7.88,8.03,NSIF2
2023-05-15,7.87,7.88,7.87,7.88,NSIF2
2023-05-16,7.8,7.82,7.8,7.82,NSIF2
2023-05-17,7.97,8.25,7.93,8.1,NSIF2
2023-05-18,7.97,8.12,7.97,8.03,NSIF2
2023-05-21,8.03,8.03,7.89,7.95,NSIF2
2023-05-22,7.81,8.0,7.81,8.0,NSIF2
2023-05-23,8.16,8.79,8.16,8.5,NSIF2
2023-05-24,8.33,8.33,8.21,8.22,NSIF2
2023-05-28,8.22,8.22,8.12,8.21,NSIF2
2023-05-30,8.37,8.56,8.15,8.25,NSIF2
2023-05-31,8.3,8.3,8.15,8.21,NSIF2
2023-06-01,8.05,8.05,7.91,8.01,NSIF2
2023-06-04,8.01,8.11,8.01,8.11,NSIF2
2023-06-05,8.15,8.15,8.1,8.13,NSIF2
2023-06-06,8.29,8.29,8.29,8.29,NSIF2
2023-06-07,8.25,8.32,8.16,8.23,NSIF2
2023-06-08,8.1,8.25,8.1,8.25,NSIF2
2023-06-11,8.1,8.41,8.1,8.31,NSIF2
2023-06-12,8.46,8.46,8.15,8.3,NSIF2
2023-06-13,8.2,8.46,8.19,8.46,NSIF2
2023-06-14,8.3,8.33,8.3,8.33,NSIF2
2023-06-15,8.31,8.48,8.31,8.43,NSIF2
2023-06-18,8.32,8.7,8.32,8.7,NSIF2
2023-06-19,8.6,8.77,8.6,8.61,NSIF2
2023-06-20,8.7,8.8,8.7,8.75,NSIF2
2023-06-21,8.58,8.8,8.58,8.8,NSIF2
2023-06-22,8.89,9.1,8.88,9.0,NSIF2
2023-06-25,8.85,9.2,8.85,9.2,NSIF2
2023-06-26,9.2,9.38,9.2,9.2,NSIF2
2023-06-27,9.2,9.75,9.12,9.75,NSIF2
2023-06-28,9.6,9.71,9.6,9.71,NSIF2
2023-07-02,9.55,9.7,9.55,9.6,NSIF2
2023-07-03,9.44,9.6,9.44,9.6,NSIF2
2023-07-04,9.45,9.46,9.45,9.46,NSIF2
2023-07-05,9.41,9.42,9.4,9.42,NSIF2
2023-07-06,9.24,9.36,9.1,9.36,NSIF2
2023-07-09,9.3,9.4,9.3,9.4,NSIF2
2023-07-10,9.45,9.6,9.45,9.6,NSIF2
2023-07-11,9.45,9.6,9.45,9.6,NSIF2
2023-07-12,9.46,9.79,9.46,9.69,NSIF2
2023-07-13,9.56,9.88,9.55,9.88,NSIF2
2023-07-16,9.69,9.99,9.41,9.99,NSIF2
2023-07-17,9.99,9.99,9.8,9.99,NSIF2
2023-07-18,9.8,9.95,9.8,9.8,NSIF2
2023-07-19,9.61,9.66,9.61,9.61,NSIF2
2023-07-20,9.42,9.6,9.42,9.43,NSIF2
2023-07-23,9.29,9.8,9.29,9.8,NSIF2
2023-07-24,9.61,9.61,9.3,9.5,NSIF2
2023-07-25,9.31,9.69,9.15,9.69,NSIF2
2023-07-26,9.69,9.69,9.54,9.55,NSIF2
2023-07-27,9.36,9.5,9.36,9.44,NSIF2
2023-07-30,9.26,9.3,9.08,9.29,NSIF2
2023-07-31,9.12,9.2,9.12,9.2,NSIF2
2023-08-01,9.02,9.38,9.02,9.3,NSIF2
2023-08-02,9.38,9.38,9.2,9.2,NSIF2
2023-08-03,9.2,9.41,9.1,9.41,NSIF2
2023-08-06,9.23,9.25,9.2,9.21,NSIF2
2023-08-07,9.07,9.21,9.07,9.21,NSIF2
2023-08-08,9.03,9.03,9.01,9.03,NSIF2
2023-08-09,8.86,8.96,8.86,8.96,NSIF2
2023-08-10,8.92,9.31,8.92,9.13,NSIF2
2023-08-13,8.95,9.12,8.85,8.85,NSIF2
2023-08-14,8.68,9.0,8.68,9.0,NSIF2
2023-08-15,8.85,8.87,8.85,8.87,NSIF2
2023-08-16,8.7,8.75,8.7,8.75,NSIF2
2023-08-17,8.8,8.8,8.65,8.65,NSIF2
2023-08-20,8.65,8.65,8.61,8.63,NSIF2
2023-08-21,8.6,8.87,8.6,8.75,NSIF2
2023-08-22,8.7,8.72,8.7,8.72,NSIF2
2023-08-23,8.59,8.95,8.59,8.95,NSIF2
2023-08-24,8.8,8.85,8.8,8.83,NSIF2
2023-08-27,8.83,8.85,8.8,8.84,NSIF2
2023-08-28,8.68,8.9,8.68,8.9,NSIF2
2023-08-29,9.0,9.25,9.0,9.25,NSIF2
2023-08-30,9.07,9.07,8.89,8.89,NSIF2
2023-09-03,8.72,8.89,8.72,8.8,NSIF2
2023-09-04,8.71,8.9,8.71,8.9,NSIF2
2023-09-05,8.9,9.18,8.83,9.18,NSIF2
2023-09-07,9.0,9.18,8.89,9.18,NSIF2
2023-09-10,9.0,9.0,8.86,8.86,NSIF2
2023-09-11,8.8,9.14,8.8,9.0,NSIF2
2023-09-12,8.84,9.0,8.84,9.0,NSIF2
2023-09-13,8.82,8.97,8.8,8.86,NSIF2
2023-09-17,8.7,8.85,8.7,8.85,NSIF2
2023-09-18,9.0,9.02,9.0,9.02,NSIF2
2023-09-19,9.0,9.0,9.0,9.0,NSIF2
2023-09-21,8.82,8.82,8.7,8.8,NSIF2
2023-09-24,8.63,8.72,8.63,8.69,NSIF2
2023-09-25,8.68,8.7,8.68,8.7,NSIF2
2023-09-26,8.64,8.7,8.64,8.7,NSIF2
2023-09-27,8.7,8.88,8.7,8.88,NSIF2
2023-10-01,8.71,8.71,8.5,8.63,NSIF2
2023-10-02,8.63,8.75,8.63,8.65,NSIF2
2023-10-03,8.65,8.91,8.65,8.9,NSIF2
2023-10-04,8.73,8.73,8.64,8.71,NSIF2
2023-10-05,8.6,8.85,8.6,8.78,NSIF2
2023-10-08,8.67,8.84,8.67,8.84,NSIF2
2023-10-09,8.67,9.01,8.67,8.83,NSIF2
2023-10-10,8.83,8.83,8.64,8.8,NSIF2
2023-10-11,8.64,8.68,8.64,8.64,NSIF2
2023-10-12,8.55,8.7,8.55,8.63,NSIF2
2023-10-16,8.56,8.63,8.56,8.63,NSIF2
2023-10-17,8.6,8.8,8.6,8.64,NSIF2
2023-10-18,8.51,8.64,8.51,8.64,NSIF2
2023-10-19,8.48,8.62,8.48,8.62,NSIF2
2023-10-29,8.64,8.65,8.64,8.65,NSIF2
2023-10-30,8.65,8.65,8.64,8.64,NSIF2
2023-10-31,8.6,8.7,8.6,8.7,NSIF2
2023-11-01,8.64,8.66,8.64,8.66,NSIF2
2023-11-02,8.63,8.64,8.63,8.64,NSIF2
2023-11-05,8.47,8.47,8.47,8.47,NSIF2
2023-11-06,8.4,8.5,8.4,8.5,NSIF2
2023-11-07,8.35,8.61,8.35,8.61,NSIF2
2023-11-08,8.65,8.67,8.65,8.67,NSIF2
2023-11-09,8.64,8.64,8.64,8.64,NSIF2
2023-11-20,8.5,8.63,8.5,8.63,NSIF2
2023-11-21,8.55,9.16,8.55,9.16,NSIF2
2023-11-22,9.1,9.1,9.1,9.1,NSIF2
2023-11-23,9.1,9.1,8.92,8.92,NSIF2
2023-11-26,8.75,8.75,8.64,8.7,NSIF2
2023-11-27,8.6,8.7,8.6,8.64,NSIF2
2023-11-28,8.63,8.65,8.63,8.65,NSIF2
2023-11-29,8.63,8.64,8.63,8.64,NSIF2
2023-11-30,8.64,8.64,8.53,8.6,NSIF2
2023-12-03,8.55,8.68,8.55,8.65,NSIF2
2023-12-04,8.63,8.64,8.63,8.63,NSIF2
2023-12-05,8.61,8.64,8.61,8.63,NSIF2
2023-12-06,8.63,8.63,8.63,8.63,NSIF2
2023-12-07,8.63,8.8,8.63,8.63,NSIF2
2023-12-10,8.46,8.46,8.46,8.46,NSIF2
2023-12-11,8.46,8.75,8.46,8.75,NSIF2
2023-12-12,8.65,8.7,8.63,8.65,NSIF2
2023-12-13,8.55,8.67,8.55,8.67,NSIF2
2023-12-14,8.6,8.77,8.6,8.65,NSIF2
2023-12-17,8.57,8.74,8.57,8.63,NSIF2
2023-12-18,8.71,8.97,8.71,8.97,NSIF2
2023-12-19,8.9,8.94,8.85,8.88,NSIF2
2023-12-20,8.89,9.2,8.72,8.92,NSIF2
2023-12-21,8.75,8.92,8.75,8.82,NSIF2
2023-12-24,8.65,8.82,8.65,8.72,NSIF2
2023-12-27,8.72,9.2,8.72,9.2,NSIF2
2023-12-28,9.11,9.15,9.11,9.15,NSIF2
2024-01-01,9.1,9.15,9.1,9.11,NSIF2
2024-01-02,9.11,9.28,9.0,9.0,NSIF2
2024-01-03,8.9,9.1,8.83,9.0,NSIF2
2024-01-04,8.82,9.0,8.82,8.91,NSIF2
2024-01-07,9.0,9.1,8.92,9.05,NSIF2
2024-01-08,8.98,9.11,8.87,9.1,NSIF2
2024-01-09,9.1,9.39,9.0,9.02,NSIF2
2024-01-10,8.84,9.2,8.84,9.12,NSIF2
2024-01-11,8.94,9.0,8.94,8.95,NSIF2
2024-01-14,8.82,9.28,8.82,9.12,NSIF2
2024-01-16,8.95,9.48,8.95,9.33,NSIF2
2024-01-17,9.15,9.2,9.05,9.15,NSIF2
2024-01-18,9.0,9.33,9.0,9.12,NSIF2
2024-01-21,8.95,9.16,8.95,9.1,NSIF2
2024-01-22,8.96,9.13,8.96,9.0,NSIF2
2024-01-23,9.03,9.39,9.0,9.16,NSIF2
2024-01-24,9.05,9.27,9.05,9.27,NSIF2
2024-01-25,9.09,9.09,8.96,9.07,NSIF2
2024-01-28,9.0,9.2,9.0,9.06,NSIF2
2024-01-29,8.9,9.25,8.9,9.25,NSIF2
2024-01-30,9.1,9.28,9.08,9.28,NSIF2
2024-01-31,9.1,9.15,9.1,9.15,NSIF2
2024-02-01,8.98,9.15,8.98,9.11,NSIF2
2024-02-04,9.1,9.28,8.92,9.28,NSIF2
2024-02-05,9.1,9.12,9.1,9.12,NSIF2
2024-02-06,8.94,9.1,8.94,8.99,NSIF2
2024-02-07,8.9,9.1,8.9,8.98,NSIF2
2024-02-08,8.9,9.0,8.9,9.0,NSIF2
2024-02-11,9.0,9.38,9.0,9.11,NSIF2
2024-02-12,9.1,9.27,9.1,9.15,NSIF2
2024-02-13,9.16,9.3,9.16,9.18,NSIF2
2024-02-14,9.36,9.36,9.18,9.18,NSIF2
2024-02-15,9.36,9.36,9.2,9.22,NSIF2
2024-02-18,9.2,9.38,9.03,9.2,NSIF2
2024-02-20,9.02,9.02,8.84,8.93,NSIF2
2024-02-21,8.95,9.12,8.95,9.0,NSIF2
2024-02-22,9.0,9.07,8.9,9.07,NSIF2
2024-02-25,8.89,9.0,8.89,9.0,NSIF2
2024-02-26,8.83,9.18,8.83,9.0,NSIF2
2024-02-27,8.83,9.0,8.83,9.0,NSIF2
2024-02-28,8.83,9.05,8.83,9.01,NSIF2
2024-02-29,9.02,9.1,9.02,9.04,NSIF2
2024-03-03,9.0,9.23,9.0,9.23,NSIF2
2024-03-04,9.05,9.05,9.05,9.05,NSIF2
2024-03-05,8.93,9.04,8.93,9.04,NSIF2
2024-03-06,8.88,9.0,8.88,8.96,NSIF2
2024-03-07,8.9,9.07,8.83,8.91,NSIF2
2024-03-10,8.74,9.03,8.57,9.03,NSIF2
2024-03-12,9.0,9.18,9.0,9.04,NSIF2
2024-03-13,9.03,9.18,8.93,9.18,NSIF2
2024-03-14,9.18,9.18,9.18,9.18,NSIF2
2024-03-17,9.18,9.18,9.18,9.18,NSIF2
2024-03-18,9.0,9.2,9.0,9.19,NSIF2
2024-03-19,9.18,9.25,9.02,9.24,NSIF2
2024-03-20,9.1,9.2,9.1,9.15,NSIF2
2024-03-21,9.0,9.15,9.0,9.15,NSIF2
2024-03-25,9.01,9.45,9.01,9.19,NSIF2
2024-03-26,9.25,9.45,9.25,9.36,NSIF2
2024-03-27,9.3,9.58,9.3,9.58,NSIF2
2024-03-28,9.39,9.57,9.39,9.57,NSIF2
2024-03-31,9.5,9.5,9.38,9.5,NSIF2
2024-04-01,9.31,9.35,9.31,9.35,NSIF2
2024-04-02,9.35,9.53,9.35,9.42,NSIF2
2024-04-03,9.42,9.6,9.42,9.55,NSIF2
