date,open,high,low,close,symbol
2021-09-01,580.0,625.0,578.2,605.0,OHL
2021-09-02,615.0,620.0,588.0,591.0,OHL
2021-09-05,591.0,595.0,542.0,550.0,OHL
2021-09-06,561.0,596.0,550.0,596.0,OHL
2021-09-07,607.9,607.9,570.0,570.0,OHL
2021-09-08,562.1,572.0,559.0,560.0,OHL
2021-09-09,550.0,571.0,550.0,558.0,OHL
2021-09-12,569.0,579.0,568.0,568.0,OHL
2021-09-13,572.0,591.6,565.0,578.0,OHL
2021-09-14,585.0,585.0,560.0,570.0,OHL
2021-09-15,565.0,570.0,558.0,566.0,OHL
2021-09-16,555.0,561.0,550.0,550.0,OHL
2021-09-20,546.0,550.0,506.0,510.0,OHL
2021-09-21,500.0,544.0,500.0,518.0,OHL
2021-09-22,520.0,550.0,520.0,550.0,OHL
2021-09-23,561.0,561.0,532.0,535.0,OHL
2021-09-26,524.4,528.0,522.0,528.0,OHL
2021-09-27,520.0,520.0,497.0,500.0,OHL
2021-09-28,490.0,520.0,490.0,506.0,OHL
2021-09-29,516.1,516.1,490.0,514.6,OHL
2021-09-30,505.0,514.0,496.1,497.0,OHL
2021-10-03,488.0,495.0,475.0,476.0,OHL
2021-10-04,466.6,504.5,457.2,468.0,OHL
2021-10-05,472.1,502.5,472.1,485.1,OHL
2021-10-06,494.8,498.9,490.1,495.0,OHL
2021-10-10,495.0,509.0,495.0,500.0,OHL
2021-10-11,491.0,495.0,480.0,489.0,OHL
2021-10-17,482.1,507.9,482.1,500.0,OHL
2021-10-18,499.0,500.0,480.5,485.0,OHL
2021-10-19,493.9,494.0,468.0,471.0,OHL
2021-10-20,480.4,499.8,480.4,496.0,OHL
2021-10-21,487.0,487.0,480.0,480.0,OHL
2021-10-24,480.0,496.0,478.0,495.7,OHL
2021-10-25,491.0,510.0,486.0,506.0,OHL
2021-10-26,516.0,556.0,496.0,525.0,OHL
2021-10-27,515.0,540.6,506.2,515.0,OHL
2021-10-28,510.0,515.0,505.0,505.3,OHL
2021-10-31,515.4,536.2,515.4,525.0,OHL
2021-11-01,535.5,548.0,513.0,535.0,OHL
2021-11-02,540.0,545.7,525.0,535.0,OHL
2021-11-03,545.0,555.0,529.0,535.0,OHL
2021-11-08,540.0,540.0,528.0,532.5,OHL
2021-11-09,532.4,532.4,501.0,501.0,OHL
2021-11-11,495.0,500.0,486.0,488.0,OHL
2021-11-14,486.0,503.0,483.2,492.0,OHL
2021-11-15,494.0,511.0,494.0,511.0,OHL
2021-11-16,520.0,520.0,503.0,520.0,OHL
2021-11-17,529.0,542.6,512.0,519.0,OHL
2021-11-18,515.0,517.0,502.0,502.0,OHL
2021-11-21,502.0,517.0,500.0,508.1,OHL
2021-11-22,515.0,527.7,507.0,510.0,OHL
2021-11-23,507.0,515.0,492.0,495.0,OHL
2021-11-24,500.0,506.9,490.0,506.9,OHL
2021-11-25,500.0,537.5,500.0,523.5,OHL
2021-11-28,514.0,514.0,499.0,499.0,OHL
2021-11-29,489.1,508.7,489.1,494.8,OHL
2021-11-30,490.5,500.0,486.1,499.0,OHL
2021-12-01,500.0,500.0,490.0,491.0,OHL
2021-12-02,499.9,499.9,484.0,484.0,OHL
2021-12-05,475.0,479.0,457.1,457.2,OHL
2021-12-06,456.0,480.0,450.0,475.0,OHL
2021-12-07,484.5,484.5,470.0,470.0,OHL
2021-12-08,461.0,461.0,455.0,455.0,OHL
2021-12-09,448.0,465.0,448.0,453.0,OHL
2021-12-12,458.0,466.0,446.1,449.0,OHL
2021-12-13,441.0,446.0,430.0,435.0,OHL
2021-12-14,443.7,472.2,443.7,471.0,OHL
2021-12-15,480.0,489.6,456.2,456.7,OHL
2021-12-16,450.1,456.0,450.0,451.0,OHL
2021-12-20,442.5,445.0,439.0,442.4,OHL
2021-12-21,451.2,457.0,443.0,456.0,OHL
2021-12-22,450.1,487.0,450.1,468.5,OHL
2021-12-23,468.0,486.0,460.0,482.0,OHL
2021-12-26,491.0,493.0,472.2,477.0,OHL
2021-12-27,485.0,495.0,466.0,467.0,OHL
2021-12-28,467.0,476.0,457.0,472.0,OHL
2021-12-29,463.1,479.0,463.1,474.0,OHL
2022-01-02,480.0,480.0,471.0,476.0,OHL
2022-01-03,485.0,488.9,470.1,475.0,OHL
2022-01-04,468.0,485.0,468.0,485.0,OHL
2022-01-05,476.2,477.5,470.0,470.0,OHL
2022-01-06,477.0,485.0,471.0,485.0,OHL
2022-01-09,490.0,490.0,475.1,485.0,OHL
2022-01-10,480.0,493.0,476.0,490.0,OHL
2022-01-11,485.5,519.0,485.0,510.0,OHL
2022-01-12,520.2,520.2,481.2,489.0,OHL
2022-01-13,498.7,507.0,487.0,505.0,OHL
2022-01-16,506.0,522.0,502.1,503.1,OHL
2022-01-17,508.0,518.0,505.0,515.0,OHL
2022-01-18,504.8,566.0,504.8,534.0,OHL
2022-01-19,540.0,540.0,516.1,516.4,OHL
2022-01-20,517.0,530.0,517.0,522.0,OHL
2022-01-23,515.1,522.0,510.0,522.0,OHL
2022-01-24,520.0,520.0,485.0,485.0,OHL
2022-01-25,494.7,504.0,485.0,500.0,OHL
2022-01-26,490.0,504.5,490.0,504.5,OHL
2022-01-27,503.0,505.0,495.0,498.0,OHL
2022-01-30,507.9,525.0,504.8,522.0,OHL
2022-01-31,511.6,521.0,505.0,515.0,OHL
2022-02-01,520.0,520.0,500.0,510.0,OHL
2022-02-03,501.0,530.0,501.0,507.5,OHL
2022-02-06,499.0,508.0,490.6,506.0,OHL
2022-02-07,502.8,508.0,499.0,508.0,OHL
2022-02-08,518.1,519.0,500.0,510.0,OHL
2022-02-09,510.0,515.0,506.0,514.0,OHL
2022-02-10,520.0,523.0,506.1,511.0,OHL
2022-02-13,501.0,501.0,491.0,491.0,OHL
2022-02-14,500.8,500.8,480.0,492.0,OHL
2022-02-15,484.0,503.0,483.7,503.0,OHL
2022-02-16,493.1,503.0,478.1,495.0,OHL
2022-02-17,499.0,500.0,490.0,491.0,OHL
2022-02-20,481.2,490.6,472.4,486.0,OHL
2022-02-21,486.0,503.0,486.0,491.1,OHL
2022-02-22,498.9,507.0,491.0,499.0,OHL
2022-02-23,493.1,493.1,491.0,491.1,OHL
2022-02-24,491.0,491.0,477.0,480.0,OHL
2022-02-27,480.0,484.0,465.0,474.0,OHL
2022-02-28,483.0,483.0,464.6,470.0,OHL
2022-03-02,464.0,470.0,460.6,460.6,OHL
2022-03-06,469.0,469.8,452.0,461.0,OHL
2022-03-07,470.0,470.0,452.0,452.0,OHL
2022-03-09,453.0,453.0,440.0,445.0,OHL
2022-03-10,450.0,464.0,450.0,464.0,OHL
2022-03-13,465.0,491.6,465.0,490.0,OHL
2022-03-14,495.0,495.0,475.5,490.0,OHL
2022-03-15,489.0,527.9,475.0,499.9,OHL
2022-03-16,500.0,518.0,490.0,515.0,OHL
2022-03-20,515.0,515.0,500.0,502.0,OHL
2022-03-21,501.0,510.0,496.0,508.0,OHL
2022-03-22,510.0,510.0,495.0,500.0,OHL
2022-03-23,496.0,505.0,495.0,495.0,OHL
2022-03-24,494.9,495.0,487.0,487.0,OHL
2022-03-27,481.6,500.0,481.6,488.0,OHL
2022-03-28,490.0,490.0,481.1,488.0,OHL
2022-03-29,482.2,493.0,482.2,491.0,OHL
2022-03-30,485.0,508.9,485.0,508.0,OHL
2022-03-31,500.0,500.0,492.4,492.4,OHL
2022-04-03,490.1,495.0,490.0,490.0,OHL
2022-04-04,494.9,500.0,489.0,489.0,OHL
2022-04-05,483.0,495.0,480.0,493.0,OHL
2022-04-06,493.0,509.3,490.0,503.0,OHL
2022-04-07,505.0,523.0,503.0,513.0,OHL
2022-04-11,516.0,516.0,496.0,500.0,OHL
2022-04-12,508.9,509.0,500.0,500.0,OHL
2022-04-13,500.0,512.0,500.0,510.0,OHL
2022-04-17,508.0,515.0,499.8,510.0,OHL
2022-04-18,502.0,502.0,490.0,490.0,OHL
2022-04-19,499.8,500.0,485.0,499.0,OHL
2022-04-20,508.8,508.8,487.0,487.0,OHL
2022-04-21,496.0,496.0,482.0,494.0,OHL
2022-04-24,503.0,513.0,490.0,512.0,OHL
2022-04-25,501.8,520.0,501.8,512.0,OHL
2022-04-26,521.0,521.0,505.5,510.5,OHL
2022-04-27,510.0,523.0,505.1,521.0,OHL
2022-04-28,521.0,521.0,515.0,515.1,OHL
2022-05-02,517.0,518.1,497.9,501.2,OHL
2022-05-04,511.2,511.2,495.0,495.0,OHL
2022-05-05,486.0,495.0,485.1,495.0,OHL
2022-05-08,500.0,502.0,493.0,495.1,OHL
2022-05-09,501.0,515.1,501.0,503.1,OHL
2022-05-10,505.0,513.0,505.0,512.9,OHL
2022-05-11,503.0,520.0,503.0,520.0,OHL
2022-05-12,523.0,529.0,502.0,507.0,OHL
2022-05-17,497.0,498.0,488.0,492.0,OHL
2022-05-18,501.0,501.8,490.0,499.0,OHL
2022-05-19,495.0,495.0,490.0,490.0,OHL
2022-05-20,499.0,508.0,492.1,492.1,OHL
2022-05-23,483.0,500.0,480.0,490.0,OHL
2022-05-24,481.0,499.0,481.0,499.0,OHL
2022-05-25,498.9,500.0,481.0,498.9,OHL
2022-05-26,489.1,496.5,489.0,493.0,OHL
2022-05-27,490.0,490.0,485.0,486.1,OHL
2022-05-30,487.0,487.0,473.1,473.1,OHL
2022-05-31,465.3,482.0,465.3,472.5,OHL
2022-06-01,466.2,475.5,466.2,470.1,OHL
2022-06-02,478.0,480.0,471.3,471.3,OHL
2022-06-03,467.2,475.5,463.3,463.3,OHL
2022-06-06,460.1,480.0,457.2,468.5,OHL
2022-06-07,470.0,476.9,467.5,470.0,OHL
2022-06-08,465.0,483.9,465.0,479.0,OHL
2022-06-09,485.0,485.0,461.0,477.0,OHL
2022-06-10,468.0,484.0,467.9,477.0,OHL
2022-06-13,468.5,476.0,452.1,452.2,OHL
2022-06-14,446.0,461.2,437.2,437.2,OHL
2022-06-15,432.0,440.0,421.4,422.0,OHL
2022-06-16,430.3,447.0,421.4,439.0,OHL
2022-06-17,447.0,455.0,428.3,436.8,OHL
2022-06-19,445.0,453.9,423.0,425.0,OHL
2022-06-20,416.5,431.0,416.5,431.0,OHL
2022-06-21,439.0,445.7,430.0,430.0,OHL
2022-06-22,438.6,447.3,423.0,437.5,OHL
2022-06-23,437.5,442.0,422.0,424.0,OHL
2022-06-24,422.0,440.0,418.0,430.0,OHL
2022-06-26,438.0,459.0,438.0,459.0,OHL
2022-06-27,451.0,460.0,439.5,448.0,OHL
2022-06-28,439.1,455.9,439.1,450.0,OHL
2022-06-29,450.0,467.0,445.1,458.0,OHL
2022-06-30,465.0,478.6,462.5,478.6,OHL
2022-07-01,469.2,478.0,469.2,470.0,OHL
2022-07-03,474.0,490.0,474.0,480.0,OHL
2022-07-04,471.0,489.9,463.1,485.0,OHL
2022-07-05,485.0,488.0,469.0,473.0,OHL
2022-07-06,465.0,475.0,465.0,475.0,OHL
2022-07-07,466.0,475.0,466.0,467.0,OHL
2022-07-08,458.0,458.0,449.0,453.0,OHL
2022-07-11,453.0,453.0,431.2,450.0,OHL
2022-07-12,441.0,459.0,436.2,458.9,OHL
2022-07-13,449.8,477.3,449.8,477.3,OHL
2022-07-14,467.8,485.5,458.5,485.0,OHL
2022-07-15,494.5,494.5,473.4,483.0,OHL
2022-07-17,475.0,480.0,474.0,474.0,OHL
2022-07-18,483.0,506.0,475.2,497.0,OHL
2022-07-19,506.8,511.5,494.0,502.0,OHL
2022-07-20,511.0,520.0,482.2,498.9,OHL
2022-07-21,505.0,505.0,483.0,488.0,OHL
2022-07-22,496.0,496.0,472.4,472.4,OHL
2022-07-24,463.5,490.0,463.5,486.0,OHL
2022-07-25,494.0,495.0,477.0,494.5,OHL
2022-07-26,504.0,504.0,478.0,480.0,OHL
2022-07-27,489.0,496.0,480.0,486.0,OHL
2022-07-28,478.1,500.0,475.3,475.3,OHL
2022-07-29,484.0,500.0,477.0,490.0,OHL
2022-07-31,498.0,514.0,495.0,514.0,OHL
2022-08-01,504.0,512.0,495.0,510.0,OHL
2022-08-02,500.0,520.0,500.0,514.0,OHL
