date,open,high,low,close,symbol
2022-08-18,1000.0,1000.0,980.0,980.0,PBD88
2022-09-07,960.4,960.4,922.4,922.4,PBD88
2022-09-08,904.0,904.0,880.0,880.0,PBD88
2022-09-11,862.5,879.0,862.4,862.4,PBD88
2022-09-12,862.4,862.4,862.4,862.4,PBD88
2022-09-13,849.4,865.0,849.4,860.0,PBD88
2022-09-14,860.0,860.0,860.0,860.0,PBD88
2022-09-15,860.0,860.0,842.0,842.0,PBD88
2022-09-16,839.0,839.0,815.2,815.2,PBD88
2022-09-18,825.0,825.0,825.0,825.0,PBD88
2022-09-20,815.0,815.1,815.0,815.0,PBD88
2022-09-21,806.0,815.0,798.0,815.0,PBD88
2022-09-25,817.0,822.1,817.0,822.1,PBD88
2022-09-27,810.1,810.1,810.1,810.1,PBD88
2022-09-28,810.1,842.5,810.1,820.0,PBD88
2022-09-29,820.0,820.0,820.0,820.0,PBD88
2022-10-09,820.3,820.3,820.3,820.3,PBD88
2022-10-10,825.0,825.0,825.0,825.0,PBD88
2022-10-11,822.0,822.0,822.0,822.0,PBD88
2022-10-12,816.5,835.0,816.5,833.0,PBD88
2022-10-13,826.0,831.0,826.0,831.0,PBD88
2022-10-16,831.0,831.0,831.0,831.0,PBD88
2022-10-17,832.1,840.0,832.1,839.1,PBD88
2022-10-19,832.1,832.1,832.1,832.1,PBD88
2022-10-20,833.0,833.0,832.3,832.3,PBD88
2022-10-23,836.0,853.0,836.0,853.0,PBD88
2022-10-31,837.0,837.0,837.0,837.0,PBD88
2022-11-01,837.0,837.0,837.0,837.0,PBD88
2022-11-02,822.0,825.5,821.3,825.5,PBD88
2022-11-03,835.0,835.0,829.2,829.2,PBD88
2022-11-06,829.7,829.7,821.8,821.8,PBD88
2022-11-07,821.8,827.0,821.8,826.0,PBD88
2022-11-08,828.0,830.0,828.0,830.0,PBD88
2022-11-10,831.0,831.0,831.0,831.0,PBD88
2022-11-13,831.4,831.4,830.0,830.4,PBD88
2022-11-14,830.2,830.7,830.2,830.7,PBD88
2022-11-15,831.2,835.0,831.2,832.1,PBD88
2022-11-16,832.2,835.4,832.1,832.1,PBD88
2022-11-22,832.0,832.0,832.0,832.0,PBD88
2022-11-24,830.2,830.2,830.2,830.2,PBD88
2022-11-27,833.0,833.4,833.0,833.4,PBD88
2022-11-29,830.3,830.3,830.3,830.3,PBD88
2022-11-30,833.1,833.3,833.1,833.3,PBD88
2022-12-01,834.0,834.0,833.2,833.2,PBD88
2022-12-04,833.1,837.0,821.0,830.2,PBD88
2022-12-06,830.0,830.0,827.0,827.0,PBD88
2022-12-07,832.7,833.9,832.7,833.9,PBD88
2022-12-11,825.1,825.1,825.1,825.1,PBD88
2022-12-12,830.7,831.1,830.7,831.1,PBD88
2022-12-13,831.3,837.3,831.1,837.3,PBD88
2022-12-15,831.3,831.4,831.3,831.4,PBD88
2022-12-18,832.0,832.0,832.0,832.0,PBD88
2022-12-20,830.0,830.0,827.7,828.0,PBD88
2022-12-21,828.2,828.2,828.2,828.2,PBD88
2022-12-22,828.2,828.2,828.2,828.2,PBD88
2022-12-26,831.1,831.5,831.1,831.5,PBD88
2022-12-27,830.0,849.7,830.0,849.7,PBD88
2022-12-28,833.3,849.0,833.3,849.0,PBD88
2022-12-29,833.6,833.6,833.6,833.6,PBD88
2023-01-01,840.0,840.0,840.0,840.0,PBD88
2023-01-02,840.0,840.0,840.0,840.0,PBD88
2023-01-03,856.8,856.8,856.0,856.0,PBD88
2023-01-04,870.0,889.0,870.0,889.0,PBD88
2023-01-05,872.0,872.0,872.0,872.0,PBD88
2023-01-08,872.0,872.0,855.0,855.0,PBD88
2023-01-09,855.0,855.0,855.0,855.0,PBD88
2023-01-10,854.1,855.1,854.1,855.1,PBD88
2023-01-12,869.0,869.0,869.0,869.0,PBD88
2023-01-17,851.7,851.7,834.0,834.0,PBD88
2023-01-18,820.1,821.0,818.0,821.0,PBD88
2023-01-19,804.8,812.0,800.3,800.3,PBD88
2023-01-23,815.0,815.0,810.1,810.1,PBD88
2023-01-25,825.0,841.0,825.0,841.0,PBD88
2023-01-29,825.0,840.0,825.0,825.0,PBD88
2023-01-30,832.0,832.0,830.0,830.0,PBD88
2023-01-31,838.7,839.0,838.7,839.0,PBD88
2023-02-01,823.0,823.0,823.0,823.0,PBD88
2023-02-02,815.1,815.1,815.1,815.1,PBD88
2023-02-05,812.3,812.3,812.3,812.3,PBD88
2023-02-06,810.0,810.0,810.0,810.0,PBD88
2023-02-07,811.0,827.0,811.0,815.0,PBD88
2023-02-09,808.1,808.1,808.1,808.1,PBD88
2023-02-12,807.9,820.0,807.9,820.0,PBD88
2023-02-14,807.6,807.6,805.9,806.0,PBD88
2023-02-15,822.0,823.0,807.1,807.1,PBD88
2023-02-20,809.2,809.2,809.2,809.2,PBD88
2023-02-22,815.0,815.0,815.0,815.0,PBD88
2023-02-23,802.9,802.9,802.9,802.9,PBD88
2023-02-26,803.0,803.0,795.5,796.0,PBD88
2023-02-27,791.7,794.1,791.7,794.1,PBD88
2023-03-01,792.3,792.3,792.3,792.3,PBD88
2023-03-12,790.1,790.1,790.1,790.1,PBD88
2023-03-13,805.9,806.0,805.9,806.0,PBD88
2023-03-15,800.1,800.1,800.1,800.1,PBD88
2023-03-16,816.1,820.0,805.1,820.0,PBD88
2023-03-19,836.3,836.3,805.0,805.0,PBD88
2023-03-20,805.0,805.0,805.0,805.0,PBD88
2023-03-22,821.1,821.1,821.1,821.1,PBD88
2023-03-23,805.2,810.1,805.2,810.1,PBD88
2023-03-26,800.2,809.0,800.1,809.0,PBD88
2023-03-27,806.2,810.0,806.2,810.0,PBD88
2023-03-28,805.1,805.1,805.1,805.1,PBD88
2023-03-29,821.2,821.2,806.0,806.0,PBD88
2023-03-30,806.7,809.0,806.7,809.0,PBD88
2023-04-02,804.1,825.0,804.1,825.0,PBD88
2023-04-03,839.8,839.8,839.8,839.8,PBD88
2023-04-04,823.1,839.4,823.1,839.4,PBD88
2023-04-06,825.0,830.0,823.0,825.0,PBD88
2023-04-09,828.1,840.9,828.1,832.0,PBD88
2023-04-10,835.0,835.0,835.0,835.0,PBD88
2023-04-11,820.0,820.0,815.2,815.2,PBD88
2023-04-12,830.0,870.0,825.4,870.0,PBD88
2023-04-13,853.0,880.1,846.0,880.1,PBD88
2023-04-16,897.0,897.0,897.0,897.0,PBD88
2023-04-17,897.0,897.0,880.0,880.0,PBD88
2023-04-18,897.6,897.6,897.6,897.6,PBD88
2023-04-23,880.0,880.0,880.0,880.0,PBD88
2023-04-24,865.0,865.0,865.0,865.0,PBD88
2023-04-25,847.8,847.8,847.8,847.8,PBD88
2023-04-26,840.1,840.1,837.5,837.5,PBD88
2023-04-27,831.0,831.0,830.8,830.8,PBD88
2023-04-30,821.0,821.0,821.0,821.0,PBD88
2023-05-02,835.0,851.7,835.0,844.4,PBD88
2023-05-03,844.3,846.1,844.3,846.1,PBD88
2023-05-04,863.0,863.0,863.0,863.0,PBD88
2023-05-07,875.0,875.0,875.0,875.0,PBD88
2023-05-08,860.0,860.0,858.0,858.0,PBD88
2023-05-09,861.0,861.0,860.0,860.0,PBD88
2023-05-10,877.2,877.2,877.2,877.2,PBD88
2023-05-14,875.0,875.0,875.0,875.0,PBD88
2023-05-16,865.0,865.0,860.0,860.0,PBD88
2023-05-17,865.0,866.0,865.0,866.0,PBD88
2023-05-18,866.0,866.0,866.0,866.0,PBD88
2023-05-21,855.0,860.0,855.0,860.0,PBD88
2023-05-22,861.0,861.0,861.0,861.0,PBD88
2023-05-23,870.0,870.0,870.0,870.0,PBD88
2023-05-28,870.0,870.0,870.0,870.0,PBD88
2023-05-30,865.0,880.0,865.0,880.0,PBD88
2023-06-01,870.2,870.2,870.2,870.2,PBD88
2023-06-05,887.4,887.4,887.4,887.4,PBD88
2023-06-07,880.0,880.0,875.0,875.0,PBD88
2023-06-08,865.0,865.0,862.2,862.2,PBD88
2023-06-11,865.2,870.0,865.0,866.2,PBD88
2023-06-12,870.0,877.0,870.0,877.0,PBD88
2023-06-14,881.0,894.0,881.0,894.0,PBD88
2023-06-15,900.0,912.9,895.0,912.9,PBD88
2023-06-18,900.1,900.1,900.1,900.1,PBD88
2023-06-19,890.0,907.8,890.0,903.0,PBD88
2023-06-20,918.5,919.0,918.5,919.0,PBD88
2023-06-21,905.0,905.0,901.0,901.0,PBD88
2023-06-22,905.0,911.0,898.0,898.0,PBD88
2023-06-25,900.0,914.0,900.0,914.0,PBD88
2023-06-26,900.0,910.0,900.0,910.0,PBD88
2023-06-27,910.0,910.0,901.0,910.0,PBD88
2023-06-28,905.0,915.0,905.0,915.0,PBD88
2023-07-02,905.0,905.0,905.0,905.0,PBD88
2023-07-03,919.9,919.9,915.0,915.0,PBD88
2023-07-04,932.7,946.5,932.7,946.5,PBD88
2023-07-05,960.0,964.9,960.0,964.9,PBD88
2023-07-06,979.9,979.9,959.0,960.0,PBD88
2023-07-09,950.0,950.0,950.0,950.0,PBD88
2023-07-10,951.0,951.0,933.2,933.2,PBD88
2023-07-11,940.0,940.0,940.0,940.0,PBD88
2023-07-13,921.2,968.9,921.2,968.9,PBD88
2023-07-16,975.0,988.0,950.0,950.0,PBD88
2023-07-17,931.0,931.0,895.0,912.0,PBD88
2023-07-19,894.0,894.0,870.1,871.1,PBD88
2023-07-20,888.5,900.0,888.5,900.0,PBD88
2023-07-23,890.0,905.0,890.0,900.0,PBD88
2023-07-24,916.8,917.0,900.0,900.0,PBD88
2023-07-25,882.2,901.0,882.2,900.0,PBD88
2023-07-26,900.0,910.0,900.0,910.0,PBD88
2023-07-27,915.0,915.0,905.0,905.0,PBD88
2023-07-30,905.0,906.0,900.0,903.0,PBD88
2023-07-31,920.0,921.0,915.0,915.0,PBD88
2023-08-02,899.0,900.0,899.0,900.0,PBD88
2023-08-03,890.0,896.0,890.0,896.0,PBD88
2023-08-06,891.0,891.0,885.0,885.0,PBD88
2023-08-07,869.5,881.0,869.5,881.0,PBD88
2023-08-08,895.0,895.0,878.0,878.0,PBD88
2023-08-09,863.0,895.5,863.0,895.5,PBD88
2023-08-10,895.0,900.0,882.0,882.0,PBD88
2023-08-13,865.5,880.0,865.5,880.0,PBD88
2023-08-14,880.0,880.0,880.0,880.0,PBD88
2023-08-16,885.0,897.6,885.0,885.0,PBD88
2023-08-17,887.3,902.0,887.3,902.0,PBD88
2023-08-20,885.0,900.0,885.0,900.0,PBD88
2023-08-21,891.5,918.0,891.5,918.0,PBD88
2023-08-22,900.0,917.9,900.0,917.9,PBD88
2023-08-23,900.0,905.0,890.0,905.0,PBD88
2023-08-24,887.0,887.0,887.0,887.0,PBD88
2023-08-27,887.0,903.0,885.0,885.0,PBD88
2023-08-28,902.7,920.0,900.0,900.0,PBD88
2023-08-29,918.0,918.0,885.0,885.0,PBD88
2023-08-30,890.0,890.0,873.1,873.1,PBD88
2023-09-03,890.5,908.3,890.5,908.3,PBD88
2023-09-04,894.0,911.8,894.0,911.8,PBD88
2023-09-05,911.0,911.0,911.0,911.0,PBD88
2023-09-10,903.0,912.9,894.0,912.9,PBD88
2023-09-11,894.7,912.0,885.0,905.0,PBD88
2023-09-12,886.9,904.6,886.9,904.6,PBD88
2023-09-17,921.5,922.6,921.5,922.6,PBD88
2023-09-18,904.2,904.2,904.2,904.2,PBD88
2023-09-21,910.0,910.0,892.0,892.0,PBD88
2023-09-25,893.0,893.0,893.0,893.0,PBD88
2023-09-26,890.0,890.0,890.0,890.0,PBD88
2023-09-27,890.0,890.0,885.1,885.1,PBD88
2023-10-01,880.2,896.0,880.2,896.0,PBD88
2023-10-02,880.1,899.0,880.1,899.0,PBD88
2023-10-03,900.0,900.0,895.0,895.0,PBD88
2023-10-04,912.0,912.0,912.0,912.0,PBD88
2023-10-05,895.0,895.0,895.0,895.0,PBD88
2023-10-08,900.0,900.0,897.0,897.0,PBD88
2023-10-09,898.0,900.0,898.0,900.0,PBD88
2023-10-10,897.0,910.0,893.0,910.0,PBD88
2023-10-11,891.8,891.8,891.8,891.8,PBD88
2023-10-12,885.1,885.1,885.1,885.1,PBD88
2023-10-16,890.0,890.0,890.0,890.0,PBD88
2023-10-17,895.0,895.0,885.0,885.5,PBD88
2023-10-29,872.0,889.4,872.0,889.4,PBD88
2023-10-30,889.8,889.8,889.8,889.8,PBD88
2023-11-01,907.5,910.0,907.5,910.0,PBD88
2023-11-02,910.0,910.0,910.0,910.0,PBD88
2023-11-05,900.0,919.0,900.0,919.0,PBD88
2023-11-07,915.0,915.0,900.0,900.0,PBD88
2023-11-08,905.0,905.0,900.0,900.0,PBD88
2023-11-09,891.0,899.0,891.0,897.0,PBD88
2023-11-20,905.0,910.0,905.0,910.0,PBD88
2023-11-21,901.0,901.0,901.0,901.0,PBD88
2023-11-22,919.0,929.0,903.0,906.0,PBD88
2023-11-23,906.2,940.0,906.2,940.0,PBD88
2023-11-26,935.0,940.0,935.0,940.0,PBD88
2023-11-28,922.1,922.1,922.1,922.1,PBD88
2023-11-29,915.2,915.2,915.2,915.2,PBD88
2023-11-30,915.0,925.0,915.0,924.5,PBD88
2023-12-03,935.0,942.0,935.0,942.0,PBD88
2023-12-04,923.2,932.5,923.2,932.5,PBD88
2023-12-05,944.0,945.0,930.0,930.0,PBD88
2023-12-06,936.0,972.9,935.2,972.9,PBD88
2023-12-07,972.9,1013.0,972.9,1013.0,PBD88
2023-12-11,993.1,993.1,974.0,974.0,PBD88
2023-12-12,967.0,967.0,967.0,967.0,PBD88
