date,open,high,low,close,symbol
2026-04-10,300.0,330.0,300.0,330.0,PCIL
2026-04-13,330.0,363.0,330.0,363.0,PCIL
2026-04-15,370.2,399.3,370.2,399.3,PCIL
2026-04-16,407.2,439.2,407.2,439.2,PCIL
2026-04-17,447.9,483.1,447.9,483.1,PCIL
2026-04-20,507.2,555.5,507.2,555.5,PCIL
2026-04-21,580.0,638.8,580.0,638.8,PCIL
2026-04-22,657.9,734.6,657.9,734.6,PCIL
2026-04-23,756.6,844.7,756.6,844.7,PCIL
2026-04-24,886.2,971.4,886.2,971.4,PCIL
2026-04-27,1019.9,1117.1,1019.9,1117.1,PCIL
2026-04-28,1172.9,1280.0,1025.0,1039.0,PCIL
2026-04-29,1039.0,1090.9,943.2,958.1,PCIL
2026-04-30,940.0,1030.0,885.1,948.0,PCIL
2026-05-04,948.0,960.0,880.1,888.0,PCIL
2026-05-05,888.0,916.7,850.0,897.0,PCIL
2026-05-06,897.0,918.0,875.0,876.0,PCIL
2026-05-07,860.1,890.0,860.0,869.9,PCIL
2026-05-08,850.0,916.0,850.0,897.0,PCIL
2026-05-11,897.0,908.9,887.0,892.0,PCIL
2026-05-12,892.0,901.0,861.0,875.0,PCIL
2026-05-13,835.0,901.0,835.0,865.0,PCIL
2026-05-14,865.0,865.0,840.0,843.0,PCIL
2026-05-15,840.0,860.0,836.0,839.8,PCIL
2026-05-18,840.0,845.0,805.9,811.9,PCIL
2026-05-19,811.9,835.0,800.0,805.0,PCIL
2026-05-20,765.0,827.0,765.0,822.0,PCIL
2026-05-21,827.0,835.9,810.0,812.0,PCIL
2026-05-22,772.0,833.0,772.0,827.0,PCIL
2026-05-25,827.0,860.0,815.0,852.8,PCIL
2026-05-26,854.0,865.0,833.5,839.9,PCIL
2026-05-27,800.0,839.9,800.0,820.0,PCIL
2026-06-01,815.0,818.9,800.0,803.7,PCIL
2026-06-02,763.6,811.0,763.6,793.0,PCIL
2026-06-03,793.0,809.9,793.0,800.0,PCIL
2026-06-04,800.0,805.0,789.0,789.2,PCIL
2026-06-05,749.8,850.0,749.8,780.0,PCIL
2026-06-08,749.8,850.0,749.8,780.0,PCIL
