date,open,high,low,close,symbol
2023-06-08,10.0,10.0,9.81,9.81,PRSF
2023-06-11,9.62,9.62,9.62,9.62,PRSF
2023-06-12,9.43,9.43,8.65,8.65,PRSF
2023-06-13,8.65,8.65,7.78,8.31,PRSF
2023-06-14,8.45,8.47,8.31,8.31,PRSF
2023-06-15,8.15,8.15,8.05,8.05,PRSF
2023-06-18,7.9,8.35,7.9,8.25,PRSF
2023-06-19,8.11,8.37,8.11,8.25,PRSF
2023-06-20,8.25,8.25,8.22,8.25,PRSF
2023-06-21,8.15,8.25,8.15,8.2,PRSF
2023-06-22,8.2,8.2,8.06,8.19,PRSF
2023-06-25,8.19,8.4,8.19,8.26,PRSF
2023-06-26,8.1,8.39,8.1,8.27,PRSF
2023-06-27,8.2,8.51,8.2,8.51,PRSF
2023-06-28,8.34,8.6,8.34,8.6,PRSF
2023-07-02,8.45,8.72,8.45,8.72,PRSF
2023-07-03,8.7,8.7,8.56,8.56,PRSF
2023-07-04,8.42,8.55,8.4,8.55,PRSF
2023-07-05,8.4,8.55,8.4,8.55,PRSF
2023-07-06,8.4,8.5,8.4,8.5,PRSF
2023-07-09,8.35,8.5,8.35,8.5,PRSF
2023-07-10,8.4,8.45,8.4,8.4,PRSF
2023-07-11,8.4,8.56,8.15,8.15,PRSF
2023-07-12,8.3,8.76,8.16,8.59,PRSF
2023-07-13,8.76,9.44,8.59,9.15,PRSF
2023-07-16,9.33,10.06,8.97,9.9,PRSF
2023-07-17,9.71,9.9,9.71,9.71,PRSF
2023-07-19,9.52,9.52,9.52,9.52,PRSF
2023-07-23,9.33,9.33,9.12,9.3,PRSF
2023-08-02,9.12,9.12,8.37,8.37,PRSF
2023-08-03,8.21,8.37,8.21,8.34,PRSF
2023-08-06,8.2,8.26,8.15,8.15,PRSF
2023-08-07,8.15,8.15,8.1,8.12,PRSF
2023-08-08,7.98,8.16,7.91,7.93,PRSF
2023-08-09,7.89,8.05,7.89,8.05,PRSF
2023-08-10,7.91,8.11,7.91,8.11,PRSF
2023-08-13,8.02,8.11,8.02,8.11,PRSF
2023-08-14,8.1,8.27,8.1,8.27,PRSF
2023-08-15,8.11,8.43,8.11,8.43,PRSF
2023-08-16,8.27,8.27,7.97,8.0,PRSF
2023-08-17,7.86,8.0,7.85,7.85,PRSF
2023-08-20,7.7,8.0,7.7,7.82,PRSF
2023-08-21,7.68,7.84,7.68,7.84,PRSF
2023-08-22,7.72,7.89,7.72,7.89,PRSF
2023-08-23,7.93,8.28,7.93,8.28,PRSF
2023-08-24,8.16,8.17,8.16,8.17,PRSF
2023-08-27,8.17,8.2,8.05,8.09,PRSF
2023-08-28,7.94,8.21,7.77,8.11,PRSF
2023-08-29,8.11,8.11,7.96,7.96,PRSF
2023-08-30,7.82,8.07,7.82,8.07,PRSF
2023-09-03,8.0,8.0,7.74,7.9,PRSF
2023-09-04,7.8,7.83,7.8,7.82,PRSF
2023-09-05,7.83,7.9,7.83,7.9,PRSF
2023-09-07,7.77,7.9,7.77,7.81,PRSF
2023-09-10,7.8,8.1,7.8,7.95,PRSF
2023-09-11,7.82,8.1,7.82,7.94,PRSF
2023-09-12,7.9,7.9,7.8,7.88,PRSF
2023-09-13,8.03,8.03,7.83,8.0,PRSF
2023-09-17,8.0,8.16,8.0,8.0,PRSF
2023-09-18,7.84,8.0,7.84,7.89,PRSF
2023-09-19,7.77,7.81,7.77,7.81,PRSF
2023-09-21,7.81,8.43,7.81,8.11,PRSF
2023-09-24,8.0,8.0,7.96,8.0,PRSF
2023-09-25,8.16,8.2,8.04,8.09,PRSF
2023-09-26,7.98,8.03,7.98,8.03,PRSF
2023-09-27,7.93,8.04,7.93,8.04,PRSF
2023-10-01,7.92,8.0,7.92,7.93,PRSF
2023-10-02,7.81,7.86,7.81,7.86,PRSF
2023-10-03,8.01,8.08,7.93,8.0,PRSF
2023-10-04,7.85,8.0,7.85,7.97,PRSF
2023-10-05,7.97,8.03,7.97,8.01,PRSF
2023-10-08,7.92,8.01,7.91,8.0,PRSF
2023-10-09,7.95,8.09,7.94,8.09,PRSF
2023-10-10,7.94,8.0,7.94,7.96,PRSF
2023-10-11,7.86,7.96,7.77,7.96,PRSF
2023-10-12,7.81,7.96,7.73,7.88,PRSF
2023-10-16,7.8,7.8,7.65,7.8,PRSF
2023-10-17,7.65,7.8,7.54,7.57,PRSF
2023-10-18,7.48,7.76,7.48,7.76,PRSF
2023-10-19,7.75,7.91,7.75,7.9,PRSF
2023-10-29,7.77,7.77,7.61,7.68,PRSF
2023-10-30,7.68,7.7,7.57,7.6,PRSF
2023-10-31,7.6,7.9,7.6,7.7,PRSF
2023-11-01,7.6,7.85,7.6,7.76,PRSF
2023-11-02,7.65,7.65,7.65,7.65,PRSF
2023-11-05,7.65,7.8,7.51,7.66,PRSF
2023-11-06,7.7,7.7,7.55,7.7,PRSF
2023-11-07,7.57,7.57,7.56,7.57,PRSF
2023-11-08,7.5,7.56,7.46,7.51,PRSF
2023-11-09,7.66,7.66,7.65,7.66,PRSF
2023-11-20,7.6,7.66,7.59,7.66,PRSF
2023-11-21,7.53,7.9,7.53,7.9,PRSF
2023-11-22,7.75,7.75,7.45,7.62,PRSF
2023-11-23,7.56,7.92,7.47,7.75,PRSF
2023-11-26,7.61,8.04,7.61,7.9,PRSF
2023-11-27,7.86,7.86,7.81,7.81,PRSF
2023-11-28,7.75,7.96,7.75,7.96,PRSF
2023-11-29,7.85,8.0,7.85,7.85,PRSF
2023-11-30,7.72,7.88,7.72,7.88,PRSF
2023-12-03,7.74,8.0,7.73,8.0,PRSF
2023-12-04,8.15,8.15,7.91,7.91,PRSF
2023-12-05,7.79,7.9,7.79,7.79,PRSF
2023-12-06,7.7,8.1,7.7,8.0,PRSF
2023-12-07,7.85,8.0,7.75,7.92,PRSF
2023-12-11,7.85,8.23,7.85,8.23,PRSF
2023-12-12,8.2,8.39,8.2,8.2,PRSF
2023-12-13,8.04,8.08,7.97,8.08,PRSF
2023-12-14,7.95,8.17,7.95,8.17,PRSF
2023-12-17,8.01,8.49,8.01,8.12,PRSF
2023-12-18,8.28,8.57,8.17,8.57,PRSF
2023-12-19,8.52,8.57,8.41,8.43,PRSF
2023-12-20,8.43,8.84,8.43,8.6,PRSF
2023-12-21,8.5,8.87,8.5,8.58,PRSF
2023-12-24,8.41,8.87,8.41,8.87,PRSF
2023-12-27,9.03,9.39,8.85,9.0,PRSF
2023-12-28,9.15,9.4,9.02,9.02,PRSF
2024-01-01,8.9,9.25,8.9,8.9,PRSF
2024-01-02,8.8,9.35,8.8,9.35,PRSF
2024-01-03,9.17,9.17,8.82,8.9,PRSF
2024-01-04,8.9,9.07,8.89,8.89,PRSF
2024-01-07,9.0,9.06,8.89,8.89,PRSF
2024-01-08,8.72,8.72,8.56,8.56,PRSF
2024-01-09,8.56,8.7,8.56,8.7,PRSF
2024-01-10,8.53,8.56,8.53,8.56,PRSF
2024-01-11,8.4,8.75,8.24,8.75,PRSF
2024-01-14,8.6,9.5,8.6,9.5,PRSF
2024-01-16,9.31,9.4,9.14,9.4,PRSF
2024-01-17,9.22,9.41,9.22,9.23,PRSF
2024-01-18,9.05,9.05,8.59,8.59,PRSF
2024-01-21,8.43,8.72,8.43,8.72,PRSF
2024-01-22,8.55,8.69,8.43,8.69,PRSF
