date,open,high,low,close,symbol
2021-09-01,750.2,763.0,725.3,727.0,RLFL
2021-09-02,722.0,744.6,689.1,700.0,RLFL
2021-09-05,686.0,686.0,630.0,630.0,RLFL
2021-09-06,630.0,693.0,613.0,693.0,RLFL
2021-09-07,706.0,719.0,670.0,677.0,RLFL
2021-09-08,677.0,677.0,655.0,657.0,RLFL
2021-09-09,650.0,675.0,645.0,655.0,RLFL
2021-09-12,666.0,698.0,660.0,684.0,RLFL
2021-09-13,697.0,715.0,686.1,693.9,RLFL
2021-09-14,698.0,703.0,676.0,679.0,RLFL
2021-09-15,692.0,692.0,660.0,664.1,RLFL
2021-09-16,660.0,663.0,618.0,632.0,RLFL
2021-09-20,620.0,625.0,569.0,570.0,RLFL
2021-09-21,569.0,627.0,530.0,570.0,RLFL
2021-09-22,581.4,627.0,581.4,627.0,RLFL
2021-09-23,639.5,657.0,620.0,621.0,RLFL
2021-09-26,622.0,622.0,581.0,581.0,RLFL
2021-09-27,578.0,581.1,531.0,549.0,RLFL
2021-09-28,550.0,571.0,499.1,503.0,RLFL
2021-09-29,503.0,549.0,491.0,545.0,RLFL
2021-09-30,555.0,560.0,514.8,520.0,RLFL
2021-10-03,520.0,520.0,487.1,489.0,RLFL
2021-10-04,481.0,498.7,472.0,477.0,RLFL
2021-10-05,486.0,507.0,481.0,500.0,RLFL
2021-10-06,510.0,542.0,504.0,531.0,RLFL
2021-10-10,541.6,555.0,527.0,527.0,RLFL
2021-10-11,527.0,527.0,507.0,518.0,RLFL
2021-10-17,525.0,533.0,510.0,525.5,RLFL
2021-10-18,515.0,515.0,490.0,496.0,RLFL
2021-10-19,494.9,495.8,452.0,462.0,RLFL
2021-10-20,471.2,500.0,465.1,491.0,RLFL
2021-10-21,500.0,500.0,471.8,476.6,RLFL
2021-10-24,480.0,522.0,480.0,519.0,RLFL
2021-10-25,520.0,570.0,519.0,558.0,RLFL
2021-10-26,558.0,593.0,550.0,579.0,RLFL
2021-10-27,579.0,606.9,549.0,580.0,RLFL
2021-10-28,570.0,592.0,558.0,585.0,RLFL
2021-10-31,595.0,614.0,580.0,612.9,RLFL
2021-11-01,622.0,630.0,586.0,599.0,RLFL
2021-11-02,599.0,614.0,581.0,602.0,RLFL
2021-11-03,614.0,616.5,600.0,604.0,RLFL
2021-11-08,616.0,620.0,594.0,596.0,RLFL
2021-11-09,596.0,607.9,546.0,558.0,RLFL
2021-11-11,550.0,572.0,530.0,542.0,RLFL
2021-11-14,542.0,570.0,540.0,555.0,RLFL
2021-11-15,566.1,583.4,559.0,564.0,RLFL
2021-11-16,575.0,586.0,564.0,585.0,RLFL
2021-11-17,596.7,634.0,588.0,621.1,RLFL
2021-11-18,633.5,633.5,606.0,611.0,RLFL
2021-11-21,623.2,623.2,599.1,614.0,RLFL
2021-11-22,620.0,620.0,595.0,595.2,RLFL
2021-11-23,585.0,600.0,570.0,578.0,RLFL
2021-11-24,589.5,600.0,563.5,587.0,RLFL
2021-11-25,590.0,599.0,585.0,586.0,RLFL
2021-11-28,575.0,584.9,554.1,554.1,RLFL
2021-11-29,565.0,580.0,548.0,555.0,RLFL
2021-11-30,544.0,571.0,544.0,555.0,RLFL
2021-12-01,566.0,573.0,552.0,560.0,RLFL
2021-12-02,555.0,557.0,529.0,530.1,RLFL
2021-12-05,520.0,535.0,511.1,515.6,RLFL
2021-12-06,514.9,530.0,488.0,530.0,RLFL
2021-12-07,540.0,540.6,500.0,500.0,RLFL
2021-12-08,505.0,515.0,476.0,479.0,RLFL
2021-12-09,479.0,500.0,461.0,475.0,RLFL
2021-12-12,476.0,480.0,441.0,445.0,RLFL
2021-12-13,437.0,445.7,411.0,418.0,RLFL
2021-12-14,422.0,452.0,420.0,451.0,RLFL
2021-12-15,460.0,489.9,436.0,468.0,RLFL
2021-12-16,470.0,470.0,440.0,446.0,RLFL
2021-12-20,454.9,465.9,445.0,454.0,RLFL
2021-12-21,463.0,490.6,453.0,490.0,RLFL
2021-12-22,498.0,518.1,492.0,514.0,RLFL
2021-12-23,520.0,525.0,500.0,502.0,RLFL
2021-12-26,505.0,511.9,495.1,496.0,RLFL
2021-12-27,505.0,508.0,469.0,472.0,RLFL
2021-12-28,470.0,491.0,460.0,475.0,RLFL
2021-12-29,475.0,488.0,475.0,482.0,RLFL
2022-01-02,487.0,500.0,485.0,494.0,RLFL
2022-01-03,503.0,525.0,499.8,520.0,RLFL
2022-01-04,461.2,477.0,455.0,474.8,RLFL
2022-01-05,480.0,488.9,461.0,474.0,RLFL
2022-01-06,464.6,484.0,460.0,476.0,RLFL
2022-01-09,485.5,506.0,478.0,496.0,RLFL
2022-01-10,505.8,519.0,495.8,513.0,RLFL
2022-01-11,514.0,555.0,511.0,547.0,RLFL
2022-01-12,557.9,570.0,526.0,532.0,RLFL
2022-01-13,530.0,574.0,530.0,552.0,RLFL
2022-01-16,563.0,573.0,557.0,564.0,RLFL
2022-01-17,564.0,568.1,543.0,560.9,RLFL
2022-01-18,569.4,581.0,538.0,550.0,RLFL
2022-01-19,561.0,561.0,530.0,534.0,RLFL
2022-01-20,529.0,551.0,526.0,548.9,RLFL
2022-01-23,548.9,554.8,527.0,534.0,RLFL
2022-01-24,526.0,530.0,494.0,500.0,RLFL
2022-01-25,490.0,527.0,490.0,500.0,RLFL
2022-01-26,500.0,507.0,485.0,490.0,RLFL
2022-01-27,498.0,505.0,490.0,490.0,RLFL
2022-01-30,499.8,529.3,499.0,524.0,RLFL
2022-01-31,530.0,531.0,510.0,515.0,RLFL
2022-02-01,506.1,529.0,505.0,520.0,RLFL
2022-02-03,530.0,530.0,510.7,511.0,RLFL
2022-02-06,500.8,510.0,496.1,500.0,RLFL
2022-02-07,490.0,506.0,482.0,500.0,RLFL
2022-02-08,510.0,522.1,490.2,490.2,RLFL
2022-02-09,490.1,500.0,485.0,491.0,RLFL
2022-02-10,491.0,500.0,485.0,486.0,RLFL
2022-02-13,480.0,480.0,461.0,462.0,RLFL
2022-02-14,464.0,475.0,459.0,469.0,RLFL
2022-02-15,470.0,484.5,460.0,484.5,RLFL
2022-02-16,492.0,493.0,468.0,470.0,RLFL
2022-02-17,475.0,475.0,462.7,464.0,RLFL
2022-02-20,454.8,468.0,445.8,457.0,RLFL
2022-02-21,465.0,468.0,458.5,460.0,RLFL
2022-02-22,469.0,475.0,460.1,467.0,RLFL
2022-02-23,470.0,491.0,470.0,478.0,RLFL
2022-02-24,480.0,480.0,460.0,462.0,RLFL
2022-02-27,470.0,470.0,448.0,455.0,RLFL
2022-02-28,455.0,471.0,440.0,442.0,RLFL
2022-03-02,449.0,450.0,420.0,422.0,RLFL
2022-03-06,428.9,439.0,419.0,423.0,RLFL
2022-03-07,430.0,431.0,416.0,416.1,RLFL
2022-03-09,423.8,423.8,395.0,400.0,RLFL
2022-03-10,400.0,428.0,393.0,427.7,RLFL
2022-03-13,436.0,452.8,432.0,451.0,RLFL
2022-03-14,457.0,457.0,436.0,450.0,RLFL
2022-03-15,449.9,455.0,439.0,439.5,RLFL
2022-03-16,439.5,444.0,433.0,435.0,RLFL
2022-03-20,443.7,448.0,425.0,429.8,RLFL
2022-03-21,430.0,450.0,425.3,443.0,RLFL
2022-03-22,443.0,451.0,440.1,448.0,RLFL
2022-03-23,447.5,447.5,438.0,441.0,RLFL
2022-03-24,435.0,444.0,425.0,428.9,RLFL
2022-03-27,434.0,434.0,406.0,411.0,RLFL
2022-03-28,413.0,419.0,403.0,403.0,RLFL
2022-03-29,411.0,411.0,400.0,405.9,RLFL
2022-03-30,403.0,420.2,403.0,420.2,RLFL
2022-03-31,428.6,429.0,405.0,406.0,RLFL
2022-04-03,400.0,418.2,400.0,406.0,RLFL
2022-04-04,405.0,410.0,400.0,403.0,RLFL
2022-04-05,400.0,400.0,385.0,388.0,RLFL
2022-04-06,382.0,400.0,381.2,386.0,RLFL
2022-04-07,393.7,400.0,385.0,392.0,RLFL
2022-04-11,399.8,406.0,380.0,380.0,RLFL
2022-04-12,380.0,380.0,370.5,375.0,RLFL
2022-04-13,375.0,386.5,370.0,382.0,RLFL
2022-04-17,389.6,389.6,367.1,370.0,RLFL
2022-04-18,366.0,375.0,360.0,361.0,RLFL
2022-04-19,355.0,373.0,355.0,361.0,RLFL
2022-04-20,364.0,365.0,344.0,344.0,RLFL
2022-04-21,338.1,347.0,328.5,341.0,RLFL
2022-04-24,347.0,373.0,335.1,369.0,RLFL
2022-04-25,370.0,391.1,355.1,364.0,RLFL
2022-04-26,364.0,370.0,352.1,360.0,RLFL
2022-04-27,355.0,366.0,352.0,353.1,RLFL
2022-04-28,355.0,364.1,345.0,345.1,RLFL
2022-05-02,340.0,344.9,326.5,329.3,RLFL
2022-05-04,333.0,339.6,322.5,322.5,RLFL
2022-05-05,320.0,327.0,309.0,309.0,RLFL
2022-05-08,312.0,321.0,303.0,321.0,RLFL
2022-05-09,327.0,334.0,315.7,326.0,RLFL
2022-05-10,329.0,336.0,327.0,334.0,RLFL
2022-05-11,340.0,356.0,333.2,356.0,RLFL
2022-05-12,360.0,369.0,343.0,350.0,RLFL
2022-05-17,343.0,343.0,325.0,329.0,RLFL
