date,open,high,low,close,symbol
2023-07-30,10.0,10.0,9.85,9.85,RMF2
2023-07-31,9.66,9.66,9.66,9.66,RMF2
2023-08-02,9.85,9.85,9.85,9.85,RMF2
2023-08-03,10.04,10.04,10.04,10.04,RMF2
2023-08-06,10.24,10.24,10.24,10.24,RMF2
2023-08-07,10.44,10.44,10.44,10.44,RMF2
2023-08-09,10.64,10.64,10.64,10.64,RMF2
2023-08-13,10.43,10.43,10.43,10.43,RMF2
2023-08-24,10.23,10.23,10.23,10.23,RMF2
2023-09-03,10.03,10.03,10.03,10.03,RMF2
2023-09-04,9.83,9.83,9.45,9.45,RMF2
2023-09-05,9.27,9.27,8.5,8.5,RMF2
2023-09-07,8.35,8.35,7.75,7.8,RMF2
2023-09-10,7.8,7.95,7.53,7.95,RMF2
2023-09-11,7.8,7.8,7.67,7.7,RMF2
2023-09-12,7.57,7.7,7.56,7.61,RMF2
2023-09-13,7.46,7.61,7.33,7.61,RMF2
2023-09-17,7.49,7.61,7.49,7.56,RMF2
2023-09-18,7.71,8.16,7.71,8.16,RMF2
2023-09-19,8.0,8.0,7.54,7.7,RMF2
2023-09-21,7.58,7.7,7.58,7.66,RMF2
2023-09-24,7.58,7.7,7.58,7.7,RMF2
2023-09-25,7.58,7.59,7.58,7.59,RMF2
2023-09-26,7.59,7.75,7.57,7.6,RMF2
2023-09-27,7.58,7.61,7.58,7.61,RMF2
2023-10-01,7.57,7.61,7.57,7.61,RMF2
2023-10-02,7.57,7.75,7.57,7.63,RMF2
2023-10-03,7.59,7.6,7.59,7.6,RMF2
2023-10-04,7.58,7.62,7.58,7.62,RMF2
2023-10-05,7.5,7.75,7.5,7.75,RMF2
2023-10-08,7.61,7.63,7.61,7.63,RMF2
2023-10-09,7.7,7.85,7.7,7.85,RMF2
2023-10-10,7.7,7.7,7.56,7.61,RMF2
2023-10-11,7.66,7.71,7.66,7.71,RMF2
2023-10-12,7.7,7.85,7.7,7.85,RMF2
2023-10-16,7.8,7.8,7.64,7.65,RMF2
2023-10-17,7.68,7.7,7.68,7.69,RMF2
2023-10-18,7.6,7.85,7.6,7.7,RMF2
2023-10-19,7.7,7.7,7.55,7.55,RMF2
2023-10-29,7.5,7.5,7.5,7.5,RMF2
2023-10-30,7.37,7.45,7.37,7.45,RMF2
2023-10-31,7.5,7.5,7.5,7.5,RMF2
2023-11-01,7.5,7.5,7.5,7.5,RMF2
2023-11-02,7.37,7.37,7.37,7.37,RMF2
2023-11-05,7.37,7.37,7.37,7.37,RMF2
2023-11-06,7.37,7.37,7.37,7.37,RMF2
2023-11-08,7.3,7.3,7.3,7.3,RMF2
2023-11-09,7.31,7.45,7.31,7.32,RMF2
2023-11-20,7.32,7.32,7.32,7.32,RMF2
2023-11-21,7.24,7.32,7.24,7.32,RMF2
2023-11-22,7.32,7.35,7.23,7.35,RMF2
2023-11-23,7.23,7.37,7.23,7.37,RMF2
2023-11-26,7.3,7.4,7.3,7.4,RMF2
2023-11-27,7.33,7.54,7.33,7.54,RMF2
2023-11-28,7.4,7.58,7.4,7.58,RMF2
2023-11-29,7.44,7.48,7.44,7.48,RMF2
2023-11-30,7.48,7.48,7.48,7.48,RMF2
2023-12-03,7.43,7.43,7.43,7.43,RMF2
2023-12-05,7.33,7.4,7.33,7.4,RMF2
2023-12-06,7.4,7.52,7.4,7.52,RMF2
2023-12-07,7.41,7.55,7.41,7.55,RMF2
2023-12-11,7.55,7.7,7.46,7.7,RMF2
2023-12-12,7.65,7.82,7.65,7.82,RMF2
2023-12-13,7.8,8.0,7.8,8.0,RMF2
2023-12-14,8.0,8.1,8.0,8.1,RMF2
2023-12-17,7.94,8.16,7.94,8.0,RMF2
2023-12-18,8.0,8.18,7.9,8.18,RMF2
2023-12-19,8.03,8.05,8.03,8.05,RMF2
2023-12-20,8.1,8.26,8.1,8.26,RMF2
2023-12-21,8.42,8.42,8.1,8.12,RMF2
2023-12-24,8.28,8.28,8.12,8.13,RMF2
2023-12-27,8.01,8.24,8.01,8.24,RMF2
2023-12-28,8.3,8.46,8.3,8.32,RMF2
2024-01-01,8.31,8.32,8.31,8.32,RMF2
2024-01-02,8.26,8.29,8.26,8.29,RMF2
2024-01-03,8.13,8.14,8.13,8.14,RMF2
2024-01-04,8.05,8.46,8.05,8.22,RMF2
2024-01-07,8.12,8.37,8.12,8.25,RMF2
2024-01-08,8.17,8.53,8.17,8.53,RMF2
