date,open,high,low,close,symbol
2026-02-16,300.0,330.0,300.0,330.0,RSML
2026-02-17,328.0,361.8,328.0,361.8,RSML
2026-02-22,358.2,395.3,358.2,395.3,RSML
2026-02-23,391.5,432.0,391.5,432.0,RSML
2026-02-24,427.9,472.2,427.9,472.2,RSML
2026-02-25,467.5,519.4,467.5,519.4,RSML
2026-02-26,514.3,567.5,514.3,567.5,RSML
2026-03-01,561.9,624.2,561.9,624.2,RSML
2026-03-03,621.1,685.5,621.1,685.5,RSML
2026-03-09,675.3,675.3,675.3,675.3,RSML
2026-03-10,688.8,742.8,688.8,742.8,RSML
2026-03-11,735.6,812.1,735.6,812.1,RSML
2026-03-12,802.1,893.3,802.1,893.3,RSML
2026-03-15,885.2,939.3,885.2,939.3,RSML
2026-03-16,921.2,1033.2,921.2,1033.2,RSML
2026-03-17,1017.8,1136.5,1017.8,1136.5,RSML
2026-03-19,1120.5,1250.1,1120.5,1250.1,RSML
2026-03-22,1235.0,1375.1,1235.0,1375.1,RSML
2026-03-23,1361.4,1512.6,1361.4,1512.6,RSML
2026-03-24,1494.4,1663.8,1494.4,1663.8,RSML
2026-03-25,1697.0,1830.1,1697.0,1830.1,RSML
2026-03-26,1821.0,2013.1,1821.0,2013.1,RSML
2026-03-29,2009.7,2214.4,2009.7,2214.4,RSML
2026-03-30,2203.9,2435.8,2203.9,2435.8,RSML
2026-03-31,2430.1,2679.3,2430.1,2679.3,RSML
2026-04-01,2678.2,2947.2,2678.2,2947.2,RSML
2026-04-02,3006.1,3241.9,3006.1,3241.9,RSML
2026-04-05,3306.7,3566.0,3306.7,3566.0,RSML
2026-04-06,3637.3,3922.6,3210.0,3509.0,RSML
2026-04-07,3509.0,3650.0,3440.0,3545.0,RSML
2026-04-08,3545.0,3899.5,3545.0,3899.5,RSML
2026-04-09,3977.0,4289.4,3825.0,4289.4,RSML
2026-04-10,4375.1,4718.3,4375.1,4691.0,RSML
2026-04-13,4775.4,5049.0,4611.0,4799.0,RSML
2026-04-15,4799.0,4896.0,4500.0,4530.0,RSML
2026-04-16,4501.0,4600.0,4280.0,4366.0,RSML
2026-04-17,4400.0,4730.0,4300.0,4649.1,RSML
2026-04-20,4700.0,4700.0,4465.0,4479.0,RSML
2026-04-21,4390.1,4539.9,4210.0,4290.0,RSML
2026-04-22,4080.0,4326.0,4080.0,4230.0,RSML
2026-04-23,4180.0,4425.0,4070.0,4320.0,RSML
2026-04-24,4291.0,4330.0,4200.0,4220.0,RSML
2026-04-27,4203.0,4346.0,4195.0,4239.0,RSML
2026-04-28,4239.0,4270.0,3981.0,4000.0,RSML
2026-04-29,4000.0,4000.0,3790.0,3810.1,RSML
2026-04-30,3780.0,3989.0,3700.0,3850.2,RSML
2026-05-04,3865.0,3949.0,3699.0,3720.0,RSML
2026-05-05,3790.0,3839.9,3675.0,3750.0,RSML
2026-05-06,3700.1,3775.0,3619.0,3689.0,RSML
2026-05-07,3690.0,3724.0,3636.1,3693.0,RSML
2026-05-08,3631.0,3800.0,3631.0,3800.0,RSML
2026-05-11,3765.0,3920.0,3765.0,3825.0,RSML
2026-05-12,3899.0,3940.0,3680.0,3729.0,RSML
2026-05-13,3729.0,3750.0,3655.1,3724.9,RSML
2026-05-14,3705.0,3787.9,3673.0,3690.0,RSML
2026-05-15,3741.9,3777.9,3680.0,3706.0,RSML
2026-05-18,3720.0,3730.0,3681.0,3690.1,RSML
2026-05-19,3700.0,3749.9,3650.0,3680.0,RSML
2026-05-20,3640.0,3730.0,3640.0,3700.0,RSML
2026-05-21,3744.9,3744.9,3675.0,3715.0,RSML
2026-05-22,3720.0,3740.0,3683.0,3730.0,RSML
2026-05-25,3700.0,3850.0,3700.0,3825.0,RSML
2026-05-26,3849.9,3897.0,3737.0,3780.0,RSML
2026-05-27,3969.0,3969.0,3700.0,3745.0,RSML
2026-06-01,3745.0,3745.0,3650.0,3670.0,RSML
2026-06-02,3685.0,3695.0,3621.1,3640.0,RSML
2026-06-03,3468.0,3700.0,3468.0,3652.0,RSML
2026-06-04,3685.0,3699.0,3595.0,3631.0,RSML
2026-06-05,3449.5,3648.0,3449.5,3580.0,RSML
2026-06-08,3449.5,3648.0,3449.5,3580.0,RSML
