date,open,high,low,close,symbol
2025-06-26,10.0,10.0,9.02,9.07,RSY
2025-06-29,9.0,9.0,8.82,8.83,RSY
2025-06-30,8.7,9.18,8.7,9.1,RSY
2025-07-01,8.95,9.28,8.95,9.2,RSY
2025-07-02,9.02,9.2,9.02,9.11,RSY
2025-07-03,9.11,9.54,8.96,9.32,RSY
2025-07-06,9.15,9.5,9.14,9.25,RSY
2025-07-07,9.43,9.6,9.4,9.42,RSY
2025-07-08,9.24,9.4,9.15,9.4,RSY
2025-07-09,9.22,9.22,9.18,9.19,RSY
2025-07-10,9.22,9.4,9.17,9.3,RSY
2025-07-13,9.3,9.4,9.15,9.17,RSY
2025-07-14,8.99,9.35,8.58,9.21,RSY
2025-07-15,9.31,9.9,8.85,9.37,RSY
2025-07-16,9.3,10.08,9.12,9.93,RSY
2025-07-17,9.74,9.74,9.2,9.36,RSY
2025-07-20,9.3,9.69,9.3,9.49,RSY
2025-07-21,9.5,9.58,9.4,9.41,RSY
2025-07-22,9.23,9.79,9.23,9.75,RSY
2025-07-23,9.56,9.8,9.3,9.48,RSY
2025-07-24,9.4,9.89,9.23,9.89,RSY
2025-07-27,9.7,9.95,9.35,9.6,RSY
2025-07-28,9.41,9.97,9.26,9.95,RSY
2025-07-29,9.76,9.81,9.57,9.8,RSY
2025-07-30,9.99,9.99,9.41,9.75,RSY
2025-07-31,9.6,9.85,9.6,9.79,RSY
2025-08-03,9.6,9.79,9.41,9.58,RSY
2025-08-04,9.5,9.75,9.25,9.75,RSY
2025-08-05,9.56,9.6,9.4,9.5,RSY
2025-08-06,9.31,9.53,9.15,9.24,RSY
2025-08-07,9.1,9.85,9.1,9.84,RSY
2025-08-11,9.7,9.7,9.32,9.33,RSY
2025-08-12,9.2,9.53,9.2,9.4,RSY
2025-08-13,9.35,9.4,9.22,9.3,RSY
2025-08-14,9.15,9.33,9.0,9.33,RSY
2025-08-17,9.15,9.57,9.15,9.43,RSY
2025-08-18,9.25,9.43,9.12,9.4,RSY
2025-08-19,9.22,9.44,9.22,9.26,RSY
2025-08-20,9.08,9.52,9.08,9.51,RSY
2025-08-21,9.33,9.33,9.0,9.11,RSY
2025-08-24,9.11,9.29,9.0,9.15,RSY
2025-08-25,9.0,9.36,9.0,9.18,RSY
2025-08-26,9.36,9.36,9.18,9.26,RSY
2025-08-27,9.12,9.44,8.95,9.2,RSY
2025-08-28,9.02,9.2,8.9,9.2,RSY
2025-08-31,9.02,9.23,8.8,9.07,RSY
2025-09-01,8.9,9.08,8.9,9.01,RSY
2025-09-02,8.86,9.48,8.86,9.26,RSY
2025-09-03,9.08,9.3,9.08,9.2,RSY
2025-09-04,9.02,9.2,8.97,8.97,RSY
2025-09-07,8.8,9.0,8.63,8.95,RSY
2025-09-08,9.1,9.1,8.92,8.96,RSY
2025-09-21,8.79,8.97,8.71,8.94,RSY
2025-09-23,8.77,9.02,8.77,8.97,RSY
2025-09-24,8.82,9.29,8.82,9.29,RSY
2025-09-25,9.15,9.15,9.01,9.05,RSY
2025-09-28,8.99,9.34,8.94,9.34,RSY
2025-10-07,9.16,9.19,9.0,9.19,RSY
2025-10-08,9.1,9.1,8.8,8.88,RSY
2025-10-09,8.88,9.18,8.88,9.03,RSY
2025-10-12,8.85,9.0,8.72,9.0,RSY
2025-10-13,8.84,9.18,8.84,9.01,RSY
2025-10-14,8.85,9.0,8.85,9.0,RSY
2025-10-15,8.83,9.0,8.83,9.0,RSY
2025-10-16,8.83,9.0,8.83,8.84,RSY
2025-10-19,8.85,9.18,8.85,9.0,RSY
2025-10-26,8.82,8.99,8.82,8.85,RSY
2025-10-28,9.0,9.1,8.86,9.0,RSY
2025-10-29,8.82,9.0,8.8,8.95,RSY
2025-10-30,8.79,9.03,8.79,8.89,RSY
2025-11-02,8.75,9.07,8.75,9.04,RSY
2025-11-03,8.87,9.22,8.87,9.18,RSY
2025-11-04,9.0,9.0,8.85,9.0,RSY
2025-11-05,8.85,9.1,8.85,9.1,RSY
2025-11-06,8.92,9.11,8.92,9.11,RSY
2025-11-09,8.93,9.11,8.9,8.94,RSY
2025-11-10,8.9,9.2,8.85,8.9,RSY
2025-11-11,8.9,9.18,8.73,9.18,RSY
2025-11-12,9.01,9.03,8.83,8.92,RSY
2025-11-13,8.9,9.0,8.82,9.0,RSY
2025-11-16,9.0,9.15,8.83,8.97,RSY
2025-11-17,8.81,9.12,8.81,8.88,RSY
2025-11-18,8.8,9.02,8.8,9.0,RSY
2025-11-19,8.85,9.15,8.85,9.02,RSY
2025-11-20,8.84,9.02,8.84,9.0,RSY
2025-11-23,9.0,9.1,8.93,9.1,RSY
2025-11-24,8.92,9.1,8.76,8.92,RSY
2025-11-25,8.81,9.04,8.81,8.9,RSY
2025-11-26,8.75,9.1,8.75,8.87,RSY
2025-11-27,9.0,9.01,8.83,9.0,RSY
