date,open,high,low,close,symbol
2025-07-20,359.0,394.9,359.0,394.9,SANVI
2025-07-21,388.7,434.3,388.7,434.3,SANVI
2025-07-22,442.9,477.7,442.9,477.7,SANVI
2025-07-23,487.2,525.4,487.2,525.4,SANVI
2025-07-24,535.9,577.9,535.9,577.9,SANVI
2025-07-27,589.4,635.6,589.4,635.6,SANVI
2025-07-28,648.0,699.1,648.0,699.1,SANVI
2025-07-29,713.0,769.0,713.0,769.0,SANVI
2025-07-30,784.3,845.9,784.3,845.9,SANVI
2025-07-31,862.8,930.4,845.9,891.5,SANVI
2025-08-03,900.0,900.0,802.4,802.4,SANVI
2025-08-04,787.0,830.0,729.0,778.73,SANVI
2025-08-05,770.0,800.0,753.0,760.53,SANVI
2025-08-06,775.0,812.0,751.0,794.65,SANVI
2025-08-07,790.0,800.0,770.0,773.14,SANVI
2025-08-11,773.7,773.7,741.9,747.32,SANVI
2025-08-12,745.0,748.0,721.0,723.42,SANVI
2025-08-13,715.4,729.0,710.2,713.54,SANVI
2025-08-14,713.0,719.0,703.0,704.89,SANVI
2025-08-17,700.0,705.0,670.2,673.74,SANVI
2025-08-18,670.0,690.0,661.0,680.44,SANVI
2025-08-19,675.0,741.0,675.0,727.93,SANVI
2025-08-20,730.0,748.9,715.5,722.74,SANVI
2025-08-21,720.0,731.5,716.1,729.67,SANVI
2025-08-24,720.1,722.0,698.8,700.6,SANVI
2025-08-25,705.0,710.0,690.1,704.65,SANVI
2025-08-26,705.0,726.2,696.0,711.06,SANVI
2025-08-27,725.1,725.1,701.0,711.02,SANVI
2025-08-28,710.0,720.0,695.1,696.08,SANVI
2025-08-31,700.0,700.0,678.1,680.78,SANVI
2025-09-01,670.0,680.0,670.0,674.65,SANVI
2025-09-02,669.0,673.0,661.0,663.41,SANVI
2025-09-03,670.0,675.0,650.0,650.32,SANVI
2025-09-04,645.0,645.0,630.0,634.25,SANVI
2025-09-07,637.0,652.0,618.4,619.93,SANVI
2025-09-08,620.0,620.0,595.3,599.19,SANVI
2025-09-18,590.0,590.0,544.0,544.0,SANVI
2025-09-21,545.0,593.0,536.0,588.71,SANVI
2025-09-23,600.0,627.0,590.0,615.7,SANVI
2025-09-24,617.0,618.0,605.1,609.9,SANVI
2025-09-25,609.0,618.0,600.0,613.0,SANVI
2025-09-28,613.0,636.9,613.0,636.9,SANVI
2025-10-07,624.2,624.2,588.0,604.9,SANVI
2025-10-08,604.0,607.0,585.2,594.0,SANVI
2025-10-09,594.0,642.0,590.0,597.8,SANVI
2025-10-12,590.0,590.1,575.1,579.0,SANVI
2025-10-13,588.9,590.0,570.0,586.0,SANVI
2025-10-14,588.0,595.0,575.0,580.0,SANVI
2025-10-15,580.0,590.0,560.1,574.0,SANVI
2025-10-16,572.0,573.0,561.0,563.2,SANVI
2025-10-19,562.0,563.2,555.0,559.9,SANVI
2025-10-26,550.3,563.0,550.1,563.0,SANVI
2025-10-28,562.1,595.0,562.1,594.0,SANVI
2025-10-29,593.0,610.0,578.7,590.0,SANVI
2025-10-30,585.0,612.0,580.2,603.0,SANVI
2025-11-02,601.0,618.9,601.0,617.0,SANVI
2025-11-03,610.0,624.5,600.0,608.0,SANVI
2025-11-04,608.0,620.0,591.1,594.6,SANVI
2025-11-05,585.0,600.0,585.0,596.0,SANVI
2025-11-06,595.0,606.0,586.0,589.7,SANVI
2025-11-09,589.0,589.0,576.0,577.0,SANVI
2025-11-10,577.0,588.5,571.0,573.0,SANVI
2025-11-11,573.0,599.0,568.1,589.9,SANVI
2025-11-12,582.0,590.0,580.0,580.0,SANVI
2025-11-13,574.3,590.0,572.0,580.0,SANVI
2025-11-16,578.0,580.0,568.0,571.5,SANVI
2025-11-17,570.0,579.9,566.0,577.0,SANVI
2025-11-18,577.0,587.5,568.1,583.5,SANVI
2025-11-19,571.9,641.8,571.9,641.8,SANVI
2025-11-20,641.0,688.0,638.0,644.0,SANVI
2025-11-23,644.0,652.8,610.0,639.0,SANVI
2025-11-24,626.3,664.0,626.3,645.0,SANVI
2025-11-25,650.0,661.0,635.0,649.0,SANVI
2025-11-26,639.0,665.0,638.0,657.0,SANVI
2025-11-27,656.0,671.0,644.1,668.0,SANVI
2025-11-30,662.0,680.0,648.0,650.0,SANVI
2025-12-01,645.0,655.0,638.9,640.0,SANVI
2025-12-02,640.0,676.0,640.0,668.5,SANVI
2025-12-03,660.0,720.0,660.0,693.0,SANVI
2025-12-07,680.0,690.6,667.1,673.0,SANVI
2025-12-08,660.0,682.0,660.0,677.0,SANVI
2025-12-09,668.4,688.9,665.0,670.0,SANVI
2025-12-10,656.6,705.0,645.0,648.8,SANVI
2025-12-11,635.9,674.0,635.9,637.7,SANVI
2025-12-14,637.0,647.0,630.0,630.0,SANVI
2025-12-15,617.4,640.0,617.4,640.0,SANVI
2025-12-16,632.0,660.0,631.0,655.0,SANVI
2025-12-17,641.9,667.9,641.9,655.0,SANVI
2025-12-18,641.9,657.0,636.0,642.0,SANVI
2025-12-21,631.0,640.0,627.0,635.0,SANVI
2025-12-22,628.09,647.7,621.1,627.1,SANVI
2025-12-23,623.0,644.0,623.0,643.0,SANVI
2025-12-24,631.0,648.0,631.0,636.0,SANVI
2025-12-28,636.0,652.0,636.0,650.0,SANVI
