date,open,high,low,close,symbol
2021-08-31,667.0,667.0,635.0,640.0,SFCL
2021-09-01,650.0,652.0,629.0,630.0,SFCL
2021-09-02,620.0,644.0,597.0,600.0,SFCL
2021-09-05,600.0,600.0,540.0,540.0,SFCL
2021-09-06,530.0,594.0,520.0,594.0,SFCL
2021-09-07,605.8,620.0,583.0,607.0,SFCL
2021-09-08,609.0,609.0,579.0,588.0,SFCL
2021-09-09,589.0,610.0,580.0,581.0,SFCL
2021-09-12,592.0,612.0,580.2,612.0,SFCL
2021-09-13,624.2,630.0,599.8,602.9,SFCL
2021-09-14,614.5,614.5,593.0,603.0,SFCL
2021-09-15,603.0,604.0,592.5,600.1,SFCL
2021-09-16,612.0,612.0,569.0,570.0,SFCL
2021-09-20,575.0,581.0,520.0,520.0,SFCL
2021-09-21,516.0,551.8,470.0,516.0,SFCL
2021-09-22,526.3,566.1,526.3,560.0,SFCL
2021-09-23,571.2,581.9,535.0,540.0,SFCL
2021-09-26,530.0,550.0,505.0,507.0,SFCL
2021-09-27,517.1,517.1,465.8,473.0,SFCL
2021-09-28,482.0,482.0,426.0,430.0,SFCL
2021-09-29,428.0,466.0,414.0,447.0,SFCL
2021-09-30,455.0,470.0,431.0,432.0,SFCL
2021-10-03,431.0,442.0,414.0,420.0,SFCL
2021-10-04,412.0,436.5,394.0,405.0,SFCL
2021-10-05,413.0,429.7,405.0,420.0,SFCL
2021-10-06,428.4,462.0,427.0,457.0,SFCL
2021-10-10,466.0,493.0,455.0,458.0,SFCL
2021-10-11,450.1,455.0,441.0,455.0,SFCL
2021-10-17,460.0,460.0,442.0,448.0,SFCL
2021-10-18,448.0,448.0,425.0,430.0,SFCL
2021-10-19,428.0,430.0,394.0,408.0,SFCL
2021-10-20,416.1,432.0,411.7,431.0,SFCL
2021-10-21,439.5,440.0,415.2,421.0,SFCL
2021-10-24,422.0,457.0,409.0,443.0,SFCL
2021-10-25,446.0,481.0,446.0,480.0,SFCL
2021-10-26,489.0,528.0,489.0,515.0,SFCL
2021-10-27,517.0,543.0,493.0,517.0,SFCL
2021-10-28,509.1,527.0,509.1,515.0,SFCL
2021-10-31,525.0,556.9,519.0,550.0,SFCL
2021-11-01,550.0,570.0,530.0,535.0,SFCL
2021-11-02,535.0,562.0,520.0,562.0,SFCL
2021-11-03,562.0,565.0,545.3,550.1,SFCL
2021-11-08,561.1,561.1,535.0,535.0,SFCL
2021-11-09,526.0,538.0,495.0,515.0,SFCL
2021-11-11,504.7,515.0,485.0,492.0,SFCL
2021-11-14,485.5,510.0,483.0,504.0,SFCL
2021-11-15,514.0,522.0,508.0,516.0,SFCL
2021-11-16,526.3,545.0,508.0,529.0,SFCL
2021-11-17,539.0,549.0,530.0,530.0,SFCL
2021-11-18,530.0,540.0,515.0,515.1,SFCL
2021-11-21,504.8,544.0,504.8,535.6,SFCL
2021-11-22,545.0,546.3,530.0,537.0,SFCL
2021-11-23,535.0,535.0,515.1,525.0,SFCL
2021-11-24,520.0,532.0,505.1,520.0,SFCL
2021-11-25,530.4,572.0,530.4,568.2,SFCL
2021-11-28,556.9,584.0,527.4,542.0,SFCL
2021-11-29,534.0,562.0,534.0,545.0,SFCL
2021-11-30,555.9,567.0,545.3,556.0,SFCL
2021-12-01,564.0,603.0,564.0,599.0,SFCL
2021-12-02,600.0,605.0,560.0,569.0,SFCL
2021-12-05,560.0,579.9,544.9,554.1,SFCL
2021-12-06,554.0,565.0,530.0,560.0,SFCL
2021-12-07,571.2,571.2,538.0,538.0,SFCL
2021-12-08,548.7,548.7,515.0,524.9,SFCL
2021-12-09,535.3,535.3,510.1,523.0,SFCL
2021-12-12,520.0,520.0,498.9,498.9,SFCL
2021-12-13,489.0,490.0,456.8,460.0,SFCL
2021-12-14,450.8,506.0,450.8,506.0,SFCL
2021-12-15,516.1,533.0,490.1,520.0,SFCL
2021-12-16,530.4,545.0,505.0,519.0,SFCL
2021-12-20,529.0,529.0,490.0,492.0,SFCL
2021-12-21,482.2,510.0,482.2,493.0,SFCL
2021-12-22,502.8,512.8,489.0,495.0,SFCL
2021-12-23,504.9,510.0,491.0,492.0,SFCL
2021-12-26,368.5,390.0,366.0,367.0,SFCL
2021-12-27,373.9,374.3,350.0,353.0,SFCL
2021-12-28,349.7,371.0,340.0,358.6,SFCL
