date,open,high,low,close,symbol
2021-06-01,14.63,14.93,14.63,14.89,SFMF
2021-06-02,14.62,14.9,14.62,14.9,SFMF
2021-06-03,15.06,15.06,14.85,15.0,SFMF
2021-06-06,15.2,15.2,14.9,15.16,SFMF
2021-06-07,15.3,15.76,15.25,15.6,SFMF
2021-06-08,15.7,16.45,15.7,16.45,SFMF
2021-06-09,16.21,16.45,16.2,16.37,SFMF
2021-06-10,16.37,16.71,16.03,16.35,SFMF
2021-06-13,16.05,16.25,15.99,16.25,SFMF
2021-06-14,16.5,16.5,16.0,16.1,SFMF
2021-06-15,16.42,16.42,15.94,16.07,SFMF
2021-06-16,16.0,16.04,15.8,15.88,SFMF
2021-06-17,16.65,16.97,15.59,15.7,SFMF
2021-06-20,15.62,15.69,15.28,15.47,SFMF
2021-06-21,15.19,15.45,15.0,15.2,SFMF
2021-06-22,14.9,15.6,14.9,15.6,SFMF
2021-06-23,15.8,15.8,15.1,15.1,SFMF
2021-06-24,14.83,15.42,14.83,15.13,SFMF
2021-06-27,14.87,15.72,14.87,15.5,SFMF
2021-06-28,15.58,15.69,15.21,15.64,SFMF
2021-06-29,15.5,15.5,15.4,15.45,SFMF
2021-06-30,15.2,15.4,15.2,15.3,SFMF
2021-07-01,15.6,15.6,15.4,15.6,SFMF
2021-07-04,15.31,15.84,15.31,15.7,SFMF
2021-07-05,15.49,15.77,15.4,15.67,SFMF
2021-07-06,15.75,15.98,15.4,15.5,SFMF
2021-07-07,15.5,15.6,15.25,15.25,SFMF
2021-07-08,15.3,15.55,15.15,15.5,SFMF
2021-07-11,16.27,16.27,15.57,15.88,SFMF
2021-07-12,16.15,16.15,15.82,15.9,SFMF
2021-07-13,15.8,16.0,15.8,15.9,SFMF
2021-07-14,15.9,16.21,15.89,15.95,SFMF
2021-07-15,16.26,16.26,15.1,16.0,SFMF
2021-07-18,16.3,16.88,16.15,16.88,SFMF
2021-07-19,16.63,17.18,15.99,17.08,SFMF
2021-07-20,17.42,18.5,17.42,18.1,SFMF
2021-07-22,18.46,19.27,18.4,19.2,SFMF
2021-07-25,19.58,19.75,18.19,19.72,SFMF
2021-07-26,20.0,20.0,18.23,18.93,SFMF
2021-07-27,18.95,19.0,18.6,18.7,SFMF
2021-07-28,19.0,19.0,18.45,18.81,SFMF
2021-07-29,19.07,19.07,18.5,18.5,SFMF
2021-08-01,18.87,19.24,18.6,18.7,SFMF
2021-08-02,18.8,18.8,17.91,18.21,SFMF
2021-08-03,18.57,18.57,18.0,18.06,SFMF
2021-08-04,18.42,18.42,18.07,18.2,SFMF
2021-08-05,18.56,18.56,17.95,18.11,SFMF
2021-08-08,18.47,18.47,17.9,18.0,SFMF
2021-08-09,18.34,18.34,17.84,17.9,SFMF
2021-08-10,18.1,18.1,17.84,17.95,SFMF
2021-08-11,17.61,18.3,17.6,17.8,SFMF
2021-08-12,18.1,18.7,17.64,18.6,SFMF
2021-08-15,18.97,19.22,18.5,19.0,SFMF
2021-08-16,19.38,19.38,18.0,18.39,SFMF
2021-08-17,18.2,18.55,18.18,18.28,SFMF
2021-08-18,18.64,18.64,17.86,17.95,SFMF
2021-08-19,18.3,18.3,17.81,17.91,SFMF
2021-08-24,18.0,18.19,17.8,18.09,SFMF
2021-08-25,18.45,18.5,17.82,18.2,SFMF
2021-08-26,18.49,18.49,18.04,18.24,SFMF
2021-08-29,18.6,18.6,17.92,18.18,SFMF
2021-08-31,18.18,18.3,17.45,18.13,SFMF
2021-09-01,12.87,13.0,11.82,11.82,SFMF
2021-09-02,12.0,12.29,11.12,11.4,SFMF
2021-09-05,11.62,12.54,10.98,11.01,SFMF
2021-09-06,10.88,12.11,10.88,12.11,SFMF
2021-09-07,12.1,12.35,11.99,12.11,SFMF
2021-09-08,12.2,12.2,11.67,11.99,SFMF
2021-09-09,11.9,12.0,11.6,11.8,SFMF
2021-09-12,11.61,11.93,11.61,11.93,SFMF
2021-09-13,11.71,11.94,11.71,11.72,SFMF
2021-09-14,11.78,11.78,11.38,11.4,SFMF
2021-09-15,11.61,11.85,11.39,11.39,SFMF
2021-09-16,11.3,11.4,11.0,11.18,SFMF
2021-09-20,11.2,11.4,10.55,10.6,SFMF
2021-09-21,10.6,11.0,10.27,10.56,SFMF
2021-09-22,10.77,11.4,10.77,11.07,SFMF
2021-09-23,11.1,11.23,10.8,10.8,SFMF
2021-09-26,10.75,11.05,10.66,11.05,SFMF
2021-09-27,11.27,11.27,10.7,10.7,SFMF
2021-09-28,10.59,10.92,10.5,10.65,SFMF
2021-09-29,10.65,10.95,10.46,10.95,SFMF
2021-09-30,10.99,10.99,10.74,10.74,SFMF
2021-10-03,10.54,10.95,10.37,10.37,SFMF
2021-10-04,10.57,10.78,10.21,10.21,SFMF
2021-10-05,10.41,10.5,10.27,10.5,SFMF
2021-10-06,10.68,10.85,10.6,10.7,SFMF
2021-10-10,10.7,10.83,10.7,10.79,SFMF
2021-10-11,11.0,11.0,10.7,10.72,SFMF
2021-10-17,10.74,10.81,10.6,10.81,SFMF
2021-10-18,10.61,10.75,10.6,10.75,SFMF
2021-10-19,10.96,10.96,10.7,10.7,SFMF
2021-10-20,10.5,10.71,10.41,10.6,SFMF
2021-10-21,10.81,10.93,10.7,10.72,SFMF
2021-10-24,10.7,10.9,10.7,10.9,SFMF
2021-10-25,10.7,11.09,10.7,11.0,SFMF
2021-10-26,11.02,11.1,11.02,11.1,SFMF
2021-10-27,11.14,11.14,11.0,11.0,SFMF
2021-10-28,10.78,11.2,10.78,11.12,SFMF
2021-10-31,11.34,11.55,11.34,11.37,SFMF
2021-11-01,11.37,11.8,11.21,11.21,SFMF
2021-11-02,11.07,11.38,11.07,11.38,SFMF
2021-11-03,11.45,11.59,11.39,11.5,SFMF
2021-11-08,11.6,11.6,11.4,11.5,SFMF
2021-11-09,11.4,11.41,11.23,11.23,SFMF
2021-11-11,11.06,11.28,11.06,11.13,SFMF
2021-11-14,11.11,11.35,11.11,11.2,SFMF
2021-11-15,11.4,11.4,11.12,11.3,SFMF
2021-11-16,11.12,11.37,11.12,11.34,SFMF
2021-11-17,11.5,11.5,11.19,11.19,SFMF
2021-11-18,11.39,11.39,11.0,11.09,SFMF
2021-11-21,11.31,11.31,11.16,11.2,SFMF
2021-11-22,11.21,11.32,11.21,11.32,SFMF
2021-11-23,11.4,11.4,11.18,11.18,SFMF
2021-11-24,11.15,11.2,11.15,11.2,SFMF
2021-11-25,11.4,11.4,11.15,11.16,SFMF
2021-11-28,11.0,11.16,10.95,10.97,SFMF
2021-11-29,10.98,11.1,10.8,10.94,SFMF
2021-11-30,10.87,11.0,10.8,10.8,SFMF
