date,open,high,low,close,symbol
2026-03-29,284.3,312.7,284.3,312.7,SKHEL
2026-03-30,318.9,343.9,318.9,343.9,SKHEL
2026-03-31,350.7,378.2,350.7,378.2,SKHEL
2026-04-01,377.1,416.0,377.1,416.0,SKHEL
2026-04-02,424.3,457.6,424.3,457.6,SKHEL
2026-04-05,466.7,503.3,466.7,503.3,SKHEL
2026-04-06,513.3,553.6,513.3,553.6,SKHEL
2026-04-07,564.6,608.9,564.6,608.9,SKHEL
2026-04-08,621.0,669.7,621.0,669.7,SKHEL
2026-04-09,669.7,736.6,669.7,736.6,SKHEL
2026-04-10,750.0,810.2,750.0,810.2,SKHEL
2026-04-13,826.4,891.2,826.4,891.2,SKHEL
2026-04-15,900.0,980.3,900.0,980.3,SKHEL
2026-04-16,999.9,1078.3,999.9,1078.3,SKHEL
2026-04-17,1099.8,1186.1,1099.8,1186.1,SKHEL
2026-04-20,1245.4,1364.0,1245.4,1364.0,SKHEL
2026-04-21,1432.2,1568.6,1432.2,1568.6,SKHEL
2026-04-22,1647.0,1803.8,1647.0,1803.8,SKHEL
2026-04-23,1893.9,2069.4,1591.0,1591.2,SKHEL
2026-04-24,1595.0,1740.7,1470.0,1635.0,SKHEL
2026-04-27,1635.0,1633.5,1563.0,1570.0,SKHEL
2026-04-28,1580.0,1580.0,1410.0,1414.0,SKHEL
2026-04-29,1414.0,1509.0,1363.0,1400.0,SKHEL
2026-04-30,1386.0,1441.0,1365.0,1419.9,SKHEL
2026-05-04,1450.0,1450.0,1321.0,1352.0,SKHEL
2026-05-05,1352.0,1399.8,1301.0,1343.0,SKHEL
2026-05-06,1410.0,1410.0,1288.0,1299.0,SKHEL
2026-05-07,1234.1,1369.0,1234.1,1290.0,SKHEL
2026-05-08,1290.0,1369.0,1256.2,1369.0,SKHEL
2026-05-11,1437.4,1437.4,1329.0,1350.0,SKHEL
2026-05-12,1417.5,1417.5,1285.0,1297.9,SKHEL
2026-05-13,1297.9,1297.9,1261.0,1280.0,SKHEL
2026-05-14,1216.0,1303.0,1216.0,1258.0,SKHEL
2026-05-15,1260.0,1280.0,1234.5,1270.0,SKHEL
2026-05-18,1269.9,1276.9,1238.3,1276.9,SKHEL
2026-05-19,1240.0,1268.0,1240.0,1259.0,SKHEL
2026-05-20,1295.9,1295.9,1225.0,1293.0,SKHEL
2026-05-21,1275.0,1300.0,1253.2,1254.0,SKHEL
2026-05-22,1240.0,1290.0,1240.0,1278.0,SKHEL
2026-05-25,1290.0,1348.7,1278.0,1320.0,SKHEL
2026-05-26,1342.0,1343.9,1290.1,1303.9,SKHEL
2026-05-27,1280.0,1304.0,1270.0,1270.0,SKHEL
2026-06-01,1290.0,1290.0,1225.0,1239.9,SKHEL
2026-06-02,1180.0,1248.8,1180.0,1238.0,SKHEL
2026-06-03,1215.0,1249.9,1215.0,1240.0,SKHEL
2026-06-04,1190.0,1256.7,1190.0,1237.0,SKHEL
2026-06-05,1221.1,1235.0,1170.0,1200.0,SKHEL
2026-06-08,1221.1,1235.0,1170.0,1200.0,SKHEL
