date,open,high,low,close,symbol
2021-08-26,1615.0,1647.0,1615.0,1624.8,SMATA
2021-08-29,1625.0,1625.0,1580.0,1590.0,SMATA
2021-08-31,1560.0,1570.0,1535.0,1543.0,SMATA
2021-09-01,1541.0,1559.0,1526.0,1527.0,SMATA
2021-09-02,1535.0,1548.0,1521.0,1530.0,SMATA
2021-09-05,1530.0,1530.0,1450.0,1461.0,SMATA
2021-09-06,1464.0,1525.0,1462.6,1525.0,SMATA
2021-09-07,1545.0,1545.0,1490.0,1491.0,SMATA
2021-09-08,1503.0,1516.0,1475.0,1501.0,SMATA
2021-09-09,1520.0,1525.0,1491.0,1505.0,SMATA
2021-09-12,1525.0,1530.0,1505.0,1510.0,SMATA
2021-09-13,1513.0,1530.0,1510.0,1510.0,SMATA
2021-09-14,1510.0,1528.0,1510.0,1525.0,SMATA
2021-09-15,1505.0,1510.0,1500.1,1510.0,SMATA
2021-09-16,1480.0,1482.0,1451.0,1451.0,SMATA
2021-09-20,1430.8,1458.0,1403.0,1405.0,SMATA
2021-09-21,1404.0,1435.0,1315.0,1410.2,SMATA
2021-09-22,1438.0,1455.0,1426.0,1426.0,SMATA
2021-09-23,1430.0,1460.0,1426.0,1460.0,SMATA
2021-09-26,1460.0,1460.0,1412.0,1415.0,SMATA
2021-09-27,1388.1,1390.1,1345.0,1353.0,SMATA
2021-09-28,1326.0,1378.9,1295.0,1295.0,SMATA
2021-09-29,1280.0,1339.0,1270.0,1315.0,SMATA
2021-09-30,1341.0,1341.0,1321.0,1321.0,SMATA
2021-10-03,1315.0,1321.0,1282.0,1305.0,SMATA
2021-10-04,1328.0,1329.0,1308.0,1308.0,SMATA
2021-10-05,1334.1,1438.8,1334.1,1438.8,SMATA
2021-10-06,1467.5,1582.6,1467.5,1569.8,SMATA
2021-10-10,1601.0,1630.0,1500.0,1500.0,SMATA
2021-10-11,1470.1,1498.0,1470.0,1480.0,SMATA
2021-10-17,1470.0,1532.0,1441.0,1532.0,SMATA
2021-10-18,1530.0,1530.0,1412.0,1450.0,SMATA
2021-10-19,1421.0,1421.0,1310.0,1375.0,SMATA
2021-10-20,1400.0,1444.0,1387.7,1430.0,SMATA
2021-10-21,1402.0,1402.0,1375.0,1385.0,SMATA
2021-10-24,1412.7,1436.0,1400.0,1436.0,SMATA
2021-10-25,1440.0,1468.8,1440.0,1468.8,SMATA
2021-10-26,1477.0,1527.0,1477.0,1504.0,SMATA
2021-10-27,1475.0,1533.0,1465.0,1502.5,SMATA
2021-10-28,1475.0,1509.0,1472.5,1503.0,SMATA
2021-10-31,1530.0,1632.0,1510.0,1630.0,SMATA
2021-11-01,1629.0,1629.0,1550.0,1550.0,SMATA
2021-11-02,1581.0,1613.0,1580.0,1600.0,SMATA
2021-11-03,1632.0,1632.0,1585.0,1601.0,SMATA
2021-11-08,1585.0,1601.0,1585.0,1600.0,SMATA
2021-11-09,1571.0,1571.0,1506.0,1508.0,SMATA
2021-11-11,1480.0,1500.0,1480.0,1487.0,SMATA
2021-11-14,1480.0,1494.0,1458.0,1460.0,SMATA
2021-11-15,1489.0,1500.0,1431.0,1500.0,SMATA
2021-11-16,1500.0,1560.0,1489.6,1528.0,SMATA
2021-11-17,1557.0,1557.0,1500.0,1548.9,SMATA
2021-11-18,1525.0,1525.0,1496.0,1505.0,SMATA
2021-11-21,1482.0,1490.0,1451.0,1465.0,SMATA
2021-11-22,1455.0,1494.0,1455.0,1456.0,SMATA
2021-11-23,1456.0,1456.0,1427.0,1449.0,SMATA
2021-11-24,1426.0,1479.0,1400.0,1479.0,SMATA
2021-11-25,1508.0,1510.0,1440.0,1441.1,SMATA
2021-11-28,1441.1,1494.9,1410.0,1410.0,SMATA
2021-11-29,1437.0,1465.0,1410.1,1411.0,SMATA
2021-11-30,1439.2,1450.0,1395.2,1439.0,SMATA
2021-12-01,1445.0,1445.0,1411.4,1415.1,SMATA
2021-12-02,1443.0,1443.0,1387.0,1389.1,SMATA
2021-12-05,1390.0,1410.0,1382.0,1383.0,SMATA
2021-12-06,1360.0,1386.0,1356.0,1385.0,SMATA
2021-12-07,1412.0,1440.0,1384.0,1386.0,SMATA
2021-12-08,1386.0,1390.0,1350.0,1350.0,SMATA
2021-12-09,1377.0,1377.0,1340.0,1351.0,SMATA
2021-12-12,1070.0,1092.0,1025.0,1025.0,SMATA
2021-12-13,1044.0,1044.0,972.0,980.1,SMATA
2021-12-14,995.0,1030.0,985.0,1029.9,SMATA
2021-12-15,1050.0,1113.0,990.0,1073.0,SMATA
2021-12-16,1052.0,1072.0,1015.0,1055.0,SMATA
2021-12-20,1034.0,1034.0,1009.7,1010.0,SMATA
2021-12-21,1030.2,1039.0,1015.1,1029.9,SMATA
2021-12-22,1040.0,1090.0,1030.2,1060.0,SMATA
2021-12-23,1041.0,1116.0,1041.0,1085.0,SMATA
2021-12-26,1080.0,1166.0,1070.0,1135.0,SMATA
2021-12-27,1135.0,1160.0,1112.3,1120.0,SMATA
2021-12-28,1115.0,1115.0,1093.0,1115.0,SMATA
2021-12-29,1115.0,1115.0,1095.0,1115.0,SMATA
2022-01-02,1102.0,1137.0,1085.2,1137.0,SMATA
2022-01-03,1158.0,1178.0,1118.0,1140.1,SMATA
2022-01-04,1140.0,1184.9,1123.1,1155.0,SMATA
2022-01-05,1157.0,1157.0,1132.0,1132.0,SMATA
2022-01-06,1111.0,1161.9,1111.0,1160.0,SMATA
2022-01-09,1160.0,1227.0,1160.0,1198.0,SMATA
2022-01-10,1208.0,1218.9,1180.1,1180.1,SMATA
2022-01-11,1199.0,1251.0,1197.0,1233.0,SMATA
2022-01-12,1257.6,1257.6,1184.9,1200.0,SMATA
2022-01-13,1201.0,1254.0,1175.0,1252.0,SMATA
2022-01-16,1277.0,1290.0,1263.0,1270.0,SMATA
2022-01-17,1255.0,1343.0,1251.0,1295.0,SMATA
2022-01-18,1300.0,1340.0,1285.1,1315.0,SMATA
2022-01-19,1316.0,1339.0,1275.0,1339.0,SMATA
2022-01-20,1313.0,1336.0,1288.0,1335.0,SMATA
2022-01-23,1348.0,1349.0,1289.8,1315.5,SMATA
2022-01-24,1289.5,1289.5,1226.0,1254.0,SMATA
2022-01-25,1250.0,1280.0,1215.2,1216.0,SMATA
2022-01-26,1217.0,1263.7,1200.0,1230.0,SMATA
2022-01-27,1250.0,1250.0,1210.0,1235.0,SMATA
2022-01-30,1259.7,1260.0,1235.0,1250.0,SMATA
2022-01-31,1240.0,1242.0,1217.0,1242.0,SMATA
2022-02-01,1259.0,1259.0,1218.0,1235.0,SMATA
2022-02-03,1235.0,1256.0,1215.0,1225.0,SMATA
2022-02-06,1203.0,1211.0,1179.0,1205.9,SMATA
2022-02-07,1230.0,1230.0,1190.0,1192.0,SMATA
2022-02-08,1198.0,1221.0,1181.0,1190.0,SMATA
2022-02-09,1204.0,1204.0,1137.0,1173.0,SMATA
2022-02-10,1180.0,1180.0,1156.4,1157.0,SMATA
2022-02-13,1133.9,1150.0,1080.7,1100.0,SMATA
2022-02-14,1110.0,1126.0,1079.0,1079.0,SMATA
2022-02-15,1076.1,1122.0,1060.0,1122.0,SMATA
2022-02-16,1120.0,1122.0,1095.0,1095.0,SMATA
2022-02-17,1100.0,1123.0,1095.0,1112.0,SMATA
2022-02-20,1090.0,1112.0,1070.0,1083.0,SMATA
2022-02-21,1066.1,1111.8,1065.1,1080.0,SMATA
2022-02-22,1100.0,1142.0,1082.0,1082.0,SMATA
2022-02-23,1103.0,1103.0,1070.0,1090.0,SMATA
2022-02-24,1082.0,1082.0,1065.0,1065.0,SMATA
2022-02-27,1055.0,1075.0,1051.1,1051.1,SMATA
2022-02-28,1070.0,1070.0,1036.0,1040.0,SMATA
2022-03-02,1045.0,1050.0,1009.0,1020.0,SMATA
2022-03-06,1004.0,1020.0,999.6,1010.0,SMATA
2022-03-07,1020.0,1058.0,1020.0,1030.0,SMATA
2022-03-09,1030.0,1049.0,1010.3,1049.0,SMATA
2022-03-10,1049.0,1058.0,1028.1,1053.0,SMATA
2022-03-13,1053.0,1090.0,1053.0,1070.0,SMATA
2022-03-14,1091.4,1099.5,1077.6,1077.6,SMATA
2022-03-15,1056.8,1075.0,1056.8,1061.0,SMATA
2022-03-16,1061.0,1082.0,1060.0,1069.9,SMATA
2022-03-20,1060.0,1061.0,1040.0,1040.0,SMATA
2022-03-21,1040.0,1050.0,1033.0,1035.6,SMATA
2022-03-22,1056.0,1125.0,1045.0,1085.0,SMATA
2022-03-23,1070.0,1085.0,1065.0,1085.0,SMATA
2022-03-24,1099.9,1099.9,1060.0,1079.0,SMATA
2022-03-27,1080.0,1080.0,1042.0,1050.0,SMATA
2022-03-28,1050.0,1050.0,1014.3,1025.0,SMATA
2022-03-29,1006.1,1049.0,1006.1,1049.0,SMATA
2022-03-30,1028.4,1065.0,1010.1,1065.0,SMATA
2022-03-31,1045.1,1045.1,1045.0,1045.0,SMATA
2022-04-03,1026.0,1029.0,1025.0,1029.0,SMATA
2022-04-04,1025.0,1025.0,1013.0,1016.0,SMATA
2022-04-05,1010.0,1017.1,992.0,1017.1,SMATA
2022-04-06,999.0,1000.0,998.0,1000.0,SMATA
2022-04-07,982.1,1028.0,982.0,1028.0,SMATA
2022-04-11,1048.0,1048.0,989.0,989.0,SMATA
2022-04-12,1008.0,1008.0,973.0,975.0,SMATA
2022-04-13,956.0,1031.2,956.0,1031.2,SMATA
2022-04-17,1030.0,1030.0,1012.0,1015.0,SMATA
2022-04-18,1020.0,1020.0,942.0,975.0,SMATA
2022-04-19,960.0,989.9,955.5,989.9,SMATA
2022-04-20,995.0,995.0,951.0,951.0,SMATA
2022-04-21,945.0,950.0,940.0,944.9,SMATA
2022-04-24,955.0,1004.9,955.0,1004.0,SMATA
2022-04-25,1005.0,1005.0,963.4,974.5,SMATA
2022-04-26,993.9,993.9,970.0,970.0,SMATA
2022-04-27,981.0,988.9,981.0,988.9,SMATA
2022-04-28,988.0,988.0,968.3,968.3,SMATA
2022-05-02,969.0,975.0,949.0,949.0,SMATA
2022-05-04,954.0,954.0,930.1,930.1,SMATA
2022-05-05,930.0,930.0,916.0,920.0,SMATA
2022-05-08,902.0,938.0,885.1,938.0,SMATA
2022-05-09,938.0,949.0,890.0,910.0,SMATA
2022-05-10,928.0,928.0,920.0,921.0,SMATA
2022-05-11,925.0,935.0,920.0,935.0,SMATA
2022-05-12,939.4,949.0,894.0,894.0,SMATA
2022-05-17,895.0,928.0,887.0,888.1,SMATA
2022-05-18,890.0,919.0,890.0,901.0,SMATA
