date,open,high,low,close,symbol
2021-08-10,2600.0,2699.0,2600.0,2604.0,SMFBS
2021-08-11,2604.0,2656.0,2590.0,2645.0,SMFBS
2021-08-12,2645.0,2645.0,2572.5,2572.5,SMFBS
2021-08-15,2621.9,2690.0,2600.0,2670.0,SMFBS
2021-08-16,2690.0,2720.0,2620.0,2620.0,SMFBS
2021-08-17,2620.0,2645.0,2600.0,2605.0,SMFBS
2021-08-18,2600.0,2635.0,2600.0,2634.0,SMFBS
2021-08-19,2669.0,2669.9,2619.0,2630.0,SMFBS
2021-08-24,2655.0,2660.0,2610.0,2620.0,SMFBS
2021-08-25,2630.0,2650.0,2611.0,2613.0,SMFBS
2021-08-26,2665.2,2718.5,2580.0,2611.0,SMFBS
2021-08-29,2611.0,2635.0,2560.0,2562.0,SMFBS
2021-08-31,2512.0,2512.0,2452.0,2487.0,SMFBS
2021-09-01,2500.0,2525.0,2500.0,2525.0,SMFBS
2021-09-02,2520.0,2540.0,2475.0,2540.0,SMFBS
2021-09-05,2490.0,2490.0,2394.0,2480.0,SMFBS
2021-09-06,2440.0,2580.0,2433.0,2579.0,SMFBS
2021-09-07,2579.0,2579.0,2527.5,2527.5,SMFBS
2021-09-08,2560.0,2560.0,2460.0,2471.0,SMFBS
2021-09-09,2520.4,2550.0,2451.0,2530.0,SMFBS
2021-09-12,2482.0,2535.0,2482.0,2535.0,SMFBS
2021-09-13,2580.0,2599.0,2454.0,2545.0,SMFBS
2021-09-14,2495.0,2535.0,2450.0,2527.0,SMFBS
2021-09-15,2481.0,2482.1,2477.0,2477.0,SMFBS
2021-09-16,2499.0,2499.0,2360.0,2435.0,SMFBS
2021-09-20,2387.0,2395.0,2331.0,2350.0,SMFBS
2021-09-21,2350.0,2369.0,2270.0,2361.0,SMFBS
2021-09-22,2361.0,2545.0,2350.0,2545.0,SMFBS
2021-09-23,2494.1,2494.1,2430.1,2465.0,SMFBS
2021-09-26,2420.0,2438.0,2352.0,2435.0,SMFBS
2021-09-27,2387.0,2387.0,2291.0,2310.0,SMFBS
2021-09-28,2310.0,2325.0,2200.0,2325.0,SMFBS
