date,open,high,low,close,symbol
2023-03-05,299.0,328.9,299.0,328.9,SMHL
2023-03-07,335.4,361.7,335.4,361.7,SMHL
2023-03-09,368.9,391.0,355.0,381.0,SMHL
2023-03-12,381.0,382.0,363.1,364.2,SMHL
2023-03-13,364.0,364.0,345.0,354.0,SMHL
2023-03-14,349.0,389.4,349.0,387.0,SMHL
2023-03-15,379.3,388.1,375.7,387.2,SMHL
2023-03-16,379.5,406.8,379.5,401.0,SMHL
2023-03-19,403.0,406.5,389.0,399.0,SMHL
2023-03-20,395.0,405.2,392.1,401.0,SMHL
2023-03-22,409.0,425.4,403.0,403.1,SMHL
2023-03-23,411.0,411.0,391.0,391.5,SMHL
2023-03-26,399.3,400.0,384.0,390.0,SMHL
2023-03-27,397.0,397.0,377.0,392.2,SMHL
2023-03-28,400.0,403.0,387.1,392.0,SMHL
2023-03-29,399.0,399.0,383.3,394.8,SMHL
2023-03-30,394.9,398.0,387.3,395.0,SMHL
2023-04-02,395.0,395.0,379.9,385.0,SMHL
2023-04-03,377.3,383.0,370.0,374.1,SMHL
2023-04-04,367.0,398.0,367.0,380.0,SMHL
2023-04-05,375.0,383.0,370.2,380.0,SMHL
2023-04-06,372.7,383.0,372.7,380.0,SMHL
2023-04-09,372.5,374.0,367.3,372.0,SMHL
2023-04-10,365.0,374.0,365.0,374.0,SMHL
2023-04-11,368.0,389.0,368.0,381.5,SMHL
2023-04-12,380.0,407.0,378.0,399.0,SMHL
2023-04-13,391.2,420.0,385.1,390.0,SMHL
2023-04-16,383.0,399.0,375.4,385.1,SMHL
2023-04-17,377.5,385.0,376.1,382.0,SMHL
2023-04-18,375.0,386.9,375.0,386.9,SMHL
2023-04-19,379.2,418.0,373.0,399.9,SMHL
2023-04-20,395.0,408.0,390.0,395.0,SMHL
2023-04-23,402.0,410.9,383.3,385.4,SMHL
2023-04-24,380.0,392.0,380.0,386.0,SMHL
2023-04-25,378.3,397.0,378.3,390.1,SMHL
2023-04-26,383.6,398.1,383.2,383.2,SMHL
2023-04-27,381.0,398.9,381.0,398.9,SMHL
2023-04-30,391.0,397.5,386.7,390.9,SMHL
2023-05-02,383.5,386.0,380.0,385.0,SMHL
2023-05-03,385.0,385.0,373.3,381.0,SMHL
2023-05-04,373.4,390.0,373.0,390.0,SMHL
2023-05-07,383.0,390.0,377.0,382.0,SMHL
2023-05-08,375.1,385.0,375.1,382.9,SMHL
2023-05-09,375.5,403.9,375.5,385.0,SMHL
2023-05-10,390.0,390.0,380.0,389.0,SMHL
2023-05-11,381.3,390.0,374.0,386.9,SMHL
2023-05-14,394.0,394.0,368.1,380.0,SMHL
2023-05-15,372.4,382.0,366.3,378.0,SMHL
2023-05-16,378.0,384.0,368.0,381.0,SMHL
2023-05-17,373.6,388.6,373.6,383.0,SMHL
2023-05-18,390.0,398.8,375.1,398.8,SMHL
2023-05-21,390.9,412.0,386.0,410.0,SMHL
2023-05-22,410.0,415.0,388.1,400.9,SMHL
2023-05-23,400.9,423.0,387.1,420.0,SMHL
2023-05-24,428.0,428.0,400.6,405.7,SMHL
2023-05-28,408.0,422.0,397.0,409.0,SMHL
2023-05-30,400.9,425.0,386.4,416.5,SMHL
2023-05-31,422.0,422.0,386.3,393.0,SMHL
2023-06-01,385.3,399.8,381.0,395.0,SMHL
2023-06-04,400.0,424.0,393.0,415.0,SMHL
2023-06-05,420.0,420.0,408.1,414.0,SMHL
2023-06-06,405.8,432.4,401.5,432.4,SMHL
2023-06-07,433.0,462.0,425.4,444.0,SMHL
2023-06-08,449.0,463.0,427.1,453.9,SMHL
2023-06-11,460.0,469.0,445.0,460.0,SMHL
2023-06-12,450.8,460.0,436.0,442.7,SMHL
2023-06-13,435.0,469.4,426.3,442.0,SMHL
2023-06-14,435.0,461.0,435.0,445.0,SMHL
2023-06-15,450.0,460.9,441.0,460.0,SMHL
2023-06-18,460.0,506.0,450.9,506.0,SMHL
2023-06-19,495.9,495.9,466.8,483.0,SMHL
2023-06-20,490.0,490.0,455.0,463.0,SMHL
2023-06-21,454.0,470.0,441.0,445.0,SMHL
2023-06-22,440.0,470.0,435.0,454.6,SMHL
2023-06-25,463.6,472.8,428.0,472.8,SMHL
2023-06-26,463.4,463.4,434.0,440.0,SMHL
2023-06-27,440.0,445.0,430.4,435.0,SMHL
2023-06-28,440.0,461.5,420.0,420.0,SMHL
2023-07-02,415.0,428.4,415.0,419.0,SMHL
2023-07-03,427.3,427.3,400.1,423.0,SMHL
2023-07-04,423.0,429.0,408.9,426.0,SMHL
2023-07-05,417.5,417.5,403.6,406.9,SMHL
2023-07-06,399.0,418.0,399.0,418.0,SMHL
2023-07-09,425.9,425.9,392.6,414.0,SMHL
2023-07-10,405.8,420.9,393.0,393.0,SMHL
2023-07-11,385.2,397.0,385.2,390.5,SMHL
2023-07-12,384.0,426.5,384.0,409.0,SMHL
2023-07-13,409.0,433.9,399.0,399.0,SMHL
2023-07-16,392.0,422.0,377.5,422.0,SMHL
2023-07-17,413.6,413.6,390.0,412.0,SMHL
2023-07-18,403.8,419.0,395.8,411.0,SMHL
2023-07-19,415.5,417.0,392.7,397.0,SMHL
2023-07-20,390.1,406.1,390.0,404.8,SMHL
2023-07-23,408.0,428.0,396.0,415.0,SMHL
2023-07-24,423.3,423.3,398.0,402.1,SMHL
2023-07-25,394.2,402.0,391.0,395.1,SMHL
2023-07-26,389.0,398.0,389.0,393.5,SMHL
2023-07-27,386.0,393.0,386.0,386.1,SMHL
2023-07-30,386.2,393.0,379.3,382.0,SMHL
2023-07-31,389.6,405.9,367.8,380.5,SMHL
2023-08-01,380.5,398.0,375.0,398.0,SMHL
2023-08-02,390.1,390.1,374.7,381.9,SMHL
2023-08-03,375.0,404.0,372.1,372.1,SMHL
2023-08-06,366.0,385.0,352.0,385.0,SMHL
2023-08-07,377.3,385.0,348.2,375.4,SMHL
2023-08-08,367.9,367.9,355.0,359.0,SMHL
2023-08-09,352.1,394.0,348.0,394.0,SMHL
2023-08-10,390.0,390.0,360.5,371.0,SMHL
2023-08-13,365.0,393.2,358.1,363.1,SMHL
2023-08-14,363.0,370.0,353.0,359.9,SMHL
2023-08-15,353.0,354.0,350.0,351.0,SMHL
2023-08-16,345.0,372.0,340.2,347.0,SMHL
2023-08-17,340.3,368.1,333.7,360.8,SMHL
2023-08-20,353.6,353.6,334.0,340.0,SMHL
2023-08-21,334.0,353.0,330.2,353.0,SMHL
2023-08-22,346.0,358.5,330.2,358.5,SMHL
2023-08-23,357.5,360.0,345.0,358.0,SMHL
2023-08-24,351.0,366.0,343.3,345.0,SMHL
2023-08-27,338.2,345.1,335.0,335.1,SMHL
2023-08-28,330.0,337.1,328.0,334.0,SMHL
2023-08-29,340.5,354.2,328.0,332.0,SMHL
2023-08-30,338.6,345.0,331.5,332.1,SMHL
2023-09-03,338.7,352.3,319.2,321.0,SMHL
2023-09-04,321.0,333.0,317.0,328.0,SMHL
2023-09-05,321.5,333.9,316.0,333.0,SMHL
2023-09-07,327.0,337.0,316.5,337.0,SMHL
2023-09-10,330.3,331.0,311.5,326.1,SMHL
2023-09-11,332.6,336.6,318.0,336.6,SMHL
2023-09-12,329.9,330.0,310.3,312.3,SMHL
2023-09-13,318.5,337.8,310.0,324.0,SMHL
2023-09-17,318.0,326.4,311.8,326.4,SMHL
2023-09-18,332.0,332.0,319.9,328.0,SMHL
2023-09-19,334.5,341.7,318.0,340.0,SMHL
2023-09-21,340.0,374.0,340.0,360.0,SMHL
2023-09-24,353.0,360.0,345.1,345.1,SMHL
2023-09-25,338.4,373.0,338.4,358.0,SMHL
2023-09-26,359.0,376.0,353.0,370.0,SMHL
2023-09-27,362.6,367.2,353.3,364.0,SMHL
2023-10-01,369.0,369.0,345.1,346.0,SMHL
2023-10-02,339.5,354.7,335.0,344.5,SMHL
2023-10-03,338.0,347.0,338.0,340.3,SMHL
2023-10-04,335.2,355.0,335.2,350.0,SMHL
2023-10-05,343.0,362.1,336.2,355.1,SMHL
2023-10-08,348.0,362.2,342.1,357.0,SMHL
2023-10-09,357.0,362.9,345.5,353.0,SMHL
2023-10-10,360.0,366.0,347.0,356.0,SMHL
2023-10-11,363.0,369.0,344.2,344.2,SMHL
