date,open,high,low,close,symbol
2021-08-31,9450.0,9455.0,9250.0,9300.0,STC
2021-09-01,9375.0,9448.9,9250.0,9380.0,STC
2021-09-02,9385.0,9567.5,9240.1,9267.0,STC
2021-09-05,9267.0,9300.0,8571.0,8700.0,STC
2021-09-06,8800.0,9020.0,8650.0,9020.0,STC
2021-09-07,8855.0,8920.0,8700.0,8900.0,STC
2021-09-08,8800.0,9000.0,8580.0,8700.0,STC
2021-09-09,8800.0,8874.0,8650.0,8666.0,STC
2021-09-12,8839.0,8840.0,8702.0,8780.5,STC
2021-09-13,8822.0,8996.0,8800.0,8870.0,STC
2021-09-14,8800.0,9045.0,8723.0,8801.0,STC
2021-09-15,8711.0,8750.0,8660.0,8750.0,STC
2021-09-16,8750.0,8750.0,8330.0,8450.0,STC
2021-09-20,8600.0,8600.0,8000.0,8050.0,STC
2021-09-21,7891.0,8150.0,7448.0,7910.0,STC
2021-09-22,8000.0,8251.0,7910.0,8200.0,STC
2021-09-23,8251.0,8290.0,7885.1,8089.0,STC
2021-09-26,8050.0,8100.0,7854.0,7890.0,STC
2021-09-27,7735.0,7900.0,7733.0,7790.0,STC
2021-09-28,7660.0,7756.0,7481.8,7575.0,STC
2021-09-29,7600.0,8226.0,7465.0,7778.0,STC
2021-09-30,7900.0,8555.0,7890.0,8136.0,STC
2021-10-03,8298.7,8298.7,7976.3,8013.0,STC
2021-10-04,8100.0,8100.0,7841.0,7950.0,STC
2021-10-05,8109.0,8210.0,7742.0,7742.0,STC
2021-10-06,7896.0,8053.0,7742.0,7900.0,STC
2021-10-10,8058.0,8060.0,7700.0,7815.0,STC
2021-10-11,7969.0,7969.0,7500.0,7660.0,STC
2021-10-17,7660.0,7945.0,7660.0,7806.0,STC
2021-10-18,7934.0,7935.0,7780.0,7889.0,STC
2021-10-19,6705.6,6705.6,6300.0,6475.0,STC
2021-10-20,6604.0,6700.0,6472.0,6660.0,STC
2021-10-21,6600.0,6625.0,6500.0,6574.0,STC
2021-10-24,6464.0,6593.0,6435.0,6460.0,STC
2021-10-25,6560.0,6575.0,6453.2,6500.1,STC
2021-10-26,6545.0,6900.0,6530.0,6710.0,STC
2021-10-27,6600.0,6999.0,6600.0,6746.0,STC
2021-10-28,6746.0,6780.0,6685.0,6739.0,STC
2021-10-31,6780.0,7344.0,6745.0,7139.0,STC
2021-11-01,7140.0,7281.7,6993.4,7050.0,STC
2021-11-02,6958.0,7065.0,6900.0,6912.0,STC
2021-11-03,7000.0,7191.0,6875.6,6949.0,STC
2021-11-08,7084.0,7191.0,6900.0,6900.0,STC
2021-11-09,6810.1,6810.1,6675.0,6790.0,STC
2021-11-11,6700.0,6764.0,6600.0,6682.0,STC
2021-11-14,6575.0,6650.0,6575.0,6640.0,STC
2021-11-15,6660.0,6772.0,6660.0,6735.0,STC
2021-11-16,6650.0,6900.0,6650.0,6825.0,STC
2021-11-17,6950.0,7000.0,6900.0,6900.0,STC
2021-11-18,6762.0,7034.0,6750.0,6760.0,STC
2021-11-21,6625.8,6695.0,6500.0,6629.0,STC
2021-11-22,6625.0,6655.0,6552.0,6650.0,STC
2021-11-23,6520.0,6644.0,6520.0,6550.0,STC
2021-11-24,6421.0,6490.0,6350.0,6469.0,STC
2021-11-25,6376.0,6500.0,6330.0,6360.0,STC
2021-11-28,6300.0,6300.0,5990.0,5990.0,STC
2021-11-29,5901.0,6252.0,5901.0,5975.0,STC
2021-11-30,6094.0,6094.0,5857.0,5920.0,STC
2021-12-01,5935.0,5966.0,5895.0,5948.0,STC
2021-12-02,6000.0,6310.0,5800.0,5877.0,STC
2021-12-05,5796.0,5815.0,5600.0,5601.1,STC
2021-12-06,5501.0,5650.0,5169.0,5590.0,STC
2021-12-07,5700.0,5790.0,5555.0,5665.9,STC
2021-12-08,5778.0,5778.0,5450.0,5460.0,STC
2021-12-09,5450.0,5550.0,5360.0,5420.0,STC
2021-12-12,5420.0,5420.0,4900.0,5001.0,STC
2021-12-13,4911.0,5049.0,4740.0,4830.0,STC
2021-12-14,4926.0,5221.3,4900.0,5200.0,STC
2021-12-15,5260.0,5350.0,5200.0,5225.0,STC
2021-12-16,5131.0,5200.0,5020.0,5100.0,STC
2021-12-20,5100.0,5120.0,5000.0,5105.0,STC
2021-12-21,5207.1,5298.0,5140.0,5260.0,STC
2021-12-22,5345.0,5760.0,5345.0,5699.0,STC
2021-12-23,5811.0,5900.0,5690.0,5690.0,STC
2021-12-26,5669.0,5896.0,5669.0,5775.0,STC
2021-12-27,5750.0,5835.0,5590.0,5600.0,STC
2021-12-28,5550.0,5747.0,5505.0,5656.0,STC
2021-12-29,5765.0,5768.0,5547.0,5600.0,STC
2022-01-02,5490.0,5700.0,5490.0,5650.0,STC
2022-01-03,5700.0,6215.0,5700.0,6110.0,STC
2022-01-04,6199.0,6250.0,6150.0,6220.0,STC
2022-01-05,6250.0,6298.8,6050.0,6050.0,STC
2022-01-06,5951.0,6088.0,5930.0,6025.0,STC
2022-01-09,6144.0,6469.0,6116.0,6450.0,STC
2022-01-10,6500.0,6700.0,6370.0,6600.0,STC
2022-01-11,6600.0,6936.0,6547.0,6680.0,STC
2022-01-12,6760.0,7020.0,6682.0,6720.0,STC
2022-01-13,6834.0,6968.0,6705.0,6880.0,STC
2022-01-16,7000.0,7150.0,6989.0,7068.0,STC
2022-01-17,7101.0,7125.0,6935.0,7050.0,STC
2022-01-18,7001.0,7035.0,6801.2,6870.0,STC
2022-01-19,6870.0,6870.0,6685.0,6700.0,STC
2022-01-20,6750.0,6800.0,6700.0,6795.0,STC
2022-01-23,6930.9,6930.9,6600.0,6680.1,STC
2022-01-24,6610.0,6700.0,6370.0,6450.0,STC
2022-01-25,6500.0,6618.0,6300.0,6425.0,STC
2022-01-26,6325.0,6398.0,6262.0,6350.0,STC
2022-01-27,6476.0,6477.0,6223.0,6343.0,STC
2022-01-30,6469.0,6699.0,6465.0,6699.0,STC
2022-01-31,6565.1,6700.0,6565.1,6660.0,STC
2022-02-01,6659.0,6697.0,6570.0,6623.1,STC
2022-02-03,6696.0,6749.0,6575.0,6576.0,STC
2022-02-06,6580.0,6600.0,6452.0,6470.0,STC
2022-02-07,6500.0,6500.0,6381.0,6490.0,STC
2022-02-08,6619.8,6750.0,6425.0,6500.0,STC
2022-02-09,6385.0,6500.0,6382.0,6403.0,STC
2022-02-10,6400.0,6549.0,6400.0,6535.0,STC
2022-02-13,6489.0,6497.0,6274.0,6400.0,STC
2022-02-14,6301.0,6426.0,6291.0,6300.0,STC
2022-02-15,6300.0,6426.0,6250.0,6400.0,STC
2022-02-16,6300.0,6420.0,6285.0,6300.0,STC
2022-02-17,6350.0,6350.0,6271.0,6345.0,STC
2022-02-20,6218.1,6300.0,6200.0,6220.0,STC
2022-02-21,6200.0,6250.0,6160.0,6219.0,STC
2022-02-22,6343.0,6343.0,6210.0,6230.0,STC
2022-02-23,6346.0,6346.0,6105.4,6168.0,STC
2022-02-24,6045.0,6175.0,6045.0,6050.0,STC
2022-02-27,6000.0,6100.0,5950.0,6040.0,STC
2022-02-28,6040.0,6040.0,5822.0,5850.0,STC
2022-03-02,5900.0,5900.0,5695.1,5710.0,STC
2022-03-06,5595.8,5820.0,5595.8,5671.0,STC
2022-03-07,5676.0,5739.0,5605.0,5650.0,STC
2022-03-09,5760.0,5760.0,5500.0,5505.0,STC
2022-03-10,5505.0,5618.0,5505.0,5618.0,STC
2022-03-13,5730.0,5899.0,5690.0,5865.0,STC
2022-03-14,5747.7,5747.7,5350.0,5640.0,STC
2022-03-15,5561.0,5650.0,5523.0,5589.0,STC
2022-03-16,5501.0,5600.0,5500.0,5500.0,STC
2022-03-20,5500.0,5599.0,5419.0,5425.0,STC
2022-03-21,5425.0,5517.0,5377.0,5517.0,STC
2022-03-22,5624.0,5624.0,5450.0,5465.0,STC
2022-03-23,5565.0,5565.0,5322.0,5507.9,STC
2022-03-24,5410.0,5489.0,5410.0,5425.0,STC
2022-03-27,5390.1,5400.0,5290.0,5300.0,STC
2022-03-28,5300.0,5350.0,5148.0,5152.0,STC
2022-03-29,4757.0,4795.0,4684.0,4710.0,STC
2022-03-30,4785.0,4785.0,4690.0,4701.0,STC
2022-03-31,4750.0,4799.0,4710.2,4760.0,STC
2022-04-03,4760.0,4760.0,4682.0,4687.0,STC
2022-04-04,4700.0,4700.0,4610.0,4610.0,STC
2022-04-05,4699.0,4699.0,4477.0,4535.0,STC
2022-04-06,4461.0,4550.0,4380.0,4400.0,STC
2022-04-07,4488.0,4550.0,4316.0,4498.0,STC
2022-04-11,4500.0,4500.0,4350.0,4382.0,STC
2022-04-12,4315.1,4379.0,4230.0,4300.0,STC
2022-04-13,4300.0,4360.0,4260.0,4290.0,STC
2022-04-17,4291.0,4374.0,4291.0,4311.0,STC
2022-04-18,4300.0,4310.0,4230.0,4288.0,STC
2022-04-19,4212.0,4299.0,4170.0,4287.0,STC
2022-04-20,4287.0,4309.0,4220.0,4263.0,STC
2022-04-21,4263.0,4275.0,4036.0,4220.0,STC
2022-04-24,4250.0,4300.0,4220.0,4220.0,STC
2022-04-25,4280.0,4305.0,4203.0,4203.0,STC
2022-04-26,4203.0,4324.0,4181.0,4200.0,STC
2022-04-27,4282.0,4282.0,4126.0,4200.0,STC
2022-04-28,4210.0,4210.0,4126.2,4126.2,STC
2022-05-02,4100.0,4150.0,4057.3,4089.0,STC
2022-05-04,4008.0,4050.0,3976.0,4000.0,STC
2022-05-05,3925.0,4050.0,3889.7,3918.0,STC
2022-05-08,3918.0,3930.0,3839.7,3930.0,STC
2022-05-09,3930.0,4043.0,3930.0,4000.0,STC
2022-05-10,3925.0,4005.0,3841.0,4004.0,STC
2022-05-11,4005.0,4049.4,3970.0,4039.0,STC
2022-05-12,4115.0,4115.0,3900.0,3975.0,STC
2022-05-17,3902.0,3970.0,3860.0,3875.0,STC
2022-05-18,3801.0,3860.0,3801.0,3855.0,STC
2022-05-19,3930.0,3930.0,3805.0,3810.0,STC
2022-05-20,3805.0,3808.0,3699.0,3700.0,STC
2022-05-23,3773.0,3773.0,3650.0,3669.0,STC
2022-05-24,3670.0,3694.0,3650.0,3660.0,STC
2022-05-25,3700.0,3734.0,3685.0,3723.0,STC
2022-05-26,3725.0,3754.0,3707.0,3740.0,STC
2022-05-27,3730.0,3730.0,3680.1,3710.0,STC
2022-05-30,3720.0,3740.0,3528.0,3580.0,STC
2022-05-31,3580.0,3600.0,3450.0,3507.0,STC
2022-06-01,3554.0,3554.0,3402.0,3430.0,STC
2022-06-02,3498.0,3500.0,3300.0,3321.0,STC
2022-06-03,3276.0,3279.0,3151.0,3220.0,STC
2022-06-06,3220.1,3285.0,3167.0,3211.0,STC
2022-06-07,3208.0,3250.0,3154.0,3160.0,STC
2022-06-08,3217.0,3288.0,3161.0,3280.0,STC
2022-06-09,3340.0,3345.0,3235.0,3289.0,STC
2022-06-10,3223.3,3270.0,3208.0,3248.0,STC
2022-06-13,3248.0,3260.0,3198.0,3198.0,STC
2022-06-14,3185.0,3200.0,3060.0,3100.0,STC
2022-06-15,3080.0,3080.0,3001.0,3020.0,STC
2022-06-16,3070.0,3130.0,3010.0,3060.0,STC
2022-06-17,3115.0,3115.0,3000.0,3050.0,STC
2022-06-19,3050.0,3059.0,2961.0,2987.0,STC
2022-06-20,2931.0,2975.0,2930.0,2950.0,STC
2022-06-21,3000.0,3044.5,2945.0,3031.0,STC
2022-06-22,3032.0,3050.0,2980.0,3000.0,STC
2022-06-23,2950.0,2950.0,2900.0,2927.0,STC
2022-06-24,2881.2,2942.0,2870.0,2935.0,STC
2022-06-26,2993.7,3173.0,2935.0,3150.0,STC
2022-06-27,3150.0,3184.0,3088.0,3100.0,STC
2022-06-28,3100.0,3100.0,3039.0,3070.0,STC
2022-06-29,3131.0,3310.0,3070.0,3310.0,STC
2022-06-30,3310.0,3615.0,3310.0,3585.0,STC
2022-07-01,3640.0,3712.0,3513.3,3627.0,STC
2022-07-03,3560.0,3989.7,3540.0,3989.7,STC
2022-07-04,4069.4,4388.6,3988.0,4263.0,STC
2022-07-05,4200.0,4440.0,4100.0,4100.0,STC
2022-07-06,4174.0,4175.0,3880.0,4090.0,STC
2022-07-07,4170.0,4200.0,4025.0,4040.0,STC
2022-07-08,4010.0,4081.0,3901.0,3916.0,STC
