date,open,high,low,close,symbol
2021-10-31,254.2,259.2,254.2,259.2,TPC
2021-11-01,264.3,269.5,264.3,269.5,TPC
2021-11-02,274.8,285.8,274.8,285.8,TPC
2021-11-03,288.7,300.2,288.7,300.2,TPC
2021-11-08,300.2,330.2,300.2,330.2,TPC
2021-11-09,336.8,363.2,336.8,363.2,TPC
2021-11-11,370.4,399.5,370.4,399.5,TPC
2021-11-14,407.4,439.4,407.4,439.4,TPC
2021-11-15,448.1,483.3,448.1,483.3,TPC
2021-11-16,492.9,531.6,492.9,531.6,TPC
2021-11-17,542.2,584.7,542.2,584.7,TPC
2021-11-18,596.3,643.1,596.3,643.1,TPC
2021-11-21,655.0,655.9,602.0,616.0,TPC
2021-11-22,616.0,616.0,590.0,600.0,TPC
2021-11-23,588.0,595.0,585.0,588.0,TPC
2021-11-24,590.0,599.7,554.4,575.0,TPC
2021-11-25,571.0,587.0,569.2,570.0,TPC
2021-11-28,558.6,591.6,526.0,548.1,TPC
2021-11-29,540.0,565.0,538.0,546.3,TPC
2021-11-30,546.0,590.9,538.0,585.0,TPC
2021-12-01,585.0,595.0,556.0,570.0,TPC
2021-12-02,559.0,570.0,544.0,565.0,TPC
2021-12-05,570.0,570.0,529.2,549.9,TPC
2021-12-06,539.0,560.0,507.0,539.9,TPC
2021-12-07,530.0,550.0,515.0,524.9,TPC
2021-12-08,515.1,518.0,499.0,509.0,TPC
2021-12-09,500.0,527.0,500.0,507.0,TPC
2021-12-12,497.0,497.0,461.3,489.9,TPC
2021-12-13,480.2,489.8,445.0,445.0,TPC
2021-12-14,445.0,489.5,437.0,489.5,TPC
2021-12-15,499.2,510.0,451.5,480.5,TPC
2021-12-16,480.0,490.0,453.9,454.1,TPC
2021-12-20,453.9,453.9,420.0,430.0,TPC
2021-12-21,430.0,438.6,415.1,416.0,TPC
2021-12-22,424.0,452.0,424.0,443.0,TPC
2021-12-23,440.0,459.0,425.4,430.0,TPC
2021-12-26,430.0,445.0,425.1,434.4,TPC
2021-12-27,426.0,434.0,414.0,415.0,TPC
2021-12-28,407.0,431.0,404.0,419.0,TPC
2021-12-29,410.7,422.0,405.0,415.0,TPC
2022-01-02,408.0,428.9,408.0,428.0,TPC
2022-01-03,420.0,430.0,415.5,427.3,TPC
2022-01-04,425.0,430.0,408.1,426.0,TPC
2022-01-05,431.0,460.0,425.0,449.0,TPC
2022-01-06,449.0,493.9,432.0,493.9,TPC
2022-01-09,494.0,530.0,487.1,522.0,TPC
2022-01-10,512.0,550.8,501.0,517.0,TPC
2022-01-11,517.0,525.0,505.0,519.0,TPC
2022-01-12,515.0,518.0,495.0,496.0,TPC
2022-01-13,505.0,515.0,486.1,513.0,TPC
2022-01-16,513.0,543.0,502.8,537.0,TPC
2022-01-17,547.7,547.7,519.4,547.0,TPC
2022-01-18,540.0,572.3,531.3,569.0,TPC
2022-01-19,558.0,585.0,542.0,578.0,TPC
2022-01-20,578.0,635.8,557.0,635.8,TPC
2022-01-23,635.8,652.0,615.0,635.0,TPC
2022-01-24,635.0,645.0,573.3,599.0,TPC
2022-01-25,587.1,610.9,570.0,589.9,TPC
2022-01-26,585.0,600.0,550.0,582.0,TPC
2022-01-27,575.0,598.0,566.5,598.0,TPC
2022-01-30,609.9,617.0,595.2,609.1,TPC
2022-01-31,600.1,627.0,588.0,607.0,TPC
2022-02-01,605.0,620.0,596.0,611.0,TPC
2022-02-03,613.0,663.0,613.0,635.0,TPC
2022-02-06,630.0,635.0,605.0,607.0,TPC
2022-02-07,594.9,637.6,594.9,612.0,TPC
2022-02-08,624.2,636.0,589.0,592.1,TPC
2022-02-09,592.1,603.2,576.2,594.0,TPC
2022-02-10,584.0,591.6,570.0,584.6,TPC
2022-02-13,573.0,573.0,546.0,547.0,TPC
2022-02-14,536.1,560.0,536.1,552.0,TPC
2022-02-15,541.1,600.0,541.1,600.0,TPC
2022-02-16,600.0,600.0,570.0,587.0,TPC
2022-02-17,598.0,642.6,576.3,625.0,TPC
2022-02-20,637.5,687.5,590.0,679.0,TPC
