date,open,high,low,close,symbol
2023-07-17,499.2,538.4,499.2,538.4,UAIL
2023-07-18,545.0,592.2,545.0,592.2,UAIL
2023-07-19,604.0,651.4,604.0,631.0,UAIL
2023-07-20,643.4,643.4,620.0,621.0,UAIL
2023-07-23,625.0,642.0,616.2,640.0,UAIL
2023-07-24,644.0,644.0,625.1,632.3,UAIL
2023-07-25,638.0,638.0,626.2,627.2,UAIL
2023-07-26,627.2,632.6,620.0,620.0,UAIL
2023-07-27,628.0,628.0,612.5,613.0,UAIL
2023-07-30,623.0,623.0,592.0,602.0,UAIL
2023-07-31,605.0,612.5,595.0,602.0,UAIL
2023-08-01,608.0,608.0,581.0,585.5,UAIL
2023-08-02,597.0,597.0,573.0,588.0,UAIL
2023-08-03,580.1,586.5,580.0,584.0,UAIL
2023-08-06,575.0,583.8,560.0,565.0,UAIL
2023-08-07,564.0,575.0,553.0,569.0,UAIL
2023-08-08,572.0,575.0,558.0,564.7,UAIL
2023-08-09,554.0,580.0,554.0,580.0,UAIL
2023-08-10,582.0,605.0,573.0,597.1,UAIL
2023-08-13,594.0,614.0,590.0,609.0,UAIL
2023-08-14,621.0,621.0,603.1,606.9,UAIL
2023-08-15,609.5,609.5,590.0,592.0,UAIL
2023-08-16,589.0,592.0,580.0,584.8,UAIL
2023-08-17,595.0,598.0,588.0,588.2,UAIL
2023-08-20,592.0,593.0,576.3,576.3,UAIL
2023-08-21,580.0,585.0,570.0,573.0,UAIL
2023-08-22,584.0,584.0,566.0,582.9,UAIL
2023-08-23,594.5,608.0,585.0,604.0,UAIL
2023-08-24,610.0,610.0,584.0,596.0,UAIL
2023-08-27,600.0,600.0,578.0,580.0,UAIL
2023-08-28,588.0,588.0,577.0,577.0,UAIL
2023-08-29,588.0,599.7,573.0,580.0,UAIL
2023-08-30,583.0,588.9,577.5,580.0,UAIL
2023-09-03,575.0,578.0,566.2,569.0,UAIL
2023-09-04,577.9,577.9,560.0,569.9,UAIL
2023-09-05,573.9,574.0,563.0,563.1,UAIL
2023-09-07,556.7,567.0,555.1,556.1,UAIL
2023-09-10,557.0,566.9,554.1,561.0,UAIL
2023-09-11,561.1,584.0,561.1,580.0,UAIL
2023-09-12,577.0,578.0,565.0,569.9,UAIL
2023-09-13,569.9,590.0,566.1,587.0,UAIL
2023-09-17,575.5,580.0,565.0,566.0,UAIL
2023-09-18,570.0,580.0,563.0,568.3,UAIL
2023-09-19,570.0,580.0,565.1,577.8,UAIL
2023-09-21,583.0,597.0,583.0,587.3,UAIL
2023-09-24,577.0,594.0,575.6,584.0,UAIL
2023-09-25,594.9,594.9,568.0,576.5,UAIL
2023-09-26,588.0,589.0,578.0,585.1,UAIL
2023-09-27,580.0,585.0,569.0,575.0,UAIL
2023-10-01,563.6,569.0,560.0,564.0,UAIL
2023-10-02,560.3,567.0,557.0,565.0,UAIL
2023-10-03,561.0,563.9,555.1,557.0,UAIL
2023-10-04,555.0,567.0,555.0,563.9,UAIL
2023-10-05,565.0,565.0,556.1,557.0,UAIL
2023-10-08,547.0,556.0,545.0,548.0,UAIL
2023-10-09,540.0,547.9,539.4,540.0,UAIL
2023-10-10,550.0,550.0,516.0,517.0,UAIL
2023-10-11,507.0,537.0,497.0,518.1,UAIL
2023-10-12,514.0,528.4,510.5,514.0,UAIL
2023-10-16,505.0,524.0,505.0,512.0,UAIL
2023-10-17,522.2,530.0,505.1,506.1,UAIL
2023-10-18,512.6,522.0,512.0,516.0,UAIL
2023-10-19,520.0,524.9,509.6,513.0,UAIL
2023-10-29,503.0,503.0,490.0,494.5,UAIL
2023-10-30,494.5,504.0,494.5,501.0,UAIL
2023-10-31,501.0,505.7,493.1,493.1,UAIL
2023-11-01,495.1,498.0,489.0,489.3,UAIL
2023-11-02,489.0,490.0,483.4,485.0,UAIL
2023-11-05,480.0,485.5,474.1,480.0,UAIL
2023-11-06,470.5,496.9,470.5,496.5,UAIL
2023-11-07,506.0,506.0,490.0,499.8,UAIL
2023-11-08,509.7,509.7,491.0,491.0,UAIL
2023-11-09,500.0,500.0,488.0,490.0,UAIL
2023-11-20,491.0,510.0,491.0,510.0,UAIL
2023-11-21,515.0,515.0,491.4,492.0,UAIL
2023-11-22,500.0,518.0,490.6,518.0,UAIL
2023-11-23,510.0,537.9,498.1,524.1,UAIL
2023-11-26,525.0,555.0,523.0,554.8,UAIL
2023-11-27,561.0,561.0,544.5,547.0,UAIL
2023-11-28,548.0,555.0,540.3,552.0,UAIL
2023-11-29,559.0,559.9,532.0,532.0,UAIL
2023-11-30,532.0,537.0,525.1,526.0,UAIL
2023-12-03,520.0,529.9,512.0,529.9,UAIL
2023-12-04,535.0,540.0,524.3,530.0,UAIL
2023-12-05,540.6,562.0,530.0,540.0,UAIL
2023-12-06,547.0,562.0,546.0,561.0,UAIL
2023-12-07,561.0,580.0,556.7,580.0,UAIL
2023-12-10,591.6,615.0,591.6,610.0,UAIL
2023-12-11,610.0,620.0,590.0,610.0,UAIL
2023-12-12,619.0,628.0,610.0,620.0,UAIL
2023-12-13,620.0,625.0,596.1,607.0,UAIL
2023-12-14,600.0,605.0,595.0,601.1,UAIL
2023-12-17,589.1,609.0,589.1,608.8,UAIL
2023-12-18,620.0,620.0,601.0,610.0,UAIL
2023-12-19,608.0,628.0,600.1,627.0,UAIL
2023-12-20,627.0,631.5,610.0,620.0,UAIL
2023-12-21,615.0,621.0,601.3,608.0,UAIL
2023-12-24,600.5,620.0,587.0,604.0,UAIL
2023-12-27,597.0,628.0,597.0,615.0,UAIL
2023-12-28,620.0,648.7,614.0,638.1,UAIL
2024-01-01,643.9,664.0,643.0,650.0,UAIL
2024-01-02,648.9,648.9,625.0,626.0,UAIL
2024-01-03,638.0,642.6,622.0,642.6,UAIL
2024-01-04,650.0,652.0,635.0,635.0,UAIL
2024-01-07,635.0,640.0,625.0,625.0,UAIL
2024-01-08,637.5,643.0,627.0,640.0,UAIL
2024-01-09,649.8,655.0,640.0,641.1,UAIL
2024-01-10,653.8,664.0,641.1,641.1,UAIL
2024-01-11,648.0,648.0,625.0,626.0,UAIL
2024-01-14,628.2,645.0,626.0,634.0,UAIL
2024-01-16,635.0,684.4,625.0,680.0,UAIL
2024-01-17,680.0,696.0,656.6,664.9,UAIL
2024-01-18,652.0,668.0,648.0,656.0,UAIL
2024-01-21,669.1,669.1,635.0,642.0,UAIL
2024-01-22,642.3,653.0,625.6,627.0,UAIL
2024-01-23,636.0,640.0,628.0,634.0,UAIL
2024-01-24,645.0,645.0,626.0,627.0,UAIL
2024-01-25,638.0,639.0,623.0,627.0,UAIL
2024-01-28,639.4,639.4,627.0,635.0,UAIL
2024-01-29,644.0,644.0,629.2,630.0,UAIL
2024-01-30,641.5,646.6,630.7,634.0,UAIL
2024-01-31,636.2,639.0,625.0,626.5,UAIL
2024-02-01,627.0,635.0,610.0,615.7,UAIL
2024-02-04,616.0,624.0,614.0,618.9,UAIL
2024-02-05,572.5,583.0,553.0,554.0,UAIL
2024-02-06,551.0,599.5,551.0,595.0,UAIL
2024-02-07,583.1,583.1,566.0,566.0,UAIL
2024-02-08,576.0,576.0,558.0,566.2,UAIL
2024-02-11,570.0,570.0,555.0,556.0,UAIL
2024-02-12,567.0,570.0,550.1,569.9,UAIL
2024-02-13,560.0,566.9,550.0,558.0,UAIL
2024-02-14,567.0,567.0,552.4,554.9,UAIL
2024-02-15,555.0,564.0,547.1,549.9,UAIL
2024-02-18,546.0,550.0,536.1,542.0,UAIL
2024-02-20,540.0,550.0,537.0,537.0,UAIL
2024-02-21,542.0,542.0,530.6,535.0,UAIL
2024-02-22,535.0,540.0,521.1,522.0,UAIL
2024-02-25,520.0,525.0,515.0,520.0,UAIL
2024-02-26,530.4,530.4,515.0,529.0,UAIL
2024-02-27,522.1,537.0,520.0,533.0,UAIL
2024-02-28,530.0,538.5,523.0,529.9,UAIL
2024-02-29,529.0,534.0,515.0,515.2,UAIL
2024-03-03,515.0,540.0,514.0,520.0,UAIL
2024-03-04,530.4,551.8,530.4,551.8,UAIL
2024-03-05,552.0,552.0,531.4,531.4,UAIL
2024-03-06,521.0,545.0,521.0,529.0,UAIL
2024-03-07,535.0,539.5,530.2,533.1,UAIL
2024-03-10,535.0,555.0,535.0,550.0,UAIL
2024-03-12,561.0,575.2,553.1,572.3,UAIL
2024-03-13,566.1,580.0,563.0,567.2,UAIL
2024-03-14,557.0,566.2,555.0,556.0,UAIL
2024-03-17,553.0,563.1,552.6,554.0,UAIL
2024-03-18,562.0,562.0,548.2,551.2,UAIL
2024-03-19,562.2,562.2,550.0,550.2,UAIL
2024-03-20,546.0,556.8,546.0,548.1,UAIL
