date,symbol,prev_close,open,high,low,close,volume
2026-06-08,ACLBSL,29.68,950.00,964.00,945.20,960.00,"1,125,662.00"
2026-06-08,ADBL,30.68,312.40,319.00,311.00,317.00,"11,405,383.90"
2026-06-08,AHL,25.47,485.40,497.00,485.40,496.50,"1,701,817.60"
2026-06-08,AHPC,28.75,279.00,280.00,276.00,277.00,"25,813,187.60"
2026-06-08,AKJCL,36.54,428.00,428.00,407.00,413.00,"556,906,427.30"
2026-06-08,AKPL,26.28,269.00,272.00,267.00,267.00,"16,700,050.80"
2026-06-08,ALBSL,24.47,"1,090.00","1,108.00","1,088.10","1,106.00","2,228,986.50"
2026-06-08,ALICL,38.98,460.00,462.00,456.10,459.00,"3,372,840.10"
2026-06-08,ANLB,38.82,"5,801.00","5,944.90","5,801.00","5,940.00","5,063,084.00"
2026-06-08,API,27.42,359.00,359.00,347.30,348.00,"92,575,863.40"
2026-06-08,AVYAN,27.56,"1,110.00","1,128.00","1,100.00","1,114.90","4,974,632.50"
2026-06-08,BANDIPUR,25.40,825.10,826.00,815.20,820.00,"19,502,117.10"
2026-06-08,BARUN,29.50,347.80,347.80,340.00,340.00,"14,229,836.50"
2026-06-08,BBC,27.04,"4,482.10","4,510.00","4,400.00","4,475.00","2,188,995.50"
2026-06-08,BEDC,21.87,362.00,365.00,360.00,361.00,"6,965,920.60"
2026-06-08,BFC,50.11,465.00,523.50,465.00,514.00,"135,004,045.30"
2026-06-08,BGWT,26.07,650.10,663.90,650.10,656.00,"1,387,599.40"
2026-06-08,BHCL,32.37,629.40,629.40,585.00,594.00,"65,107,506.80"
2026-06-08,BHDC,27.17,465.00,466.00,459.50,463.00,"6,831,454.50"
2026-06-08,BHL,28.27,221.00,222.90,218.00,219.00,"24,078,569.70"
2026-06-08,BHPL,37.65,565.00,565.00,533.00,548.60,"6,146,519.00"
2026-06-08,BJHL,22.55,900.00,900.00,860.00,867.90,"7,226,244.00"
2026-06-08,BNHC,25.25,328.20,333.80,328.20,333.80,"859,773.70"
2026-06-08,BPCL,24.04,696.00,696.00,679.80,679.90,"10,062,603.50"
2026-06-08,BUNGAL,31.12,684.00,730.00,684.00,700.10,"42,276,210.00"
2026-06-08,C30MF,25.13,10.01,10.01,10.01,10.01,"4,004.00"
2026-06-08,CBBL,29.52,926.60,928.00,901.00,921.00,"20,392,803.80"
2026-06-08,CBLD88,41.91,"1,190.00","1,190.00","1,190.00","1,190.00","11,900.00"
2026-06-08,CCBD88,33.94,"1,262.90","1,262.90","1,262.40","1,262.40","31,523.30"
2026-06-08,CFCL,48.94,584.00,649.90,584.00,630.00,"185,026,283.90"
2026-06-08,CGH,28.18,795.00,797.00,789.00,792.00,"11,169,265.80"
2026-06-08,CHCL,41.87,500.00,500.00,495.00,495.40,"16,630,481.50"
2026-06-08,CHDC,27.24,"2,262.00","2,289.00","2,262.00","2,269.00","19,654,189.50"
2026-06-08,CHL,25.41,288.00,292.00,288.00,291.00,"2,984,267.90"
2026-06-08,CIT,31.54,"1,770.00","1,770.00","1,746.00","1,755.00","19,441,432.00"
2026-06-08,CITY,50.11,376.10,407.00,374.40,402.00,"195,999,747.90"
2026-06-08,CIZBD86,25.06,"1,180.00","1,180.00","1,180.00","1,180.00","29,500.00"
2026-06-08,CKHL,28.34,665.50,665.50,650.00,665.00,"1,469,429.00"
2026-06-08,CLI,42.79,464.70,465.50,457.10,465.50,"6,642,877.00"
2026-06-08,CMF2,19.66,10.00,10.00,10.00,10.00,"1,000.00"
2026-06-08,CORBL,25.74,"2,026.00","2,026.00","1,930.00","1,966.10","17,567,187.90"
2026-06-08,CREST,27.41,"1,260.00","1,333.00","1,240.00","1,254.50","9,626,752.00"
2026-06-08,CSY,43.56,9.21,9.70,9.21,9.70,"58,332.00"
2026-06-08,CYCL,35.71,"1,455.00","1,466.00","1,455.00","1,455.00","1,359,047.30"
2026-06-08,CZBIL,27.75,205.00,205.00,201.20,202.50,"8,953,484.60"
2026-06-08,DDBL,31.87,845.00,850.00,841.30,850.00,"6,005,267.50"
2026-06-08,DHEL,30.00,620.00,626.50,618.00,621.00,"11,242,689.20"
2026-06-08,DHPL,31.99,300.00,308.90,300.00,302.00,"2,707,070.20"
2026-06-08,DLBS,26.59,"1,269.00","1,295.00","1,266.00","1,266.00","512,268.50"
2026-06-08,DOLTI,21.25,345.50,355.00,345.50,350.00,"9,753,393.40"
2026-06-08,DORDI,27.68,278.00,278.90,271.20,273.80,"7,731,198.90"
2026-06-08,EBL,29.36,709.00,711.00,706.00,709.40,"16,380,847.50"
2026-06-08,EBLD85,35.77,"1,160.10","1,160.10","1,160.00","1,160.00","34,801.00"
2026-06-08,EBLD86,49.14,"1,142.00","1,145.00","1,130.00","1,145.00","126,159,499.00"
2026-06-08,EBLD91,38.31,"1,100.00","1,100.00","1,099.00","1,099.00","186,975.00"
2026-06-08,EBLEB89,29.34,"1,080.00","1,080.00","1,080.00","1,080.00","27,000.00"
2026-06-08,EDBL,36.56,583.50,595.80,583.50,588.20,"1,511,834.90"
2026-06-08,EHPL,29.01,388.00,390.00,382.00,387.90,"8,698,160.50"
2026-06-08,ENL,28.34,891.00,894.00,861.30,880.00,"701,369.00"
2026-06-08,FMDBL,18.33,800.00,800.00,782.00,788.80,"5,203,084.30"
2026-06-08,FOWAD,34.76,"1,059.00","1,059.00","1,035.00","1,039.00","4,346,155.80"
2026-06-08,GBBD85,39.57,"1,110.00","1,115.00","1,110.00","1,115.00","44,475.00"
2026-06-08,GBBL,27.45,415.20,417.90,415.00,416.00,"8,308,912.80"
2026-06-08,GBILD86/87,27.60,"1,121.00","1,121.00","1,121.00","1,121.00","16,815.00"
2026-06-08,GBIME,29.34,239.00,239.50,237.10,238.10,"21,293,463.10"
2026-06-08,GBIMESY2,41.74,9.22,9.40,9.22,9.40,"11,234.00"
