date,open,high,low,close,volume
2026-06-08,950.00,964.00,945.20,960.00,"1,125,662.00"
2026-06-05,950.00,964.00,945.20,960.00,0.3
2026-06-04,955.10,974.00,955.00,957.10,0.22
2026-06-03,950.00,976.00,947.10,955.00,0.0
2026-06-02,969.00,970.00,945.00,955.00,0.53
2026-06-01,975.00,975.00,950.00,950.00,-1.72
2026-05-27,945.10,966.60,945.10,966.60,1.75
2026-05-26,979.00,979.00,950.00,950.00,-1.04
2026-05-25,977.40,977.40,954.00,960.00,1.16
2026-05-22,947.30,975.70,929.00,949.00,0.18
2026-05-21,950.00,968.90,947.30,947.30,-0.91
2026-05-20,960.00,964.00,946.00,956.00,0.1
2026-05-19,964.00,964.00,941.50,955.00,0.53
2026-05-18,997.30,997.30,946.10,950.00,0.01
2026-05-15,925.00,950.00,925.00,949.90,-0.22
2026-05-14,954.00,955.00,933.00,952.00,-0.21
2026-05-13,950.00,954.00,925.20,954.00,0.32
2026-05-12,961.00,965.00,950.00,951.00,-0.89
2026-05-11,977.00,977.00,941.30,959.50,1.0
2026-05-08,930.00,950.00,930.00,950.00,0.0
2026-05-07,949.80,950.00,940.00,950.00,0.02
2026-05-06,950.00,950.00,940.00,949.80,1.04
2026-05-05,950.00,968.00,922.00,940.00,-1.83
2026-05-04,950.00,957.50,925.10,957.50,1.74
2026-04-30,941.30,956.00,937.10,941.10,-0.02
2026-04-29,960.10,960.10,941.30,941.30,-1.96
2026-04-28,979.90,995.00,955.00,960.10,-2.02
2026-04-27,974.00,979.90,827.90,979.90,0.61
2026-04-24,987.00,987.00,940.00,974.00,0.94
2026-04-23,945.00,972.80,945.00,964.90,0.93
2026-04-22,979.00,979.00,945.00,956.00,-2.35
2026-04-21,953.00,979.00,953.00,979.00,0.1
2026-04-20,"1,001.00","1,001.00",950.10,978.00,0.1
2026-04-17,958.00,"1,015.00",958.00,977.00,0.0
2026-04-16,"1,013.70","1,013.70",958.10,977.00,-1.7
2026-04-15,996.90,996.90,980.00,993.90,-0.3
2026-04-13,980.00,"1,000.00",980.00,996.90,-0.11
2026-04-10,"1,021.00","1,050.00",988.00,998.00,-0.4
2026-04-09,995.00,"1,007.00",993.00,"1,002.00",1.42
2026-04-08,960.00,988.00,960.00,988.00,1.86
2026-04-07,978.20,997.00,957.00,970.00,1.14
2026-04-06,950.00,972.00,931.00,959.10,2.58
2026-04-05,"1,041.00","1,041.00",920.10,935.00,-8.44
2026-04-02,"1,040.00","1,040.00",971.20,"1,021.20",-2.28
2026-04-01,"1,029.00","1,067.40","1,001.10","1,045.00",-0.48
2026-03-31,"1,020.00","1,050.00","1,002.10","1,050.00",2.94
2026-03-30,"1,002.60","1,046.00","1,002.60","1,020.00",-0.29
2026-03-29,"1,060.80","1,060.80","1,022.00","1,023.00",-1.63
2026-03-26,"1,040.00","1,043.00","1,025.00","1,040.00",-1.23
2026-03-25,"1,089.50","1,090.00","1,048.00","1,053.00",-1.86
2026-03-24,"1,092.90","1,092.90","1,053.00","1,073.00",-0.09
2026-03-23,"1,068.00","1,081.00","1,050.00","1,074.00",0.56
2026-03-22,"1,017.00","1,095.00",996.70,"1,068.00",6.96
2026-03-19,990.00,"1,004.00",990.00,998.50,0.86
2026-03-17,975.00,991.00,975.00,990.00,0.51
2026-03-16,"1,000.00","1,000.00",981.20,985.00,-1.5
2026-03-15,985.20,"1,000.00",985.20,"1,000.00",1.5
2026-03-12,"1,000.00","1,000.00",978.30,985.20,0.42
2026-03-11,"1,016.00","1,016.00",980.00,981.10,-1.59
2026-03-10,988.00,"1,023.00",988.00,997.00,2.89
2026-03-03,960.00,"1,045.00",956.00,969.00,0.94
2026-03-01,970.00,970.00,955.20,960.00,-1.03
2026-02-26,970.00,980.00,960.40,970.00,-0.72
2026-02-25,958.50,977.00,958.50,977.00,-0.1
2026-02-24,961.00,"1,050.00",945.00,978.00,-0.19
2026-02-23,974.20,994.90,957.00,979.90,-1.42
2026-02-22,996.70,999.00,966.10,994.00,-2.26
2026-02-17,943.00,"1,017.00",943.00,"1,017.00",5.95
2026-02-16,980.00,980.00,942.10,959.90,-1.04
2026-02-12,968.20,980.00,951.00,970.00,-1.62
2026-02-11,968.00,986.00,955.00,986.00,0.72
2026-02-10,"1,013.80","1,013.80",960.10,979.00,-1.51
2026-02-09,"1,004.00","1,024.00",960.20,994.00,0.71
2026-02-08,979.20,998.00,965.00,987.00,2.81
2026-02-05,970.00,"1,049.90",945.20,960.00,0.58
2026-02-04,961.80,961.80,944.10,954.50,1.22
2026-02-03,968.00,969.00,943.00,943.00,-0.74
2026-02-02,968.00,"1,006.00",950.00,950.00,0.0
2026-02-01,940.20,"1,008.00",940.00,950.00,-0.11
2026-01-29,965.00,965.00,947.20,951.00,-0.73
2026-01-28,940.00,974.00,940.00,958.00,0.31
2026-01-27,966.00,981.00,955.00,955.00,-2.55
2026-01-26,980.00,980.00,967.30,980.00,0.0
2026-01-25,970.00,"1,028.00",947.30,980.00,3.0
2026-01-22,951.00,956.90,947.00,951.50,-0.89
2026-01-21,970.00,970.00,956.10,960.00,-1.03
2026-01-20,965.00,980.00,960.10,970.00,1.25
2026-01-18,950.00,987.90,949.90,958.00,-1.16
2026-01-14,940.80,990.00,940.80,969.20,0.96
2026-01-13,945.70,960.00,910.00,960.00,-0.52
2026-01-12,921.00,965.00,921.00,965.00,3.1
2026-01-08,944.00,944.00,918.00,936.00,0.11
2026-01-07,920.00,935.00,920.00,935.00,0.54
2026-01-06,931.00,944.00,917.10,930.00,-0.11
2026-01-05,908.00,937.00,908.00,931.00,1.2
2026-01-04,930.00,930.00,915.00,920.00,-0.54
2026-01-01,945.00,945.00,912.10,925.00,-1.91
2025-12-31,930.00,944.50,925.20,943.00,1.4
2025-12-29,926.00,933.00,926.00,930.00,-0.63
2025-12-28,905.00,935.90,905.00,935.90,3.15
2025-12-24,905.00,916.00,900.20,907.30,0.25
2025-12-23,911.00,911.00,900.00,905.00,-0.66
2025-12-22,903.10,911.00,903.10,911.00,0.0
2025-12-21,930.00,930.00,910.00,911.00,-2.04
2025-12-18,925.00,938.00,923.00,930.00,-0.96
2025-12-17,949.00,949.00,939.00,939.00,-1.04
2025-12-16,939.00,949.00,935.10,948.90,1.05
2025-12-15,948.00,951.50,935.10,939.00,-0.95
2025-12-14,971.20,971.20,934.00,948.00,-4.34
2025-12-11,980.00,999.60,980.00,991.00,0.92
2025-12-10,991.50,991.50,980.20,982.00,-0.96
2025-12-09,"1,009.00","1,009.00",990.00,991.50,0.15
2025-12-08,990.00,990.00,981.00,990.00,0.0
2025-12-07,"1,000.00","1,000.00",985.60,990.00,-1.98
2025-12-03,"1,017.00","1,025.00","1,010.00","1,010.00",-0.54
2025-12-02,"1,011.00","1,030.00","1,011.00","1,015.50",-0.92
2025-12-01,"1,010.00","1,024.90",996.00,"1,024.90",1.48
2025-11-30,"1,037.90","1,038.30","1,005.00","1,010.00",-0.79
2025-11-27,"1,017.00","1,025.00","1,016.00","1,018.00",0.69
2025-11-26,"1,011.10","1,024.00","1,007.00","1,011.00",-0.01
2025-11-25,"1,020.00","1,028.00","1,010.00","1,011.10",0.09
2025-11-24,"1,020.00","1,030.00","1,005.00","1,010.20",0.42
2025-11-23,"1,008.00","1,008.00",989.00,"1,006.00",1.72
2025-11-20,996.00,996.00,975.20,989.00,1.07
2025-11-19,982.00,"1,001.00",975.70,978.50,-0.66
2025-11-18,972.30,"1,001.00",972.30,985.00,-0.4
2025-11-17,971.00,989.00,971.00,989.00,1.02
2025-11-16,975.30,990.00,975.30,979.00,-1.51
2025-11-13,979.20,995.00,979.20,994.00,-0.1
2025-11-12,976.20,"1,019.80",976.20,995.00,-0.01
2025-11-11,"1,005.00","1,005.00",988.80,995.10,-0.99
2025-11-10,990.50,"1,010.00",990.40,"1,005.00",0.6
2025-11-09,"1,020.00","1,020.00",999.00,999.00,-2.06
2025-11-06,"1,030.00","1,030.00",996.00,"1,020.00",0.89
2025-11-05,"1,026.00","1,026.00",998.30,"1,011.00",0.4
2025-11-04,"1,039.00","1,040.00","1,007.00","1,007.00",-1.27
2025-11-03,"1,055.00","1,055.00","1,015.00","1,020.00",-1.45
2025-11-02,"1,009.00","1,049.50","1,009.00","1,035.00",2.68
2025-10-30,994.00,"1,010.00",980.00,"1,008.00",1.41
2025-10-29,990.00,"1,020.00",980.00,994.00,-0.5
2025-10-28,965.00,999.00,951.00,999.00,2.46
2025-10-26,960.00,979.00,960.00,975.00,0.52
2025-10-19,970.00,970.10,965.00,970.00,0.0
2025-10-16,970.00,986.00,968.10,970.00,-1.42
2025-10-15,998.00,998.00,978.10,984.00,0.4
2025-10-14,"1,000.00","1,000.00",980.00,980.10,-1.99
2025-10-13,982.00,"1,000.00",970.00,"1,000.00",1.83
2025-10-12,994.00,"1,010.00",977.30,982.00,-2.8
2025-10-09,"1,028.00","1,059.00","1,010.00","1,010.30",0.23
2025-10-08,"1,008.10","1,010.00",988.00,"1,008.00",-0.01
2025-10-07,"1,028.10","1,045.00","1,007.50","1,008.10",-3.53
2025-09-28,"1,021.00","1,045.00","1,021.00","1,045.00",2.05
2025-09-25,"1,025.00","1,036.00","1,023.10","1,024.00",-0.78
2025-09-24,"1,037.10","1,057.00","1,031.00","1,032.00",-2.45
2025-09-23,"1,044.00","1,058.00","1,038.00","1,057.90",2.8
2025-09-21,955.00,"1,041.00",950.00,"1,029.09",6.09
2025-09-18,996.40,997.00,970.00,970.00,-4.59
2025-09-08,"1,024.00","1,044.40","1,010.00","1,016.64",-1.11
2025-09-07,"1,020.00","1,045.50","1,020.00","1,028.10",-0.67
