date,open,high,low,close,volume
2026-06-08,428.00,428.00,407.00,413.00,"556,906,427.30"
2026-06-05,428.0,428.0,407.0,413.0,-2.8
2026-06-04,418.0,455.0,418.0,424.9,-3.43
2026-06-03,441.7,461.4,438.0,440.0,0.02
2026-06-02,410.0,440.9,410.0,439.9,2.06
2026-06-01,440.0,443.9,425.2,431.0,-2.05
2026-05-27,422.9,441.2,420.6,440.0,4.04
2026-05-26,413.0,424.0,412.5,422.9,1.17
2026-05-25,402.0,420.0,402.0,418.0,3.98
2026-05-22,370.0,402.0,370.0,402.0,7.2
2026-05-21,387.3,387.3,365.0,375.0,1.65
2026-05-20,350.0,370.0,350.0,368.9,4.21
2026-05-19,350.0,354.0,345.0,354.0,0.57
2026-05-18,371.4,371.4,348.0,352.0,-0.51
2026-05-15,346.0,358.0,346.0,353.8,0.4
2026-05-14,372.7,372.7,343.1,352.4,-0.73
2026-05-13,367.5,367.5,343.0,355.0,1.43
2026-05-12,367.0,372.0,345.0,350.0,-4.63
2026-05-11,384.1,384.1,361.6,367.0,0.3
2026-05-08,344.0,365.9,344.0,365.9,5.48
2026-05-07,332.7,352.6,332.7,346.9,-0.86
2026-05-06,370.0,370.0,343.1,349.9,-0.85
2026-05-05,368.0,368.0,347.0,352.9,0.54
2026-05-04,389.0,389.0,349.7,351.0,-6.4
2026-04-30,373.0,377.1,355.0,375.0,0.27
2026-04-29,404.1,404.1,365.0,374.0,-2.83
2026-04-28,376.9,399.0,376.9,384.9,-2.97
2026-04-27,405.0,405.0,385.3,396.7,1.74
2026-04-24,390.0,397.8,384.0,389.9,-0.79
2026-04-23,402.0,402.0,372.1,393.0,2.61
2026-04-22,375.0,388.2,362.0,383.0,2.13
2026-04-21,363.7,389.5,363.7,375.0,-2.04
2026-04-20,411.6,411.6,376.0,382.8,-2.35
2026-04-17,390.0,397.5,383.1,392.0,1.55
2026-04-16,404.5,404.5,385.5,386.0,-4.34
2026-04-15,405.9,413.1,400.0,403.5,0.47
2026-04-13,406.0,411.0,399.0,401.6,-1.08
2026-04-10,408.0,415.0,400.0,406.0,1.5
