date,open,high,low,close,volume
2026-06-08,"1,090.00","1,108.00","1,088.10","1,106.00","2,228,986.50"
2026-06-05,"1,090.00","1,108.00","1,088.10","1,106.00",-0.17
2026-06-04,"1,101.00","1,118.90","1,092.10","1,107.90",-0.55
2026-06-03,"1,101.00","1,120.00","1,095.00","1,114.00",-0.45
2026-06-02,"1,070.00","1,120.00","1,070.00","1,119.00",2.38
2026-06-01,"1,100.00","1,160.00","1,087.00","1,093.00",-3.18
2026-05-27,"1,108.00","1,189.00","1,100.00","1,128.90",0.17
2026-05-26,"1,125.00","1,155.00","1,117.60","1,127.00",-1.83
2026-05-25,"1,086.00","1,148.00","1,086.00","1,148.00",2.96
2026-05-22,"1,162.30","1,162.30","1,085.00","1,115.00",0.72
2026-05-21,"1,090.00","1,122.00","1,090.00","1,107.00",-0.66
2026-05-20,"1,085.10","1,115.00","1,085.10","1,114.40",1.31
2026-05-19,"1,070.00","1,122.00","1,070.00","1,100.00",-0.72
2026-05-18,"1,045.00","1,115.00","1,045.00","1,108.00",0.73
2026-05-15,"1,070.00","1,149.00","1,070.00","1,100.00",-0.5
2026-05-14,"1,080.00","1,107.40","1,080.00","1,105.50",-0.17
2026-05-13,"1,090.00","1,110.00","1,081.00","1,107.40",-0.41
2026-05-12,"1,141.00","1,141.00","1,092.10","1,112.00",-0.6
2026-05-11,"1,070.00","1,150.00","1,070.00","1,118.70",0.78
2026-05-08,"1,070.00","1,169.00","1,070.00","1,110.00",0.36
2026-05-07,"1,088.00","1,119.00","1,088.00","1,106.00",0.09
2026-05-06,"1,100.00","1,113.00","1,081.00","1,105.00",-0.18
2026-05-05,"1,100.00","1,110.00","1,086.00","1,107.00",-0.26
2026-05-04,"1,070.00","1,135.00","1,070.00","1,109.90",-0.46
2026-04-30,"1,100.00","1,128.00","1,095.00","1,115.00",0.45
2026-04-29,"1,067.80","1,135.00","1,067.80","1,110.00",-1.25
2026-04-28,"1,100.00","1,170.00","1,100.00","1,124.00",-0.49
2026-04-27,"1,086.00","1,172.00","1,086.00","1,129.50",0.04
2026-04-24,"1,170.00","1,170.00","1,103.00","1,129.00",-0.78
2026-04-23,"1,194.90","1,194.90","1,116.10","1,137.90",-0.01
2026-04-22,"1,202.10","1,202.10","1,118.10","1,138.00",-0.6
2026-04-21,"1,119.00","1,148.00","1,115.00","1,144.90",-0.44
2026-04-20,"1,213.00","1,213.00","1,135.90","1,150.00",-0.52
2026-04-17,"1,134.60","1,179.00","1,134.00","1,156.00",-0.15
2026-04-16,"1,137.80","1,203.00","1,135.00","1,157.70",-0.28
2026-04-15,"1,125.00","1,173.00","1,125.00","1,161.00",1.14
2026-04-13,"1,138.70","1,184.60","1,128.50","1,147.90",-1.2
2026-04-10,"1,154.40","1,197.90","1,142.00","1,161.90",-1.36
2026-04-09,"1,147.60","1,203.00","1,147.60","1,177.90",0.59
2026-04-08,"1,147.60","1,193.30","1,147.60","1,171.00",0.0
2026-04-07,"1,164.10","1,210.00","1,142.00","1,171.00",-1.41
2026-04-06,"1,136.80","1,193.50","1,136.60","1,187.80",2.4
2026-04-05,"1,172.90","1,218.00","1,109.40","1,160.00",-3.07
2026-04-02,"1,157.40","1,207.00","1,155.00","1,196.80",1.34
2026-04-01,"1,200.00","1,224.00","1,156.10","1,181.00",-3.51
2026-03-31,"1,200.00","1,224.00","1,185.00","1,224.00",0.92
2026-03-30,"1,224.00","1,272.00","1,205.50","1,212.90",-2.81
2026-03-29,"1,269.00","1,326.00","1,207.00","1,248.00",-3.55
2026-03-26,"1,261.00","1,300.00","1,240.00","1,293.90",0.61
2026-03-25,"1,264.20","1,321.30","1,240.00","1,286.00",-0.31
2026-03-24,"1,270.00","1,334.00","1,270.00","1,290.00",-0.39
2026-03-23,"1,167.00","1,309.00","1,167.00","1,295.00",8.82
2026-03-22,"1,136.80","1,198.00","1,136.80","1,190.00",2.59
2026-03-19,"1,117.20","1,174.00","1,117.20","1,160.00",1.75
2026-03-17,"1,122.00","1,144.40","1,118.00","1,140.00",-0.34
2026-03-16,"1,131.00","1,190.00","1,130.10","1,143.90",-0.88
2026-03-15,"1,140.00","1,203.00","1,140.00","1,154.00",-0.69
