date,open,high,low,close,volume
2026-06-08,460.00,462.00,456.10,459.00,"3,372,840.10"
2026-06-05,460.00,462.00,456.10,459.00,-0.22
2026-06-04,462.90,465.00,455.10,460.00,-0.86
2026-06-03,451.20,472.40,451.20,464.00,1.75
2026-06-02,478.50,478.50,452.10,456.00,0.04
2026-06-01,462.40,462.50,452.00,455.80,0.4
2026-05-27,455.00,455.00,451.50,454.00,1.05
2026-05-26,458.50,458.50,449.30,449.30,-1.3
2026-05-25,459.90,459.90,452.00,455.20,0.64
2026-05-22,459.90,459.90,449.00,452.30,-0.53
2026-05-21,455.00,455.00,451.20,454.70,0.04
2026-05-20,454.80,454.80,450.00,454.50,0.62
2026-05-19,449.20,454.00,449.00,451.70,-0.83
2026-05-18,450.10,455.60,450.10,455.50,0.89
2026-05-15,454.00,455.00,451.10,451.50,-0.59
2026-05-14,448.30,458.00,448.00,454.20,-0.37
2026-05-13,449.00,455.90,449.00,455.90,0.42
2026-05-12,455.00,460.00,453.00,454.00,-0.98
2026-05-11,459.90,460.00,455.00,458.50,1.21
2026-05-08,453.00,455.00,451.70,453.00,0.49
2026-05-07,446.20,454.00,445.60,450.80,0.29
2026-05-06,445.10,450.90,445.10,449.50,-0.11
2026-05-05,445.10,451.00,445.10,450.00,0.63
2026-05-04,450.00,454.70,445.00,447.20,-0.73
2026-04-30,452.10,453.10,445.10,450.50,-0.75
2026-04-29,454.50,455.10,452.20,453.90,-0.13
2026-04-28,458.00,458.00,452.20,454.50,-0.76
2026-04-27,458.00,459.00,451.30,458.00,0.0
2026-04-24,451.00,460.00,451.00,458.00,0.0
2026-04-23,457.00,458.90,452.20,458.00,0.22
2026-04-22,454.00,460.00,450.40,457.00,-0.44
2026-04-21,481.40,481.40,455.00,459.00,0.11
2026-04-20,488.20,488.20,453.00,458.50,-1.4
2026-04-17,462.00,465.00,458.00,465.00,0.65
2026-04-16,465.00,468.00,458.10,462.00,-0.86
2026-04-15,463.80,469.00,460.50,466.00,0.47
2026-04-13,461.00,469.60,460.30,463.80,-1.28
2026-04-10,470.00,470.00,462.00,469.80,0.82
2026-04-09,460.00,467.00,452.00,466.00,1.08
2026-04-08,468.10,468.10,455.00,461.00,0.44
2026-04-07,459.00,466.00,455.00,459.00,0.42
2026-04-06,446.00,463.50,446.00,457.10,1.6
2026-04-05,463.80,472.50,437.20,449.90,-3.0
2026-04-02,460.10,468.00,450.00,463.80,-0.88
2026-04-01,467.00,472.00,458.00,467.90,-0.45
2026-03-31,466.00,474.00,461.20,470.00,0.86
2026-03-30,465.00,477.00,465.00,466.00,-0.85
2026-03-29,490.00,495.00,470.00,470.00,-3.69
2026-03-26,484.00,490.00,479.00,488.00,-0.2
2026-03-25,495.00,496.00,484.00,489.00,-1.21
2026-03-24,491.20,496.00,486.30,495.00,-0.2
2026-03-23,505.00,505.00,492.00,496.00,-0.6
2026-03-22,486.00,505.00,484.00,499.00,3.16
2026-03-19,475.00,485.50,470.90,483.70,2.91
2026-03-17,470.00,472.00,464.20,470.00,0.11
2026-03-16,471.50,476.00,465.30,469.50,-1.45
2026-03-15,482.00,485.00,475.20,476.40,-1.0
2026-03-12,477.00,485.00,471.10,481.20,1.09
2026-03-11,480.00,490.00,472.00,476.00,-0.83
2026-03-10,489.00,489.60,462.00,480.00,0.0
2026-03-09,461.00,488.90,461.00,480.00,6.19
2026-03-03,446.00,454.50,445.30,452.00,0.89
2026-03-01,440.00,451.00,438.00,448.00,1.13
2026-02-26,442.10,447.00,440.00,443.00,-0.29
2026-02-25,443.00,450.00,440.00,444.30,1.21
2026-02-24,438.00,441.00,435.00,439.00,0.64
2026-02-23,437.00,440.00,435.20,436.20,-0.18
2026-02-22,440.10,444.00,437.00,437.00,-1.31
2026-02-17,446.00,447.90,440.00,442.80,-0.94
2026-02-16,451.00,451.00,439.00,447.00,0.25
2026-02-12,440.00,448.00,440.00,445.90,1.56
2026-02-11,477.30,485.00,448.00,461.00,-1.5
2026-02-10,466.00,479.90,456.70,468.00,-0.7
2026-02-09,480.00,483.00,471.30,471.30,-1.79
2026-02-08,486.00,489.00,477.30,479.90,-0.02
2026-02-05,483.00,483.00,475.00,480.00,1.24
2026-02-04,467.50,480.50,467.50,474.10,-0.61
2026-02-03,475.00,482.70,474.30,477.00,-0.42
2026-02-02,481.90,482.00,475.00,479.00,1.27
2026-02-01,473.50,482.90,473.00,473.00,-0.84
2026-01-29,476.20,485.00,473.00,477.00,0.0
2026-01-28,476.00,484.80,476.00,477.00,-0.67
2026-01-27,484.40,489.90,479.50,480.20,-1.68
2026-01-26,491.10,492.00,483.00,488.40,-0.63
2026-01-25,490.00,495.00,488.00,491.50,0.72
2026-01-22,488.00,490.00,483.50,488.00,0.06
2026-01-21,494.40,494.40,486.20,487.70,-0.47
2026-01-20,486.80,495.00,485.80,490.00,1.93
2026-01-18,474.90,481.90,474.90,480.70,1.48
2026-01-14,482.00,485.00,473.60,473.70,-0.48
2026-01-13,472.00,481.00,472.00,476.00,0.85
2026-01-12,472.90,476.70,469.50,472.00,0.02
2026-01-08,465.00,471.90,462.50,471.90,1.48
2026-01-07,463.10,468.80,461.30,465.00,0.0
2026-01-06,468.00,469.00,465.00,465.00,-0.21
2026-01-05,461.90,467.00,460.40,466.00,0.89
2026-01-04,463.00,464.70,460.20,461.90,-0.77
2026-01-01,470.00,470.00,465.00,465.50,-0.49
2025-12-31,463.20,471.00,463.20,467.80,0.71
2025-12-29,463.00,470.00,458.30,464.50,-0.85
2025-12-28,456.00,468.50,456.00,468.50,2.52
2025-12-24,447.00,460.00,447.00,457.00,0.22
2025-12-23,456.00,462.00,454.10,456.00,-0.2
2025-12-22,461.60,462.80,454.10,456.90,-1.02
2025-12-21,464.00,467.00,459.10,461.60,-0.69
2025-12-18,470.00,474.00,464.10,464.80,-1.0
2025-12-17,474.00,474.00,466.00,469.50,0.28
2025-12-16,474.00,488.80,462.10,468.20,0.69
2025-12-15,462.20,466.00,462.00,465.00,0.67
2025-12-14,464.00,468.00,460.10,461.90,-0.56
2025-12-11,460.80,467.10,460.70,464.50,0.02
2025-12-10,473.90,473.90,462.00,464.40,-0.13
2025-12-09,459.00,469.00,459.00,465.00,1.09
2025-12-08,451.00,469.00,451.00,460.00,0.0
2025-12-07,463.00,472.20,456.50,460.00,-1.08
2025-12-03,473.40,476.00,463.60,465.00,-1.77
2025-12-02,470.00,480.00,468.50,473.40,-1.27
2025-12-01,480.10,483.90,476.00,479.50,-0.7
2025-11-30,476.30,495.00,476.30,482.90,-0.64
2025-11-27,493.00,493.00,481.40,486.00,-1.02
2025-11-26,486.00,498.00,486.00,491.00,-0.57
2025-11-25,495.00,495.70,480.00,493.80,0.0
2025-11-24,465.70,493.90,465.70,493.80,6.03
2025-11-23,450.00,470.00,450.00,465.70,3.95
2025-11-20,445.10,452.90,445.10,448.00,-0.67
2025-11-19,442.00,459.10,442.00,451.00,0.0
2025-11-18,450.10,458.80,445.10,451.00,0.22
2025-11-17,457.90,457.90,446.10,450.00,-0.55
2025-11-16,463.00,463.00,452.20,452.50,-1.03
2025-11-13,472.00,472.00,457.20,457.20,-1.68
2025-11-12,460.10,473.90,459.60,465.00,-0.6
2025-11-11,471.00,473.00,460.00,467.80,0.82
2025-11-10,462.30,471.20,460.00,464.00,-0.9
2025-11-09,472.00,473.80,465.70,468.20,-1.06
2025-11-06,465.50,479.80,465.00,473.20,-0.36
2025-11-05,478.00,482.00,469.00,474.90,-2.48
2025-11-04,500.00,500.00,485.30,487.00,-2.79
2025-11-03,494.00,502.00,490.00,501.00,0.4
2025-11-02,485.00,500.00,476.00,499.00,4.61
2025-10-30,458.00,484.00,458.00,477.00,3.92
2025-10-29,465.00,469.60,457.20,459.00,-0.89
2025-10-28,446.00,468.00,446.00,463.10,3.93
2025-10-26,440.10,447.00,440.10,445.60,-0.31
2025-10-19,445.00,451.80,442.00,447.00,-0.22
2025-10-16,444.20,452.00,444.20,448.00,0.0
2025-10-15,450.00,453.80,444.00,448.00,-0.88
2025-10-14,450.80,466.00,430.00,452.00,-1.74
2025-10-13,442.00,461.00,442.00,460.00,2.36
2025-10-12,459.00,459.00,442.50,449.40,-2.69
2025-10-09,463.00,481.00,456.60,461.80,1.72
2025-10-08,460.00,460.00,451.20,454.00,-2.66
2025-10-07,473.00,473.00,458.00,466.40,-1.4
2025-09-28,469.70,479.40,469.70,473.00,-1.05
2025-09-25,470.00,478.00,469.00,478.00,0.63
2025-09-24,475.00,483.00,470.40,475.00,-0.63
2025-09-23,481.00,485.00,475.00,478.00,-0.51
2025-09-21,453.60,484.00,444.60,480.46,3.82
2025-09-18,462.80,462.80,462.80,462.80,-1.99
2025-09-08,477.00,479.00,471.00,472.22,-1.49
2025-09-07,479.10,485.00,476.00,479.37,-0.18
