date,open,high,low,close,volume
2026-06-08,359.00,359.00,347.30,348.00,"92,575,863.40"
2026-06-05,359.0,359.0,347.3,348.0,-1.0
2026-06-04,357.0,360.0,351.1,351.5,-1.43
2026-06-03,361.0,361.0,355.6,356.6,-0.11
2026-06-02,355.5,360.0,351.4,357.0,0.45
2026-06-01,370.0,370.0,354.0,355.4,-2.36
2026-05-27,360.0,364.8,356.5,364.0,1.45
2026-05-26,360.0,362.9,355.4,358.8,-0.28
2026-05-25,359.0,363.0,357.2,359.8,0.73
2026-05-22,351.1,358.0,351.0,357.2,0.79
2026-05-21,355.0,360.0,350.0,354.4,-0.17
2026-05-20,353.0,355.0,350.0,355.0,1.14
2026-05-19,340.0,352.0,340.0,351.0,0.57
2026-05-18,349.0,353.0,347.0,349.0,0.0
2026-05-15,351.0,352.7,346.2,349.0,0.29
2026-05-14,343.8,349.9,339.0,348.0,1.22
2026-05-13,345.0,348.0,339.0,343.8,-0.35
2026-05-12,366.4,366.4,343.0,345.0,-1.15
2026-05-11,337.1,350.2,337.1,349.0,3.56
2026-05-08,332.0,338.9,330.1,337.0,1.41
2026-05-07,333.8,335.0,329.7,332.3,0.39
2026-05-06,330.0,335.0,329.0,331.0,-0.75
2026-05-05,330.0,335.0,326.0,333.5,1.06
2026-05-04,341.0,341.0,329.0,330.0,-1.46
2026-04-30,352.6,352.6,326.0,334.9,-0.3
2026-04-29,339.1,340.5,334.0,335.9,-0.94
2026-04-28,341.0,347.0,339.0,339.1,-0.56
2026-04-27,339.9,345.0,340.0,341.0,0.32
2026-04-24,338.0,341.0,331.1,339.9,0.0
2026-04-23,350.0,350.0,335.0,339.9,-0.32
2026-04-22,340.0,347.0,332.0,341.0,0.56
2026-04-21,346.1,348.0,339.0,339.1,-1.71
2026-04-20,350.0,350.0,341.5,345.0,-1.15
2026-04-17,349.8,352.0,345.1,349.0,-0.14
2026-04-16,350.0,357.0,348.8,349.5,-1.19
2026-04-15,345.0,357.2,345.0,353.7,1.58
2026-04-13,351.0,354.0,345.0,348.2,-0.8
2026-04-10,354.0,355.0,346.0,351.0,-0.34
2026-04-09,347.0,355.0,344.0,352.2,0.92
2026-04-08,345.0,350.0,342.0,349.0,2.2
2026-04-07,350.0,350.8,339.2,341.5,-1.3
2026-04-06,325.0,348.0,324.0,346.0,6.46
2026-04-05,350.5,350.5,324.6,325.0,-7.93
2026-04-02,350.0,356.8,343.0,353.0,0.86
2026-04-01,356.1,358.5,343.1,350.0,-2.26
2026-03-31,364.7,364.7,346.0,358.1,0.14
2026-03-30,355.0,359.2,350.0,357.6,0.45
2026-03-29,360.0,366.0,353.0,356.0,-2.25
2026-03-26,359.0,365.9,354.0,364.2,1.45
2026-03-25,360.0,368.9,358.7,359.0,-0.66
2026-03-24,354.0,367.9,351.0,361.4,3.85
2026-03-23,343.0,349.5,337.7,348.0,1.31
2026-03-22,348.0,351.2,339.2,343.5,-0.26
2026-03-19,347.8,353.9,342.2,344.4,1.0
2026-03-17,332.5,343.7,331.0,341.0,2.4
2026-03-16,339.0,343.9,331.0,333.0,-2.0
2026-03-15,343.0,343.0,335.2,339.8,1.04
2026-03-12,345.0,345.0,335.3,336.3,-1.09
2026-03-11,341.0,355.0,336.2,340.0,-0.29
2026-03-10,345.0,347.0,323.0,341.0,0.29
2026-03-09,323.0,345.0,323.0,340.0,7.26
2026-03-03,316.0,319.0,312.2,317.0,0.32
2026-03-01,312.4,321.0,308.0,316.0,1.15
2026-02-26,296.9,315.0,296.9,312.4,3.44
2026-02-25,300.7,304.0,295.0,302.0,1.68
2026-02-24,291.9,299.0,291.9,297.0,-0.27
2026-02-23,290.5,297.8,290.4,297.8,2.34
2026-02-22,295.0,299.0,290.0,291.0,-1.36
2026-02-17,297.0,301.4,292.1,295.0,-1.5
2026-02-16,306.0,306.0,297.3,299.5,-1.16
2026-02-12,309.0,309.0,302.2,303.0,0.0
2026-02-11,305.0,311.0,300.1,303.0,0.33
2026-02-10,297.0,309.3,297.0,302.0,1.68
2026-02-09,307.9,307.9,296.0,297.0,-1.62
2026-02-08,305.0,311.0,299.6,301.9,-0.36
2026-02-05,301.0,312.1,296.2,303.0,2.36
2026-02-04,298.0,299.0,293.0,296.0,-0.17
2026-02-03,300.0,300.0,292.1,296.5,-0.5
2026-02-02,297.0,301.0,296.0,298.0,0.34
2026-02-01,300.1,300.1,295.0,297.0,-0.9
2026-01-29,296.0,305.0,294.0,299.7,0.57
2026-01-28,296.2,301.0,291.0,298.0,0.17
2026-01-27,307.0,308.9,297.4,297.5,-3.03
2026-01-26,312.0,312.0,300.0,306.8,-0.39
2026-01-25,299.5,309.5,299.5,308.0,3.36
2026-01-22,294.8,300.5,292.0,298.0,0.71
2026-01-21,299.0,301.4,293.2,295.9,-1.33
2026-01-20,294.0,299.9,290.3,299.9,3.41
2026-01-18,295.0,295.0,288.0,290.0,0.24
2026-01-14,289.9,291.0,287.0,289.3,-0.03
2026-01-13,288.0,292.0,287.0,289.4,0.21
