date,open,high,low,close,volume
2026-06-08,347.80,347.80,340.00,340.00,"14,229,836.50"
2026-06-05,347.8,347.8,340.0,340.0,-1.45
2026-06-04,349.0,349.0,343.3,345.0,-0.86
2026-06-03,345.0,351.2,345.0,348.0,0.87
2026-06-02,341.0,347.0,340.0,345.0,0.55
2026-06-01,353.0,354.8,343.0,343.1,-2.53
2026-05-27,353.0,354.8,350.0,352.0,-0.03
2026-05-26,357.2,358.8,350.3,352.1,-1.51
2026-05-25,352.0,359.0,351.0,357.5,1.82
2026-05-22,345.3,352.0,345.3,351.1,0.89
2026-05-21,353.9,353.9,346.0,348.0,-0.46
2026-05-20,344.1,350.0,343.0,349.6,1.63
2026-05-19,345.0,345.5,341.3,344.0,-0.38
2026-05-18,345.0,349.0,344.0,345.3,-0.2
2026-05-15,340.0,347.9,340.0,346.0,0.0
2026-05-14,342.0,346.6,342.0,346.0,0.32
2026-05-13,341.0,345.0,338.1,344.9,0.55
2026-05-12,358.0,358.0,340.0,343.0,-2.47
2026-05-11,342.2,354.0,342.2,351.7,2.87
2026-05-08,338.0,343.0,337.0,341.9,1.76
2026-05-07,340.0,340.0,335.6,336.0,-0.59
2026-05-06,341.8,343.8,336.0,338.0,0.0
2026-05-05,333.5,344.0,330.1,338.0,0.9
2026-05-04,340.0,345.0,334.1,335.0,-1.47
2026-04-30,341.5,345.0,335.0,340.0,-0.44
2026-04-29,345.0,347.0,340.3,341.5,-1.01
2026-04-28,347.6,352.0,343.0,345.0,-0.75
2026-04-27,346.0,352.0,346.8,347.6,0.46
2026-04-24,345.0,350.0,339.0,346.0,0.0
2026-04-23,350.1,353.9,343.0,346.0,-0.86
2026-04-22,349.0,358.0,340.7,349.0,-0.29
2026-04-21,357.5,360.0,348.5,350.0,-2.1
2026-04-20,361.0,361.0,355.0,357.5,-0.97
2026-04-17,360.0,367.0,356.4,361.0,-0.22
2026-04-16,369.9,374.0,358.7,361.8,-2.19
2026-04-15,372.0,377.0,369.9,369.9,0.0
2026-04-13,375.1,375.1,367.0,369.9,0.57
2026-04-10,376.9,376.9,366.0,367.8,-2.44
2026-04-09,362.0,377.0,357.1,377.0,4.72
2026-04-08,354.0,363.5,353.0,360.0,1.98
2026-04-07,359.9,364.0,350.5,353.0,-1.12
2026-04-06,334.0,360.8,334.0,357.0,6.89
2026-04-05,346.0,350.0,332.9,334.0,-5.38
2026-04-02,352.0,359.0,340.0,353.0,1.99
2026-04-01,361.0,362.0,345.0,346.1,-3.86
2026-03-31,358.1,368.0,353.7,360.0,-0.22
2026-03-30,365.0,372.0,360.0,360.8,-1.69
2026-03-29,373.6,385.0,366.0,367.0,-3.73
2026-03-26,380.0,382.9,375.6,381.2,0.32
2026-03-25,396.7,396.7,380.0,380.0,-2.31
2026-03-24,391.0,395.0,385.0,389.0,-0.21
2026-03-23,392.0,392.0,382.1,389.8,-0.05
2026-03-22,400.0,400.0,383.0,390.0,-0.76
2026-03-19,383.5,401.5,377.2,393.0,4.52
2026-03-17,365.1,376.3,363.0,376.0,2.59
2026-03-16,366.4,379.9,366.3,366.5,-1.93
2026-03-15,380.0,380.0,370.0,373.7,-0.35
2026-03-12,367.0,377.3,367.0,375.0,1.63
2026-03-11,367.0,381.3,367.0,369.0,-1.34
2026-03-10,390.0,390.0,367.9,374.0,-3.86
2026-03-09,363.1,391.6,363.1,389.0,9.27
2026-03-03,353.7,358.0,342.9,356.0,2.65
2026-03-01,340.1,347.5,339.0,346.8,0.52
2026-02-26,352.0,352.0,342.0,345.0,-0.29
2026-02-25,342.0,348.0,341.3,346.0,0.9
2026-02-24,340.0,344.0,339.0,342.9,1.18
2026-02-23,339.9,344.7,336.4,338.9,0.86
2026-02-22,347.0,347.0,335.0,336.0,-2.95
2026-02-17,358.0,362.9,346.0,346.2,-3.57
2026-02-16,365.2,372.0,358.0,359.0,-1.7
2026-02-12,373.9,377.1,364.0,365.2,-0.76
2026-02-11,365.1,368.2,358.0,368.0,2.79
2026-02-10,363.9,369.8,356.0,358.0,-1.62
2026-02-09,375.0,375.0,358.0,363.9,-1.03
2026-02-08,380.0,385.0,366.0,367.7,-3.11
2026-02-05,383.0,388.0,377.1,379.5,-0.91
2026-02-04,380.0,388.0,378.0,383.0,1.32
2026-02-03,355.8,383.5,355.8,378.0,4.13
2026-02-02,362.1,370.0,359.0,363.0,-0.55
2026-02-01,370.2,375.0,359.0,365.0,-1.62
2026-01-29,370.0,380.0,370.0,371.0,0.41
2026-01-28,363.0,375.0,355.1,369.5,2.04
2026-01-27,369.5,380.0,362.1,362.1,-3.95
2026-01-26,381.0,385.0,365.0,377.0,0.53
2026-01-25,335.2,376.2,335.2,375.0,9.65
2026-01-22,329.7,344.8,329.7,342.0,3.32
2026-01-21,336.0,336.0,328.3,331.0,-0.21
2026-01-20,331.5,337.0,329.0,331.7,2.06
2026-01-18,320.0,330.0,320.0,325.0,0.56
2026-01-14,314.6,329.6,314.6,323.2,0.69
2026-01-13,315.0,324.0,315.0,321.0,1.26
2026-01-12,318.5,321.9,316.0,317.0,-0.47
2026-01-08,325.0,325.0,316.0,318.5,-0.34
2026-01-07,327.2,327.2,316.1,319.6,-0.37
2026-01-06,320.9,322.8,318.6,320.8,0.88
2026-01-05,313.0,318.0,313.0,318.0,1.37
2026-01-04,314.7,316.0,312.5,313.7,-0.06
2026-01-01,318.0,320.0,313.1,313.9,-1.29
2025-12-31,323.9,323.9,318.0,318.0,-0.25
2025-12-29,324.0,324.0,315.0,318.8,-0.69
2025-12-28,318.0,324.0,315.1,321.0,0.94
2025-12-24,316.0,320.0,313.0,318.0,1.27
2025-12-23,311.0,316.0,310.2,314.0,0.64
2025-12-22,314.0,314.9,310.2,312.0,-0.35
2025-12-21,321.0,321.0,313.1,313.1,-0.95
2025-12-18,327.0,327.0,316.0,316.1,-2.11
2025-12-17,325.0,329.0,320.0,322.9,-0.65
2025-12-16,316.0,325.0,316.0,325.0,2.2
2025-12-15,308.7,322.0,308.7,318.0,0.95
2025-12-14,315.0,322.0,314.0,315.0,-1.5
2025-12-11,327.4,327.4,317.0,319.8,-0.37
2025-12-10,330.6,330.6,320.0,321.0,-0.99
2025-12-09,330.0,331.0,323.9,324.2,-1.73
2025-12-08,329.0,340.0,323.5,329.9,0.89
2025-12-07,328.1,334.0,325.0,327.0,-1.51
2025-12-03,335.0,337.7,329.1,332.0,-1.48
2025-12-02,330.3,343.9,330.3,337.0,0.0
2025-12-01,333.9,340.0,328.7,337.0,0.93
2025-11-30,335.0,347.8,333.0,333.9,-1.17
2025-11-27,351.9,365.0,351.0,353.9,-1.42
2025-11-26,343.0,364.0,343.0,359.0,3.1
2025-11-25,333.3,353.0,333.3,348.2,2.38
2025-11-24,354.9,354.9,340.0,340.1,-2.27
2025-11-23,349.8,351.0,343.2,348.0,1.46
2025-11-20,345.0,352.0,333.0,343.0,-0.55
2025-11-19,349.0,372.0,341.9,344.9,-0.86
2025-11-18,337.9,353.5,336.0,347.9,4.1
2025-11-17,332.0,338.0,327.0,334.2,0.6
2025-11-16,340.0,340.0,325.6,332.2,-3.71
2025-11-13,346.0,351.3,337.0,345.0,1.47
2025-11-12,330.0,351.9,330.0,340.0,3.34
2025-11-11,324.5,332.0,322.0,329.0,0.3
2025-11-10,325.0,332.5,321.5,328.0,0.0
2025-11-09,337.0,337.0,328.0,328.0,-2.67
2025-11-06,332.0,337.7,330.1,337.0,1.54
2025-11-05,340.6,340.6,325.0,331.9,-0.63
2025-11-04,340.9,345.0,330.0,334.0,-1.74
2025-11-03,334.0,350.0,334.0,339.9,2.23
2025-11-02,324.0,337.0,321.0,332.5,3.26
2025-10-30,311.0,326.0,311.0,322.0,1.58
2025-10-29,322.0,326.0,315.9,317.0,-0.94
2025-10-28,305.0,320.1,305.0,320.0,6.67
2025-10-26,312.0,312.0,298.0,300.0,-1.96
2025-10-19,311.0,311.0,306.0,306.0,0.0
2025-10-16,307.0,320.0,306.0,306.0,-2.24
2025-10-15,313.5,315.0,310.4,313.0,-2.1
2025-10-14,321.0,322.0,313.0,319.7,0.57
2025-10-13,310.0,322.0,310.0,317.9,1.89
2025-10-12,320.0,328.0,310.0,312.0,-4.0
2025-10-09,322.3,335.2,320.0,325.0,2.85
2025-10-08,333.0,333.0,315.0,316.0,-3.22
2025-10-07,331.0,337.0,322.0,326.5,-3.12
2025-09-28,318.0,342.0,318.0,337.0,4.01
2025-09-25,321.1,332.0,321.1,324.0,-0.92
2025-09-24,333.0,335.0,326.5,327.0,-1.8
2025-09-23,326.0,336.0,325.0,333.0,3.88
2025-09-21,292.1,325.0,292.1,320.56,7.57
2025-09-18,309.4,310.0,298.0,298.0,-5.61
2025-09-08,328.0,328.9,315.0,315.7,-3.6
2025-09-07,328.0,331.8,325.6,327.5,-0.96
2025-09-04,340.0,340.0,328.1,330.66,-1.0
2025-09-03,345.0,345.0,333.0,334.0,-2.7
2025-09-02,352.0,354.0,343.0,343.26,-1.71
2025-09-01,348.0,359.9,346.0,349.24,-0.66
2025-08-31,357.0,360.0,351.0,351.56,-1.6
2025-08-28,370.0,370.0,356.8,357.29,-1.86
