date,open,high,low,close,volume
2026-06-08,362.00,365.00,360.00,361.00,"6,965,920.60"
2026-06-05,362.00,365.00,360.0,361.00,-0.82
2026-06-04,374.00,374.00,364.0,364.00,-1.09
2026-06-03,380.00,380.00,367.1,368.00,-0.54
2026-06-02,387.30,387.30,365.3,370.00,0.3
2026-06-01,380.00,380.00,366.0,368.90,-2.56
2026-05-27,395.00,395.00,370.0,378.60,0.45
2026-05-26,400.00,400.00,375.0,376.90,-1.1
2026-05-25,395.70,395.70,377.3,381.10,1.11
2026-05-22,374.00,377.30,366.9,376.90,1.92
2026-05-21,375.50,377.00,366.5,369.80,-1.39
2026-05-20,369.90,375.00,365.0,375.00,2.46
2026-05-19,367.00,369.90,364.0,366.00,0.49
2026-05-18,379.50,379.50,352.3,364.20,0.75
2026-05-15,343.90,370.00,343.9,361.50,-0.11
2026-05-14,377.00,377.00,355.0,361.90,0.47
2026-05-13,386.90,386.90,358.5,360.20,-2.25
2026-05-12,399.00,399.00,364.0,368.50,-3.03
2026-05-11,378.00,384.00,363.0,380.00,5.56
2026-05-08,356.70,360.00,352.0,360.00,1.49
2026-05-07,359.60,359.60,350.0,354.70,0.48
2026-05-06,373.50,373.50,350.1,353.00,-1.12
2026-05-05,358.00,363.00,345.0,357.00,-0.28
2026-05-04,366.10,370.00,354.2,358.00,-2.16
2026-04-30,346.80,366.00,346.8,365.90,0.25
2026-04-29,379.00,380.00,365.0,365.00,-3.69
2026-04-28,388.00,394.00,376.0,379.00,-2.07
2026-04-27,406.00,406.00,386.0,387.00,0.03
2026-04-24,414.70,414.70,385.0,386.90,-2.05
2026-04-23,380.00,408.00,380.0,395.00,-1.23
2026-04-22,404.10,406.30,393.6,399.90,-1.01
2026-04-21,435.00,435.00,402.0,404.00,-2.88
2026-04-20,425.00,431.00,406.0,416.00,-2.71
2026-04-17,442.00,442.00,410.0,427.60,-2.37
2026-04-16,465.50,470.00,427.5,438.00,-7.79
2026-04-15,464.00,475.00,460.0,475.00,2.37
