date,open,high,low,close,volume
2026-06-08,629.40,629.40,585.00,594.00,"65,107,506.80"
2026-06-05,629.4,629.4,585.0,594.0,-0.92
2026-06-04,571.0,620.0,571.0,599.5,-0.22
2026-06-03,580.0,615.0,580.0,600.8,-1.35
2026-06-02,655.2,655.2,600.0,609.0,-2.4
2026-06-01,601.1,626.0,590.0,624.0,4.0
2026-05-27,620.0,620.0,595.0,600.0,-2.28
2026-05-26,600.0,616.9,575.0,614.0,3.54
2026-05-25,566.0,604.9,566.0,593.0,4.77
2026-05-22,532.0,572.0,528.0,566.0,6.39
2026-05-21,547.0,558.9,531.8,532.0,-2.74
2026-05-20,530.0,556.0,525.0,547.0,2.78
2026-05-19,510.0,540.0,510.0,532.2,2.82
2026-05-18,503.1,523.0,503.1,517.6,2.88
2026-05-15,501.1,510.0,501.1,503.1,-0.42
2026-05-14,505.0,510.0,504.0,505.2,-0.73
2026-05-13,505.0,514.0,503.1,508.9,-1.38
2026-05-12,525.0,530.0,504.2,516.0,-1.62
2026-05-11,500.0,527.5,500.0,524.5,1.84
2026-05-08,499.0,515.0,495.3,515.0,3.5
2026-05-07,500.0,505.0,496.0,497.6,-0.24
2026-05-06,501.0,517.0,495.0,498.8,-2.96
2026-05-05,504.0,524.0,497.0,514.0,0.8
2026-05-04,510.0,529.0,502.0,509.9,-1.75
2026-04-30,522.0,522.0,510.6,519.0,-1.14
2026-04-29,536.2,563.0,520.0,525.0,-2.09
2026-04-28,545.0,554.8,535.0,536.2,-1.61
2026-04-27,534.0,554.0,534.0,545.0,0.18
2026-04-24,536.0,553.7,535.0,544.0,-0.73
2026-04-23,551.0,560.0,544.3,548.0,-1.42
2026-04-22,578.0,578.0,535.0,555.9,0.89
2026-04-21,542.0,569.9,542.0,551.0,-1.08
2026-04-20,582.0,582.0,540.3,557.0,0.18
2026-04-17,541.0,559.9,539.2,556.0,1.07
2026-04-16,575.0,575.0,550.0,550.1,-3.32
2026-04-15,566.0,572.9,555.0,569.0,2.15
2026-04-13,561.1,568.7,550.0,557.0,-0.89
2026-04-10,580.0,583.0,560.0,562.0,-2.09
2026-04-09,574.0,590.0,563.3,574.0,1.95
2026-04-08,531.0,563.0,531.0,563.0,6.41
2026-04-07,533.0,550.0,528.0,529.1,-0.73
2026-04-06,520.0,550.8,515.0,533.0,3.5
2026-04-05,560.0,560.0,506.5,515.0,-8.36
2026-04-02,566.0,571.2,540.0,562.0,-0.55
2026-04-01,586.0,586.0,564.5,565.1,-3.57
2026-03-31,584.6,593.0,568.0,586.0,0.24
2026-03-30,582.1,598.0,579.2,584.6,-1.0
2026-03-29,608.2,618.0,590.0,590.5,-4.45
2026-03-26,609.0,629.0,605.0,618.0,1.33
2026-03-25,602.0,614.9,597.8,609.9,1.31
2026-03-24,590.0,606.8,590.0,602.0,2.03
2026-03-23,578.1,591.0,578.1,590.0,0.34
2026-03-22,592.5,595.0,585.0,588.0,-0.84
2026-03-19,586.0,597.7,580.0,593.0,1.19
2026-03-17,595.0,595.0,577.0,586.0,-0.34
2026-03-16,580.1,594.3,580.0,588.0,0.17
2026-03-15,579.2,601.8,579.2,587.0,-0.68
2026-03-12,605.0,606.5,590.0,591.0,-1.5
2026-03-11,617.0,620.0,598.0,600.0,-2.76
2026-03-10,651.0,651.0,605.0,617.0,-3.44
2026-03-09,603.8,651.2,603.8,639.0,7.94
2026-03-03,580.0,595.0,573.0,592.0,1.72
2026-03-01,570.0,583.0,569.4,582.0,0.17
2026-02-26,592.0,592.1,576.4,581.0,-1.86
2026-02-25,590.0,602.0,587.1,592.0,0.34
2026-02-24,565.0,601.0,562.1,590.0,4.44
2026-02-23,557.7,566.0,557.0,564.9,1.29
2026-02-22,565.1,571.0,553.0,557.7,-2.84
2026-02-17,587.0,595.0,569.1,574.0,-2.21
2026-02-16,588.0,602.0,582.1,587.0,-0.17
2026-02-12,587.0,602.0,585.0,588.0,-1.33
2026-02-11,612.0,617.9,590.0,595.9,-1.18
2026-02-10,585.0,625.0,585.0,603.0,3.08
2026-02-09,590.0,612.0,578.0,585.0,-2.5
2026-02-08,600.0,621.0,600.0,600.0,-1.48
2026-02-05,616.0,627.0,599.3,609.0,-1.77
2026-02-04,635.0,637.8,614.0,620.0,-0.48
2026-02-03,650.7,650.7,618.0,623.0,-2.35
2026-02-02,605.0,652.0,605.0,638.0,5.63
2026-02-01,615.0,625.0,598.0,604.0,-2.27
2026-01-29,680.0,681.0,617.5,618.0,-7.62
2026-01-28,638.0,698.0,628.2,669.0,4.37
2026-01-27,652.0,699.0,630.1,641.0,0.16
2026-01-26,600.0,644.9,581.2,640.0,7.38
2026-01-25,590.0,618.0,585.0,596.0,1.05
2026-01-22,580.5,592.0,570.1,589.8,1.69
2026-01-21,552.0,582.0,552.0,580.0,4.98
2026-01-20,555.0,571.0,550.0,552.5,0.49
2026-01-18,542.6,553.0,531.2,549.8,3.35
2026-01-14,532.2,551.0,532.0,532.0,-2.03
2026-01-13,550.0,574.8,537.0,543.0,-1.27
2026-01-12,533.0,560.0,530.0,550.0,3.19
2026-01-08,513.0,534.0,509.2,533.0,3.9
2026-01-07,523.1,539.9,510.0,513.0,-3.21
2026-01-06,550.0,570.0,520.6,530.0,-2.93
2026-01-05,520.0,547.7,516.1,546.0,6.02
2026-01-04,495.0,517.2,490.0,515.0,3.54
2026-01-01,491.0,505.0,487.4,497.4,1.51
2025-12-31,475.1,497.5,475.1,490.0,3.14
2025-12-29,484.0,485.0,475.0,475.1,-1.84
2025-12-28,472.0,490.0,472.0,484.0,1.26
2025-12-24,480.5,490.0,475.0,478.0,-1.85
2025-12-23,480.1,494.0,477.1,487.0,-0.41
2025-12-22,476.0,490.0,467.5,489.0,2.75
2025-12-21,475.3,489.6,468.0,475.9,-1.88
2025-12-18,502.0,503.9,484.1,485.0,-2.47
2025-12-17,505.0,515.1,497.3,497.3,-2.14
2025-12-16,501.0,510.0,496.0,508.2,0.06
2025-12-15,502.1,514.9,499.8,507.9,-0.8
2025-12-14,525.0,527.4,500.2,512.0,-0.99
2025-12-11,521.0,556.6,517.1,517.1,-2.65
2025-12-10,530.0,535.0,516.0,531.2,-1.43
2025-12-09,517.5,547.7,517.5,538.9,2.06
2025-12-08,506.0,535.0,501.5,528.0,4.16
2025-12-07,527.0,527.0,500.0,506.9,-3.81
2025-12-03,511.0,545.0,504.5,527.0,3.13
2025-12-02,478.0,517.0,473.1,511.0,6.48
2025-12-01,490.0,496.0,476.8,479.9,-2.06
2025-11-30,482.1,503.0,482.1,490.0,0.45
2025-11-27,485.0,492.7,478.1,487.8,0.91
2025-11-26,471.5,490.0,467.3,483.4,2.05
2025-11-25,479.0,480.0,468.2,473.7,-1.31
2025-11-24,467.6,493.0,467.6,480.0,0.61
2025-11-23,469.5,487.0,465.3,477.1,1.62
