date,open,high,low,close,volume
2026-06-08,565.00,565.00,533.00,548.60,"6,146,519.00"
2026-06-05,565.00,565.00,533.00,548.60,-0.62
2026-06-04,526.40,565.50,526.40,552.00,4.15
2026-06-03,499.80,536.50,499.80,530.00,0.74
2026-06-02,516.10,528.00,516.10,526.10,0.54
2026-06-01,538.00,539.00,523.00,523.30,-2.86
2026-05-27,521.10,540.00,521.10,538.70,1.97
2026-05-26,543.80,543.80,528.20,528.30,-1.22
2026-05-25,530.10,537.80,530.00,534.80,0.94
2026-05-22,556.00,556.00,522.30,529.80,0.02
2026-05-21,561.70,561.70,522.00,529.70,-0.99
2026-05-20,513.00,535.00,513.00,535.00,2.9
2026-05-19,515.00,522.00,510.10,519.90,0.95
2026-05-18,523.00,528.80,515.00,515.00,-1.53
2026-05-15,510.10,523.00,510.10,523.00,0.67
2026-05-14,548.10,548.10,505.10,519.50,-0.48
2026-05-13,495.00,524.00,495.00,522.00,0.19
2026-05-12,532.00,537.00,521.00,521.00,-2.07
2026-05-11,523.00,532.00,523.00,532.00,2.31
2026-05-08,519.90,527.90,515.50,520.00,0.58
2026-05-07,520.00,520.00,511.00,517.00,0.56
2026-05-06,515.00,525.00,514.00,514.10,-0.17
2026-05-05,502.00,523.80,501.00,515.00,0.78
2026-05-04,524.80,538.00,511.00,511.00,-1.77
2026-04-30,520.10,525.00,513.00,520.20,-1.25
2026-04-29,527.00,534.80,521.00,526.80,-0.04
2026-04-28,535.60,545.00,525.20,527.00,-1.61
2026-04-27,536.00,547.80,533.20,535.60,-0.07
2026-04-24,547.90,547.90,530.00,536.00,-0.37
2026-04-23,546.00,546.00,536.00,538.00,-1.47
2026-04-22,549.80,557.00,531.00,546.00,0.92
2026-04-21,577.50,577.50,541.00,541.00,-1.64
2026-04-20,580.60,580.60,541.40,550.00,-0.54
2026-04-17,559.00,559.00,547.90,553.00,-1.16
2026-04-16,560.00,564.00,542.00,559.50,-0.27
2026-04-15,555.00,566.70,555.00,561.00,0.2
2026-04-13,569.90,569.90,555.00,559.90,-0.02
2026-04-10,580.00,580.00,552.00,560.00,-1.75
2026-04-09,555.00,570.00,545.10,570.00,2.83
2026-04-08,558.00,569.00,546.90,554.30,1.11
2026-04-07,530.00,559.90,530.00,548.20,1.57
2026-04-06,535.00,543.60,522.00,539.70,2.8
2026-04-05,554.00,554.00,518.00,525.00,-4.53
2026-04-02,560.80,563.00,542.00,549.90,-1.45
2026-04-01,567.00,570.00,550.00,558.00,-2.96
2026-03-31,568.00,577.00,557.20,575.00,1.23
2026-03-30,559.50,580.00,559.50,568.00,-0.51
2026-03-29,600.00,600.00,566.00,570.90,-3.06
2026-03-26,596.00,596.00,577.00,588.90,0.67
2026-03-25,608.00,608.00,582.00,585.00,-2.17
2026-03-24,611.40,611.40,596.00,598.00,-0.25
2026-03-23,616.00,616.00,591.00,599.50,-0.75
2026-03-22,619.10,619.10,592.10,604.00,-0.49
2026-03-19,586.10,620.00,586.10,607.00,1.51
2026-03-17,605.80,605.80,587.00,598.00,0.67
2026-03-16,591.00,597.00,583.00,594.00,2.24
2026-03-15,592.60,592.60,580.10,581.00,0.0
2026-03-12,585.00,590.00,580.00,581.00,-0.07
2026-03-11,591.00,598.90,579.20,581.40,-1.12
2026-03-10,620.00,620.00,585.00,588.00,-4.23
2026-03-09,591.30,615.00,591.30,614.00,5.9
2026-03-03,586.00,586.00,560.00,579.80,-1.06
2026-03-01,539.20,586.00,538.10,586.00,6.74
2026-02-26,543.90,564.40,543.90,549.00,-1.06
2026-02-25,555.70,557.80,549.10,554.90,-0.54
2026-02-24,559.00,559.00,547.90,557.90,0.52
2026-02-23,539.00,555.00,539.00,555.00,0.91
2026-02-22,540.90,562.00,537.00,550.00,-0.34
2026-02-17,543.90,562.00,543.90,551.90,-0.56
2026-02-16,546.90,567.80,546.90,555.00,-0.54
2026-02-12,564.00,575.20,553.00,558.00,-1.05
2026-02-11,579.30,579.30,552.00,563.90,-0.72
2026-02-10,581.40,581.40,555.00,568.00,-0.35
2026-02-09,593.60,593.60,563.00,570.00,-2.06
2026-02-08,589.50,589.50,575.00,582.00,0.69
2026-02-05,578.00,585.00,560.00,578.00,1.96
2026-02-04,580.20,580.20,562.00,566.90,-0.35
2026-02-03,557.90,593.60,557.90,568.90,-0.05
2026-02-02,571.00,587.50,569.00,569.20,-1.18
2026-02-01,586.00,590.00,573.50,576.00,-3.19
2026-01-29,600.00,626.00,584.00,595.00,-1.49
2026-01-28,579.00,604.00,579.00,604.00,2.37
2026-01-27,589.80,614.00,580.00,590.00,2.02
2026-01-26,579.20,579.20,557.00,578.30,1.83
2026-01-25,560.00,574.00,555.10,567.90,1.79
2026-01-22,547.30,558.00,547.30,557.90,-0.02
2026-01-21,571.00,571.00,550.00,558.00,-0.34
2026-01-20,561.00,569.00,550.80,559.90,0.0
2026-01-18,546.00,560.00,546.00,559.90,0.54
2026-01-14,540.00,560.00,540.00,556.90,1.27
2026-01-13,552.00,552.00,534.00,549.90,0.35
2026-01-12,544.00,570.00,541.00,548.00,-1.26
2026-01-08,530.20,561.00,530.20,555.00,2.59
2026-01-07,548.80,572.00,538.00,541.00,-3.39
2026-01-06,582.00,604.60,545.00,560.00,-1.87
2026-01-05,518.10,570.70,518.10,570.70,9.98
2026-01-04,511.00,524.00,510.00,518.90,0.56
2026-01-01,530.40,530.40,513.10,516.00,-0.77
2025-12-31,527.00,527.00,515.10,520.00,0.58
2025-12-29,503.10,527.00,503.10,517.00,0.8
2025-12-28,508.70,528.00,508.00,512.90,-1.18
2025-12-24,508.00,527.90,508.00,519.00,0.19
2025-12-23,540.00,540.00,516.50,518.00,-2.26
2025-12-22,539.00,542.00,526.00,530.00,-3.64
2025-12-21,542.00,555.00,530.00,550.00,3.0
2025-12-18,549.50,555.00,507.00,534.00,-4.76
2025-12-17,610.60,610.60,560.70,560.70,-10.0
2025-12-16,570.50,624.20,570.40,623.00,7.04
2025-12-15,593.10,593.40,580.00,582.00,-3.8
2025-12-14,610.80,610.80,599.00,605.00,-2.89
2025-12-11,615.00,623.00,605.00,623.00,0.16
2025-12-10,644.00,644.00,608.00,622.00,-2.03
2025-12-09,622.00,637.90,616.00,634.90,1.1
2025-12-08,626.30,644.00,626.30,628.00,-1.41
2025-12-07,659.00,660.00,635.00,637.00,-2.75
2025-12-03,660.00,660.00,650.00,655.00,-1.06
2025-12-02,657.10,662.00,651.50,662.00,-0.15
2025-12-01,661.00,667.00,658.20,663.00,0.44
2025-11-30,667.60,675.00,660.00,660.10,-1.12
2025-11-27,658.00,678.90,658.00,667.60,-0.37
2025-11-26,667.00,678.00,666.00,670.10,0.6
2025-11-25,677.00,677.00,665.00,666.10,0.17
2025-11-24,662.10,670.00,655.70,665.00,-0.15
2025-11-23,668.10,671.00,656.00,666.00,1.68
2025-11-20,653.00,659.50,650.00,655.00,-0.46
2025-11-19,670.00,670.00,656.60,658.00,-1.33
2025-11-18,660.00,668.30,655.60,666.90,1.03
2025-11-17,653.00,664.00,651.00,660.10,1.09
2025-11-16,677.70,677.70,652.50,653.00,-1.8
2025-11-13,680.70,680.70,653.10,665.00,-0.75
2025-11-12,661.00,681.00,660.00,670.00,-0.45
2025-11-11,665.00,677.00,665.00,673.00,0.45
2025-11-10,680.00,689.00,662.00,670.00,0.0
2025-11-09,682.00,682.00,660.10,670.00,-0.31
2025-11-06,677.00,683.30,667.00,672.10,1.22
2025-11-05,682.90,682.90,663.00,664.00,-0.9
2025-11-04,693.00,693.00,660.00,670.00,-1.63
2025-11-03,690.00,715.00,660.00,681.10,-2.14
2025-11-02,715.00,715.50,692.00,696.00,-0.85
2025-10-30,678.30,702.00,678.20,702.00,1.45
2025-10-29,698.70,730.00,681.00,692.00,1.02
2025-10-28,673.00,713.00,672.00,685.00,3.79
2025-10-26,660.00,675.00,660.00,660.00,-1.64
2025-10-19,660.00,678.00,660.00,671.00,2.18
2025-10-16,667.00,680.30,656.70,656.70,-1.54
2025-10-15,664.00,670.10,662.00,667.00,0.69
2025-10-14,675.10,688.60,662.00,662.40,-3.72
2025-10-13,665.00,688.00,664.00,688.00,3.76
2025-10-12,697.20,697.20,662.00,663.10,-4.75
2025-10-09,706.00,748.00,696.00,696.20,0.58
2025-10-08,737.20,737.20,688.00,692.20,-4.23
2025-10-07,733.00,733.00,710.10,722.80,-1.39
2025-09-28,745.00,775.00,731.00,733.00,-3.55
2025-09-25,741.80,760.00,731.00,760.00,0.41
2025-09-24,729.00,789.00,710.00,756.90,5.42
2025-09-23,707.80,718.00,699.00,718.00,3.46
2025-09-21,651.00,710.00,651.00,694.00,5.14
2025-09-18,660.10,660.10,660.10,660.10,-1.71
2025-09-08,705.00,705.00,667.60,671.55,-5.28
2025-09-07,714.00,715.00,709.00,709.00,-1.53
2025-09-04,745.00,745.00,719.60,720.02,-3.83
2025-09-03,750.00,754.00,745.10,748.70,-0.31
2025-09-02,769.00,770.00,750.00,751.05,-2.33
2025-09-01,754.00,779.90,752.00,769.00,0.39
2025-08-31,786.30,788.50,764.00,766.00,-0.67
2025-08-28,784.00,794.80,771.00,771.20,-1.63
2025-08-27,786.40,786.40,772.00,784.00,1.69
2025-08-26,786.90,800.00,771.00,771.00,-0.07
2025-08-25,766.40,781.40,766.30,771.53,-0.41
2025-08-24,801.40,814.80,770.00,774.69,-1.4
2025-08-21,783.10,804.00,782.00,785.71,-1.34
2025-08-20,797.00,812.90,794.10,796.41,-1.72
2025-08-19,797.20,820.00,797.20,810.37,1.61
2025-08-18,772.00,813.00,772.00,797.54,3.43
2025-08-17,789.00,800.00,771.00,771.10,-0.33
2025-08-14,775.60,777.00,771.60,773.68,-0.86
2025-08-13,786.00,800.00,778.20,780.36,-0.79
2025-08-12,782.40,806.00,782.40,786.54,-1.15
2025-08-11,808.00,815.00,795.50,795.67,-1.49
2025-08-07,780.10,809.90,780.10,807.72,2.15
2025-08-06,803.50,803.50,784.00,790.75,0.34
2025-08-05,800.00,834.00,781.00,788.08,0.26
2025-08-04,792.00,800.80,775.30,786.04,-1.07
2025-08-03,795.50,812.00,790.00,794.52,-2.11
2025-07-31,820.20,821.90,805.50,811.61,-1.04
