date,open,high,low,close,volume
2026-06-08,900.00,900.00,860.00,867.90,"7,226,244.00"
2026-06-05,900.00,900.00,860.00,867.90,-2.6
2026-06-04,907.00,920.00,890.70,891.10,-1.66
2026-06-03,860.00,928.00,860.00,906.10,0.67
2026-06-02,911.00,930.00,900.00,900.10,-1.2
2026-06-01,936.00,946.90,900.00,911.00,-2.67
2026-05-27,971.00,984.00,932.10,936.00,-3.6
2026-05-26,961.00,"1,005.00",961.00,971.00,-0.92
2026-05-25,952.00,"1,000.00",945.00,980.00,2.83
2026-05-22,925.00,974.90,912.50,953.00,3.03
2026-05-21,955.00,956.00,921.20,925.00,-1.6
2026-05-20,910.00,943.90,910.00,940.00,1.51
2026-05-19,917.00,940.00,917.00,926.00,-1.07
2026-05-18,930.00,939.90,910.20,936.00,0.65
2026-05-15,918.00,950.00,906.00,930.00,1.27
2026-05-14,980.00,980.00,918.00,918.30,-4.34
2026-05-13,999.00,"1,000.00",940.00,960.00,-1.54
2026-05-12,"1,013.00","1,025.00",969.00,975.00,-3.94
2026-05-11,"1,000.00","1,040.00","1,000.00","1,015.00",0.5
2026-05-08,978.00,"1,022.00",963.00,"1,010.00",3.27
2026-05-07,975.00,990.00,955.00,978.00,1.65
2026-05-06,919.10,997.00,919.10,962.10,-0.55
2026-05-05,912.00,"1,020.00",912.00,967.40,0.77
2026-05-04,"1,035.00","1,064.90",950.00,960.00,-7.25
2026-04-30,"1,049.00","1,049.00",990.00,"1,035.00",0.0
2026-04-29,"1,012.10","1,090.00",953.10,"1,035.00",2.26
2026-04-28,"1,108.00","1,108.00","1,008.80","1,012.10",-8.66
2026-04-27,"1,142.00","1,170.00","1,091.00","1,108.00",-2.98
2026-04-24,"1,100.00","1,163.00","1,074.60","1,142.00",0.96
2026-04-23,"1,166.00","1,200.00","1,130.00","1,131.10",-2.83
2026-04-22,"1,207.00","1,211.00","1,135.00","1,164.00",-3.88
2026-04-21,"1,226.00","1,280.00","1,191.00","1,211.00",-1.14
2026-04-20,"1,180.00","1,280.00","1,099.00","1,225.00",3.81
2026-04-17,"1,191.00","1,205.00","1,105.50","1,180.00",-0.92
2026-04-16,"1,286.00","1,300.00","1,167.00","1,191.00",-7.39
2026-04-15,"1,255.00","1,305.00","1,191.00","1,286.00",3.71
2026-04-13,"1,168.00","1,305.00","1,097.60","1,240.00",4.04
2026-04-10,"1,105.10","1,191.80","1,105.00","1,191.80",10.0
2026-04-09,990.00,"1,083.50",950.00,"1,083.50",10.0
2026-04-08,950.30,"1,024.80",852.90,985.00,5.72
2026-04-07,863.90,931.70,863.90,931.70,10.0
2026-04-06,770.00,847.00,770.00,847.00,10.0
2026-04-05,714.00,770.00,714.00,770.00,10.0
2026-04-02,649.10,700.00,649.10,700.00,9.99
2026-04-01,590.10,636.40,590.10,636.40,9.99
2026-03-31,536.00,578.60,536.00,578.60,10.0
2026-03-30,475.40,526.00,475.40,526.00,10.0
2026-03-29,430.80,478.20,430.80,478.20,9.98
2026-03-26,391.40,434.80,391.40,434.80,9.99
2026-03-25,366.50,395.30,366.50,395.30,9.99
2026-03-24,323.50,359.40,323.50,359.40,9.98
2026-03-23,294.10,326.80,294.10,326.80,10.0
2026-03-22,270.10,297.10,270.10,297.10,10.0
