date,open,high,low,close,volume
2026-06-08,696.00,696.00,679.80,679.90,"10,062,603.50"
2026-06-05,696.00,696.00,679.8,679.90,-1.31
2026-06-04,697.00,697.00,684.0,688.90,-0.16
2026-06-03,680.00,700.00,678.9,690.00,0.17
2026-06-02,685.00,692.00,682.0,688.80,1.01
2026-06-01,700.00,700.00,671.4,681.90,-2.15
2026-05-27,731.00,731.00,692.0,696.90,-0.01
2026-05-26,704.00,708.00,693.0,697.00,-0.99
2026-05-25,699.00,709.00,680.0,704.00,0.72
2026-05-22,695.10,705.00,695.1,699.00,-0.4
2026-05-21,740.20,740.20,690.1,701.80,-0.45
2026-05-20,734.30,734.30,691.2,705.00,0.8
2026-05-19,710.00,710.90,691.3,699.40,-1.35
2026-05-18,730.00,730.00,686.0,709.00,1.88
2026-05-15,711.00,711.00,670.2,695.90,2.72
2026-05-14,665.00,678.90,660.0,677.50,2.17
2026-05-13,661.00,670.00,661.0,663.10,-0.73
2026-05-12,718.20,718.20,665.1,668.00,-2.34
2026-05-11,670.00,684.00,662.0,684.00,2.09
2026-05-08,689.00,689.00,655.1,670.00,2.1
2026-05-07,689.10,689.10,656.0,656.20,-0.26
2026-05-06,694.00,694.00,650.0,657.90,-0.47
2026-05-05,631.60,674.00,631.6,661.00,-0.57
2026-05-04,660.00,687.00,660.0,664.80,-0.48
2026-04-30,665.00,675.00,655.0,668.00,0.15
2026-04-29,675.00,684.00,662.0,667.00,-1.19
2026-04-28,712.90,712.90,670.1,675.00,-0.59
2026-04-27,682.00,694.80,678.0,679.00,-0.44
2026-04-24,695.00,695.00,675.0,682.00,-1.16
2026-04-23,698.00,698.00,681.1,690.00,-1.0
2026-04-22,683.00,702.00,680.0,697.00,0.0
2026-04-21,732.70,732.70,687.0,697.00,-0.13
2026-04-20,731.80,731.80,690.3,697.90,0.13
2026-04-17,683.00,709.80,683.0,697.00,0.14
2026-04-16,697.00,711.00,691.0,696.00,-2.11
2026-04-15,729.00,729.00,710.9,711.00,-0.55
2026-04-13,737.40,737.40,710.2,714.90,-1.12
2026-04-10,715.00,725.00,705.4,723.00,1.12
2026-04-09,705.00,717.00,700.0,715.00,1.85
2026-04-08,701.00,710.00,699.0,702.00,0.43
2026-04-07,703.00,707.90,691.0,699.00,-0.14
2026-04-06,676.00,700.00,659.1,700.00,5.42
2026-04-05,689.00,690.00,655.0,664.00,-3.77
2026-04-02,685.00,704.90,681.2,690.00,-1.25
2026-04-01,704.00,718.00,680.0,698.70,-2.69
2026-03-31,720.00,725.00,705.6,718.00,0.21
2026-03-30,714.50,736.90,714.5,716.50,-1.71
2026-03-29,750.00,758.90,726.0,729.00,-2.8
2026-03-26,742.00,750.00,740.0,750.00,0.0
2026-03-25,753.00,760.00,746.1,750.00,-0.37
2026-03-24,761.40,761.40,737.0,752.80,0.84
2026-03-23,764.80,764.80,735.1,746.50,-0.45
2026-03-22,767.00,767.00,742.0,749.90,-0.28
2026-03-19,711.50,774.10,711.5,752.00,3.58
2026-03-17,741.50,741.50,715.0,726.00,-0.14
2026-03-16,752.70,752.70,725.0,727.00,-1.49
2026-03-15,730.00,755.00,730.0,738.00,-0.79
2026-03-12,752.90,756.00,737.8,743.90,-1.47
2026-03-11,784.30,784.30,740.0,755.00,-1.82
2026-03-10,800.00,800.00,750.0,769.00,-3.88
2026-03-09,747.60,800.00,747.6,800.00,9.14
2026-03-03,700.90,734.00,700.9,733.00,2.52
2026-03-01,699.00,718.00,699.0,715.00,0.28
2026-02-26,695.90,749.00,682.0,713.00,0.42
2026-02-25,700.00,717.00,700.0,710.00,0.72
2026-02-24,695.00,723.00,695.0,704.90,0.84
2026-02-23,708.90,708.90,696.0,699.00,0.58
2026-02-22,725.20,725.20,695.0,695.00,-2.25
2026-02-17,692.20,718.00,692.2,711.00,0.68
2026-02-16,727.20,727.20,705.0,706.20,-0.95
2026-02-12,736.30,736.30,708.6,713.00,-1.23
2026-02-11,702.00,730.00,702.0,721.90,0.82
2026-02-10,738.00,738.00,715.0,716.00,-1.51
2026-02-09,757.80,757.80,725.1,727.00,-2.15
2026-02-08,770.10,770.10,741.0,743.00,-1.59
2026-02-05,750.00,774.90,740.3,755.00,2.03
2026-02-04,724.30,771.00,724.3,740.00,0.14
2026-02-03,729.30,753.00,729.3,739.00,-0.67
2026-02-02,750.00,769.80,741.2,744.00,-1.33
2026-02-01,785.00,789.00,753.2,754.00,-3.56
2026-01-29,788.00,800.00,773.2,781.80,1.14
2026-01-28,755.00,795.00,755.0,773.00,0.39
2026-01-27,776.00,803.80,769.0,770.00,-0.77
2026-01-26,774.20,800.00,774.2,776.00,-1.77
2026-01-25,780.00,805.90,780.0,790.00,-0.63
2026-01-22,790.00,814.50,790.0,795.00,-1.36
2026-01-21,798.00,819.00,798.0,806.00,1.0
2026-01-20,762.00,800.70,762.0,798.00,2.7
2026-01-18,787.00,800.00,775.1,777.00,-1.15
2026-01-14,770.00,814.00,770.0,786.00,0.13
2026-01-13,745.00,795.00,745.0,785.00,3.56
2026-01-12,764.00,777.70,756.3,758.00,-0.79
2026-01-08,752.00,765.00,746.9,764.00,0.94
2026-01-07,755.00,777.00,752.1,756.90,-1.7
2026-01-06,730.20,780.20,730.2,770.00,3.36
2026-01-05,730.00,745.00,726.8,745.00,2.1
2026-01-04,740.00,748.00,725.5,729.70,-2.07
2026-01-01,727.10,755.00,727.1,745.10,0.43
2025-12-31,740.00,741.90,724.0,741.90,2.05
2025-12-29,737.00,742.00,724.0,727.00,-1.22
2025-12-28,716.00,739.90,713.0,736.00,3.08
2025-12-24,706.10,720.10,705.0,714.00,1.12
2025-12-23,706.00,713.00,705.0,706.10,-0.55
2025-12-22,707.00,714.00,705.0,710.00,-0.81
2025-12-21,747.00,747.00,711.2,715.80,-2.35
2025-12-18,705.00,739.00,705.0,733.00,1.9
2025-12-17,699.00,725.00,699.0,719.30,0.88
2025-12-16,705.00,719.00,705.0,713.00,1.41
2025-12-15,703.00,710.00,697.0,703.10,-0.27
2025-12-14,692.60,714.00,692.6,705.00,-0.24
2025-12-11,700.00,727.00,700.0,706.70,-1.02
2025-12-10,715.00,722.00,710.0,714.00,0.14
2025-12-09,712.00,719.90,702.0,713.00,1.28
2025-12-08,693.00,716.00,693.0,704.00,-0.35
2025-12-07,704.00,716.00,704.0,706.50,-1.6
2025-12-03,729.00,729.00,710.0,718.00,0.42
2025-12-02,701.00,726.00,701.0,715.00,0.0
2025-12-01,721.30,729.80,715.0,715.00,-0.75
2025-11-30,712.50,739.50,712.5,720.40,-0.91
2025-11-27,730.60,747.00,725.4,727.00,-1.1
2025-11-26,759.90,759.90,730.0,735.10,-1.33
2025-11-25,738.00,760.00,734.0,745.00,0.95
2025-11-24,749.70,750.10,721.0,738.00,0.41
2025-11-23,725.00,739.00,725.0,735.00,2.58
2025-11-20,719.70,726.90,713.0,716.50,-0.44
2025-11-19,716.40,743.00,715.2,719.70,-1.55
2025-11-18,740.00,755.00,730.0,731.00,-0.81
2025-11-17,726.90,741.50,706.5,737.00,3.41
2025-11-16,701.00,713.00,697.0,712.70,1.67
2025-11-13,691.00,715.00,691.0,701.00,-0.57
2025-11-12,739.50,739.50,700.0,705.00,-2.76
2025-11-11,751.70,751.70,721.0,725.00,-1.63
2025-11-10,736.00,747.60,719.1,737.00,0.14
2025-11-09,762.00,769.00,730.1,736.00,-3.41
2025-11-06,790.50,790.50,751.0,762.00,-1.68
2025-11-05,769.20,780.00,743.0,775.00,2.76
2025-11-04,790.50,790.50,751.1,754.20,-2.68
2025-11-03,780.00,787.50,756.0,775.00,-0.13
2025-11-02,779.00,795.00,765.1,776.00,-0.39
2025-10-30,751.70,795.00,724.3,779.00,5.7
2025-10-29,749.00,769.00,735.0,737.00,-0.27
2025-10-28,665.10,739.00,665.1,739.00,9.99
2025-10-26,676.20,676.20,648.0,671.90,1.34
2025-10-19,660.00,686.00,648.0,663.00,0.45
2025-10-16,687.40,687.40,656.0,660.00,-2.08
2025-10-15,674.00,689.00,653.0,674.00,0.9
2025-10-14,700.00,700.00,662.2,668.00,-3.47
2025-10-13,635.00,692.00,623.0,692.00,8.98
2025-10-12,699.90,699.90,630.1,635.00,-9.27
2025-10-09,714.00,757.50,695.0,699.90,-0.01
2025-10-08,707.60,728.00,697.0,700.00,-3.05
2025-10-07,778.20,778.20,721.1,722.00,-5.37
2025-09-28,773.10,775.00,760.0,763.00,0.66
2025-09-25,778.20,778.20,755.0,758.00,-0.66
2025-09-24,810.60,810.60,762.0,763.00,-4.0
2025-09-23,793.40,804.00,770.1,794.80,2.18
2025-09-21,727.10,783.90,723.0,777.87,6.98
2025-09-18,784.30,784.30,725.0,727.10,-9.14
2025-09-08,832.00,832.00,793.0,800.21,-1.91
2025-09-07,847.30,847.30,810.3,815.76,-1.8
2025-09-04,812.00,835.00,797.0,830.73,3.93
2025-09-03,808.10,818.00,797.1,799.35,-1.08
2025-09-02,822.00,829.00,806.0,808.10,-1.4
2025-09-01,828.00,828.00,810.0,819.61,0.62
2025-08-31,844.00,844.00,813.0,814.59,-2.15
2025-08-28,835.10,868.00,830.0,832.50,-2.3
2025-08-27,835.70,859.50,833.2,852.13,1.97
2025-08-26,815.00,840.00,812.0,835.70,2.43
2025-08-25,788.90,824.00,788.9,815.85,1.36
2025-08-24,820.00,831.00,800.0,804.94,-2.55
2025-08-21,841.00,841.00,824.0,825.98,-1.86
2025-08-20,858.00,870.00,838.0,841.65,-2.44
2025-08-19,830.00,874.00,830.0,862.66,3.22
2025-08-18,810.00,844.00,810.0,835.76,1.97
2025-08-17,849.00,865.90,817.0,819.60,-1.56
2025-08-14,850.10,868.00,821.7,832.57,-2.2
2025-08-13,871.90,875.00,845.4,851.32,-0.41
2025-08-12,860.00,879.00,840.0,854.85,-1.4
2025-08-11,892.60,909.60,860.0,866.97,-2.3
2025-08-07,914.90,915.00,884.3,887.40,-1.64
2025-08-06,885.00,920.00,885.0,902.19,0.22
2025-08-05,952.00,952.00,893.0,900.22,-3.74
