date,open,high,low,close,volume
2026-06-08,684.00,730.00,684.00,700.10,"42,276,210.00"
2026-06-05,684.0,730.0,684.0,700.1,-2.76
2026-06-04,736.0,743.6,720.0,720.0,-1.64
2026-06-03,663.0,740.0,663.0,732.0,4.99
2026-06-02,730.0,730.0,675.0,697.2,-4.49
2026-06-01,799.0,799.0,723.0,730.0,-13.2
2026-05-27,702.0,841.0,702.0,841.0,14.88
2026-05-26,730.0,737.7,710.0,732.1,0.29
2026-05-25,773.3,773.3,706.0,730.0,-10.32
2026-05-22,708.7,814.0,680.0,814.0,9.12
2026-05-21,682.8,746.0,661.0,746.0,9.26
2026-05-20,636.0,688.9,636.0,682.8,7.51
2026-05-19,625.0,654.0,625.0,635.1,1.28
2026-05-18,590.0,631.5,589.0,627.1,6.32
2026-05-15,572.0,592.0,572.0,589.8,1.03
2026-05-14,570.2,584.9,570.2,583.8,0.31
2026-05-13,570.0,583.0,565.8,582.0,-0.17
2026-05-12,600.0,610.0,570.0,583.0,-2.02
2026-05-11,569.0,595.0,569.0,595.0,4.55
2026-05-08,560.1,575.0,560.1,569.1,1.26
2026-05-07,560.0,570.0,557.1,562.0,-0.53
2026-05-06,556.0,570.0,556.0,565.0,-0.35
2026-05-05,555.1,573.9,555.0,567.0,1.25
2026-05-04,550.0,573.0,550.0,560.0,-1.93
2026-04-30,560.0,579.8,555.0,571.0,0.18
2026-04-29,594.0,589.9,560.1,570.0,-4.04
2026-04-28,570.0,603.0,570.0,594.0,-1.0
2026-04-27,591.2,603.0,590.0,600.0,1.49
2026-04-24,586.0,597.0,585.0,591.2,-0.87
2026-04-23,601.2,607.9,592.0,596.4,-2.23
2026-04-22,603.0,617.8,595.0,610.0,-1.45
2026-04-21,617.0,628.1,611.5,619.0,-1.56
2026-04-20,631.2,631.2,596.1,628.8,1.73
2026-04-17,598.1,621.0,596.1,618.1,2.17
2026-04-16,615.0,625.0,601.0,605.0,-2.1
2026-04-15,615.0,633.3,610.1,618.0,0.49
2026-04-13,610.8,623.0,600.0,615.0,-1.27
2026-04-10,640.0,640.0,612.7,622.9,-1.6
2026-04-09,634.9,648.7,612.0,633.0,1.61
2026-04-08,588.6,626.0,582.0,623.0,6.68
2026-04-07,588.9,595.0,578.4,584.0,0.69
2026-04-06,555.1,598.0,555.1,580.0,2.84
2026-04-05,602.0,602.0,558.0,564.0,-7.84
2026-04-02,600.0,620.0,599.0,612.0,0.16
2026-04-01,620.0,634.9,605.7,611.0,-2.4
2026-03-31,626.0,640.0,614.0,626.0,-1.42
2026-03-30,645.1,653.0,633.0,635.0,-2.76
2026-03-29,664.5,684.9,650.0,653.0,-3.69
2026-03-26,673.0,686.0,666.1,678.0,1.88
2026-03-25,663.0,678.0,647.1,665.5,1.46
2026-03-24,650.0,660.9,647.1,655.9,0.6
2026-03-23,649.0,657.8,645.0,652.0,0.31
2026-03-22,656.9,657.9,645.0,650.0,0.78
2026-03-19,632.1,657.0,632.1,645.0,1.07
2026-03-17,648.0,655.0,637.2,638.2,-1.51
2026-03-16,650.0,667.4,640.0,648.0,-1.1
2026-03-15,665.0,677.5,650.0,655.2,-1.47
2026-03-12,679.0,679.0,654.0,665.0,-0.24
2026-03-11,689.0,694.0,666.5,666.6,-3.38
2026-03-10,727.0,727.0,680.0,689.9,-3.24
2026-03-09,672.0,713.0,672.0,713.0,8.21
2026-03-03,645.0,659.9,635.2,658.9,3.19
2026-03-01,629.2,643.8,629.2,638.5,-0.55
2026-02-26,649.0,652.0,632.3,642.0,-1.08
2026-02-25,650.0,660.5,643.0,649.0,0.46
2026-02-24,616.0,647.7,616.0,646.0,3.53
2026-02-23,639.0,639.0,620.0,624.0,-0.95
2026-02-22,642.0,642.9,626.1,630.0,-2.78
2026-02-17,661.0,670.0,645.0,648.0,-1.97
2026-02-16,647.0,670.0,643.5,661.0,2.16
