date,open,high,low,close,volume
2026-06-08,926.60,928.00,901.00,921.00,"20,392,803.80"
2026-06-05,926.60,928.00,901.00,921.00,-0.65
2026-06-04,928.30,931.00,926.00,927.00,-0.14
2026-06-03,920.00,930.00,920.00,928.30,0.26
2026-06-02,924.00,926.90,922.10,925.90,0.22
2026-06-01,940.00,940.00,920.00,923.90,-0.55
2026-05-27,923.00,929.90,923.00,929.00,0.65
2026-05-26,925.00,925.00,919.00,923.00,0.0
2026-05-25,924.30,924.30,918.00,923.00,0.65
2026-05-22,915.00,918.00,910.00,917.00,0.22
2026-05-21,920.00,924.00,915.00,915.00,-0.33
2026-05-20,910.00,918.50,910.00,918.00,0.66
2026-05-19,921.00,921.00,900.00,912.00,-0.05
2026-05-18,907.00,917.90,907.00,912.50,0.61
2026-05-15,911.10,920.00,895.00,907.00,-0.49
2026-05-14,915.00,930.00,897.50,911.50,-0.82
2026-05-13,916.00,925.00,915.00,919.00,0.0
2026-05-12,929.90,930.00,915.00,919.00,-0.43
2026-05-11,906.00,925.00,905.10,923.00,2.56
2026-05-08,910.00,914.00,899.50,900.00,0.0
2026-05-07,910.00,914.00,894.00,900.00,-0.44
2026-05-06,904.00,914.90,887.00,904.00,0.0
2026-05-05,900.00,909.90,895.10,904.00,0.22
2026-05-04,901.00,915.50,901.00,902.00,-0.11
2026-04-30,904.00,905.70,898.00,903.00,0.11
2026-04-29,910.00,916.50,900.00,902.00,-0.88
2026-04-28,910.00,918.00,900.10,910.00,0.0
2026-04-27,898.00,915.00,905.00,910.00,1.34
2026-04-24,900.00,906.00,895.00,898.00,-0.66
2026-04-23,914.90,915.00,900.00,904.00,-0.55
2026-04-22,907.00,914.00,900.20,909.00,0.22
2026-04-21,911.00,927.00,907.00,907.00,-0.44
2026-04-20,920.00,920.00,911.00,911.00,-0.98
2026-04-17,924.00,924.00,913.00,920.00,-0.49
2026-04-16,928.00,928.90,911.00,924.50,0.38
2026-04-15,915.00,924.00,910.10,921.00,0.99
2026-04-13,918.00,925.00,905.00,912.00,-0.65
2026-04-10,929.00,948.00,911.00,918.00,-1.29
2026-04-09,939.90,939.90,922.00,930.00,0.54
2026-04-08,925.00,931.00,915.00,925.00,0.54
2026-04-07,918.00,926.00,900.10,920.00,1.43
2026-04-06,898.00,919.00,882.00,907.00,1.0
2026-04-05,916.00,916.00,898.00,898.00,-2.7
2026-04-02,918.00,930.00,914.00,922.90,0.32
2026-04-01,933.00,943.00,916.50,920.00,-1.39
2026-03-31,929.00,940.00,912.00,933.00,0.43
2026-03-30,937.20,947.90,927.00,929.00,-1.08
2026-03-29,963.00,963.00,936.00,939.10,-2.48
2026-03-26,955.00,965.00,950.00,963.00,0.84
2026-03-25,969.90,971.00,951.20,955.00,-1.54
2026-03-24,953.50,971.00,950.00,969.90,0.09
2026-03-23,980.00,980.00,959.00,969.00,0.0
2026-03-22,948.00,972.00,940.00,969.00,3.64
2026-03-19,932.00,950.00,931.10,935.00,0.43
2026-03-17,941.00,941.80,927.00,931.00,-1.06
2026-03-16,940.00,945.00,930.10,941.00,-0.32
2026-03-15,955.00,964.00,930.00,944.00,-0.42
2026-03-12,960.00,960.00,940.00,948.00,0.0
2026-03-11,975.10,979.90,948.00,948.00,-2.77
2026-03-10,995.20,"1,015.10",950.00,975.00,-0.07
2026-03-09,956.60,975.70,956.60,975.70,4.03
2026-03-03,920.00,937.90,920.00,937.90,1.95
2026-03-01,923.00,948.60,900.00,920.00,-0.33
2026-02-26,931.00,935.00,916.30,923.00,-0.86
2026-02-25,930.00,938.00,924.00,931.00,-0.11
2026-02-24,920.00,932.00,906.20,932.00,1.53
2026-02-23,920.10,925.00,904.00,918.00,-0.23
2026-02-22,934.00,956.00,910.20,920.10,0.01
2026-02-17,921.00,925.00,917.00,920.00,-0.43
2026-02-16,918.00,926.00,918.00,924.00,0.52
2026-02-12,935.00,936.00,919.00,919.20,-0.43
2026-02-11,939.40,949.80,921.00,923.20,0.24
2026-02-10,935.00,935.00,916.30,921.00,-0.97
2026-02-09,935.00,935.00,921.20,930.00,-0.64
2026-02-08,945.00,948.00,935.00,936.00,-0.43
2026-02-05,931.00,942.00,925.40,940.00,1.38
2026-02-04,933.10,946.00,927.00,927.20,-0.62
2026-02-03,935.00,935.00,925.10,933.00,-0.21
2026-02-02,945.00,945.00,932.00,935.00,-0.58
2026-02-01,932.00,944.50,931.00,940.50,0.48
2026-01-29,946.00,946.00,935.00,936.00,-0.43
2026-01-28,940.10,953.00,940.00,940.00,-0.32
2026-01-27,955.00,962.00,943.00,943.00,-1.77
2026-01-26,970.00,976.80,951.00,960.00,-1.03
2026-01-25,966.00,972.00,955.00,970.00,1.15
2026-01-22,948.00,959.00,937.00,959.00,1.48
2026-01-21,943.00,954.70,925.10,945.00,0.32
2026-01-20,935.00,950.00,930.00,942.00,2.05
2026-01-18,923.00,934.00,920.00,923.10,0.35
2026-01-14,925.00,925.00,918.30,919.90,-0.23
2026-01-13,911.50,924.00,911.50,922.00,0.77
2026-01-12,920.00,927.00,915.00,915.00,-0.33
2026-01-08,914.00,925.00,912.40,918.00,-0.11
2026-01-07,933.00,933.00,915.20,919.00,0.44
2026-01-06,919.00,919.00,911.00,915.00,0.45
2026-01-05,916.00,919.00,900.00,910.90,-0.56
2026-01-04,939.00,939.00,916.00,916.00,-1.72
2026-01-01,937.00,937.00,925.40,932.00,-0.53
2025-12-31,935.00,940.00,929.00,937.00,0.88
2025-12-29,"1,050.00","1,054.00","1,044.00","1,044.90",0.57
2025-12-28,"1,040.00","1,045.00","1,030.00","1,039.00",1.08
2025-12-24,"1,001.10","1,034.90","1,001.10","1,027.90",0.68
2025-12-23,"1,028.00","1,028.00","1,015.20","1,021.00",0.21
2025-12-22,"1,015.60","1,025.00","1,015.50","1,018.90",-0.01
2025-12-21,"1,039.90","1,039.90","1,018.60","1,019.00",-0.49
2025-12-18,"1,037.50","1,037.50","1,021.00","1,024.00",0.09
2025-12-17,"1,040.00","1,040.00","1,020.20","1,023.10",-0.19
2025-12-16,"1,027.10","1,040.00","1,015.00","1,025.00",1.79
2025-12-15,"1,001.00","1,011.00","1,001.00","1,007.00",0.2
2025-12-14,"1,000.00","1,009.00",998.00,"1,005.00",-0.2
2025-12-11,"1,000.00","1,012.00","1,000.00","1,007.00",0.6
2025-12-10,"1,000.10","1,008.00","1,000.00","1,001.00",-0.37
2025-12-09,"1,013.50","1,013.50","1,000.00","1,004.70",0.37
2025-12-08,"1,000.50","1,012.00",994.10,"1,001.00",0.0
2025-12-07,"1,018.00","1,020.00",997.50,"1,001.00",-1.92
2025-12-03,"1,032.20","1,040.00","1,019.50","1,020.60",-1.12
2025-12-02,"1,045.00","1,048.00","1,030.60","1,032.20",-0.75
2025-12-01,"1,054.90","1,054.90","1,037.10","1,040.00",-0.67
2025-11-30,"1,037.70","1,049.00","1,036.10","1,047.00",0.9
2025-11-27,"1,030.00","1,044.00","1,020.00","1,037.70",0.45
2025-11-26,"1,029.90","1,046.00","1,020.60","1,033.00",0.3
2025-11-25,"1,032.00","1,037.00","1,020.00","1,029.90",-0.2
2025-11-24,"1,011.00","1,032.00","1,010.00","1,032.00",2.1
