date,open,high,low,close,volume
2026-06-08,"1,190.00","1,190.00","1,190.00","1,190.00","11,900.00"
2026-06-05,"1,190.00","1,190.00","1,190.00","1,190.00",-1.98
2026-06-04,"1,202.00","1,214.00","1,202.00","1,214.00",-1.22
2026-06-03,"1,227.00","1,230.00","1,227.00","1,229.00",3.1
2026-06-02,"1,192.00","1,192.00","1,192.00","1,192.00",-2.69
2026-06-01,"1,194.80","1,225.00","1,194.80","1,225.00",5.6
2026-05-27,"1,213.00","1,213.00","1,160.00","1,160.00",-2.93
2026-05-26,"1,195.00","1,195.00","1,195.00","1,195.00",-2.05
2026-05-22,"1,220.00","1,220.00","1,220.00","1,220.00",2.95
2026-05-21,"1,185.00","1,185.00","1,185.00","1,185.00",0.23
2026-05-19,"1,190.00","1,190.00","1,182.30","1,182.30",-0.74
2026-05-12,"1,187.10","1,191.10","1,187.10","1,191.10",0.68
2026-05-07,"1,183.00","1,183.00","1,183.00","1,183.00",-0.59
2026-05-06,"1,190.00","1,190.00","1,190.00","1,190.00",0.28
2026-05-05,"1,186.70","1,186.70","1,186.70","1,186.70",0.14
2026-05-04,"1,189.60","1,189.60","1,185.00","1,185.00",2.6
2026-04-29,"1,182.10","1,182.10","1,182.10","1,155.00",-2.29
2026-04-28,"1,155.00","1,185.20","1,185.00","1,182.10",2.35
2026-04-27,"1,210.00","1,210.00","1,210.00","1,155.00",-4.55
2026-04-24,"1,231.10","1,231.10","1,210.00","1,210.00",-1.71
2026-04-23,"1,254.00","1,254.00","1,254.00","1,231.10",-3.82
2026-04-22,"1,260.00","1,280.00","1,260.00","1,280.00",-0.78
2026-04-21,"1,253.00","1,290.00","1,253.00","1,290.00",0.0
2026-04-20,"1,255.00","1,290.00","1,255.00","1,290.00",0.0
2026-04-17,"1,295.00","1,295.00","1,290.00","1,290.00",-0.77
2026-04-16,"1,300.00","1,300.00","1,300.00","1,300.00",1.56
2026-04-15,"1,280.00","1,280.00","1,280.00","1,280.00",-0.78
2026-04-13,"1,300.00","1,300.00","1,290.00","1,290.00",-2.64
2026-04-10,"1,275.00","1,325.00","1,275.00","1,325.00",3.92
2026-04-09,"1,235.00","1,275.00","1,235.00","1,275.00",5.28
2026-04-08,"1,211.00","1,211.00","1,211.00","1,211.00",1.09
2026-04-07,"1,198.00","1,198.00","1,198.00","1,198.00",0.67
2026-04-06,"1,190.00","1,190.00","1,190.00","1,190.00",-0.67
2026-04-05,"1,222.00","1,222.00","1,198.00","1,198.00",-0.01
2026-03-31,"1,198.10","1,198.10","1,198.10","1,198.10",-1.8
2026-03-30,"1,196.00","1,220.00","1,196.00","1,220.00",0.62
2026-03-29,"1,221.00","1,221.00","1,212.50","1,212.50",-2.56
2026-03-26,"1,240.00","1,244.40","1,240.00","1,244.40",2.0
2026-03-23,"1,240.00","1,240.00","1,220.00","1,220.00",-0.16
2026-03-22,"1,185.00","1,221.90","1,185.00","1,221.90",3.99
2026-03-19,"1,185.00","1,185.00","1,185.00","1,175.00",-1.43
2026-03-16,"1,192.00","1,192.00","1,192.00","1,192.00",0.34
2026-03-15,"1,188.00","1,188.00","1,188.00","1,188.00",0.17
2026-03-10,"1,186.00","1,186.00","1,186.00","1,186.00",0.33
2026-02-26,"1,182.10","1,182.10","1,182.10","1,182.10",-0.58
2026-02-25,"1,189.00","1,189.00","1,189.00","1,189.00",0.0
2026-02-24,"1,189.00","1,189.00","1,189.00","1,189.00",0.24
2026-02-22,"1,184.00","1,186.10","1,184.00","1,186.10",0.26
2026-02-17,"1,186.00","1,187.00","1,180.10","1,183.00",0.0
2026-02-16,"1,210.20","1,210.20","1,178.00","1,183.00",-4.2
2026-02-10,"1,260.00","1,260.00","1,260.00","1,234.80",-2.0
2026-01-13,"1,220.00","1,260.00","1,220.00","1,260.00",3.28
2026-01-12,"1,220.00","1,220.00","1,220.00","1,220.00",-1.22
2026-01-07,"1,235.10","1,236.00","1,235.10","1,235.10",1.07
2026-01-06,"1,222.00","1,222.00","1,222.00","1,222.00",-0.08
2026-01-05,"1,220.00","1,223.00","1,220.00","1,223.00",-1.37
2026-01-04,"1,240.00","1,240.00","1,240.00","1,240.00",-1.98
2026-01-01,"1,245.00","1,265.00","1,245.00","1,265.00",1.61
2025-12-31,"1,245.00","1,245.00","1,245.00","1,245.00",0.0
2025-12-29,"1,245.00","1,257.00","1,241.10","1,245.00",0.0
2025-12-28,"1,245.00","1,245.00","1,245.00","1,245.00",-0.01
2025-12-24,"1,238.10","1,246.00","1,238.10","1,245.10",1.15
2025-12-22,"1,233.50","1,233.50","1,231.00","1,231.00",-0.2
2025-12-21,"1,233.50","1,233.50","1,233.50","1,233.50",0.37
2025-12-16,"1,229.00","1,229.00","1,229.00","1,229.00",-1.99
2025-12-14,"1,211.00","1,254.00","1,211.00","1,254.00",3.55
2025-12-11,"1,211.00","1,211.00","1,211.00","1,211.00",-1.94
2025-12-07,"1,235.00","1,235.00","1,235.00","1,235.00",0.0
2025-12-03,"1,235.00","1,235.00","1,235.00","1,235.00",-0.35
2025-12-02,"1,230.00","1,239.30","1,230.00","1,239.30",2.0
2025-12-01,"1,226.00","1,226.00","1,215.00","1,215.00",-2.88
2025-11-30,"1,216.00","1,251.00","1,216.00","1,251.00",2.88
2025-11-27,"1,216.00","1,216.00","1,216.00","1,216.00",0.0
2025-11-26,"1,211.00","1,216.00","1,211.00","1,216.00",-0.65
2025-11-25,"1,224.00","1,224.00","1,224.00","1,224.00",2.0
2025-11-24,"1,200.00","1,200.00","1,200.00","1,200.00",-1.72
2025-11-23,"1,221.00","1,221.00","1,221.00","1,221.00",-0.73
2025-11-19,"1,250.00","1,250.00","1,230.00","1,230.00",-1.6
2025-11-18,"1,250.00","1,250.00","1,250.00","1,250.00",0.0
2025-11-17,"1,248.00","1,250.00","1,248.00","1,250.00",1.2
2025-11-16,"1,235.20","1,235.20","1,235.20","1,235.20",2.0
2025-11-11,"1,188.00","1,211.00","1,188.00","1,211.00",0.91
2025-11-10,"1,224.00","1,224.00","1,224.00","1,200.10",0.01
2025-11-04,"1,245.00","1,245.00","1,245.00","1,200.00",-3.61
2025-11-03,"1,224.00","1,245.00","1,224.00","1,245.00",3.75
2025-11-02,"1,200.00","1,220.00","1,200.00","1,200.00",-0.92
2025-10-29,"1,235.00","1,235.00","1,235.00","1,211.10",-1.94
2025-10-28,"1,225.00","1,235.00","1,205.00","1,235.00",1.56
2025-10-26,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94
2025-10-19,"1,240.00","1,240.00","1,240.00","1,240.00",1.81
2025-10-16,"1,218.00","1,218.00","1,218.00","1,218.00",1.92
2025-10-15,"1,195.00","1,195.00","1,195.00","1,195.00",-1.81
2025-10-14,"1,217.00","1,217.00","1,217.00","1,217.00",-1.93
2025-10-13,"1,180.00","1,241.00","1,180.00","1,241.00",5.17
2025-10-12,"1,180.00","1,180.00","1,180.00","1,180.00",0.0
2025-10-09,"1,200.00","1,200.00","1,180.00","1,180.00",-1.75
2025-10-08,"1,216.00","1,216.00","1,201.00","1,201.00",-3.15
2025-10-07,"1,240.00","1,245.00","1,240.00","1,240.00",1.22
2025-09-28,"1,225.00","1,225.00","1,225.00","1,225.00",-0.97
2025-09-25,"1,202.00","1,237.00","1,202.00","1,237.00",4.37
2025-09-24,"1,185.00","1,185.20","1,185.00","1,185.20",2.0
2025-09-23,"1,126.00","1,162.00","1,126.00","1,162.00",1.93
2025-09-21,"1,128.00","1,140.00","1,128.00","1,140.00",1.97
2025-09-07,"1,118.00","1,118.00","1,118.00","1,118.00",-0.27
2025-09-04,"1,121.00","1,121.00","1,121.00","1,121.00",0.0
2025-09-03,"1,121.00","1,121.00","1,121.00","1,121.00",-0.27
2025-09-02,"1,124.00","1,124.00","1,124.00","1,124.00",0.0
2025-09-01,"1,118.00","1,124.00","1,115.00","1,124.00",0.99
2025-08-31,"1,116.00","1,116.00","1,113.00","1,113.00",-0.2
2025-08-28,"1,115.00","1,115.20","1,115.00","1,115.20",0.02
2025-08-27,"1,115.00","1,115.00","1,115.00","1,115.00",0.31
2025-08-24,"1,110.00","1,115.00","1,108.00","1,111.58",-0.49
2025-08-20,"1,109.30","1,117.00","1,109.30","1,117.00",-0.71
2025-08-19,"1,125.00","1,125.00","1,125.00","1,125.00",0.36
2025-08-17,"1,121.00","1,121.00","1,121.00","1,121.00",0.0
2025-08-14,"1,121.00","1,121.00","1,121.00","1,121.00",-1.51
2025-08-12,"1,138.20","1,138.20","1,138.20","1,138.20",2.0
2025-08-11,"1,111.00","1,133.00","1,111.00","1,115.90",-0.45
2025-08-06,"1,120.90","1,120.90","1,120.90","1,120.90",-0.84
2025-08-05,"1,112.90","1,130.40","1,112.90","1,130.40",0.18
2025-08-04,"1,143.00","1,143.00","1,122.90","1,128.34",-3.25
2025-08-03,"1,190.00","1,190.00","1,190.00","1,166.20",-3.22
2025-07-16,"1,198.00","1,198.00","1,198.00","1,205.00",0.58
2025-07-15,"1,178.00","1,198.00","1,178.00","1,198.00",1.7
2025-07-03,"1,178.00","1,178.00","1,178.00","1,178.00",0.0
2025-06-29,"1,135.00","1,178.00","1,135.00","1,178.00",3.79
2025-06-26,"1,117.50","1,135.00","1,117.00","1,135.00",0.0
2025-06-25,"1,135.00","1,135.00","1,135.00","1,135.00",-1.73
2025-06-24,"1,155.00","1,155.00","1,155.00","1,155.00",-1.95
2025-06-23,"1,178.00","1,178.00","1,178.00","1,178.00",1.55
2025-06-22,"1,149.50","1,160.00","1,127.00","1,160.00",2.93
2025-06-19,"1,127.00","1,127.00","1,127.00","1,127.00",0.09
2025-06-18,"1,126.00","1,126.00","1,126.00","1,126.00",-0.35
2025-06-17,"1,130.00","1,130.00","1,130.00","1,130.00",-0.62
2025-06-16,"1,160.00","1,160.00","1,137.00","1,137.00",-1.98
2025-06-15,"1,170.00","1,170.00","1,160.00","1,160.00",-1.53
2025-06-09,"1,170.00","1,178.00","1,170.00","1,178.00",2.57
2025-06-08,"1,148.50","1,148.50","1,148.50","1,148.50",2.0
2025-06-05,"1,126.00","1,126.00","1,126.00","1,126.00",-0.45
2025-06-03,"1,131.10","1,131.10","1,131.10","1,131.10",-0.79
2025-06-02,"1,140.10","1,140.10","1,140.10","1,140.10",-1.8
2025-05-28,"1,146.00","1,161.00","1,146.00","1,161.00",1.75
2025-05-27,"1,141.00","1,141.00","1,141.00","1,141.00",-1.89
2025-05-26,"1,178.00","1,178.00","1,163.00","1,163.00",-0.01
2025-05-25,"1,178.00","1,178.00","1,163.10","1,163.10",-0.59
2025-05-22,"1,170.00","1,170.00","1,170.00","1,170.00",1.47
2025-05-21,"1,153.00","1,153.00","1,153.00","1,153.00",-1.87
2025-05-19,"1,131.00","1,178.00","1,131.00","1,175.00",3.89
2025-05-15,"1,131.00","1,131.00","1,131.00","1,131.00",0.0
2025-05-13,"1,126.00","1,131.00","1,126.00","1,131.00",-0.62
2025-05-07,"1,138.50","1,138.50","1,138.00","1,138.00",-1.9
2025-05-06,"1,160.00","1,160.00","1,160.00","1,160.00",1.84
2025-05-05,"1,139.00","1,139.00","1,139.00","1,139.00",0.35
2025-05-04,"1,151.00","1,151.00","1,151.00","1,135.00",-0.61
2025-04-30,"1,142.00","1,142.00","1,142.00","1,142.00",-1.08
2025-04-29,"1,154.50","1,154.50","1,154.50","1,154.50",-1.99
2025-04-28,"1,135.10","1,178.00","1,135.10","1,178.00",3.78
2025-04-27,"1,135.10","1,135.10","1,135.10","1,135.10",-0.43
2025-04-24,"1,140.00","1,140.00","1,140.00","1,140.00",0.0
2025-04-22,"1,156.00","1,156.00","1,140.00","1,140.00",-3.31
2025-04-20,"1,134.00","1,179.00","1,134.00","1,179.00",3.97
2025-04-16,"1,134.00","1,134.00","1,134.00","1,134.00",-1.78
2025-04-15,"1,154.60","1,154.60","1,154.60","1,154.60",0.0
2025-04-10,"1,132.00","1,132.00","1,132.00","1,154.60",2.0
2025-04-09,"1,132.00","1,132.00","1,132.00","1,132.00",0.09
2025-04-08,"1,130.50","1,131.00","1,130.50","1,131.00",0.27
2025-04-03,"1,128.00","1,128.00","1,128.00","1,128.00",0.18
2025-04-02,"1,126.00","1,126.00","1,126.00","1,126.00",-1.23
2025-04-01,"1,131.00","1,131.00","1,131.00","1,140.00",1.33
2025-03-30,"1,125.00","1,125.00","1,121.10","1,125.00",0.0
2025-03-25,"1,118.70","1,125.00","1,118.70","1,125.00",0.38
2025-03-24,"1,120.80","1,120.80","1,120.80","1,120.70",-0.01
2025-03-23,"1,120.70","1,120.70","1,120.70","1,120.80",0.16
2025-03-19,"1,125.40","1,125.40","1,117.00","1,119.00",-0.39
2025-03-18,"1,118.40","1,123.40","1,118.40","1,123.40",0.33
2025-03-17,"1,119.70","1,119.70","1,119.70","1,119.70",-0.06
2025-03-16,"1,120.40","1,120.40","1,120.40","1,120.40",0.04
2025-03-12,"1,118.50","1,120.40","1,118.50","1,120.00",0.13
2025-03-11,"1,118.50","1,118.50","1,118.50","1,118.50",0.0
2025-03-09,"1,118.80","1,118.80","1,118.50","1,118.50",-0.35
2025-03-06,"1,130.00","1,130.00","1,122.40","1,122.40",0.21
2025-03-05,"1,120.10","1,120.10","1,120.00","1,120.00",-1.93
2025-03-04,"1,142.00","1,142.00","1,142.00","1,142.00",1.8
2025-03-03,"1,130.00","1,130.00","1,121.30","1,121.80",-0.86
2025-02-23,"1,143.00","1,143.00","1,131.00","1,131.50",-1.61
2025-02-17,"1,150.00","1,150.00","1,150.00","1,150.00",1.58
2025-02-16,"1,132.10","1,132.10","1,132.10","1,132.10",-0.43
2025-02-12,"1,137.00","1,137.00","1,137.00","1,137.00",-1.98
2025-02-10,"1,160.00","1,160.00","1,160.00","1,160.00",-3.62
2025-02-06,"1,203.00","1,203.60","1,203.00","1,203.60",4.03
2025-02-05,"1,157.00","1,157.00","1,157.00","1,157.00",-1.95
2025-02-03,"1,134.00","1,180.00","1,104.50","1,180.00",1.98
2025-02-02,"1,157.10","1,157.10","1,157.10","1,157.10",-7.74
2025-01-26,"1,229.70","1,254.20","1,229.70","1,254.20",6.11
2025-01-23,"1,137.00","1,182.00","1,116.00","1,182.00",1.9
2025-01-22,"1,160.00","1,160.00","1,118.10","1,160.00",2.0
2025-01-21,"1,115.00","1,137.30","1,115.00","1,137.30",0.65
2025-01-19,"1,130.00","1,130.00","1,130.00","1,130.00",-0.88
2025-01-15,"1,125.00","1,140.00","1,125.00","1,140.00",1.33
2025-01-13,"1,151.00","1,151.00","1,125.00","1,125.00",-3.85
2025-01-08,"1,170.00","1,170.00","1,170.00","1,170.00",-0.09
2025-01-07,"1,171.00","1,171.00","1,171.00","1,171.00",0.0
2025-01-06,"1,171.00","1,171.00","1,171.00","1,171.00",-0.51
2025-01-05,"1,165.00","1,200.00","1,154.00","1,177.00",2.97
2025-01-02,"1,160.00","1,160.00","1,143.00","1,143.00",-0.61
2024-12-31,"1,138.10","1,150.00","1,138.10","1,150.00",-0.95
2024-12-26,"1,161.00","1,161.00","1,161.00","1,161.00",-1.98
2024-12-24,"1,184.50","1,184.50","1,184.50","1,184.50",0.02
2024-12-23,"1,184.00","1,185.00","1,162.00","1,184.30",3.67
2024-12-18,"1,142.40","1,142.40","1,142.40","1,142.40",2.0
2024-12-16,"1,120.00","1,120.00","1,120.00","1,120.00",0.0
2024-12-12,"1,140.00","1,140.00","1,120.00","1,120.00",-0.88
2024-12-10,"1,142.40","1,142.40","1,130.00","1,130.00",0.89
2024-12-09,"1,120.00","1,120.00","1,120.00","1,120.00",-1.5
2024-12-08,"1,115.00","1,137.00","1,115.00","1,137.00",2.34
2024-12-05,"1,111.00","1,111.00","1,111.00","1,111.00",0.0
2024-12-04,"1,111.00","1,111.00","1,111.00","1,111.00",-1.68
2024-12-03,"1,120.00","1,141.00","1,119.00","1,130.00",-0.73
2024-12-02,"1,125.00","1,138.30","1,125.00","1,138.30",2.0
2024-11-28,"1,116.00","1,116.00","1,116.00","1,116.00",-0.89
2024-11-27,"1,126.00","1,126.00","1,126.00","1,126.00",0.45
2024-11-26,"1,137.00","1,137.00","1,121.00","1,121.00",-3.36
2024-11-24,"1,102.70","1,187.90","1,102.70","1,164.20",7.69
2024-11-20,"1,124.10","1,124.10","1,081.10","1,081.10",-5.75
2024-11-17,"1,147.00","1,147.00","1,147.00","1,147.00",0.92
2024-11-13,"1,133.00","1,136.50","1,133.00","1,136.50",-1.64
2024-11-12,"1,169.00","1,178.90","1,155.40","1,155.40",-2.15
2024-11-10,"1,135.00","1,180.80","1,135.00","1,180.80",6.11
2024-11-06,"1,080.20","1,112.80","1,080.20","1,112.80",2.55
2024-11-05,"1,126.60","1,126.60","1,083.00","1,085.10",-5.6
2024-10-28,"1,127.00","1,149.50","1,127.00","1,149.50",0.22
2024-10-27,"1,147.00","1,147.00","1,147.00","1,147.00",2.41
2024-10-24,"1,120.00","1,120.00","1,120.00","1,120.00",-0.44
2024-10-22,"1,125.00","1,125.00","1,125.00","1,125.00",0.0
2024-10-21,"1,147.00","1,147.00","1,125.00","1,125.00",0.9
2024-10-20,"1,141.00","1,183.00","1,136.30","1,136.30",-0.45
2024-10-17,"1,119.00","1,120.00","1,119.00","1,120.00",-1.75
2024-10-16,"1,147.00","1,163.00","1,100.10","1,140.00",4.59
2024-10-15,"1,100.00","1,100.00","1,090.00","1,090.00",-1.0
2024-10-09,"1,101.00","1,101.00","1,101.00","1,101.00",-0.63
2024-10-08,"1,108.00","1,108.00","1,108.00","1,108.00",0.73
2024-10-06,"1,110.00","1,110.00","1,100.00","1,100.00",0.0
2024-10-02,"1,100.00","1,100.00","1,100.00","1,100.00",-0.27
2024-10-01,"1,103.00","1,103.00","1,103.00","1,103.00",-1.96
2024-09-30,"1,147.00","1,147.00","1,125.00","1,125.00",2.74
2024-09-29,"1,095.00","1,095.00","1,095.00","1,095.00",-1.97
2024-09-26,"1,117.00","1,117.00","1,117.00","1,117.00",0.0
2024-09-25,"1,095.00","1,117.00","1,095.00","1,117.00",1.92
2024-09-24,"1,116.00","1,116.00","1,096.00","1,096.00",-3.69
2024-09-23,"1,138.00","1,138.00","1,138.00","1,138.00",5.81
2024-09-18,"1,075.00","1,096.50","1,075.00","1,075.50",-0.42
2024-09-16,"1,080.00","1,080.00","1,080.00","1,080.00",0.19
2024-09-15,"1,075.00","1,075.00","1,075.00","1,075.00",-0.28
2024-09-12,"1,076.00","1,100.00","1,076.00","1,078.00",-1.55
2024-09-11,"1,080.00","1,095.00","1,080.00","1,095.00",2.82
2024-09-10,"1,051.00","1,072.00","1,051.00","1,065.00",0.0
2024-09-09,"1,075.00","1,075.00","1,065.00","1,065.00",-0.05
2024-09-08,"1,068.90","1,068.90","1,065.50","1,065.50",1.67
2024-09-05,"1,048.00","1,048.00","1,048.00","1,048.00",0.37
2024-09-04,"1,063.00","1,063.00","1,044.10","1,044.10",-1.96
2024-09-03,"1,065.00","1,065.00","1,065.00","1,065.00",-0.65
2024-09-02,"1,072.00","1,072.00","1,072.00","1,072.00",2.0
2024-09-01,"1,050.00","1,082.00","1,040.00","1,051.00",0.43
2024-08-29,"1,046.50","1,046.50","1,046.50","1,046.50",-1.27
2024-08-28,"1,060.00","1,060.00","1,060.00","1,060.00",0.0
2024-08-27,"1,060.00","1,060.00","1,060.00","1,060.00",-0.05
2024-08-25,"1,050.00","1,060.50","1,050.00","1,060.50",0.14
2024-08-22,"1,060.00","1,060.00","1,058.00","1,059.00",1.34
2024-08-21,"1,044.00","1,045.00","1,044.00","1,045.00",0.48
2024-08-18,"1,034.10","1,040.00","1,034.10","1,040.00",-0.48
2024-08-15,"1,034.00","1,045.00","1,034.00","1,045.00",0.29
2024-08-14,"1,036.00","1,045.00","1,036.00","1,042.00",0.57
2024-08-13,"1,036.20","1,036.20","1,036.10","1,036.10",-0.18
2024-08-12,"1,038.00","1,039.00","1,038.00","1,038.00",-1.24
2024-08-11,"1,045.00","1,051.00","1,045.00","1,051.00",0.1
2024-08-08,"1,041.00","1,050.00","1,041.00","1,050.00",0.77
2024-08-07,"1,042.00","1,042.00","1,042.00","1,042.00",0.19
2024-08-06,"1,040.00","1,040.00","1,040.00","1,040.00",-0.95
2024-08-05,"1,050.00","1,050.00","1,050.00","1,050.00",-1.59
2024-08-01,"1,067.00","1,080.00","1,067.00","1,067.00",-0.28
2024-07-31,"1,155.80","1,155.80","1,070.00","1,070.00",-7.92
2024-07-16,"1,162.00","1,162.00","1,162.00","1,162.00",-2.01
2024-07-15,"1,098.00","1,185.80","1,098.00","1,185.80",10.0
2024-07-14,"1,079.00","1,079.00","1,078.00","1,078.00",-2.0
