date,open,high,low,close,volume
2026-06-08,"1,262.90","1,262.90","1,262.40","1,262.40","31,523.30"
2026-06-05,"1,262.90","1,262.90","1,262.40","1,262.40",-0.04
2026-06-04,"1,262.90","1,262.90","1,262.90","1,262.90",2.93
2026-06-02,"1,227.00","1,227.00","1,227.00","1,227.00",-1.84
2026-06-01,"1,250.00","1,250.00","1,250.00","1,250.00",-0.24
2026-05-27,"1,253.00","1,253.00","1,253.00","1,253.00",-1.73
2026-05-22,"1,265.00","1,275.00","1,265.00","1,275.00",0.08
2026-05-20,"1,237.00","1,274.00","1,237.00","1,274.00",2.99
2026-05-13,"1,237.00","1,237.00","1,237.00","1,237.00",3.0
2026-05-07,"1,201.20","1,201.20","1,201.00","1,201.00",-1.97
2026-05-05,"1,200.00","1,245.00","1,199.80","1,225.10",-0.64
2026-05-04,"1,233.00","1,233.00","1,233.00","1,233.00",2.98
2026-04-29,"1,210.00","1,210.00","1,197.30","1,197.30",-1.05
2026-04-28,"1,241.00","1,210.00","1,210.00","1,210.00",-2.5
2026-04-27,"1,278.00","1,241.00","1,241.00","1,241.00",-2.9
2026-04-24,"1,241.00","1,220.00","1,220.00","1,278.00",2.98
2026-04-23,"1,241.00","1,241.00","1,241.00","1,241.00",0.0
2026-04-22,"1,238.00","1,241.00","1,238.00","1,241.00",3.24
2026-04-20,"1,202.00","1,202.00","1,202.00","1,202.00",-2.44
2026-04-15,"1,240.00","1,240.00","1,232.00","1,232.00",1.23
2026-04-09,"1,217.00","1,217.00","1,217.00","1,217.00",-1.93
2026-04-07,"1,265.00","1,265.00","1,265.00","1,241.00",-1.9
2026-04-06,"1,265.00","1,265.00","1,265.00","1,265.00",-1.94
2026-04-01,"1,272.00","1,297.40","1,272.00","1,290.00",3.37
2026-03-22,"1,248.00","1,248.00","1,248.00","1,248.00",-1.35
2026-03-17,"1,216.00","1,216.00","1,216.00","1,265.10",4.04
2026-03-12,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94
2026-02-26,"1,240.00","1,240.00","1,240.00","1,240.00",1.97
2026-02-23,"1,216.00","1,216.00","1,216.00","1,216.00",-1.94
2026-02-17,"1,213.00","1,240.00","1,213.00","1,240.00",2.23
2026-02-12,"1,188.10","1,213.00","1,188.10","1,213.00",2.1
2026-02-11,"1,188.10","1,188.10","1,188.10","1,188.10",-1.4
2026-02-09,"1,205.00","1,205.00","1,205.00","1,205.00",0.0
2026-02-05,"1,205.00","1,205.00","1,205.00","1,205.00",0.08
2026-02-01,"1,210.70","1,210.70","1,202.00","1,204.00",1.43
2026-01-29,"1,187.00","1,187.00","1,187.00","1,187.00",0.51
2026-01-26,"1,181.00","1,181.00","1,181.00","1,181.00",-0.34
