date,open,high,low,close,volume
2026-06-08,795.00,797.00,789.00,792.00,"11,169,265.80"
2026-06-05,795.00,797.00,789.00,792.00,0.11
2026-06-04,800.90,807.00,790.00,791.10,-0.74
2026-06-03,790.30,801.00,790.30,797.00,-0.3
2026-06-02,793.30,803.20,789.00,799.40,0.3
2026-06-01,803.00,805.00,790.00,797.00,-0.98
2026-05-27,800.00,810.00,795.00,804.90,0.31
2026-05-26,800.70,815.20,799.00,802.40,-0.2
2026-05-25,799.00,814.70,795.00,804.00,0.02
2026-05-22,814.70,814.70,792.30,803.80,0.0
2026-05-21,796.00,808.00,796.00,803.80,0.0
2026-05-20,819.00,819.00,796.10,803.80,0.8
2026-05-19,799.00,803.00,797.00,797.40,-0.2
2026-05-18,799.00,807.00,796.30,799.00,0.13
2026-05-15,799.30,802.50,798.00,798.00,-0.15
2026-05-14,802.90,804.00,796.10,799.20,-0.46
2026-05-13,805.00,806.00,802.30,802.90,-0.14
2026-05-12,815.00,815.10,803.00,804.00,-1.13
2026-05-11,805.00,820.00,805.00,813.20,1.27
2026-05-08,801.00,808.00,801.00,803.00,-0.05
2026-05-07,802.30,810.00,800.00,803.40,0.17
2026-05-06,801.20,814.00,801.20,802.00,-0.12
2026-05-05,802.50,809.00,800.10,803.00,-0.26
2026-05-04,802.10,817.00,802.10,805.10,-0.3
2026-04-30,809.00,811.90,802.00,807.50,-0.19
2026-04-29,812.00,815.00,805.00,809.00,-0.37
2026-04-28,815.00,830.00,812.00,812.00,-0.37
2026-04-27,813.00,819.90,815.00,815.00,0.25
2026-04-24,810.00,817.00,810.00,813.00,-0.37
2026-04-23,820.00,825.00,815.00,816.00,-0.49
2026-04-22,815.00,824.00,814.00,820.00,0.0
2026-04-21,810.00,825.00,810.00,820.00,0.12
2026-04-20,820.00,826.90,816.40,819.00,-0.85
2026-04-17,825.00,828.00,822.00,826.00,0.12
2026-04-16,830.00,835.00,822.00,825.00,-1.32
2026-04-15,820.00,840.80,820.00,836.00,1.09
2026-04-13,830.00,835.00,822.30,827.00,0.12
2026-04-10,825.00,835.00,825.00,826.00,-1.2
2026-04-09,832.30,844.00,829.00,836.00,0.61
2026-04-08,826.00,835.00,820.00,830.90,0.59
2026-04-07,828.90,837.00,816.00,826.00,-0.35
2026-04-06,800.00,832.00,798.00,828.90,2.46
2026-04-05,815.20,820.00,807.10,809.00,-1.82
2026-04-02,815.00,830.00,806.10,824.00,0.48
2026-04-01,840.00,856.00,816.10,820.10,-2.37
2026-03-31,841.00,850.00,830.00,840.00,-0.13
2026-03-30,856.00,861.00,841.00,841.10,-1.74
2026-03-29,868.10,878.10,850.00,856.00,-2.45
2026-03-26,875.00,880.00,872.10,877.50,0.27
2026-03-25,895.00,895.00,875.10,875.10,-1.34
2026-03-24,885.00,899.70,879.00,887.00,-0.11
2026-03-23,899.00,903.00,884.00,888.00,-1.44
2026-03-22,862.20,901.00,862.20,901.00,4.95
2026-03-19,852.10,875.00,851.30,858.50,0.86
2026-03-17,855.00,855.50,845.00,851.20,-0.32
2026-03-16,859.00,860.00,850.00,853.90,-0.59
2026-03-15,873.00,879.00,857.00,859.00,-1.26
2026-03-12,867.00,882.00,860.00,870.00,0.33
2026-03-11,877.00,887.00,867.00,867.10,-1.13
2026-03-10,918.00,918.00,864.00,877.00,-2.56
2026-03-09,853.70,900.00,853.70,900.00,7.53
2026-03-03,843.10,843.10,820.00,837.00,1.11
2026-03-01,815.20,828.00,815.20,827.80,0.22
2026-02-26,820.00,830.00,817.60,826.00,0.11
2026-02-25,815.10,830.00,815.10,825.10,1.79
2026-02-24,815.00,824.00,804.00,810.60,-0.54
2026-02-23,827.50,827.50,810.00,815.00,0.18
2026-02-22,832.80,832.80,811.00,813.50,-0.93
2026-02-17,849.00,849.00,813.40,821.10,-1.66
2026-02-16,830.00,850.00,830.00,835.00,1.21
2026-02-12,836.00,838.00,820.00,825.00,-1.55
2026-02-11,848.00,858.90,835.00,838.00,-0.71
2026-02-10,840.00,850.00,836.00,844.00,-0.47
2026-02-09,860.00,868.00,843.00,848.00,-1.38
2026-02-08,872.50,887.00,855.00,859.90,-1.73
2026-02-05,885.00,895.00,870.00,875.00,-1.34
2026-02-04,908.80,908.80,880.00,886.90,-0.46
2026-02-03,885.00,902.00,864.00,891.00,2.65
2026-02-02,866.00,875.00,863.00,868.00,0.23
2026-02-01,870.00,882.00,862.00,866.00,-2.04
2026-01-29,913.00,913.00,883.00,884.00,-1.34
2026-01-28,900.00,901.00,882.00,896.00,-0.08
2026-01-27,882.00,930.00,882.00,896.70,-0.13
2026-01-26,920.00,920.00,891.10,897.90,-1.28
2026-01-25,880.00,915.00,880.00,909.50,3.65
2026-01-22,896.40,896.40,870.00,877.50,-0.16
2026-01-21,890.00,894.00,871.00,878.90,-0.24
2026-01-20,887.40,895.00,872.00,881.00,1.26
2026-01-18,851.10,870.00,850.50,870.00,2.23
2026-01-14,849.00,855.00,847.00,851.00,0.2
2026-01-13,850.30,860.00,845.00,849.30,-0.12
2026-01-12,869.00,869.00,850.30,850.30,-0.2
2026-01-08,856.00,859.70,850.50,852.00,0.0
2026-01-07,881.20,881.20,852.00,852.00,-1.39
2026-01-06,877.00,877.00,860.00,864.00,0.47
2026-01-05,850.00,869.20,850.00,860.00,0.58
2026-01-04,869.00,869.00,852.10,855.00,-0.47
2026-01-01,865.00,870.00,848.00,859.00,-0.69
2025-12-31,865.00,870.00,863.00,865.00,1.17
2025-12-29,860.00,870.00,855.00,855.00,-0.12
2025-12-28,860.00,864.90,854.00,856.00,1.44
2025-12-24,899.00,899.00,885.00,886.00,0.11
2025-12-23,882.20,885.00,881.00,885.00,0.32
2025-12-22,887.00,890.00,880.00,882.20,-0.44
2025-12-21,908.00,908.00,886.00,886.10,-0.88
2025-12-18,918.00,918.00,890.20,894.00,-0.67
2025-12-17,923.10,923.10,896.00,900.00,-0.55
2025-12-16,884.30,915.00,884.30,905.00,4.38
2025-12-15,870.00,875.00,865.10,867.00,-0.47
2025-12-14,882.00,889.10,870.00,871.10,-1.29
2025-12-11,882.00,900.00,880.00,882.50,-0.72
2025-12-10,889.50,893.00,879.00,888.90,0.44
2025-12-09,879.00,887.40,864.00,885.00,1.72
2025-12-08,871.00,880.00,870.00,870.00,-1.27
2025-12-07,907.80,907.80,879.30,881.20,-0.99
2025-12-03,885.00,894.00,878.00,890.00,1.16
2025-12-02,866.00,897.00,866.00,879.80,1.32
2025-12-01,867.20,877.00,867.00,868.30,-0.42
2025-11-30,882.50,891.00,870.00,872.00,-1.14
2025-11-27,880.10,898.80,875.40,882.10,0.0
2025-11-26,899.90,903.00,882.00,882.10,-0.55
2025-11-25,890.00,890.00,880.00,887.00,0.77
2025-11-24,887.90,892.80,880.10,880.20,0.25
2025-11-23,861.00,892.00,860.00,878.00,2.81
2025-11-20,861.00,862.00,848.00,854.00,-0.8
